asset,year,dst_region,region,technology,installed,capacity
9,2050,Central,Central,CC_GAS,2020,35.74230000000
9,2054,Central,Central,CC_GAS,2020,7.14850000000
10,2050,Central,Central,HYD_LS,2020,0.43520000000
10,2054,Central,Central,HYD_LS,2020,0.08700000000
11,2050,Eastern,Eastern,HYD_LS,2020,17.37700000000
11,2054,Eastern,Eastern,HYD_LS,2020,6.56460000000
11,2055,Eastern,Eastern,HYD_LS,2020,3.86150000000
12,2050,Eastern,Eastern,NUCL,2020,103.05960000000
12,2054,Eastern,Eastern,NUCL,2020,38.93360000000
12,2055,Eastern,Eastern,NUCL,2020,22.90210000000
14,2050,North,North,CC_GAS,2020,61.17290000000
14,2054,North,North,CC_GAS,2020,12.23460000000
15,2050,North,North,HYD_LS,2020,1.24440000000
15,2054,North,North,HYD_LS,2020,0.24890000000
18,2050,Northwest,Northwest,CC_GAS,2020,5.48730000000
18,2054,Northwest,Northwest,CC_GAS,2020,2.07300000000
18,2055,Northwest,Northwest,CC_GAS,2020,1.21940000000
22,2050,Western,Western,CC_GAS,2020,55.15650000000
22,2054,Western,Western,CC_GAS,2020,20.83690000000
22,2055,Western,Western,CC_GAS,2020,12.25700000000
25,2050,Western,Western,HYD_LS,2020,101.57300000000
25,2054,Western,Western,HYD_LS,2020,38.37200000000
25,2055,Western,Western,HYD_LS,2020,22.57180000000
