timeslice,commodity,asset,year,installed,technology,month,day,hour,supply
0,light,30,2030,2020,resLightingCon,all-year,all-week,night,0.17740000000
0,light,30,2035,2020,resLightingCon,all-year,all-week,night,0.05380000000
0,light,31,2030,2020,resLightingEnergySaving,all-year,all-week,night,4.91830000000
0,light,31,2035,2020,resLightingEnergySaving,all-year,all-week,night,0.14110000000
0,light,32,2030,2020,resLightingLED,all-year,all-week,night,4.91830000000
0,light,32,2035,2020,resLightingLED,all-year,all-week,night,5.19990000000
0,light,66,2030,2020,resLightingCon,all-year,all-week,night,0.03760000000
0,light,66,2035,2020,resLightingCon,all-year,all-week,night,0.01140000000
0,light,67,2030,2020,resLightingEnergySaving,all-year,all-week,night,1.81770000000
0,light,67,2035,2020,resLightingEnergySaving,all-year,all-week,night,0.02990000000
0,light,68,2030,2020,resLightingLED,all-year,all-week,night,1.81770000000
0,light,68,2035,2020,resLightingLED,all-year,all-week,night,1.90070000000
0,light,100,2030,2020,resLightingCon,all-year,all-week,night,1.47110000000
0,light,100,2035,2020,resLightingCon,all-year,all-week,night,0.44580000000
0,light,101,2030,2020,resLightingEnergySaving,all-year,all-week,night,36.58170000000
0,light,101,2035,2020,resLightingEnergySaving,all-year,all-week,night,1.17020000000
0,light,102,2030,2020,resLightingLED,all-year,all-week,night,36.58170000000
0,light,102,2035,2020,resLightingLED,all-year,all-week,night,38.62890000000
0,light,134,2030,2020,resLightingCon,all-year,all-week,night,1.48770000000
0,light,134,2035,2020,resLightingCon,all-year,all-week,night,0.45080000000
0,light,135,2030,2020,resLightingEnergySaving,all-year,all-week,night,31.55470000000
0,light,135,2035,2020,resLightingEnergySaving,all-year,all-week,night,1.18340000000
0,light,136,2030,2020,resLightingLED,all-year,all-week,night,31.55470000000
0,light,136,2035,2020,resLightingLED,all-year,all-week,night,33.09850000000
0,light,170,2030,2020,resLightingCon,all-year,all-week,night,0.26240000000
0,light,170,2035,2020,resLightingCon,all-year,all-week,night,0.07950000000
0,light,171,2030,2020,resLightingEnergySaving,all-year,all-week,night,18.37460000000
0,light,171,2035,2020,resLightingEnergySaving,all-year,all-week,night,0.20870000000
0,light,172,2030,2020,resLightingLED,all-year,all-week,night,18.37460000000
0,light,172,2035,2020,resLightingLED,all-year,all-week,night,18.94040000000
0,light,204,2030,2020,resLightingCon,all-year,all-week,night,0.58640000000
0,light,204,2035,2020,resLightingCon,all-year,all-week,night,0.17770000000
0,light,205,2030,2020,resLightingEnergySaving,all-year,all-week,night,10.58470000000
0,light,205,2035,2020,resLightingEnergySaving,all-year,all-week,night,0.46650000000
0,light,206,2030,2020,resLightingLED,all-year,all-week,night,10.58470000000
0,light,206,2035,2020,resLightingLED,all-year,all-week,night,11.17740000000
0,light,247,2030,2020,resLightingCon,all-year,all-week,night,0.28110000000
0,light,247,2035,2020,resLightingCon,all-year,all-week,night,0.08520000000
0,light,248,2030,2020,resLightingEnergySaving,all-year,all-week,night,3.93810000000
0,light,248,2035,2020,resLightingEnergySaving,all-year,all-week,night,0.22360000000
0,light,249,2030,2020,resLightingLED,all-year,all-week,night,3.93810000000
0,light,249,2035,2020,resLightingLED,all-year,all-week,night,4.06730000000
0,light,283,2030,2020,resLightingCon,all-year,all-week,night,0.24040000000
0,light,283,2035,2020,resLightingCon,all-year,all-week,night,0.07280000000
0,light,284,2030,2020,resLightingEnergySaving,all-year,all-week,night,6.33860000000
0,light,284,2035,2020,resLightingEnergySaving,all-year,all-week,night,0.19120000000
0,light,285,2030,2020,resLightingLED,all-year,all-week,night,6.33860000000
0,light,285,2035,2020,resLightingLED,all-year,all-week,night,6.72150000000
0,light,317,2030,2020,resLightingCon,all-year,all-week,night,1.38700000000
0,light,317,2035,2020,resLightingCon,all-year,all-week,night,0.42030000000
0,light,318,2030,2020,resLightingEnergySaving,all-year,all-week,night,22.45590000000
0,light,318,2035,2020,resLightingEnergySaving,all-year,all-week,night,1.10330000000
0,light,319,2030,2020,resLightingLED,all-year,all-week,night,22.45590000000
0,light,319,2035,2020,resLightingLED,all-year,all-week,night,23.61090000000
0,heating,1,2030,2020,resASHeatPump,all-year,all-week,night,0.80530000000
0,heating,1,2035,2020,resASHeatPump,all-year,all-week,night,0.86280000000
0,heating,2,2030,2020,resASHeatPump_solarT,all-year,all-week,night,0.80530000000
0,heating,2,2035,2020,resASHeatPump_solarT,all-year,all-week,night,0.86280000000
0,heating,5,2030,2020,resBoilerBiomass,all-year,all-week,night,0.80530000000
0,heating,5,2035,2020,resBoilerBiomass,all-year,all-week,night,0.86280000000
0,heating,6,2030,2020,resBoilerBiomass_solarT,all-year,all-week,night,0.80530000000
0,heating,6,2035,2020,resBoilerBiomass_solarT,all-year,all-week,night,0.86280000000
0,heating,7,2030,2020,resBoilerElectric,all-year,all-week,night,0.80530000000
0,heating,7,2035,2020,resBoilerElectric,all-year,all-week,night,0.86280000000
0,heating,8,2030,2020,resBoilerElectriciy_solarT,all-year,all-week,night,0.80530000000
0,heating,8,2035,2020,resBoilerElectriciy_solarT,all-year,all-week,night,0.86280000000
0,heating,9,2030,2020,resBoilerHydrogen,all-year,all-week,night,0.80530000000
0,heating,9,2035,2020,resBoilerHydrogen,all-year,all-week,night,0.86280000000
0,heating,10,2030,2020,resBoilerHydrogen_solarT,all-year,all-week,night,0.80530000000
0,heating,10,2035,2020,resBoilerHydrogen_solarT,all-year,all-week,night,0.86280000000
0,heating,11,2030,2020,resBoilerLPG,all-year,all-week,night,0.80530000000
0,heating,11,2035,2020,resBoilerLPG,all-year,all-week,night,0.86280000000
0,heating,12,2030,2020,resBoilerNG,all-year,all-week,night,0.80530000000
0,heating,12,2035,2020,resBoilerNG,all-year,all-week,night,0.86280000000
0,heating,13,2030,2020,resBoilerNG_solarT,all-year,all-week,night,0.80530000000
0,heating,13,2035,2020,resBoilerNG_solarT,all-year,all-week,night,0.86280000000
0,heating,14,2030,2020,resCHPBiomass,all-year,all-week,night,0.80530000000
0,heating,14,2035,2020,resCHPBiomass,all-year,all-week,night,0.86280000000
0,heating,15,2030,2020,resCHPFuelCellHdg,all-year,all-week,night,0.80530000000
0,heating,15,2035,2020,resCHPFuelCellHdg,all-year,all-week,night,0.86280000000
0,heating,16,2030,2020,resCHPHydrogen,all-year,all-week,night,0.80530000000
0,heating,16,2035,2020,resCHPHydrogen,all-year,all-week,night,0.86280000000
0,heating,17,2030,2020,resCHPNG,all-year,all-week,night,0.80530000000
0,heating,17,2035,2020,resCHPNG,all-year,all-week,night,0.86280000000
0,heating,25,2030,2020,resElectricNightStorage,all-year,all-week,night,0.80530000000
0,heating,25,2035,2020,resElectricNightStorage,all-year,all-week,night,0.86280000000
0,heating,26,2030,2020,resElectricResSA,all-year,all-week,night,0.80530000000
0,heating,26,2035,2020,resElectricResSA,all-year,all-week,night,0.86280000000
0,heating,27,2030,2020,resElectricResSA_storage,all-year,all-week,night,0.80530000000
0,heating,27,2035,2020,resElectricResSA_storage,all-year,all-week,night,0.86280000000
0,heating,28,2030,2020,resGSHeatPump,all-year,all-week,night,0.80530000000
0,heating,28,2035,2020,resGSHeatPump,all-year,all-week,night,0.86280000000
0,heating,29,2030,2020,resGSHeatPump_solarT,all-year,all-week,night,0.80530000000
0,heating,29,2035,2020,resGSHeatPump_solarT,all-year,all-week,night,0.86280000000
0,heating,33,2030,2020,resMicroCHPBiomass,all-year,all-week,night,0.80530000000
0,heating,33,2035,2020,resMicroCHPBiomass,all-year,all-week,night,0.86280000000
0,heating,34,2030,2020,resMicroCHPHydrogen,all-year,all-week,night,0.80530000000
0,heating,34,2035,2020,resMicroCHPHydrogen,all-year,all-week,night,0.86280000000
0,heating,35,2030,2020,resMicroCHPNG,all-year,all-week,night,0.80530000000
0,heating,35,2035,2020,resMicroCHPNG,all-year,all-week,night,0.86280000000
0,heating,37,2030,2020,resASHeatPump,all-year,all-week,night,0.85320000000
0,heating,37,2035,2020,resASHeatPump,all-year,all-week,night,0.91410000000
0,heating,38,2030,2020,resASHeatPump_solarT,all-year,all-week,night,0.85320000000
0,heating,38,2035,2020,resASHeatPump_solarT,all-year,all-week,night,0.91410000000
0,heating,41,2030,2020,resBoilerBiomass,all-year,all-week,night,0.85320000000
0,heating,41,2035,2020,resBoilerBiomass,all-year,all-week,night,0.91410000000
0,heating,42,2030,2020,resBoilerBiomass_solarT,all-year,all-week,night,0.85320000000
0,heating,42,2035,2020,resBoilerBiomass_solarT,all-year,all-week,night,0.91410000000
0,heating,43,2030,2020,resBoilerElectric,all-year,all-week,night,0.85320000000
0,heating,43,2035,2020,resBoilerElectric,all-year,all-week,night,0.91410000000
0,heating,44,2030,2020,resBoilerElectriciy_solarT,all-year,all-week,night,0.85320000000
0,heating,44,2035,2020,resBoilerElectriciy_solarT,all-year,all-week,night,0.91410000000
0,heating,45,2030,2020,resBoilerHydrogen,all-year,all-week,night,0.85320000000
0,heating,45,2035,2020,resBoilerHydrogen,all-year,all-week,night,0.91410000000
0,heating,46,2030,2020,resBoilerHydrogen_solarT,all-year,all-week,night,0.85320000000
0,heating,46,2035,2020,resBoilerHydrogen_solarT,all-year,all-week,night,0.91410000000
0,heating,47,2030,2020,resBoilerLPG,all-year,all-week,night,0.85320000000
0,heating,47,2035,2020,resBoilerLPG,all-year,all-week,night,0.91410000000
0,heating,48,2030,2020,resBoilerNG,all-year,all-week,night,0.85320000000
0,heating,48,2035,2020,resBoilerNG,all-year,all-week,night,0.91410000000
0,heating,49,2030,2020,resBoilerNG_solarT,all-year,all-week,night,0.85320000000
0,heating,49,2035,2020,resBoilerNG_solarT,all-year,all-week,night,0.91410000000
0,heating,50,2030,2020,resCHPBiomass,all-year,all-week,night,0.85320000000
0,heating,50,2035,2020,resCHPBiomass,all-year,all-week,night,0.91410000000
0,heating,51,2030,2020,resCHPFuelCellHdg,all-year,all-week,night,0.85320000000
0,heating,51,2035,2020,resCHPFuelCellHdg,all-year,all-week,night,0.91410000000
0,heating,52,2030,2020,resCHPHydrogen,all-year,all-week,night,0.85320000000
0,heating,52,2035,2020,resCHPHydrogen,all-year,all-week,night,0.91410000000
0,heating,53,2030,2020,resCHPNG,all-year,all-week,night,0.85320000000
0,heating,53,2035,2020,resCHPNG,all-year,all-week,night,0.91410000000
0,heating,61,2030,2020,resElectricNightStorage,all-year,all-week,night,0.85320000000
0,heating,61,2035,2020,resElectricNightStorage,all-year,all-week,night,0.91410000000
0,heating,62,2030,2020,resElectricResSA,all-year,all-week,night,0.85320000000
0,heating,62,2035,2020,resElectricResSA,all-year,all-week,night,0.91410000000
0,heating,63,2030,2020,resElectricResSA_storage,all-year,all-week,night,0.85320000000
0,heating,63,2035,2020,resElectricResSA_storage,all-year,all-week,night,0.91410000000
0,heating,64,2030,2020,resGSHeatPump,all-year,all-week,night,0.85320000000
0,heating,64,2035,2020,resGSHeatPump,all-year,all-week,night,0.91410000000
0,heating,65,2030,2020,resGSHeatPump_solarT,all-year,all-week,night,0.85320000000
0,heating,65,2035,2020,resGSHeatPump_solarT,all-year,all-week,night,0.91410000000
0,heating,69,2030,2020,resMicroCHPBiomass,all-year,all-week,night,0.85320000000
0,heating,69,2035,2020,resMicroCHPBiomass,all-year,all-week,night,0.91410000000
0,heating,70,2030,2020,resMicroCHPHydrogen,all-year,all-week,night,0.85320000000
0,heating,70,2035,2020,resMicroCHPHydrogen,all-year,all-week,night,0.91410000000
0,heating,71,2030,2020,resMicroCHPNG,all-year,all-week,night,0.85320000000
0,heating,71,2035,2020,resMicroCHPNG,all-year,all-week,night,0.91410000000
0,heating,73,2030,2020,resASHeatPump,all-year,all-week,night,0.30630000000
0,heating,73,2035,2020,resASHeatPump,all-year,all-week,night,0.32820000000
0,heating,74,2030,2020,resASHeatPump_solarT,all-year,all-week,night,0.30630000000
0,heating,74,2035,2020,resASHeatPump_solarT,all-year,all-week,night,0.32820000000
0,heating,77,2030,2020,resBoilerBiomass,all-year,all-week,night,0.30630000000
0,heating,77,2035,2020,resBoilerBiomass,all-year,all-week,night,0.32820000000
0,heating,78,2030,2020,resBoilerBiomass_solarT,all-year,all-week,night,0.30630000000
0,heating,78,2035,2020,resBoilerBiomass_solarT,all-year,all-week,night,0.32820000000
0,heating,79,2030,2020,resBoilerElectric,all-year,all-week,night,0.30630000000
0,heating,79,2035,2020,resBoilerElectric,all-year,all-week,night,0.32820000000
0,heating,80,2030,2020,resBoilerElectriciy_solarT,all-year,all-week,night,0.30630000000
0,heating,80,2035,2020,resBoilerElectriciy_solarT,all-year,all-week,night,0.32820000000
0,heating,81,2030,2020,resBoilerHydrogen,all-year,all-week,night,0.30630000000
0,heating,81,2035,2020,resBoilerHydrogen,all-year,all-week,night,0.32820000000
0,heating,82,2030,2020,resBoilerHydrogen_solarT,all-year,all-week,night,0.30630000000
0,heating,82,2035,2020,resBoilerHydrogen_solarT,all-year,all-week,night,0.32820000000
0,heating,83,2030,2020,resBoilerLPG,all-year,all-week,night,0.30630000000
0,heating,83,2035,2020,resBoilerLPG,all-year,all-week,night,0.32820000000
0,heating,84,2030,2020,resBoilerNG,all-year,all-week,night,0.30630000000
0,heating,84,2035,2020,resBoilerNG,all-year,all-week,night,0.32820000000
0,heating,85,2030,2020,resBoilerNG_solarT,all-year,all-week,night,0.30630000000
0,heating,85,2035,2020,resBoilerNG_solarT,all-year,all-week,night,0.32820000000
0,heating,86,2030,2020,resCHPBiomass,all-year,all-week,night,0.30630000000
0,heating,86,2035,2020,resCHPBiomass,all-year,all-week,night,0.32820000000
0,heating,87,2030,2020,resCHPFuelCellHdg,all-year,all-week,night,0.30630000000
0,heating,87,2035,2020,resCHPFuelCellHdg,all-year,all-week,night,0.32820000000
0,heating,88,2030,2020,resCHPHydrogen,all-year,all-week,night,0.30630000000
0,heating,88,2035,2020,resCHPHydrogen,all-year,all-week,night,0.32820000000
0,heating,89,2030,2020,resCHPNG,all-year,all-week,night,0.30630000000
0,heating,89,2035,2020,resCHPNG,all-year,all-week,night,0.32820000000
0,heating,95,2030,2020,resElectricNightStorage,all-year,all-week,night,0.30630000000
0,heating,95,2035,2020,resElectricNightStorage,all-year,all-week,night,0.32820000000
0,heating,96,2030,2020,resElectricResSA,all-year,all-week,night,0.30630000000
0,heating,96,2035,2020,resElectricResSA,all-year,all-week,night,0.32820000000
0,heating,97,2030,2020,resElectricResSA_storage,all-year,all-week,night,0.30630000000
0,heating,97,2035,2020,resElectricResSA_storage,all-year,all-week,night,0.32820000000
0,heating,98,2030,2020,resGSHeatPump,all-year,all-week,night,0.30630000000
0,heating,98,2035,2020,resGSHeatPump,all-year,all-week,night,0.32820000000
0,heating,99,2030,2020,resGSHeatPump_solarT,all-year,all-week,night,0.30630000000
0,heating,99,2035,2020,resGSHeatPump_solarT,all-year,all-week,night,0.32820000000
0,heating,103,2030,2020,resMicroCHPBiomass,all-year,all-week,night,0.30630000000
0,heating,103,2035,2020,resMicroCHPBiomass,all-year,all-week,night,0.32820000000
0,heating,104,2030,2020,resMicroCHPHydrogen,all-year,all-week,night,0.30630000000
0,heating,104,2035,2020,resMicroCHPHydrogen,all-year,all-week,night,0.32820000000
0,heating,105,2030,2020,resMicroCHPNG,all-year,all-week,night,0.30630000000
0,heating,105,2035,2020,resMicroCHPNG,all-year,all-week,night,0.32820000000
0,heating,107,2030,2020,resASHeatPump,all-year,all-week,night,0.37760000000
0,heating,107,2035,2020,resASHeatPump,all-year,all-week,night,0.40460000000
0,heating,108,2030,2020,resASHeatPump_solarT,all-year,all-week,night,0.37760000000
0,heating,108,2035,2020,resASHeatPump_solarT,all-year,all-week,night,0.40460000000
0,heating,111,2030,2020,resBoilerBiomass,all-year,all-week,night,0.37760000000
0,heating,111,2035,2020,resBoilerBiomass,all-year,all-week,night,0.40460000000
0,heating,112,2030,2020,resBoilerBiomass_solarT,all-year,all-week,night,0.37760000000
0,heating,112,2035,2020,resBoilerBiomass_solarT,all-year,all-week,night,0.40460000000
0,heating,113,2030,2020,resBoilerElectric,all-year,all-week,night,0.37760000000
0,heating,113,2035,2020,resBoilerElectric,all-year,all-week,night,0.40460000000
0,heating,114,2030,2020,resBoilerElectriciy_solarT,all-year,all-week,night,0.37760000000
0,heating,114,2035,2020,resBoilerElectriciy_solarT,all-year,all-week,night,0.40460000000
0,heating,115,2030,2020,resBoilerHydrogen,all-year,all-week,night,0.37760000000
0,heating,115,2035,2020,resBoilerHydrogen,all-year,all-week,night,0.40460000000
0,heating,116,2030,2020,resBoilerHydrogen_solarT,all-year,all-week,night,0.37760000000
0,heating,116,2035,2020,resBoilerHydrogen_solarT,all-year,all-week,night,0.40460000000
0,heating,117,2030,2020,resBoilerLPG,all-year,all-week,night,0.37760000000
0,heating,117,2035,2020,resBoilerLPG,all-year,all-week,night,0.40460000000
0,heating,118,2030,2020,resBoilerNG,all-year,all-week,night,0.37760000000
0,heating,118,2035,2020,resBoilerNG,all-year,all-week,night,0.40460000000
0,heating,119,2030,2020,resBoilerNG_solarT,all-year,all-week,night,0.37760000000
0,heating,119,2035,2020,resBoilerNG_solarT,all-year,all-week,night,0.40460000000
0,heating,120,2030,2020,resCHPBiomass,all-year,all-week,night,0.37760000000
0,heating,120,2035,2020,resCHPBiomass,all-year,all-week,night,0.40460000000
0,heating,121,2030,2020,resCHPFuelCellHdg,all-year,all-week,night,0.37760000000
0,heating,121,2035,2020,resCHPFuelCellHdg,all-year,all-week,night,0.40460000000
0,heating,122,2030,2020,resCHPHydrogen,all-year,all-week,night,0.37760000000
0,heating,122,2035,2020,resCHPHydrogen,all-year,all-week,night,0.40460000000
0,heating,123,2030,2020,resCHPNG,all-year,all-week,night,0.37760000000
0,heating,123,2035,2020,resCHPNG,all-year,all-week,night,0.40460000000
0,heating,129,2030,2020,resElectricNightStorage,all-year,all-week,night,0.37760000000
0,heating,129,2035,2020,resElectricNightStorage,all-year,all-week,night,0.40460000000
0,heating,130,2030,2020,resElectricResSA,all-year,all-week,night,0.37760000000
0,heating,130,2035,2020,resElectricResSA,all-year,all-week,night,0.40460000000
0,heating,131,2030,2020,resElectricResSA_storage,all-year,all-week,night,0.37760000000
0,heating,131,2035,2020,resElectricResSA_storage,all-year,all-week,night,0.40460000000
0,heating,132,2030,2020,resGSHeatPump,all-year,all-week,night,0.37760000000
0,heating,132,2035,2020,resGSHeatPump,all-year,all-week,night,0.40460000000
0,heating,133,2030,2020,resGSHeatPump_solarT,all-year,all-week,night,0.37760000000
0,heating,133,2035,2020,resGSHeatPump_solarT,all-year,all-week,night,0.40460000000
0,heating,137,2030,2020,resMicroCHPBiomass,all-year,all-week,night,0.37760000000
0,heating,137,2035,2020,resMicroCHPBiomass,all-year,all-week,night,0.40460000000
0,heating,138,2030,2020,resMicroCHPHydrogen,all-year,all-week,night,0.37760000000
0,heating,138,2035,2020,resMicroCHPHydrogen,all-year,all-week,night,0.40460000000
0,heating,139,2030,2020,resMicroCHPNG,all-year,all-week,night,0.37760000000
0,heating,139,2035,2020,resMicroCHPNG,all-year,all-week,night,0.40460000000
0,heating,141,2030,2020,resASHeatPump,all-year,all-week,night,0.57670000000
0,heating,141,2035,2020,resASHeatPump,all-year,all-week,night,0.61790000000
0,heating,142,2030,2020,resASHeatPump_solarT,all-year,all-week,night,0.57670000000
0,heating,142,2035,2020,resASHeatPump_solarT,all-year,all-week,night,0.61790000000
0,heating,145,2030,2020,resBoilerBiomass,all-year,all-week,night,0.57670000000
0,heating,145,2035,2020,resBoilerBiomass,all-year,all-week,night,0.61790000000
0,heating,146,2030,2020,resBoilerBiomass_solarT,all-year,all-week,night,0.57670000000
0,heating,146,2035,2020,resBoilerBiomass_solarT,all-year,all-week,night,0.61790000000
0,heating,147,2030,2020,resBoilerElectric,all-year,all-week,night,0.57670000000
0,heating,147,2035,2020,resBoilerElectric,all-year,all-week,night,0.61790000000
0,heating,148,2030,2020,resBoilerElectriciy_solarT,all-year,all-week,night,0.57670000000
0,heating,148,2035,2020,resBoilerElectriciy_solarT,all-year,all-week,night,0.61790000000
0,heating,149,2030,2020,resBoilerHydrogen,all-year,all-week,night,0.57670000000
0,heating,149,2035,2020,resBoilerHydrogen,all-year,all-week,night,0.61790000000
0,heating,150,2030,2020,resBoilerHydrogen_solarT,all-year,all-week,night,0.57670000000
0,heating,150,2035,2020,resBoilerHydrogen_solarT,all-year,all-week,night,0.61790000000
0,heating,151,2030,2020,resBoilerLPG,all-year,all-week,night,0.57670000000
0,heating,151,2035,2020,resBoilerLPG,all-year,all-week,night,0.61790000000
0,heating,152,2030,2020,resBoilerNG,all-year,all-week,night,0.57670000000
0,heating,152,2035,2020,resBoilerNG,all-year,all-week,night,0.61790000000
0,heating,153,2030,2020,resBoilerNG_solarT,all-year,all-week,night,0.57670000000
0,heating,153,2035,2020,resBoilerNG_solarT,all-year,all-week,night,0.61790000000
0,heating,154,2030,2020,resCHPBiomass,all-year,all-week,night,0.57670000000
0,heating,154,2035,2020,resCHPBiomass,all-year,all-week,night,0.61790000000
0,heating,155,2030,2020,resCHPFuelCellHdg,all-year,all-week,night,0.57670000000
0,heating,155,2035,2020,resCHPFuelCellHdg,all-year,all-week,night,0.61790000000
0,heating,156,2030,2020,resCHPHydrogen,all-year,all-week,night,0.57670000000
0,heating,156,2035,2020,resCHPHydrogen,all-year,all-week,night,0.61790000000
0,heating,157,2030,2020,resCHPNG,all-year,all-week,night,0.57670000000
0,heating,157,2035,2020,resCHPNG,all-year,all-week,night,0.61790000000
0,heating,165,2030,2020,resElectricNightStorage,all-year,all-week,night,0.57670000000
0,heating,165,2035,2020,resElectricNightStorage,all-year,all-week,night,0.61790000000
0,heating,166,2030,2020,resElectricResSA,all-year,all-week,night,0.57670000000
0,heating,166,2035,2020,resElectricResSA,all-year,all-week,night,0.61790000000
0,heating,167,2030,2020,resElectricResSA_storage,all-year,all-week,night,0.57670000000
0,heating,167,2035,2020,resElectricResSA_storage,all-year,all-week,night,0.61790000000
0,heating,168,2030,2020,resGSHeatPump,all-year,all-week,night,0.57670000000
0,heating,168,2035,2020,resGSHeatPump,all-year,all-week,night,0.61790000000
0,heating,169,2030,2020,resGSHeatPump_solarT,all-year,all-week,night,0.57670000000
0,heating,169,2035,2020,resGSHeatPump_solarT,all-year,all-week,night,0.61790000000
0,heating,173,2030,2020,resMicroCHPBiomass,all-year,all-week,night,0.57670000000
0,heating,173,2035,2020,resMicroCHPBiomass,all-year,all-week,night,0.61790000000
0,heating,174,2030,2020,resMicroCHPHydrogen,all-year,all-week,night,0.57670000000
0,heating,174,2035,2020,resMicroCHPHydrogen,all-year,all-week,night,0.61790000000
0,heating,175,2030,2020,resMicroCHPNG,all-year,all-week,night,0.57670000000
0,heating,175,2035,2020,resMicroCHPNG,all-year,all-week,night,0.61790000000
0,heating,177,2030,2020,resASHeatPump,all-year,all-week,night,0.71580000000
0,heating,177,2035,2020,resASHeatPump,all-year,all-week,night,0.76690000000
0,heating,178,2030,2020,resASHeatPump_solarT,all-year,all-week,night,0.71580000000
0,heating,178,2035,2020,resASHeatPump_solarT,all-year,all-week,night,0.76690000000
0,heating,181,2030,2020,resBoilerBiomass,all-year,all-week,night,0.71580000000
0,heating,181,2035,2020,resBoilerBiomass,all-year,all-week,night,0.76690000000
0,heating,182,2030,2020,resBoilerBiomass_solarT,all-year,all-week,night,0.71580000000
0,heating,182,2035,2020,resBoilerBiomass_solarT,all-year,all-week,night,0.76690000000
0,heating,183,2030,2020,resBoilerElectric,all-year,all-week,night,0.71580000000
0,heating,183,2035,2020,resBoilerElectric,all-year,all-week,night,0.76690000000
0,heating,184,2030,2020,resBoilerElectriciy_solarT,all-year,all-week,night,0.71580000000
0,heating,184,2035,2020,resBoilerElectriciy_solarT,all-year,all-week,night,0.76690000000
0,heating,185,2030,2020,resBoilerHydrogen,all-year,all-week,night,0.71580000000
0,heating,185,2035,2020,resBoilerHydrogen,all-year,all-week,night,0.76690000000
0,heating,186,2030,2020,resBoilerHydrogen_solarT,all-year,all-week,night,0.71580000000
0,heating,186,2035,2020,resBoilerHydrogen_solarT,all-year,all-week,night,0.76690000000
0,heating,187,2030,2020,resBoilerLPG,all-year,all-week,night,0.71580000000
0,heating,187,2035,2020,resBoilerLPG,all-year,all-week,night,0.76690000000
0,heating,188,2030,2020,resBoilerNG,all-year,all-week,night,0.71580000000
0,heating,188,2035,2020,resBoilerNG,all-year,all-week,night,0.76690000000
0,heating,189,2030,2020,resBoilerNG_solarT,all-year,all-week,night,0.71580000000
0,heating,189,2035,2020,resBoilerNG_solarT,all-year,all-week,night,0.76690000000
0,heating,190,2030,2020,resCHPBiomass,all-year,all-week,night,0.71580000000
0,heating,190,2035,2020,resCHPBiomass,all-year,all-week,night,0.76690000000
0,heating,191,2030,2020,resCHPFuelCellHdg,all-year,all-week,night,0.71580000000
0,heating,191,2035,2020,resCHPFuelCellHdg,all-year,all-week,night,0.76690000000
0,heating,192,2030,2020,resCHPHydrogen,all-year,all-week,night,0.71580000000
0,heating,192,2035,2020,resCHPHydrogen,all-year,all-week,night,0.76690000000
0,heating,193,2030,2020,resCHPNG,all-year,all-week,night,0.71580000000
0,heating,193,2035,2020,resCHPNG,all-year,all-week,night,0.76690000000
0,heating,199,2030,2020,resElectricNightStorage,all-year,all-week,night,0.71580000000
0,heating,199,2035,2020,resElectricNightStorage,all-year,all-week,night,0.76690000000
0,heating,200,2030,2020,resElectricResSA,all-year,all-week,night,0.71580000000
0,heating,200,2035,2020,resElectricResSA,all-year,all-week,night,0.76690000000
0,heating,201,2030,2020,resElectricResSA_storage,all-year,all-week,night,0.71580000000
