timeslice,commodity,asset,year,technology,installed,month,day,hour,supply
0,light,343,2035,resLightingCon,2020,all-year,all-week,night,0.05380000000
0,light,344,2035,resLightingCon,2020,all-year,all-week,night,0.01140000000
0,light,345,2035,resLightingCon,2020,all-year,all-week,night,0.44580000000
0,light,346,2035,resLightingCon,2020,all-year,all-week,night,0.45080000000
0,light,347,2035,resLightingCon,2020,all-year,all-week,night,0.07950000000
0,light,348,2035,resLightingCon,2020,all-year,all-week,night,0.17770000000
0,light,349,2035,resLightingCon,2020,all-year,all-week,night,0.08520000000
0,light,350,2035,resLightingCon,2020,all-year,all-week,night,0.07280000000
0,light,351,2035,resLightingCon,2020,all-year,all-week,night,0.42030000000
0,light,352,2035,resLightingEnergySaving,2020,all-year,all-week,night,0.14110000000
0,light,353,2035,resLightingEnergySaving,2020,all-year,all-week,night,0.02990000000
0,light,354,2035,resLightingEnergySaving,2020,all-year,all-week,night,1.17020000000
0,light,355,2035,resLightingEnergySaving,2020,all-year,all-week,night,1.18340000000
0,light,356,2035,resLightingEnergySaving,2020,all-year,all-week,night,0.20870000000
0,light,357,2035,resLightingEnergySaving,2020,all-year,all-week,night,0.46650000000
0,light,358,2035,resLightingEnergySaving,2020,all-year,all-week,night,0.22360000000
0,light,359,2035,resLightingEnergySaving,2020,all-year,all-week,night,0.19120000000
0,light,360,2035,resLightingEnergySaving,2020,all-year,all-week,night,1.10330000000
0,light,361,2035,resLightingLED,2020,all-year,all-week,night,5.19990000000
0,light,361,2040,resLightingLED,2020,all-year,all-week,night,5.48150000000
0,light,362,2035,resLightingLED,2020,all-year,all-week,night,1.90070000000
0,light,362,2040,resLightingLED,2020,all-year,all-week,night,1.98370000000
0,light,363,2035,resLightingLED,2020,all-year,all-week,night,38.62890000000
0,light,363,2040,resLightingLED,2020,all-year,all-week,night,40.67610000000
0,light,364,2035,resLightingLED,2020,all-year,all-week,night,33.09850000000
0,light,364,2040,resLightingLED,2020,all-year,all-week,night,34.64220000000
0,light,365,2035,resLightingLED,2020,all-year,all-week,night,18.94040000000
0,light,365,2040,resLightingLED,2020,all-year,all-week,night,19.50620000000
0,light,366,2035,resLightingLED,2020,all-year,all-week,night,11.17740000000
0,light,366,2040,resLightingLED,2020,all-year,all-week,night,11.77010000000
0,light,367,2035,resLightingLED,2020,all-year,all-week,night,4.06730000000
0,light,367,2040,resLightingLED,2020,all-year,all-week,night,4.19650000000
0,light,368,2035,resLightingLED,2020,all-year,all-week,night,6.72150000000
0,light,368,2040,resLightingLED,2020,all-year,all-week,night,7.10430000000
0,light,369,2035,resLightingLED,2020,all-year,all-week,night,23.61090000000
0,light,369,2040,resLightingLED,2020,all-year,all-week,night,24.76590000000
0,heating,9,2035,resASHeatPump,2020,all-year,all-week,night,0.86280000000
0,heating,9,2040,resASHeatPump,2020,all-year,all-week,night,0.92030000000
0,heating,10,2035,resASHeatPump,2020,all-year,all-week,night,0.91410000000
0,heating,10,2040,resASHeatPump,2020,all-year,all-week,night,0.97510000000
0,heating,11,2035,resASHeatPump,2020,all-year,all-week,night,0.32820000000
0,heating,11,2040,resASHeatPump,2020,all-year,all-week,night,0.35010000000
0,heating,12,2035,resASHeatPump,2020,all-year,all-week,night,0.40460000000
0,heating,12,2040,resASHeatPump,2020,all-year,all-week,night,0.43150000000
0,heating,13,2035,resASHeatPump,2020,all-year,all-week,night,0.61790000000
0,heating,13,2040,resASHeatPump,2020,all-year,all-week,night,0.65910000000
0,heating,14,2035,resASHeatPump,2020,all-year,all-week,night,0.76690000000
0,heating,14,2040,resASHeatPump,2020,all-year,all-week,night,0.81800000000
0,heating,15,2035,resASHeatPump,2020,all-year,all-week,night,0.87560000000
0,heating,15,2040,resASHeatPump,2020,all-year,all-week,night,0.93400000000
0,heating,16,2035,resASHeatPump,2020,all-year,all-week,night,0.83960000000
0,heating,16,2040,resASHeatPump,2020,all-year,all-week,night,0.89560000000
0,heating,17,2035,resASHeatPump,2020,all-year,all-week,night,0.56270000000
0,heating,17,2040,resASHeatPump,2020,all-year,all-week,night,0.60020000000
0,heating,18,2035,resASHeatPump_solarT,2020,all-year,all-week,night,0.86280000000
0,heating,18,2040,resASHeatPump_solarT,2020,all-year,all-week,night,0.92030000000
0,heating,19,2035,resASHeatPump_solarT,2020,all-year,all-week,night,0.91410000000
0,heating,19,2040,resASHeatPump_solarT,2020,all-year,all-week,night,0.97510000000
0,heating,20,2035,resASHeatPump_solarT,2020,all-year,all-week,night,0.32820000000
0,heating,20,2040,resASHeatPump_solarT,2020,all-year,all-week,night,0.35010000000
0,heating,21,2035,resASHeatPump_solarT,2020,all-year,all-week,night,0.40460000000
0,heating,21,2040,resASHeatPump_solarT,2020,all-year,all-week,night,0.43150000000
0,heating,22,2035,resASHeatPump_solarT,2020,all-year,all-week,night,0.61790000000
0,heating,22,2040,resASHeatPump_solarT,2020,all-year,all-week,night,0.65910000000
0,heating,23,2035,resASHeatPump_solarT,2020,all-year,all-week,night,0.76690000000
0,heating,23,2040,resASHeatPump_solarT,2020,all-year,all-week,night,0.81800000000
0,heating,24,2035,resASHeatPump_solarT,2020,all-year,all-week,night,0.87560000000
0,heating,24,2040,resASHeatPump_solarT,2020,all-year,all-week,night,0.93400000000
0,heating,25,2035,resASHeatPump_solarT,2020,all-year,all-week,night,0.83960000000
0,heating,25,2040,resASHeatPump_solarT,2020,all-year,all-week,night,0.89560000000
0,heating,26,2035,resASHeatPump_solarT,2020,all-year,all-week,night,0.56270000000
0,heating,26,2040,resASHeatPump_solarT,2020,all-year,all-week,night,0.60020000000
0,heating,63,2035,resBoilerBiomass,2020,all-year,all-week,night,0.86280000000
0,heating,63,2040,resBoilerBiomass,2020,all-year,all-week,night,0.92030000000
0,heating,64,2035,resBoilerBiomass,2020,all-year,all-week,night,0.91410000000
0,heating,64,2040,resBoilerBiomass,2020,all-year,all-week,night,0.97510000000
0,heating,65,2035,resBoilerBiomass,2020,all-year,all-week,night,0.32820000000
0,heating,65,2040,resBoilerBiomass,2020,all-year,all-week,night,0.35010000000
0,heating,66,2035,resBoilerBiomass,2020,all-year,all-week,night,0.40460000000
0,heating,66,2040,resBoilerBiomass,2020,all-year,all-week,night,0.43150000000
0,heating,67,2035,resBoilerBiomass,2020,all-year,all-week,night,0.61790000000
0,heating,67,2040,resBoilerBiomass,2020,all-year,all-week,night,0.65910000000
0,heating,68,2035,resBoilerBiomass,2020,all-year,all-week,night,0.76690000000
0,heating,68,2040,resBoilerBiomass,2020,all-year,all-week,night,0.81800000000
0,heating,69,2035,resBoilerBiomass,2020,all-year,all-week,night,0.87560000000
0,heating,69,2040,resBoilerBiomass,2020,all-year,all-week,night,0.93400000000
