ProcessName,RegionName,Unit,2020,2025,2030,2035,2040,2045,2050
agrTraditionalCropping_fruits,Central,Mt,4.11E+05,4.27E+05,4.35E+05,4.44E+05,4.52E+05,4.60E+05,4.72E+05
agrModernCropping_fruits,Central,Mt,2.53E+07,2.63E+07,2.69E+07,2.74E+07,2.79E+07,2.84E+07,2.91E+07
agrTraditionalCropping_vegt,Central,Mt,4.00E+06,4.16E+06,4.24E+06,4.32E+06,4.40E+06,4.48E+06,4.60E+06
agrModernCropping_vegt,Central,Mt,2.46E+08,2.56E+08,2.61E+08,2.66E+08,2.71E+08,2.76E+08,2.83E+08
agrTraditionalCropping_seeds,Central,Mt,1.50E+05,1.56E+05,1.59E+05,1.62E+05,1.65E+05,1.68E+05,1.72E+05
agrModernCropping_seeds,Central,Millons of pieces,9.23E+06,9.60E+06,9.79E+06,9.97E+06,1.02E+07,1.03E+07,1.06E+07
agrTraditionalCropping_plants,Central,Millons of pieces,1.32E+07,1.37E+07,1.39E+07,1.42E+07,1.45E+07,1.47E+07,1.51E+07
agrModernCropping_plants,Central,Mm3/UP,8.11E+08,8.43E+08,8.60E+08,8.76E+08,8.92E+08,9.08E+08,9.33E+08
livestock_meat,Central,Mt/UP,2.28E+05,2.37E+05,2.42E+05,2.47E+05,2.51E+05,2.56E+05,2.63E+05
livestock_milk,Central,Mt/UP,2.11E+05,2.20E+05,2.24E+05,2.28E+05,2.33E+05,2.37E+05,2.43E+05
livestock_other,Central,Mt/UP,1.04E+04,1.08E+04,1.10E+04,1.12E+04,1.14E+04,1.16E+04,1.19E+04
agrTraditionalCropping_fruits,Eastern,Mt,2.17E+06,2.26E+06,2.30E+06,2.35E+06,2.39E+06,2.43E+06,2.50E+06
agrModernCropping_fruits,Eastern,Mt,1.34E+08,1.39E+08,1.42E+08,1.45E+08,1.47E+08,1.50E+08,1.54E+08
agrTraditionalCropping_vegt,Eastern,Mt,2.93E+06,3.05E+06,3.11E+06,3.17E+06,3.22E+06,3.28E+06,3.37E+06
agrModernCropping_vegt,Eastern,Mt,1.81E+08,1.88E+08,1.92E+08,1.95E+08,1.99E+08,2.02E+08,2.08E+08
agrTraditionalCropping_seeds,Eastern,Mt,2.87E+05,2.99E+05,3.05E+05,3.10E+05,3.16E+05,3.22E+05,3.30E+05
agrModernCropping_seeds,Eastern,Millons of pieces,1.77E+07,1.84E+07,1.88E+07,1.91E+07,1.95E+07,1.98E+07,2.04E+07
agrTraditionalCropping_plants,Eastern,Millons of pieces,6.00E+06,6.24E+06,6.36E+06,6.48E+06,6.60E+06,6.72E+06,6.90E+06
agrModernCropping_plants,Eastern,Mm3/UP,3.70E+08,3.85E+08,3.92E+08,4.00E+08,4.07E+08,4.14E+08,4.26E+08
livestock_meat,Eastern,Mt/UP,1.07E+06,1.11E+06,1.13E+06,1.16E+06,1.18E+06,1.20E+06,1.23E+06
livestock_milk,Eastern,Mt/UP,4.38E+05,4.56E+05,4.65E+05,4.73E+05,4.82E+05,4.91E+05,5.04E+05
livestock_other,Eastern,Mt/UP,1.77E+05,1.85E+05,1.88E+05,1.92E+05,1.95E+05,1.99E+05,2.04E+05
agrTraditionalCropping_fruits,Western,Mt,3.29E+06,3.42E+06,3.49E+06,3.55E+06,3.62E+06,3.69E+06,3.78E+06
agrModernCropping_fruits,Western,Mt,2.03E+08,2.11E+08,2.15E+08,2.19E+08,2.23E+08,2.27E+08,2.33E+08
agrTraditionalCropping_vegt,Western,Mt,3.29E+06,3.42E+06,3.49E+06,3.55E+06,3.62E+06,3.69E+06,3.78E+06
agrModernCropping_vegt,Western,Mt,2.03E+08,2.11E+08,2.15E+08,2.19E+08,2.23E+08,2.27E+08,2.33E+08
agrTraditionalCropping_seeds,Western,Mt,6.55E+05,6.81E+05,6.94E+05,7.07E+05,7.20E+05,7.33E+05,7.53E+05
agrModernCropping_seeds,Western,Millons of pieces,4.04E+07,4.20E+07,4.28E+07,4.36E+07,4.44E+07,4.52E+07,4.64E+07
agrTraditionalCropping_plants,Western,Millons of pieces,8.05E+06,8.37E+06,8.54E+06,8.70E+06,8.86E+06,9.02E+06,9.26E+06
agrModernCropping_plants,Western,Mm3/UP,4.97E+08,5.16E+08,5.26E+08,5.36E+08,5.46E+08,5.56E+08,5.71E+08
livestock_meat,Western,Mt/UP,1.63E+06,1.69E+06,1.73E+06,1.76E+06,1.79E+06,1.82E+06,1.87E+06
livestock_milk,Western,Mt/UP,1.14E+06,1.19E+06,1.21E+06,1.23E+06,1.25E+06,1.28E+06,1.31E+06
livestock_other,Western,Mt/UP,6.29E+05,6.54E+05,6.67E+05,6.80E+05,6.92E+05,7.05E+05,7.24E+05
agrTraditionalCropping_fruits,Northwest,Mt,1.62E+06,1.69E+06,1.72E+06,1.75E+06,1.78E+06,1.82E+06,1.86E+06
agrModernCropping_fruits,Northwest,Mt,1.00E+08,1.04E+08,1.06E+08,1.08E+08,1.10E+08,1.12E+08,1.15E+08
agrTraditionalCropping_vegt,Northwest,Mt,3.36E+06,3.49E+06,3.56E+06,3.62E+06,3.69E+06,3.76E+06,3.86E+06
agrModernCropping_vegt,Northwest,Mt,2.07E+08,2.15E+08,2.19E+08,2.23E+08,2.28E+08,2.32E+08,2.38E+08
agrTraditionalCropping_seeds,Northwest,Mt,7.01E+05,7.29E+05,7.43E+05,7.57E+05,7.71E+05,7.85E+05,8.06E+05
agrModernCropping_seeds,Northwest,Millons of pieces,4.32E+07,4.50E+07,4.58E+07,4.67E+07,4.76E+07,4.84E+07,4.97E+07
agrTraditionalCropping_plants,Northwest,Millons of pieces,5.24E+05,5.45E+05,5.55E+05,5.66E+05,5.76E+05,5.87E+05,6.02E+05
agrModernCropping_plants,Northwest,Mm3/UP,3.23E+07,3.36E+07,3.42E+07,3.49E+07,3.55E+07,3.62E+07,3.72E+07
livestock_meat,Northwest,Mt/UP,3.78E+05,3.93E+05,4.01E+05,4.08E+05,4.16E+05,4.23E+05,4.35E+05
livestock_milk,Northwest,Mt/UP,4.62E+04,4.81E+04,4.90E+04,4.99E+04,5.09E+04,5.18E+04,5.32E+04
livestock_other,Northwest,Mt/UP,7.35E+04,7.64E+04,7.79E+04,7.93E+04,8.08E+04,8.23E+04,8.45E+04
agrTraditionalCropping_fruits,North,Mt,6.63E+05,6.89E+05,7.02E+05,7.16E+05,7.29E+05,7.42E+05,7.62E+05
agrModernCropping_fruits,North,Mt,4.09E+07,4.25E+07,4.33E+07,4.41E+07,4.49E+07,4.58E+07,4.70E+07
agrTraditionalCropping_vegt,North,Mt,3.64E+06,3.79E+06,3.86E+06,3.93E+06,4.01E+06,4.08E+06,4.19E+06
agrModernCropping_vegt,North,Mt,2.25E+08,2.34E+08,2.38E+08,2.43E+08,2.47E+08,2.51E+08,2.58E+08
