ProcessName,RegionName,Time,Level,cap_par,cap_exp,fix_par,fix_exp,var_par,var_exp,MaxCapacityAddition,MaxCapacityGrowth,TotalCapacityLimit,TechnicalLife,UtilizationFactor,ScalingSize,efficiency,InterestRate,Type,Fuel,EndUse,Agent2,Agent1
Unit,-,Year,-,MUS$2010/PJ_a,-,MUS$2010/PJ,-,MUS$2010/PJ,-,PJ,%,PJ,Years,-,PJ,%,-,-,-,-,Retrofit,New
procChemCoal_Hardcoal,Central,2020,fixed,1558.826,1,3.897,1,0,1,300,0.98,2701.68,25,0.9,0.1,1,0.1,energy,coal,chemicals,1,0
procChemHFO_HFO,Central,2020,fixed,1558.826,1,3.897,1,0,1,300,0.98,2701.68,25,0.9,0.1,1,0.1,energy,fuel oil,chemicals,1,0
procChemHFO_HFO_CCS,Central,2020,fixed,2307.06248,1,5.76756,1,0,1,300,0.98,2701.68,25,0.9,0.1,1,0.1,energy,fuel oil,chemicals,1,0
procChemNG_Biogas,Central,2020,fixed,10145.263,1,22.76,1,0,1,300,0.98,2701.68,15,0.9,0.1,1,0.1,energy,biogas,chemicals,1,0
procChemNG_Biogas_CCS,Central,2020,fixed,15014.98924,1,33.6848,1,0,1,300,0.98,2701.68,15,0.9,0.1,1,0.1,energy,biogas,chemicals,1,0
procChemNG_NG,Central,2020,fixed,1558.826,1,3.897,1,0,1,300,0.98,2701.68,25,0.9,0.1,1,0.1,energy,gas,chemicals,1,0
procChemNG_NG_CCS,Central,2020,fixed,2307.06248,1,5.76756,1,0,1,300,0.98,2701.68,25,0.9,0.1,1,0.1,energy,gas,chemicals,1,0
procIron_Biogas,Central,2020,fixed,4989.517,1,9.979,1,0,1,300,0.3,2701.68,25,0.9,0.1,1,0.1,energy,biogas,steel,1,0
procIron_Biogas_CCS,Central,2020,fixed,7384.48516,1,14.76892,1,0,1,300,0.3,2701.68,25,0.9,0.1,1,0.1,energy,biogas,steel,1,0
procIron_ForRes,Central,2020,fixed,4989.517,1,9.979,1,0,1,300,0.3,2701.68,25,0.9,0.1,1,0.1,energy,biomass,steel,1,0
procIron_ForRes_CCS,Central,2020,fixed,7384.48516,1,14.76892,1,0,1,300,0.3,2701.68,25,0.9,0.1,1,0.1,energy,biomass,steel,1,0
procIron_Hardcoal,Central,2020,fixed,4989.517,1,9.979,1,0,1,300,0.3,2701.68,25,0.9,0.1,1,0.1,energy,coal,steel,1,0
procIron_HFO,Central,2020,fixed,4989.517,1,9.979,1,0,1,300,0.3,2701.68,25,0.9,0.1,1,0.1,energy,fuel oil,steel,1,0
procIron_HFO_CCS,Central,2020,fixed,7384.48516,1,14.76892,1,0,1,300,0.3,2701.68,25,0.9,0.1,1,0.1,energy,fuel oil,steel,1,0
procIron_LPG,Central,2020,fixed,4989.517,1,9.979,1,0,1,300,0.3,2701.68,25,0.9,0.1,1,0.1,energy,lp_gas,steel,1,0
procIron_LPG_CCS,Central,2020,fixed,7384.48516,1,14.76892,1,0,1,300,0.3,2701.68,25,0.9,0.1,1,0.1,energy,lp_gas,steel,1,0
procIron_NG,Central,2020,fixed,4989.517,1,9.979,1,0,1,300,0.3,2701.68,25,0.9,0.1,1,0.1,energy,gas,steel,1,0
procIron_NG_CCS,Central,2020,fixed,7384.48516,1,14.76892,1,0,1,300,0.3,2701.68,25,0.9,0.1,1,0.1,energy,gas,cement,1,0
procNonmetminDry_Biogas,Central,2020,fixed,11081.26,1,19.468,1,0,1,300,0.3,2701.68,30,0.9,0.1,1,0.1,energy,biogas,cement,1,0
procNonmetminDry_Biogas_CCS,Central,2020,fixed,16400.2648,1,28.81264,1,0,1,300,0.3,2701.68,30,0.9,0.1,1,0.1,energy,biogas,cement,1,0
