asset,year,region,installed,technology,capacity
0,2035,BajaCalif,2020,agrModernCropping_fruits,84200.00000000000
0,2040,BajaCalif,2020,agrModernCropping_fruits,85800.00000000000
0,2044,BajaCalif,2020,agrModernCropping_fruits,86920.00000000000
0,2045,BajaCalif,2020,agrModernCropping_fruits,87200.00000000000
0,2049,BajaCalif,2020,agrModernCropping_fruits,89120.00000000000
0,2050,BajaCalif,2020,agrModernCropping_fruits,89600.00000000000
1,2035,BajaCalif,2020,agrModernCropping_plants,1151800190.79999995232
1,2040,BajaCalif,2020,agrModernCropping_plants,1151800194.59999990463
1,2044,BajaCalif,2020,agrModernCropping_plants,1151800197.79999995232
1,2045,BajaCalif,2020,agrModernCropping_plants,1151800198.59999990463
1,2049,BajaCalif,2020,agrModernCropping_plants,1151800203.40000009537
1,2050,BajaCalif,2020,agrModernCropping_plants,1151800204.59999990463
1,2054,BajaCalif,2020,agrModernCropping_plants,1151799992.59999990463
2,2035,BajaCalif,2020,agrModernCropping_seeds,1757418907.00000000000
2,2040,BajaCalif,2020,agrModernCropping_seeds,1757418929.00000000000
2,2044,BajaCalif,2020,agrModernCropping_seeds,1757418946.59999990463
2,2045,BajaCalif,2020,agrModernCropping_seeds,1757418951.00000000000
2,2049,BajaCalif,2020,agrModernCropping_seeds,1757418976.59999990463
2,2050,BajaCalif,2020,agrModernCropping_seeds,1757418983.00000000000
2,2054,BajaCalif,2020,agrModernCropping_seeds,1757417717.00000000000
3,2035,BajaCalif,2020,agrModernCropping_vegt,2412836162.00000000000
3,2040,BajaCalif,2020,agrModernCropping_vegt,2412836482.00000000000
3,2044,BajaCalif,2020,agrModernCropping_vegt,2412836738.00000000000
3,2045,BajaCalif,2020,agrModernCropping_vegt,2412836802.00000000000
3,2049,BajaCalif,2020,agrModernCropping_vegt,2412837186.00000000000
3,2050,BajaCalif,2020,agrModernCropping_vegt,2412837282.00000000000
3,2054,BajaCalif,2020,agrModernCropping_vegt,2412818702.00000000000
4,2035,BajaCalif,2020,agrTraditionalCropping_fruits,1364.00000000000
4,2040,BajaCalif,2020,agrTraditionalCropping_fruits,1390.00000000000
4,2044,BajaCalif,2020,agrTraditionalCropping_fruits,1410.80000000000
4,2045,BajaCalif,2020,agrTraditionalCropping_fruits,1416.00000000000
4,2049,BajaCalif,2020,agrTraditionalCropping_fruits,1444.80000000000
4,2050,BajaCalif,2020,agrTraditionalCropping_fruits,1452.00000000000
5,2035,BajaCalif,2020,agrTraditionalCropping_plants,13600005.80000000075
5,2040,BajaCalif,2020,agrTraditionalCropping_plants,13600008.59999999963
5,2044,BajaCalif,2020,agrTraditionalCropping_plants,13600011.00000000000
5,2045,BajaCalif,2020,agrTraditionalCropping_plants,160.40000000000
5,2049,BajaCalif,2020,agrTraditionalCropping_plants,163.76000000000
5,2050,BajaCalif,2020,agrTraditionalCropping_plants,164.60000000000
6,2035,BajaCalif,2020,agrTraditionalCropping_seeds,13600000.72000000067
6,2040,BajaCalif,2020,agrTraditionalCropping_seeds,13600001.08000000007
6,2044,BajaCalif,2020,agrTraditionalCropping_seeds,13600001.35199999996
6,2045,BajaCalif,2020,agrTraditionalCropping_seeds,20.00000000000
6,2049,BajaCalif,2020,agrTraditionalCropping_seeds,20.48000000000
6,2050,BajaCalif,2020,agrTraditionalCropping_seeds,20.60000000000
7,2035,BajaCalif,2020,agrTraditionalCropping_vegt,13600012.00000000000
7,2040,BajaCalif,2020,agrTraditionalCropping_vegt,13600016.00000000000
7,2044,BajaCalif,2020,agrTraditionalCropping_vegt,13600020.80000000075
7,2045,BajaCalif,2020,agrTraditionalCropping_vegt,294.00000000000
7,2049,BajaCalif,2020,agrTraditionalCropping_vegt,300.40000000000
