asset,year,technology,region,installed,capacity
0,2040,procChemCoal_Hardcoal,BajaCalif,2020,600000000.00000000000
0,2044,procChemCoal_Hardcoal,BajaCalif,2020,600000000.00000000000
0,2045,procChemCoal_Hardcoal,BajaCalif,2020,600000000.00000000000
0,2049,procChemCoal_Hardcoal,BajaCalif,2020,600000000.00000000000
1,2040,procChemCoal_Hardcoal,BajaCalifSouth,2020,600000000.00000000000
1,2044,procChemCoal_Hardcoal,BajaCalifSouth,2020,600000000.00000000000
1,2045,procChemCoal_Hardcoal,BajaCalifSouth,2020,600000000.00000000000
1,2049,procChemCoal_Hardcoal,BajaCalifSouth,2020,600000000.00000000000
2,2040,procChemCoal_Hardcoal,Central,2020,600000000.00000000000
2,2044,procChemCoal_Hardcoal,Central,2020,600000000.00000000000
2,2045,procChemCoal_Hardcoal,Central,2020,600000000.00000000000
2,2049,procChemCoal_Hardcoal,Central,2020,600000000.00000000000
3,2040,procChemCoal_Hardcoal,Eastern,2020,600000000.00000000000
3,2044,procChemCoal_Hardcoal,Eastern,2020,600000000.00000000000
3,2045,procChemCoal_Hardcoal,Eastern,2020,600000000.00000000000
3,2049,procChemCoal_Hardcoal,Eastern,2020,600000000.00000000000
4,2040,procChemCoal_Hardcoal,North,2020,600000000.00000000000
4,2044,procChemCoal_Hardcoal,North,2020,600000000.00000000000
4,2045,procChemCoal_Hardcoal,North,2020,600000000.00000000000
4,2049,procChemCoal_Hardcoal,North,2020,600000000.00000000000
5,2040,procChemCoal_Hardcoal,North,2030,300000000.00000000000
5,2044,procChemCoal_Hardcoal,North,2030,300000000.00000000000
5,2045,procChemCoal_Hardcoal,North,2030,300000000.00000000000
5,2049,procChemCoal_Hardcoal,North,2030,300000000.00000000000
5,2050,procChemCoal_Hardcoal,North,2030,300000000.00000000000
5,2054,procChemCoal_Hardcoal,North,2030,300000000.00000000000
5,2055,procChemCoal_Hardcoal,North,2030,300000000.00000000000
5,2059,procChemCoal_Hardcoal,North,2030,300000000.00000000000
6,2040,procChemCoal_Hardcoal,Northeast,2020,600000000.00000000000
6,2044,procChemCoal_Hardcoal,Northeast,2020,600000000.00000000000
6,2045,procChemCoal_Hardcoal,Northeast,2020,600000000.00000000000
6,2049,procChemCoal_Hardcoal,Northeast,2020,600000000.00000000000
7,2040,procChemCoal_Hardcoal,Northwest,2020,600000000.00000000000
7,2044,procChemCoal_Hardcoal,Northwest,2020,600000000.00000000000
7,2045,procChemCoal_Hardcoal,Northwest,2020,600000000.00000000000
7,2049,procChemCoal_Hardcoal,Northwest,2020,600000000.00000000000
8,2040,procChemCoal_Hardcoal,Peninsular,2020,600000000.00000000000
8,2044,procChemCoal_Hardcoal,Peninsular,2020,600000000.00000000000
8,2045,procChemCoal_Hardcoal,Peninsular,2020,600000000.00000000000
8,2049,procChemCoal_Hardcoal,Peninsular,2020,600000000.00000000000
9,2040,procChemCoal_Hardcoal,Western,2020,600000000.00000000000
9,2044,procChemCoal_Hardcoal,Western,2020,600000000.00000000000
9,2045,procChemCoal_Hardcoal,Western,2020,600000000.00000000000
9,2049,procChemCoal_Hardcoal,Western,2020,600000000.00000000000
10,2040,procChemFertiliz,BajaCalif,2035,600000000.00000000000
10,2044,procChemFertiliz,BajaCalif,2035,600000000.00000000000
10,2045,procChemFertiliz,BajaCalif,2035,600000000.00000000000
10,2049,procChemFertiliz,BajaCalif,2035,600000000.00000000000
10,2050,procChemFertiliz,BajaCalif,2035,600000000.00000000000
10,2054,procChemFertiliz,BajaCalif,2035,600000000.00000000000
11,2040,procChemFertiliz,BajaCalifSouth,2035,600000000.00000000000
11,2044,procChemFertiliz,BajaCalifSouth,2035,600000000.00000000000
11,2045,procChemFertiliz,BajaCalifSouth,2035,600000000.00000000000
11,2049,procChemFertiliz,BajaCalifSouth,2035,600000000.00000000000
11,2050,procChemFertiliz,BajaCalifSouth,2035,600000000.00000000000
11,2054,procChemFertiliz,BajaCalifSouth,2035,600000000.00000000000
12,2040,procChemFertiliz,Central,2035,600000000.00000000000
12,2044,procChemFertiliz,Central,2035,600000000.00000000000
12,2045,procChemFertiliz,Central,2035,600000000.00000000000
12,2049,procChemFertiliz,Central,2035,600000000.00000000000
12,2050,procChemFertiliz,Central,2035,600000000.00000000000
12,2054,procChemFertiliz,Central,2035,600000000.00000000000
13,2040,procChemFertiliz,Eastern,2035,600000000.00000000000
13,2044,procChemFertiliz,Eastern,2035,600000000.00000000000
13,2045,procChemFertiliz,Eastern,2035,600000000.00000000000
13,2049,procChemFertiliz,Eastern,2035,600000000.00000000000
13,2050,procChemFertiliz,Eastern,2035,600000000.00000000000
13,2054,procChemFertiliz,Eastern,2035,600000000.00000000000
15,2040,procChemFertiliz,North,2030,540302428.12929999828
15,2044,procChemFertiliz,North,2030,540302428.12929999828
15,2045,procChemFertiliz,North,2030,540302428.12929999828
15,2049,procChemFertiliz,North,2030,540302428.12929999828
16,2040,procChemFertiliz,Northeast,2035,600000000.00000000000
16,2044,procChemFertiliz,Northeast,2035,600000000.00000000000
16,2045,procChemFertiliz,Northeast,2035,600000000.00000000000
16,2049,procChemFertiliz,Northeast,2035,600000000.00000000000
16,2050,procChemFertiliz,Northeast,2035,600000000.00000000000
16,2054,procChemFertiliz,Northeast,2035,600000000.00000000000
17,2040,procChemFertiliz,Northwest,2035,600000000.00000000000
17,2044,procChemFertiliz,Northwest,2035,600000000.00000000000
17,2045,procChemFertiliz,Northwest,2035,600000000.00000000000
17,2049,procChemFertiliz,Northwest,2035,600000000.00000000000
17,2050,procChemFertiliz,Northwest,2035,600000000.00000000000
17,2054,procChemFertiliz,Northwest,2035,600000000.00000000000
18,2040,procChemFertiliz,Peninsular,2035,600000000.00000000000
18,2044,procChemFertiliz,Peninsular,2035,600000000.00000000000
