timeslice,commodity,asset,year,installed,technology,month,day,hour,supply
0,cars,5,2025,2020,cars_battery,all-year,all-week,night,4.17320000000
0,cars,5,2030,2020,cars_battery,all-year,all-week,night,4.27860000000
0,cars,6,2025,2020,cars_cng,all-year,all-week,night,4.17320000000
0,cars,6,2030,2020,cars_cng,all-year,all-week,night,4.27860000000
0,cars,7,2025,2020,cars_diesel,all-year,all-week,night,4.17320000000
0,cars,7,2030,2020,cars_diesel,all-year,all-week,night,4.27860000000
0,cars,8,2025,2020,cars_flexiblefuel,all-year,all-week,night,4.17320000000
0,cars,8,2030,2020,cars_flexiblefuel,all-year,all-week,night,4.27860000000
0,cars,9,2025,2020,cars_hybridpetrol,all-year,all-week,night,4.17320000000
0,cars,9,2030,2020,cars_hybridpetrol,all-year,all-week,night,4.27860000000
0,cars,10,2025,2020,cars_hydrogenfc,all-year,all-week,night,4.17320000000
0,cars,10,2030,2020,cars_hydrogenfc,all-year,all-week,night,4.27860000000
0,cars,11,2025,2020,cars_petrol,all-year,all-week,night,4.17320000000
0,cars,11,2030,2020,cars_petrol,all-year,all-week,night,4.27860000000
0,cars,40,2025,2020,cars_battery,all-year,all-week,night,2.50390000000
0,cars,40,2030,2020,cars_battery,all-year,all-week,night,2.56720000000
0,cars,41,2025,2020,cars_cng,all-year,all-week,night,2.50390000000
0,cars,41,2030,2020,cars_cng,all-year,all-week,night,2.56720000000
0,cars,42,2025,2020,cars_diesel,all-year,all-week,night,2.50390000000
0,cars,42,2030,2020,cars_diesel,all-year,all-week,night,2.56720000000
0,cars,43,2025,2020,cars_flexiblefuel,all-year,all-week,night,2.50390000000
0,cars,43,2030,2020,cars_flexiblefuel,all-year,all-week,night,2.56720000000
0,cars,44,2025,2020,cars_hybridpetrol,all-year,all-week,night,2.50390000000
0,cars,44,2030,2020,cars_hybridpetrol,all-year,all-week,night,2.56720000000
0,cars,45,2025,2020,cars_hydrogenfc,all-year,all-week,night,2.50390000000
0,cars,45,2030,2020,cars_hydrogenfc,all-year,all-week,night,2.56720000000
0,cars,46,2025,2020,cars_petrol,all-year,all-week,night,2.50390000000
0,cars,46,2030,2020,cars_petrol,all-year,all-week,night,2.56720000000
0,cars,75,2025,2020,cars_battery,all-year,all-week,night,20.86610000000
0,cars,75,2030,2020,cars_battery,all-year,all-week,night,21.39300000000
0,cars,76,2025,2020,cars_cng,all-year,all-week,night,20.86610000000
0,cars,76,2030,2020,cars_cng,all-year,all-week,night,21.39300000000
0,cars,77,2025,2020,cars_diesel,all-year,all-week,night,20.86610000000
0,cars,77,2030,2020,cars_diesel,all-year,all-week,night,21.39300000000
0,cars,78,2025,2020,cars_flexiblefuel,all-year,all-week,night,20.86610000000
0,cars,78,2030,2020,cars_flexiblefuel,all-year,all-week,night,21.39300000000
0,cars,79,2025,2020,cars_hybridpetrol,all-year,all-week,night,20.86610000000
0,cars,79,2030,2020,cars_hybridpetrol,all-year,all-week,night,21.39300000000
0,cars,80,2025,2020,cars_hydrogenfc,all-year,all-week,night,20.86610000000
0,cars,80,2030,2020,cars_hydrogenfc,all-year,all-week,night,21.39300000000
0,cars,81,2025,2020,cars_petrol,all-year,all-week,night,20.86610000000
0,cars,81,2030,2020,cars_petrol,all-year,all-week,night,21.39300000000
0,cars,110,2025,2020,cars_battery,all-year,all-week,night,8.34640000000
0,cars,110,2030,2020,cars_battery,all-year,all-week,night,8.55720000000
0,cars,111,2025,2020,cars_cng,all-year,all-week,night,8.34640000000
0,cars,111,2030,2020,cars_cng,all-year,all-week,night,8.55720000000
0,cars,112,2025,2020,cars_diesel,all-year,all-week,night,8.34640000000
0,cars,112,2030,2020,cars_diesel,all-year,all-week,night,8.55720000000
0,cars,113,2025,2020,cars_flexiblefuel,all-year,all-week,night,8.34640000000
0,cars,113,2030,2020,cars_flexiblefuel,all-year,all-week,night,8.55720000000
0,cars,114,2025,2020,cars_hybridpetrol,all-year,all-week,night,8.34640000000
0,cars,114,2030,2020,cars_hybridpetrol,all-year,all-week,night,8.55720000000
0,cars,115,2025,2020,cars_hydrogenfc,all-year,all-week,night,8.34640000000
0,cars,115,2030,2020,cars_hydrogenfc,all-year,all-week,night,8.55720000000
0,cars,116,2025,2020,cars_petrol,all-year,all-week,night,8.34640000000
0,cars,116,2030,2020,cars_petrol,all-year,all-week,night,8.55720000000
0,cars,145,2025,2020,cars_battery,all-year,all-week,night,8.34640000000
0,cars,145,2030,2020,cars_battery,all-year,all-week,night,8.55720000000
0,cars,146,2025,2020,cars_cng,all-year,all-week,night,8.34640000000
0,cars,146,2030,2020,cars_cng,all-year,all-week,night,8.55720000000
0,cars,147,2025,2020,cars_diesel,all-year,all-week,night,8.34640000000
0,cars,147,2030,2020,cars_diesel,all-year,all-week,night,8.55720000000
0,cars,148,2025,2020,cars_flexiblefuel,all-year,all-week,night,8.34640000000
0,cars,148,2030,2020,cars_flexiblefuel,all-year,all-week,night,8.55720000000
0,cars,149,2025,2020,cars_hybridpetrol,all-year,all-week,night,8.34640000000
0,cars,149,2030,2020,cars_hybridpetrol,all-year,all-week,night,8.55720000000
0,cars,150,2025,2020,cars_hydrogenfc,all-year,all-week,night,8.34640000000
0,cars,150,2030,2020,cars_hydrogenfc,all-year,all-week,night,8.55720000000
0,cars,151,2025,2020,cars_petrol,all-year,all-week,night,8.34640000000
0,cars,151,2030,2020,cars_petrol,all-year,all-week,night,8.55720000000
0,cars,180,2025,2020,cars_battery,all-year,all-week,night,16.69290000000
0,cars,180,2030,2020,cars_battery,all-year,all-week,night,17.11440000000
0,cars,181,2025,2020,cars_cng,all-year,all-week,night,16.69290000000
0,cars,181,2030,2020,cars_cng,all-year,all-week,night,17.11440000000
0,cars,182,2025,2020,cars_diesel,all-year,all-week,night,16.69290000000
0,cars,182,2030,2020,cars_diesel,all-year,all-week,night,17.11440000000
0,cars,183,2025,2020,cars_flexiblefuel,all-year,all-week,night,16.69290000000
0,cars,183,2030,2020,cars_flexiblefuel,all-year,all-week,night,17.11440000000
0,cars,184,2025,2020,cars_hybridpetrol,all-year,all-week,night,16.69290000000
0,cars,184,2030,2020,cars_hybridpetrol,all-year,all-week,night,17.11440000000
0,cars,185,2025,2020,cars_hydrogenfc,all-year,all-week,night,16.69290000000
0,cars,185,2030,2020,cars_hydrogenfc,all-year,all-week,night,17.11440000000
0,cars,186,2025,2020,cars_petrol,all-year,all-week,night,16.69290000000
0,cars,186,2030,2020,cars_petrol,all-year,all-week,night,17.11440000000
0,cars,215,2025,2020,cars_battery,all-year,all-week,night,12.51970000000
0,cars,215,2030,2020,cars_battery,all-year,all-week,night,12.83580000000
0,cars,216,2025,2020,cars_cng,all-year,all-week,night,12.51970000000
0,cars,216,2030,2020,cars_cng,all-year,all-week,night,12.83580000000
0,cars,217,2025,2020,cars_diesel,all-year,all-week,night,12.51970000000
0,cars,217,2030,2020,cars_diesel,all-year,all-week,night,12.83580000000
0,cars,218,2025,2020,cars_flexiblefuel,all-year,all-week,night,12.51970000000
0,cars,218,2030,2020,cars_flexiblefuel,all-year,all-week,night,12.83580000000
0,cars,219,2025,2020,cars_hybridpetrol,all-year,all-week,night,12.51970000000
0,cars,219,2030,2020,cars_hybridpetrol,all-year,all-week,night,12.83580000000
0,cars,220,2025,2020,cars_hydrogenfc,all-year,all-week,night,12.51970000000
0,cars,220,2030,2020,cars_hydrogenfc,all-year,all-week,night,12.83580000000
0,cars,221,2025,2020,cars_petrol,all-year,all-week,night,12.51970000000
0,cars,221,2030,2020,cars_petrol,all-year,all-week,night,12.83580000000
0,cars,250,2025,2020,cars_battery,all-year,all-week,night,1.66930000000
0,cars,250,2030,2020,cars_battery,all-year,all-week,night,1.71140000000
0,cars,251,2025,2020,cars_cng,all-year,all-week,night,1.66930000000
0,cars,251,2030,2020,cars_cng,all-year,all-week,night,1.71140000000
0,cars,252,2025,2020,cars_diesel,all-year,all-week,night,1.66930000000
0,cars,252,2030,2020,cars_diesel,all-year,all-week,night,1.71140000000
0,cars,253,2025,2020,cars_flexiblefuel,all-year,all-week,night,1.66930000000
0,cars,253,2030,2020,cars_flexiblefuel,all-year,all-week,night,1.71140000000
0,cars,254,2025,2020,cars_hybridpetrol,all-year,all-week,night,1.66930000000
0,cars,254,2030,2020,cars_hybridpetrol,all-year,all-week,night,1.71140000000
0,cars,255,2025,2020,cars_hydrogenfc,all-year,all-week,night,1.66930000000
0,cars,255,2030,2020,cars_hydrogenfc,all-year,all-week,night,1.71140000000
0,cars,256,2025,2020,cars_petrol,all-year,all-week,night,1.66930000000
0,cars,256,2030,2020,cars_petrol,all-year,all-week,night,1.71140000000
0,cars,285,2025,2020,cars_battery,all-year,all-week,night,8.34640000000
0,cars,285,2030,2020,cars_battery,all-year,all-week,night,8.55720000000
0,cars,286,2025,2020,cars_cng,all-year,all-week,night,8.34640000000
0,cars,286,2030,2020,cars_cng,all-year,all-week,night,8.55720000000
0,cars,287,2025,2020,cars_diesel,all-year,all-week,night,8.34640000000
0,cars,287,2030,2020,cars_diesel,all-year,all-week,night,8.55720000000
0,cars,288,2025,2020,cars_flexiblefuel,all-year,all-week,night,8.34640000000
0,cars,288,2030,2020,cars_flexiblefuel,all-year,all-week,night,8.55720000000
0,cars,289,2025,2020,cars_hybridpetrol,all-year,all-week,night,8.34640000000
0,cars,289,2030,2020,cars_hybridpetrol,all-year,all-week,night,8.55720000000
0,cars,290,2025,2020,cars_hydrogenfc,all-year,all-week,night,8.34640000000
0,cars,290,2030,2020,cars_hydrogenfc,all-year,all-week,night,8.55720000000
0,cars,291,2025,2020,cars_petrol,all-year,all-week,night,8.34640000000
0,cars,291,2030,2020,cars_petrol,all-year,all-week,night,8.55720000000
0,buses,0,2025,2020,bus_battery,all-year,all-week,night,4.17320000000
0,buses,0,2030,2020,bus_battery,all-year,all-week,night,4.27860000000
0,buses,1,2025,2020,bus_cng,all-year,all-week,night,4.17320000000
0,buses,1,2030,2020,bus_cng,all-year,all-week,night,4.27860000000
0,buses,2,2025,2020,bus_diesel,all-year,all-week,night,4.17320000000
0,buses,2,2030,2020,bus_diesel,all-year,all-week,night,4.27860000000
0,buses,3,2025,2020,bus_hybriddiesel,all-year,all-week,night,4.17320000000
0,buses,3,2030,2020,bus_hybriddiesel,all-year,all-week,night,4.27860000000
0,buses,4,2025,2020,bus_hybridhydrogenfc,all-year,all-week,night,4.17320000000
0,buses,4,2030,2020,bus_hybridhydrogenfc,all-year,all-week,night,4.27860000000
0,buses,35,2025,2020,bus_battery,all-year,all-week,night,2.50390000000
0,buses,35,2030,2020,bus_battery,all-year,all-week,night,2.56720000000
0,buses,36,2025,2020,bus_cng,all-year,all-week,night,2.50390000000
0,buses,36,2030,2020,bus_cng,all-year,all-week,night,2.56720000000
0,buses,37,2025,2020,bus_diesel,all-year,all-week,night,2.50390000000
0,buses,37,2030,2020,bus_diesel,all-year,all-week,night,2.56720000000
0,buses,38,2025,2020,bus_hybriddiesel,all-year,all-week,night,2.50390000000
0,buses,38,2030,2020,bus_hybriddiesel,all-year,all-week,night,2.56720000000
0,buses,39,2025,2020,bus_hybridhydrogenfc,all-year,all-week,night,2.50390000000
0,buses,39,2030,2020,bus_hybridhydrogenfc,all-year,all-week,night,2.56720000000
0,buses,70,2025,2020,bus_battery,all-year,all-week,night,20.86610000000
0,buses,70,2030,2020,bus_battery,all-year,all-week,night,21.39300000000
0,buses,71,2025,2020,bus_cng,all-year,all-week,night,20.86610000000
0,buses,71,2030,2020,bus_cng,all-year,all-week,night,21.39300000000
0,buses,72,2025,2020,bus_diesel,all-year,all-week,night,20.86610000000
0,buses,72,2030,2020,bus_diesel,all-year,all-week,night,21.39300000000
0,buses,73,2025,2020,bus_hybriddiesel,all-year,all-week,night,20.86610000000
0,buses,73,2030,2020,bus_hybriddiesel,all-year,all-week,night,21.39300000000
0,buses,74,2025,2020,bus_hybridhydrogenfc,all-year,all-week,night,20.86610000000
0,buses,74,2030,2020,bus_hybridhydrogenfc,all-year,all-week,night,21.39300000000
0,buses,105,2025,2020,bus_battery,all-year,all-week,night,8.34640000000
0,buses,105,2030,2020,bus_battery,all-year,all-week,night,8.55720000000
0,buses,106,2025,2020,bus_cng,all-year,all-week,night,8.34640000000
0,buses,106,2030,2020,bus_cng,all-year,all-week,night,8.55720000000
0,buses,107,2025,2020,bus_diesel,all-year,all-week,night,8.34640000000
0,buses,107,2030,2020,bus_diesel,all-year,all-week,night,8.55720000000
0,buses,108,2025,2020,bus_hybriddiesel,all-year,all-week,night,8.34640000000
0,buses,108,2030,2020,bus_hybriddiesel,all-year,all-week,night,8.55720000000
0,buses,109,2025,2020,bus_hybridhydrogenfc,all-year,all-week,night,8.34640000000
0,buses,109,2030,2020,bus_hybridhydrogenfc,all-year,all-week,night,8.55720000000
0,buses,140,2025,2020,bus_battery,all-year,all-week,night,8.34640000000
