ProcessName,RegionName,Time,Level,cap_par,cap_exp,fix_par,fix_exp,var_par,var_exp,MaxCapacityAddition,MaxCapacityGrowth,TotalCapacityLimit,TechnicalLife,UtilizationFactor,ScalingSize,efficiency,InterestRate,Type,Fuel,EndUse,Agent2,Agent1
Unit,-,Year,-,MUS$2010/PJ_a,-,MUS$2010/PJ,-,MUS$2010/PJ,-,PJ,%,PJ,Years,-,PJ,%,-,-,-,-,Retrofit,New
agrTraditionalCropping_fruits,Central,2020,fixed,5.05,1,1.01,1,0,1,4.72E+11,100000,3400000,20,1,0.01,60,0.1,food,diesel,fruits,1,0
agrModernCropping_fruits,Central,2020,fixed,15.15,1,3.03,1,0,1,2.91E+13,100000,603208880.5,30,1,0.01,75,0.1,food,diesel,fruits,1,0
agrTraditionalCropping_vegt,Central,2020,fixed,5.05,1,1.01,1,0,1,4.60E+12,100000,3400000,20,1,0.01,60,0.1,food,diesel,vegt,1,0
agrModernCropping_vegt,Central,2020,fixed,15.15,1,3.03,1,0,1,2.83E+14,100000,603208880.5,30,1,0.01,75,0.1,food,diesel,vegt,1,0
agrTraditionalCropping_seeds,Central,2020,fixed,5.05,1,1.01,1,0,1,1.72E+11,100000,3400000,20,1,0.01,60,0.1,food,diesel,seeds,1,0
agrModernCropping_seeds,Central,2020,fixed,15.15,1,3.03,1,0,1,1.06E+13,100000,603208880.5,30,1,0.01,75,0.1,food,diesel,seeds,1,0
agrTraditionalCropping_plants,Central,2020,fixed,5.05,1,1.01,1,0,1,1.51E+13,100000,3400000,20,1,0.01,60,0.1,food,diesel,plants,1,0
agrModernCropping_plants,Central,2020,fixed,15.15,1,3.03,1,0,1,9.33E+14,100000,603208880.5,30,1,0.01,75,0.1,food,diesel,plants,1,0
livestock_meat,Central,2020,fixed,10.1,1,2.02,1,0,1,2.63E+11,100000,430910639.6,25,1,0.01,90,0.1,food,diesel,livestock,1,0
livestock_milk,Central,2020,fixed,10.1,1,2.02,1,0,1,2.43E+11,100000,430910639.6,25,1,0.01,90,0.1,food,diesel,milk,1,0
livestock_other,Central,2020,fixed,10.1,1,2.02,1,0,1,1.19E+10,100000,430910639.6,25,1,0.01,90,0.1,food,diesel,other_agri,1,0
agrTraditionalCropping_fruits,Eastern,2020,fixed,5.05,1,1.01,1,0,1,2.50E+12,100000,3400000,20,1,0.01,60,0.1,food,diesel,fruits,1,0
agrModernCropping_fruits,Eastern,2020,fixed,15.15,1,3.03,1,0,1,1.54E+14,100000,603208880.5,30,1,0.01,75,0.1,food,diesel,fruits,1,0
agrTraditionalCropping_vegt,Eastern,2020,fixed,5.05,1,1.01,1,0,1,3.37E+12,100000,3400000,20,1,0.01,60,0.1,food,diesel,vegt,1,0
agrModernCropping_vegt,Eastern,2020,fixed,15.15,1,3.03,1,0,1,2.08E+14,100000,603208880.5,30,1,0.01,75,0.1,food,diesel,vegt,1,0
agrTraditionalCropping_seeds,Eastern,2020,fixed,5.05,1,1.01,1,0,1,3.30E+11,100000,3400000,20,1,0.01,60,0.1,food,diesel,seeds,1,0
agrModernCropping_seeds,Eastern,2020,fixed,15.15,1,3.03,1,0,1,2.04E+13,100000,603208880.5,30,1,0.01,75,0.1,food,diesel,seeds,1,0
agrTraditionalCropping_plants,Eastern,2020,fixed,5.05,1,1.01,1,0,1,6.90E+12,100000,3400000,20,1,0.01,60,0.1,food,diesel,plants,1,0
agrModernCropping_plants,Eastern,2020,fixed,15.15,1,3.03,1,0,1,4.26E+14,100000,603208880.5,30,1,0.01,75,0.1,food,diesel,plants,1,0
