SectorName,FunctionType,Coeff,RegionName,electricity,oil,gas,geo,heat,hydrogen,wind,lignite,biomass,water,uranium,solar,coal,diesel,biodiesel,ethanol,steel,cement,chemicals,minerals,paper,glass,sugar,beer,vehicles,construction,beverages,rubber,fertilizers,tobaco,other_ind,cars,buses,psg_rail,psg_air,psg_mar,lorries,cargo_rail,cargo_air,cargo_mar,light,heating,cool,hwater,cook,appl,fruits,vegt,livestock,milk,other_agr,seeds,plants,CO2f,dry_gas,lp_gas,gasoline,kerosene,fuel_oil,asphalt,lubricant,diesel_oil,coke,other_ref,biogas,bioethanol,hydro,tidal,wave,light_com,heating_com,cool_com,hwater_com,cook_com,appl_com,methanol,sfuel,pcoal,naphtha,keroj,hfo,ngl,msw,hardcoal,encrops,agrires,algae,cng,CO2r,CO2c,CO2s,CH4,N2O,F-gases
Residential,log-log,GDPexp,Central,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,0,0,0,0,1.0503,1.0503,0,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,log-log,constant,Central,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,0,0,0,0,-22.374,-22.374,0,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,log-log,GDPexp,Eastern,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,0,0,0,0,1.0503,1.0503,0,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,log-log,constant,Eastern,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,0,0,0,0,-22.374,-22.374,0,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,log-log,GDPexp,Western,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,0,0,0,0,1.0503,1.0503,0,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,log-log,constant,Western,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,0,0,0,0,-22.374,-22.374,0,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,log-log,GDPexp,Northwest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,0,0,0,0,1.0503,1.0503,0,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,log-log,constant,Northwest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,0,0,0,0,-22.374,-22.374,0,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,log-log,GDPexp,North,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,0,0,0,0,1.0503,1.0503,0,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0503,1.0503,1.0503,1.0503,1.0503,1.0503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,log-log,constant,North,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,0,0,0,0,-22.374,-22.374,0,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-22.374,-22.374,-22.374,-22.374,-22.374,-22.374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
