asset,year,technology,region,installed,capacity
0,2035,comAC,BajaCalif,2020,736.59380000000
0,2040,comAC,BajaCalif,2020,0.20000000000
0,2044,comAC,BajaCalif,2020,0.20000000000
0,2045,comAC,BajaCalif,2020,0.20000000000
0,2046,comAC,BajaCalif,2020,0.20000000000
0,2047,comAC,BajaCalif,2020,0.20000000000
0,2050,comAC,BajaCalif,2020,0.20000000000
0,2051,comAC,BajaCalif,2020,0.20000000000
0,2053,comAC,BajaCalif,2020,0.20000000000
0,2054,comAC,BajaCalif,2020,0.20000000000
0,2055,comAC,BajaCalif,2020,0.20000000000
1,2040,comAC,BajaCalif,2035,974.91260000000
1,2044,comAC,BajaCalif,2035,974.91260000000
1,2045,comAC,BajaCalif,2035,974.91260000000
1,2046,comAC,BajaCalif,2035,974.91260000000
1,2047,comAC,BajaCalif,2035,974.91260000000
1,2050,comAC,BajaCalif,2035,974.91260000000
1,2051,comAC,BajaCalif,2035,974.91260000000
1,2053,comAC,BajaCalif,2035,974.91260000000
1,2054,comAC,BajaCalif,2035,974.91260000000
2,2035,comAC,BajaCalifSouth,2020,736.59380000000
2,2040,comAC,BajaCalifSouth,2020,0.20000000000
2,2044,comAC,BajaCalifSouth,2020,0.20000000000
2,2045,comAC,BajaCalifSouth,2020,0.20000000000
2,2046,comAC,BajaCalifSouth,2020,0.20000000000
2,2047,comAC,BajaCalifSouth,2020,0.20000000000
2,2050,comAC,BajaCalifSouth,2020,0.20000000000
2,2051,comAC,BajaCalifSouth,2020,0.20000000000
2,2053,comAC,BajaCalifSouth,2020,0.20000000000
2,2054,comAC,BajaCalifSouth,2020,0.20000000000
2,2055,comAC,BajaCalifSouth,2020,0.20000000000
3,2040,comAC,BajaCalifSouth,2035,974.91260000000
3,2044,comAC,BajaCalifSouth,2035,974.91260000000
3,2045,comAC,BajaCalifSouth,2035,974.91260000000
3,2046,comAC,BajaCalifSouth,2035,974.91260000000
3,2047,comAC,BajaCalifSouth,2035,974.91260000000
3,2050,comAC,BajaCalifSouth,2035,974.91260000000
3,2051,comAC,BajaCalifSouth,2035,974.91260000000
3,2053,comAC,BajaCalifSouth,2035,974.91260000000
3,2054,comAC,BajaCalifSouth,2035,974.91260000000
4,2035,comAC,Central,2020,3926.81250000000
4,2040,comAC,Central,2020,0.20000000000
4,2044,comAC,Central,2020,0.20000000000
4,2045,comAC,Central,2020,0.20000000000
4,2046,comAC,Central,2020,0.20000000000
4,2047,comAC,Central,2020,0.20000000000
4,2050,comAC,Central,2020,0.20000000000
4,2051,comAC,Central,2020,0.20000000000
4,2053,comAC,Central,2020,0.20000000000
4,2054,comAC,Central,2020,0.20000000000
4,2055,comAC,Central,2020,0.20000000000
5,2040,comAC,Central,2035,974.91260000000
5,2044,comAC,Central,2035,974.91260000000
5,2045,comAC,Central,2035,974.91260000000
5,2046,comAC,Central,2035,974.91260000000
5,2047,comAC,Central,2035,974.91260000000
5,2050,comAC,Central,2035,974.91260000000
5,2051,comAC,Central,2035,974.91260000000
5,2053,comAC,Central,2035,974.91260000000
5,2054,comAC,Central,2035,974.91260000000
6,2035,comAC,Eastern,2020,3971.53120000000
6,2040,comAC,Eastern,2020,0.20000000000
6,2044,comAC,Eastern,2020,0.20000000000
6,2045,comAC,Eastern,2020,0.20000000000
6,2046,comAC,Eastern,2020,0.20000000000
6,2047,comAC,Eastern,2020,0.20000000000
6,2050,comAC,Eastern,2020,0.20000000000
6,2051,comAC,Eastern,2020,0.20000000000
6,2053,comAC,Eastern,2020,0.20000000000
6,2054,comAC,Eastern,2020,0.20000000000
6,2055,comAC,Eastern,2020,0.20000000000
7,2040,comAC,Eastern,2035,974.91260000000
7,2044,comAC,Eastern,2035,974.91260000000
7,2045,comAC,Eastern,2035,974.91260000000
7,2046,comAC,Eastern,2035,974.91260000000
7,2047,comAC,Eastern,2035,974.91260000000
7,2050,comAC,Eastern,2035,974.91260000000
7,2051,comAC,Eastern,2035,974.91260000000
7,2053,comAC,Eastern,2035,974.91260000000
7,2054,comAC,Eastern,2035,974.91260000000
8,2035,comAC,North,2020,736.59380000000
8,2040,comAC,North,2020,0.20000000000
8,2044,comAC,North,2020,0.20000000000
8,2045,comAC,North,2020,0.20000000000
8,2046,comAC,North,2020,0.20000000000
8,2047,comAC,North,2020,0.20000000000
8,2050,comAC,North,2020,0.20000000000
8,2051,comAC,North,2020,0.20000000000
8,2053,comAC,North,2020,0.20000000000
8,2054,comAC,North,2020,0.20000000000
8,2055,comAC,North,2020,0.20000000000
9,2040,comAC,North,2035,974.91260000000
9,2044,comAC,North,2035,974.91260000000
9,2045,comAC,North,2035,974.91260000000
9,2046,comAC,North,2035,974.91260000000
9,2047,comAC,North,2035,974.91260000000
9,2050,comAC,North,2035,974.91260000000
9,2051,comAC,North,2035,974.91260000000
9,2053,comAC,North,2035,974.91260000000
9,2054,comAC,North,2035,974.91260000000
10,2035,comAC,Northeast,2020,1565.15620000000
10,2040,comAC,Northeast,2020,0.20000000000
10,2044,comAC,Northeast,2020,0.20000000000
10,2045,comAC,Northeast,2020,0.20000000000
10,2046,comAC,Northeast,2020,0.20000000000
10,2047,comAC,Northeast,2020,0.20000000000
10,2050,comAC,Northeast,2020,0.20000000000
10,2051,comAC,Northeast,2020,0.20000000000
10,2053,comAC,Northeast,2020,0.20000000000
10,2054,comAC,Northeast,2020,0.20000000000
10,2055,comAC,Northeast,2020,0.20000000000
11,2040,comAC,Northeast,2035,974.91260000000
11,2044,comAC,Northeast,2035,974.91260000000
11,2045,comAC,Northeast,2035,974.91260000000
11,2046,comAC,Northeast,2035,974.91260000000
11,2047,comAC,Northeast,2035,974.91260000000
11,2050,comAC,Northeast,2035,974.91260000000
11,2051,comAC,Northeast,2035,974.91260000000
11,2053,comAC,Northeast,2035,974.91260000000
11,2054,comAC,Northeast,2035,974.91260000000
12,2035,comAC,Northwest,2020,750.09380000000
12,2040,comAC,Northwest,2020,0.20000000000
12,2044,comAC,Northwest,2020,0.20000000000
12,2045,comAC,Northwest,2020,0.20000000000
12,2046,comAC,Northwest,2020,0.20000000000
12,2047,comAC,Northwest,2020,0.20000000000
12,2050,comAC,Northwest,2020,0.20000000000
12,2051,comAC,Northwest,2020,0.20000000000
12,2053,comAC,Northwest,2020,0.20000000000
12,2054,comAC,Northwest,2020,0.20000000000
12,2055,comAC,Northwest,2020,0.20000000000
13,2040,comAC,Northwest,2035,974.91260000000
13,2044,comAC,Northwest,2035,974.91260000000
13,2045,comAC,Northwest,2035,974.91260000000
13,2046,comAC,Northwest,2035,974.91260000000
13,2047,comAC,Northwest,2035,974.91260000000
13,2050,comAC,Northwest,2035,974.91260000000
13,2051,comAC,Northwest,2035,974.91260000000
13,2053,comAC,Northwest,2035,974.91260000000
13,2054,comAC,Northwest,2035,974.91260000000
14,2035,comAC,Peninsular,2020,642.09380000000
14,2040,comAC,Peninsular,2020,0.20000000000
14,2044,comAC,Peninsular,2020,0.20000000000
14,2045,comAC,Peninsular,2020,0.20000000000
14,2046,comAC,Peninsular,2020,0.20000000000
14,2047,comAC,Peninsular,2020,0.20000000000
14,2050,comAC,Peninsular,2020,0.20000000000
14,2051,comAC,Peninsular,2020,0.20000000000
14,2053,comAC,Peninsular,2020,0.20000000000
14,2054,comAC,Peninsular,2020,0.20000000000
14,2055,comAC,Peninsular,2020,0.20000000000
15,2040,comAC,Peninsular,2035,974.91260000000
15,2044,comAC,Peninsular,2035,974.91260000000
15,2045,comAC,Peninsular,2035,974.91260000000
15,2046,comAC,Peninsular,2035,974.91260000000
15,2047,comAC,Peninsular,2035,974.91260000000
15,2050,comAC,Peninsular,2035,974.91260000000
15,2051,comAC,Peninsular,2035,974.91260000000
15,2053,comAC,Peninsular,2035,974.91260000000
15,2054,comAC,Peninsular,2035,974.91260000000
16,2035,comAC,Western,2020,3702.37500000000
16,2040,comAC,Western,2020,0.20000000000
16,2044,comAC,Western,2020,0.20000000000
16,2045,comAC,Western,2020,0.20000000000
16,2046,comAC,Western,2020,0.20000000000
16,2047,comAC,Western,2020,0.20000000000
16,2050,comAC,Western,2020,0.20000000000
16,2051,comAC,Western,2020,0.20000000000
16,2053,comAC,Western,2020,0.20000000000
16,2054,comAC,Western,2020,0.20000000000
16,2055,comAC,Western,2020,0.20000000000
17,2040,comAC,Western,2035,974.91260000000
17,2044,comAC,Western,2035,974.91260000000
17,2045,comAC,Western,2035,974.91260000000
17,2046,comAC,Western,2035,974.91260000000
17,2047,comAC,Western,2035,974.91260000000
17,2050,comAC,Western,2035,974.91260000000
17,2051,comAC,Western,2035,974.91260000000
17,2053,comAC,Western,2035,974.91260000000
17,2054,comAC,Western,2035,974.91260000000
18,2040,comACHFC_HC,BajaCalif,2035,200.00000000000
18,2044,comACHFC_HC,BajaCalif,2035,200.00000000000
18,2045,comACHFC_HC,BajaCalif,2035,200.00000000000
18,2046,comACHFC_HC,BajaCalif,2035,200.00000000000
18,2047,comACHFC_HC,BajaCalif,2035,200.00000000000
18,2050,comACHFC_HC,BajaCalif,2035,200.00000000000
18,2051,comACHFC_HC,BajaCalif,2035,200.00000000000
18,2053,comACHFC_HC,BajaCalif,2035,200.00000000000
18,2054,comACHFC_HC,BajaCalif,2035,200.00000000000
18,2055,comACHFC_HC,BajaCalif,2035,200.00000000000
18,2059,comACHFC_HC,BajaCalif,2035,200.00000000000
19,2040,comACHFC_HC,BajaCalifSouth,2035,200.00000000000
19,2044,comACHFC_HC,BajaCalifSouth,2035,200.00000000000
19,2045,comACHFC_HC,BajaCalifSouth,2035,200.00000000000
19,2046,comACHFC_HC,BajaCalifSouth,2035,200.00000000000
19,2047,comACHFC_HC,BajaCalifSouth,2035,200.00000000000
19,2050,comACHFC_HC,BajaCalifSouth,2035,200.00000000000
19,2051,comACHFC_HC,BajaCalifSouth,2035,200.00000000000
19,2053,comACHFC_HC,BajaCalifSouth,2035,200.00000000000
19,2054,comACHFC_HC,BajaCalifSouth,2035,200.00000000000
19,2055,comACHFC_HC,BajaCalifSouth,2035,200.00000000000
19,2059,comACHFC_HC,BajaCalifSouth,2035,200.00000000000
20,2040,comACHFC_HC,Central,2035,200.00000000000
20,2044,comACHFC_HC,Central,2035,200.00000000000
20,2045,comACHFC_HC,Central,2035,200.00000000000
20,2046,comACHFC_HC,Central,2035,200.00000000000
20,2047,comACHFC_HC,Central,2035,200.00000000000
20,2050,comACHFC_HC,Central,2035,200.00000000000
20,2051,comACHFC_HC,Central,2035,200.00000000000
20,2053,comACHFC_HC,Central,2035,200.00000000000
20,2054,comACHFC_HC,Central,2035,200.00000000000
20,2055,comACHFC_HC,Central,2035,200.00000000000
20,2059,comACHFC_HC,Central,2035,200.00000000000
21,2040,comACHFC_HC,Eastern,2035,200.00000000000
21,2044,comACHFC_HC,Eastern,2035,200.00000000000
21,2045,comACHFC_HC,Eastern,2035,200.00000000000
21,2046,comACHFC_HC,Eastern,2035,200.00000000000
21,2047,comACHFC_HC,Eastern,2035,200.00000000000
21,2050,comACHFC_HC,Eastern,2035,200.00000000000
21,2051,comACHFC_HC,Eastern,2035,200.00000000000
21,2053,comACHFC_HC,Eastern,2035,200.00000000000
21,2054,comACHFC_HC,Eastern,2035,200.00000000000
21,2055,comACHFC_HC,Eastern,2035,200.00000000000
21,2059,comACHFC_HC,Eastern,2035,200.00000000000
22,2040,comACHFC_HC,North,2035,200.00000000000
22,2044,comACHFC_HC,North,2035,200.00000000000
22,2045,comACHFC_HC,North,2035,200.00000000000
22,2046,comACHFC_HC,North,2035,200.00000000000
22,2047,comACHFC_HC,North,2035,200.00000000000
22,2050,comACHFC_HC,North,2035,200.00000000000
22,2051,comACHFC_HC,North,2035,200.00000000000
22,2053,comACHFC_HC,North,2035,200.00000000000
22,2054,comACHFC_HC,North,2035,200.00000000000
22,2055,comACHFC_HC,North,2035,200.00000000000
22,2059,comACHFC_HC,North,2035,200.00000000000
23,2040,comACHFC_HC,Northeast,2035,200.00000000000
23,2044,comACHFC_HC,Northeast,2035,200.00000000000
23,2045,comACHFC_HC,Northeast,2035,200.00000000000
23,2046,comACHFC_HC,Northeast,2035,200.00000000000
23,2047,comACHFC_HC,Northeast,2035,200.00000000000
23,2050,comACHFC_HC,Northeast,2035,200.00000000000
23,2051,comACHFC_HC,Northeast,2035,200.00000000000
23,2053,comACHFC_HC,Northeast,2035,200.00000000000
23,2054,comACHFC_HC,Northeast,2035,200.00000000000
23,2055,comACHFC_HC,Northeast,2035,200.00000000000
23,2059,comACHFC_HC,Northeast,2035,200.00000000000
24,2040,comACHFC_HC,Northwest,2035,200.00000000000
24,2044,comACHFC_HC,Northwest,2035,200.00000000000
24,2045,comACHFC_HC,Northwest,2035,200.00000000000
24,2046,comACHFC_HC,Northwest,2035,200.00000000000
24,2047,comACHFC_HC,Northwest,2035,200.00000000000
24,2050,comACHFC_HC,Northwest,2035,200.00000000000
24,2051,comACHFC_HC,Northwest,2035,200.00000000000
24,2053,comACHFC_HC,Northwest,2035,200.00000000000
24,2054,comACHFC_HC,Northwest,2035,200.00000000000
24,2055,comACHFC_HC,Northwest,2035,200.00000000000
24,2059,comACHFC_HC,Northwest,2035,200.00000000000
25,2040,comACHFC_HC,Peninsular,2035,200.00000000000
25,2044,comACHFC_HC,Peninsular,2035,200.00000000000
25,2045,comACHFC_HC,Peninsular,2035,200.00000000000
25,2046,comACHFC_HC,Peninsular,2035,200.00000000000
25,2047,comACHFC_HC,Peninsular,2035,200.00000000000
25,2050,comACHFC_HC,Peninsular,2035,200.00000000000
25,2051,comACHFC_HC,Peninsular,2035,200.00000000000
25,2053,comACHFC_HC,Peninsular,2035,200.00000000000
25,2054,comACHFC_HC,Peninsular,2035,200.00000000000
25,2055,comACHFC_HC,Peninsular,2035,200.00000000000
25,2059,comACHFC_HC,Peninsular,2035,200.00000000000
26,2040,comACHFC_HC,Western,2035,200.00000000000
26,2044,comACHFC_HC,Western,2035,200.00000000000
26,2045,comACHFC_HC,Western,2035,200.00000000000
26,2046,comACHFC_HC,Western,2035,200.00000000000
26,2047,comACHFC_HC,Western,2035,200.00000000000
26,2050,comACHFC_HC,Western,2035,200.00000000000
26,2051,comACHFC_HC,Western,2035,200.00000000000
26,2053,comACHFC_HC,Western,2035,200.00000000000
26,2054,comACHFC_HC,Western,2035,200.00000000000
26,2055,comACHFC_HC,Western,2035,200.00000000000
26,2059,comACHFC_HC,Western,2035,200.00000000000
27,2040,comACHFO_HC,BajaCalif,2035,200.00000000000
27,2044,comACHFO_HC,BajaCalif,2035,200.00000000000
27,2045,comACHFO_HC,BajaCalif,2035,200.00000000000
27,2046,comACHFO_HC,BajaCalif,2035,200.00000000000
27,2047,comACHFO_HC,BajaCalif,2035,200.00000000000
27,2050,comACHFO_HC,BajaCalif,2035,200.00000000000
27,2051,comACHFO_HC,BajaCalif,2035,200.00000000000
27,2053,comACHFO_HC,BajaCalif,2035,200.00000000000
27,2054,comACHFO_HC,BajaCalif,2035,200.00000000000
27,2055,comACHFO_HC,BajaCalif,2035,200.00000000000
27,2059,comACHFO_HC,BajaCalif,2035,200.00000000000
28,2040,comACHFO_HC,BajaCalifSouth,2035,200.00000000000
28,2044,comACHFO_HC,BajaCalifSouth,2035,200.00000000000
28,2045,comACHFO_HC,BajaCalifSouth,2035,200.00000000000
28,2046,comACHFO_HC,BajaCalifSouth,2035,200.00000000000
28,2047,comACHFO_HC,BajaCalifSouth,2035,200.00000000000
28,2050,comACHFO_HC,BajaCalifSouth,2035,200.00000000000
28,2051,comACHFO_HC,BajaCalifSouth,2035,200.00000000000
28,2053,comACHFO_HC,BajaCalifSouth,2035,200.00000000000
28,2054,comACHFO_HC,BajaCalifSouth,2035,200.00000000000
28,2055,comACHFO_HC,BajaCalifSouth,2035,200.00000000000
28,2059,comACHFO_HC,BajaCalifSouth,2035,200.00000000000
29,2040,comACHFO_HC,Central,2035,200.00000000000
29,2044,comACHFO_HC,Central,2035,200.00000000000
29,2045,comACHFO_HC,Central,2035,200.00000000000
29,2046,comACHFO_HC,Central,2035,200.00000000000
29,2047,comACHFO_HC,Central,2035,200.00000000000
29,2050,comACHFO_HC,Central,2035,200.00000000000
29,2051,comACHFO_HC,Central,2035,200.00000000000
29,2053,comACHFO_HC,Central,2035,200.00000000000
29,2054,comACHFO_HC,Central,2035,200.00000000000
29,2055,comACHFO_HC,Central,2035,200.00000000000
29,2059,comACHFO_HC,Central,2035,200.00000000000
30,2040,comACHFO_HC,Eastern,2035,200.00000000000
30,2044,comACHFO_HC,Eastern,2035,200.00000000000
30,2045,comACHFO_HC,Eastern,2035,200.00000000000
30,2046,comACHFO_HC,Eastern,2035,200.00000000000
30,2047,comACHFO_HC,Eastern,2035,200.00000000000
30,2050,comACHFO_HC,Eastern,2035,200.00000000000
30,2051,comACHFO_HC,Eastern,2035,200.00000000000
30,2053,comACHFO_HC,Eastern,2035,200.00000000000
30,2054,comACHFO_HC,Eastern,2035,200.00000000000
30,2055,comACHFO_HC,Eastern,2035,200.00000000000
30,2059,comACHFO_HC,Eastern,2035,200.00000000000
31,2040,comACHFO_HC,North,2035,200.00000000000
31,2044,comACHFO_HC,North,2035,200.00000000000
31,2045,comACHFO_HC,North,2035,200.00000000000
31,2046,comACHFO_HC,North,2035,200.00000000000
31,2047,comACHFO_HC,North,2035,200.00000000000
31,2050,comACHFO_HC,North,2035,200.00000000000
31,2051,comACHFO_HC,North,2035,200.00000000000
31,2053,comACHFO_HC,North,2035,200.00000000000
31,2054,comACHFO_HC,North,2035,200.00000000000
31,2055,comACHFO_HC,North,2035,200.00000000000
31,2059,comACHFO_HC,North,2035,200.00000000000
32,2040,comACHFO_HC,Northeast,2035,200.00000000000
32,2044,comACHFO_HC,Northeast,2035,200.00000000000
32,2045,comACHFO_HC,Northeast,2035,200.00000000000
32,2046,comACHFO_HC,Northeast,2035,200.00000000000
32,2047,comACHFO_HC,Northeast,2035,200.00000000000
32,2050,comACHFO_HC,Northeast,2035,200.00000000000
32,2051,comACHFO_HC,Northeast,2035,200.00000000000
32,2053,comACHFO_HC,Northeast,2035,200.00000000000
32,2054,comACHFO_HC,Northeast,2035,200.00000000000
32,2055,comACHFO_HC,Northeast,2035,200.00000000000
32,2059,comACHFO_HC,Northeast,2035,200.00000000000
33,2040,comACHFO_HC,Northwest,2035,200.00000000000
33,2044,comACHFO_HC,Northwest,2035,200.00000000000
33,2045,comACHFO_HC,Northwest,2035,200.00000000000
33,2046,comACHFO_HC,Northwest,2035,200.00000000000
33,2047,comACHFO_HC,Northwest,2035,200.00000000000
33,2050,comACHFO_HC,Northwest,2035,200.00000000000
33,2051,comACHFO_HC,Northwest,2035,200.00000000000
33,2053,comACHFO_HC,Northwest,2035,200.00000000000
33,2054,comACHFO_HC,Northwest,2035,200.00000000000
33,2055,comACHFO_HC,Northwest,2035,200.00000000000
33,2059,comACHFO_HC,Northwest,2035,200.00000000000
34,2040,comACHFO_HC,Peninsular,2035,200.00000000000
34,2044,comACHFO_HC,Peninsular,2035,200.00000000000
34,2045,comACHFO_HC,Peninsular,2035,200.00000000000
34,2046,comACHFO_HC,Peninsular,2035,200.00000000000
34,2047,comACHFO_HC,Peninsular,2035,200.00000000000
34,2050,comACHFO_HC,Peninsular,2035,200.00000000000
34,2051,comACHFO_HC,Peninsular,2035,200.00000000000
34,2053,comACHFO_HC,Peninsular,2035,200.00000000000
34,2054,comACHFO_HC,Peninsular,2035,200.00000000000
34,2055,comACHFO_HC,Peninsular,2035,200.00000000000
34,2059,comACHFO_HC,Peninsular,2035,200.00000000000
