timeslice,commodity,asset,year,dst_region,technology,installed,month,day,hour,supply
0,electricity,0,2020,BajaCalif,GAS_GT,2020,all-year,all-week,night,21.22390000000
0,electricity,0,2025,BajaCalif,GAS_GT,2020,all-year,all-week,night,15.95720000000
0,electricity,1,2020,BajaCalif,GEOTH,2020,all-year,all-week,night,5.09600000000
0,electricity,1,2025,BajaCalif,GEOTH,2020,all-year,all-week,night,3.83140000000
0,electricity,2,2020,BajaCalif,OIL,2020,all-year,all-week,night,0.01680000000
0,electricity,2,2025,BajaCalif,OIL,2020,all-year,all-week,night,0.01260000000
0,electricity,3,2020,BajaCalif,PV_GND,2020,all-year,all-week,night,0.00950000000
0,electricity,3,2025,BajaCalif,PV_GND,2020,all-year,all-week,night,0.00720000000
0,electricity,4,2020,BajaCalif,WIND_ON,2020,all-year,all-week,night,0.02100000000
0,electricity,4,2025,BajaCalif,WIND_ON,2020,all-year,all-week,night,0.01580000000
0,electricity,5,2020,BajaCalifSouth,GAS_GT,2020,all-year,all-week,night,1.06640000000
0,electricity,5,2025,BajaCalifSouth,GAS_GT,2020,all-year,all-week,night,0.80180000000
0,electricity,6,2020,BajaCalifSouth,OIL,2020,all-year,all-week,night,3.98450000000
0,electricity,6,2025,BajaCalifSouth,OIL,2020,all-year,all-week,night,2.99580000000
0,electricity,7,2020,BajaCalifSouth,PV_GND,2020,all-year,all-week,night,0.11310000000
0,electricity,7,2025,BajaCalifSouth,PV_GND,2020,all-year,all-week,night,0.08510000000
0,electricity,8,2020,BajaCalifSouth,WIND_ON,2020,all-year,all-week,night,0.10490000000
0,electricity,8,2025,BajaCalifSouth,WIND_ON,2020,all-year,all-week,night,0.07880000000
0,electricity,9,2020,Central,BIO,2020,all-year,all-week,night,0.00520000000
0,electricity,9,2025,Central,BIO,2020,all-year,all-week,night,0.00390000000
0,electricity,10,2020,Central,GAS_GT,2020,all-year,all-week,night,39.41850000000
0,electricity,10,2020,Eastern,GAS_GT,2020,all-year,all-week,night,10.68090000000
0,electricity,10,2020,Western,GAS_GT,2020,all-year,all-week,night,12.76830000000
0,electricity,10,2025,Central,GAS_GT,2020,all-year,all-week,night,29.63680000000
0,electricity,10,2025,Eastern,GAS_GT,2020,all-year,all-week,night,8.03040000000
0,electricity,10,2025,Western,GAS_GT,2020,all-year,all-week,night,9.59980000000
0,electricity,12,2020,Central,HYD,2020,all-year,all-week,night,0.76440000000
0,electricity,12,2025,Central,HYD,2020,all-year,all-week,night,0.57470000000
0,electricity,13,2020,Central,OIL,2020,all-year,all-week,night,1.15760000000
0,electricity,13,2025,Central,OIL,2020,all-year,all-week,night,0.87030000000
0,electricity,14,2020,Central,PV_GND,2020,all-year,all-week,night,0.02860000000
0,electricity,14,2025,Central,PV_GND,2020,all-year,all-week,night,0.02150000000
0,electricity,15,2020,Eastern,BIO,2020,all-year,all-week,night,0.86510000000
0,electricity,15,2025,Eastern,BIO,2020,all-year,all-week,night,0.65040000000
0,electricity,17,2020,Eastern,GAS_GT,2020,all-year,all-week,night,42.72340000000
0,electricity,17,2020,Peninsular,GAS_GT,2020,all-year,all-week,night,8.34710000000
0,electricity,17,2025,Eastern,GAS_GT,2020,all-year,all-week,night,32.12150000000
0,electricity,17,2025,Peninsular,GAS_GT,2020,all-year,all-week,night,6.27570000000
0,electricity,18,2020,Eastern,HYD,2020,all-year,all-week,night,63.14330000000
0,electricity,18,2025,Eastern,HYD,2020,all-year,all-week,night,47.47420000000
0,electricity,19,2020,Eastern,NUCL,2020,all-year,all-week,night,15.28800000000
0,electricity,19,2025,Eastern,NUCL,2020,all-year,all-week,night,11.49430000000
0,electricity,20,2020,Eastern,OIL,2020,all-year,all-week,night,2.44940000000
0,electricity,20,2025,Eastern,OIL,2020,all-year,all-week,night,1.84160000000
0,electricity,21,2020,Eastern,WIND_ON,2020,all-year,all-week,night,5.80480000000
0,electricity,21,2025,Eastern,WIND_ON,2020,all-year,all-week,night,4.36440000000
0,electricity,22,2020,North,BIO,2020,all-year,all-week,night,0.04720000000
0,electricity,22,2025,North,BIO,2020,all-year,all-week,night,0.03550000000
0,electricity,24,2020,North,GAS_GT,2020,all-year,all-week,night,41.27760000000
0,electricity,24,2025,North,GAS_GT,2020,all-year,all-week,night,31.03450000000
0,electricity,25,2020,North,HYD,2020,all-year,all-week,night,0.26420000000
0,electricity,25,2025,North,HYD,2020,all-year,all-week,night,0.19870000000
0,electricity,26,2020,North,OIL,2020,all-year,all-week,night,0.96470000000
0,electricity,26,2025,North,OIL,2020,all-year,all-week,night,0.72530000000
0,electricity,27,2020,North,PV_GND,2020,all-year,all-week,night,1.54720000000
0,electricity,27,2025,North,PV_GND,2020,all-year,all-week,night,1.16320000000
0,electricity,28,2020,Northeast,BIO,2020,all-year,all-week,night,0.09960000000
0,electricity,28,2025,Northeast,BIO,2020,all-year,all-week,night,0.07490000000
0,electricity,29,2020,Northeast,COAL,2020,all-year,all-week,night,9.68870000000
0,electricity,29,2025,Northeast,COAL,2020,all-year,all-week,night,7.28440000000
0,electricity,30,2020,Northeast,GAS_GT,2020,all-year,all-week,night,135.50660000000
0,electricity,30,2025,Northeast,GAS_GT,2020,all-year,all-week,night,101.88040000000
0,electricity,31,2020,Northeast,HYD,2020,all-year,all-week,night,1.11360000000
0,electricity,31,2025,Northeast,HYD,2020,all-year,all-week,night,0.83720000000
