asset,year,region,installed,technology,capacity
3,2050,BajaCalif,2045,Proc_Diesel,400000000.00000000000
3,2055,BajaCalif,2045,Proc_Diesel,400000000.00000000000
3,2074,BajaCalif,2045,Proc_Diesel,400000000.00000000000
4,2050,BajaCalif,2045,Proc_ethanol,400000000.00000000000
4,2055,BajaCalif,2045,Proc_ethanol,400000000.00000000000
4,2074,BajaCalif,2045,Proc_ethanol,400000000.00000000000
5,2050,BajaCalif,2045,Proc_hydrogen,400000000.00000000000
5,2055,BajaCalif,2045,Proc_hydrogen,400000000.00000000000
5,2074,BajaCalif,2045,Proc_hydrogen,400000000.00000000000
9,2050,BajaCalifSouth,2045,Proc_Diesel,400000000.00000000000
9,2055,BajaCalifSouth,2045,Proc_Diesel,400000000.00000000000
9,2074,BajaCalifSouth,2045,Proc_Diesel,400000000.00000000000
10,2050,BajaCalifSouth,2045,Proc_ethanol,400000000.00000000000
10,2055,BajaCalifSouth,2045,Proc_ethanol,400000000.00000000000
10,2074,BajaCalifSouth,2045,Proc_ethanol,400000000.00000000000
11,2050,BajaCalifSouth,2045,Proc_hydrogen,400000000.00000000000
11,2055,BajaCalifSouth,2045,Proc_hydrogen,400000000.00000000000
11,2074,BajaCalifSouth,2045,Proc_hydrogen,400000000.00000000000
15,2050,Central,2045,Proc_Diesel,400000000.00000000000
15,2055,Central,2045,Proc_Diesel,400000000.00000000000
15,2074,Central,2045,Proc_Diesel,400000000.00000000000
16,2050,Central,2045,Proc_ethanol,400000000.00000000000
16,2055,Central,2045,Proc_ethanol,400000000.00000000000
16,2074,Central,2045,Proc_ethanol,400000000.00000000000
17,2050,Central,2045,Proc_hydrogen,400000000.00000000000
17,2055,Central,2045,Proc_hydrogen,400000000.00000000000
17,2074,Central,2045,Proc_hydrogen,400000000.00000000000
21,2050,Eastern,2045,Proc_Diesel,400000000.00000000000
21,2055,Eastern,2045,Proc_Diesel,400000000.00000000000
21,2074,Eastern,2045,Proc_Diesel,400000000.00000000000
22,2050,Eastern,2045,Proc_ethanol,400000000.00000000000
22,2055,Eastern,2045,Proc_ethanol,400000000.00000000000
22,2074,Eastern,2045,Proc_ethanol,400000000.00000000000
23,2050,Eastern,2045,Proc_hydrogen,400000000.00000000000
23,2055,Eastern,2045,Proc_hydrogen,400000000.00000000000
23,2074,Eastern,2045,Proc_hydrogen,400000000.00000000000
27,2050,North,2045,Proc_Diesel,400000000.00000000000
27,2055,North,2045,Proc_Diesel,400000000.00000000000
27,2074,North,2045,Proc_Diesel,400000000.00000000000
28,2050,North,2045,Proc_ethanol,400000000.00000000000
28,2055,North,2045,Proc_ethanol,400000000.00000000000
28,2074,North,2045,Proc_ethanol,400000000.00000000000
29,2050,North,2045,Proc_hydrogen,400000000.00000000000
29,2055,North,2045,Proc_hydrogen,400000000.00000000000
29,2074,North,2045,Proc_hydrogen,400000000.00000000000
33,2050,Northeast,2045,Proc_Diesel,400000000.00000000000
33,2055,Northeast,2045,Proc_Diesel,400000000.00000000000
33,2074,Northeast,2045,Proc_Diesel,400000000.00000000000
34,2050,Northeast,2045,Proc_ethanol,400000000.00000000000
34,2055,Northeast,2045,Proc_ethanol,400000000.00000000000
34,2074,Northeast,2045,Proc_ethanol,400000000.00000000000
35,2050,Northeast,2045,Proc_hydrogen,400000000.00000000000
35,2055,Northeast,2045,Proc_hydrogen,400000000.00000000000
35,2074,Northeast,2045,Proc_hydrogen,400000000.00000000000
39,2050,Northwest,2045,Proc_Diesel,400000000.00000000000
39,2055,Northwest,2045,Proc_Diesel,400000000.00000000000
39,2074,Northwest,2045,Proc_Diesel,400000000.00000000000
40,2050,Northwest,2045,Proc_ethanol,400000000.00000000000
40,2055,Northwest,2045,Proc_ethanol,400000000.00000000000
40,2074,Northwest,2045,Proc_ethanol,400000000.00000000000
41,2050,Northwest,2045,Proc_hydrogen,400000000.00000000000
41,2055,Northwest,2045,Proc_hydrogen,400000000.00000000000
41,2074,Northwest,2045,Proc_hydrogen,400000000.00000000000
45,2050,Peninsular,2045,Proc_Diesel,400000000.00000000000
45,2055,Peninsular,2045,Proc_Diesel,400000000.00000000000
45,2074,Peninsular,2045,Proc_Diesel,400000000.00000000000
46,2050,Peninsular,2045,Proc_ethanol,400000000.00000000000
46,2055,Peninsular,2045,Proc_ethanol,400000000.00000000000
46,2074,Peninsular,2045,Proc_ethanol,400000000.00000000000
47,2050,Peninsular,2045,Proc_hydrogen,400000000.00000000000
47,2055,Peninsular,2045,Proc_hydrogen,400000000.00000000000
47,2074,Peninsular,2045,Proc_hydrogen,400000000.00000000000
51,2050,Western,2045,Proc_Diesel,400000000.00000000000
51,2055,Western,2045,Proc_Diesel,400000000.00000000000
51,2074,Western,2045,Proc_Diesel,400000000.00000000000
52,2050,Western,2045,Proc_ethanol,400000000.00000000000
52,2055,Western,2045,Proc_ethanol,400000000.00000000000
52,2074,Western,2045,Proc_ethanol,400000000.00000000000
53,2050,Western,2045,Proc_hydrogen,400000000.00000000000
53,2055,Western,2045,Proc_hydrogen,400000000.00000000000
53,2074,Western,2045,Proc_hydrogen,400000000.00000000000
