asset,year,region,installed,technology,capacity
0,2025,BajaCalif,2020,resAC,1309.50000000000
0,2030,BajaCalif,2020,resAC,982.12500000000
0,2035,BajaCalif,2020,resAC,736.59380000000
0,2040,BajaCalif,2020,resAC,0.20000000000
0,2045,BajaCalif,2020,resAC,0.20000000000
0,2050,BajaCalif,2020,resAC,0.20000000000
0,2055,BajaCalif,2020,resAC,0.20000000000
1,2025,BajaCalif,2020,resAppliancesCon,841.50000000000
1,2030,BajaCalif,2020,resAppliancesCon,631.12500000000
1,2035,BajaCalif,2020,resAppliancesCon,473.34380000000
1,2040,BajaCalif,2020,resAppliancesCon,0.20000000000
1,2045,BajaCalif,2020,resAppliancesCon,0.20000000000
1,2050,BajaCalif,2020,resAppliancesCon,0.20000000000
1,2055,BajaCalif,2020,resAppliancesCon,0.20000000000
2,2025,BajaCalif,2020,resBoilerElectric,405.00000000000
2,2030,BajaCalif,2020,resBoilerElectric,303.75000000000
2,2035,BajaCalif,2020,resBoilerElectric,227.81250000000
2,2040,BajaCalif,2020,resBoilerElectric,0.20000000000
2,2045,BajaCalif,2020,resBoilerElectric,0.20000000000
2,2050,BajaCalif,2020,resBoilerElectric,0.20000000000
2,2055,BajaCalif,2020,resBoilerElectric,0.20000000000
3,2025,BajaCalif,2020,resCookingElec,643.50000000000
3,2030,BajaCalif,2020,resCookingElec,482.62500000000
3,2035,BajaCalif,2020,resCookingElec,361.96880000000
3,2040,BajaCalif,2020,resCookingElec,0.20000000000
3,2045,BajaCalif,2020,resCookingElec,0.20000000000
3,2050,BajaCalif,2020,resCookingElec,0.20000000000
3,2055,BajaCalif,2020,resCookingElec,0.20000000000
4,2025,BajaCalif,2020,resHWaterElec,267.00000000000
4,2030,BajaCalif,2020,resHWaterElec,200.25000000000
4,2035,BajaCalif,2020,resHWaterElec,150.18750000000
4,2040,BajaCalif,2020,resHWaterElec,0.20000000000
4,2045,BajaCalif,2020,resHWaterElec,0.20000000000
4,2050,BajaCalif,2020,resHWaterElec,0.20000000000
4,2055,BajaCalif,2020,resHWaterElec,0.20000000000
5,2025,BajaCalif,2020,resLightingCon,241.50000000000
5,2030,BajaCalif,2020,resLightingCon,181.12500000000
5,2035,BajaCalif,2020,resLightingCon,135.84380000000
5,2040,BajaCalif,2020,resLightingCon,0.20000000000
5,2045,BajaCalif,2020,resLightingCon,0.20000000000
5,2050,BajaCalif,2020,resLightingCon,0.20000000000
5,2055,BajaCalif,2020,resLightingCon,0.20000000000
6,2025,BajaCalif,2020,resLightingEnergySaving,634.50000000000
6,2030,BajaCalif,2020,resLightingEnergySaving,475.87500000000
6,2035,BajaCalif,2020,resLightingEnergySaving,356.90620000000
6,2040,BajaCalif,2020,resLightingEnergySaving,0.20000000000
6,2045,BajaCalif,2020,resLightingEnergySaving,0.20000000000
6,2050,BajaCalif,2020,resLightingEnergySaving,0.20000000000
6,2055,BajaCalif,2020,resLightingEnergySaving,0.20000000000
7,2025,BajaCalif,2020,resLightingLED,766.50000000000
7,2030,BajaCalif,2020,resLightingLED,574.87500000000
7,2035,BajaCalif,2020,resLightingLED,431.15620000000
7,2040,BajaCalif,2020,resLightingLED,0.20000000000
7,2045,BajaCalif,2020,resLightingLED,0.20000000000
7,2050,BajaCalif,2020,resLightingLED,0.20000000000
7,2055,BajaCalif,2020,resLightingLED,0.20000000000
8,2025,BajaCalifSouth,2020,resAC,1309.50000000000
8,2030,BajaCalifSouth,2020,resAC,982.12500000000
8,2035,BajaCalifSouth,2020,resAC,736.59380000000
8,2040,BajaCalifSouth,2020,resAC,0.20000000000
8,2045,BajaCalifSouth,2020,resAC,0.20000000000
8,2050,BajaCalifSouth,2020,resAC,0.20000000000
8,2055,BajaCalifSouth,2020,resAC,0.20000000000
9,2025,BajaCalifSouth,2020,resAppliancesCon,405.00000000000
9,2030,BajaCalifSouth,2020,resAppliancesCon,303.75000000000
9,2035,BajaCalifSouth,2020,resAppliancesCon,227.81250000000
9,2040,BajaCalifSouth,2020,resAppliancesCon,0.20000000000
9,2045,BajaCalifSouth,2020,resAppliancesCon,0.20000000000
9,2050,BajaCalifSouth,2020,resAppliancesCon,0.20000000000
