asset,year,technology,region,installed,capacity
0,2035,bus_battery,BajaCalif,2020,48.68660000000
1,2040,bus_battery,BajaCalif,2035,4243433248.68660020828
1,2045,bus_battery,BajaCalif,2035,4243433248.68660020828
1,2050,bus_battery,BajaCalif,2035,4243433248.68660020828
1,2051,bus_battery,BajaCalif,2035,4243433248.68660020828
1,2052,bus_battery,BajaCalif,2035,4243433248.68660020828
1,2054,bus_battery,BajaCalif,2035,4243433248.68660020828
2,2035,bus_battery,BajaCalifSouth,2020,22.17250000000
3,2040,bus_battery,BajaCalifSouth,2035,4110862306.17250013351
3,2045,bus_battery,BajaCalifSouth,2035,4110862306.17250013351
3,2050,bus_battery,BajaCalifSouth,2035,4110862306.17250013351
3,2051,bus_battery,BajaCalifSouth,2035,4110862306.17250013351
3,2052,bus_battery,BajaCalifSouth,2035,4110862306.17250013351
3,2054,bus_battery,BajaCalifSouth,2035,4110862306.17250013351
4,2035,bus_battery,Central,2020,23.53190000000
5,2040,bus_battery,Central,2035,4117659286.53189992905
5,2045,bus_battery,Central,2035,4117659286.53189992905
5,2050,bus_battery,Central,2035,4117659286.53189992905
5,2051,bus_battery,Central,2035,4117659286.53189992905
5,2052,bus_battery,Central,2035,4117659286.53189992905
5,2054,bus_battery,Central,2035,4117659286.53189992905
6,2035,bus_battery,Eastern,2020,31.71020000000
7,2040,bus_battery,Eastern,2035,4158551015.71019983292
7,2045,bus_battery,Eastern,2035,4158551015.71019983292
7,2050,bus_battery,Eastern,2035,4158551015.71019983292
7,2051,bus_battery,Eastern,2035,4158551015.71019983292
7,2052,bus_battery,Eastern,2035,4158551015.71019983292
7,2054,bus_battery,Eastern,2035,4158551015.71019983292
8,2035,bus_battery,North,2020,27.41220000000
9,2040,bus_battery,North,2035,4137061197.41219997406
9,2045,bus_battery,North,2035,4137061197.41219997406
9,2050,bus_battery,North,2035,4137061197.41219997406
9,2051,bus_battery,North,2035,4137061197.41219997406
9,2052,bus_battery,North,2035,4137061197.41219997406
9,2054,bus_battery,North,2035,4137061197.41219997406
10,2035,bus_battery,Northeast,2020,80.34300000000
11,2040,bus_battery,Northeast,2035,4401715163.34300041199
11,2045,bus_battery,Northeast,2035,4401715163.34300041199
11,2050,bus_battery,Northeast,2035,4401715163.34300041199
11,2051,bus_battery,Northeast,2035,4401715163.34300041199
11,2052,bus_battery,Northeast,2035,4401715163.34300041199
11,2054,bus_battery,Northeast,2035,4401715163.34300041199
12,2035,bus_battery,Northwest,2020,28.51690000000
13,2040,bus_battery,Northwest,2035,4142584731.51690006256
13,2045,bus_battery,Northwest,2035,4142584731.51690006256
13,2050,bus_battery,Northwest,2035,4142584731.51690006256
13,2051,bus_battery,Northwest,2035,4142584731.51690006256
13,2052,bus_battery,Northwest,2035,4142584731.51690006256
13,2054,bus_battery,Northwest,2035,4142584731.51690006256
14,2035,bus_battery,Peninsular,2020,125.21100000000
15,2040,bus_battery,Peninsular,2035,4626054967.21100044250
15,2045,bus_battery,Peninsular,2035,4626054967.21100044250
15,2050,bus_battery,Peninsular,2035,4626054967.21100044250
15,2051,bus_battery,Peninsular,2035,4626054967.21100044250
15,2052,bus_battery,Peninsular,2035,4626054967.21100044250
15,2054,bus_battery,Peninsular,2035,4626054967.21100044250
16,2035,bus_battery,Western,2020,88.83300000000
17,2040,bus_battery,Western,2035,4444165157.83300018311
