ProcessName,RegionName,Time,Central,Eastern,Western,Northwest,North,Northeast,BajaCalif,BajaCalifSouth,Peninsular
Unit,-,Year,PJ/y,PJ/y,PJ/y,PJ/y,PJ/y,PJ/y,PJ/y,PJ/y,PJ/y
BIO,Central,2020,0.031536,0,0,0,0,0,0,0,0
BIO,Eastern,2020,0,5.20344,0,0,0,0,0,0,0
BIO,Western,2020,0,0,1.26144,0,0,0,0,0,0
BIO,Northwest,2020,0,0,0,0,0,0,0,0,0
BIO,North,2020,0,0,0,0,0.283824,0,0,0,0
BIO,Northeast,2020,0,0,0,0,0,0.599184,0,0,0
BIO,BajaCalif,2020,0,0,0,0,0,0,0,0,0
BIO,BajaCalifSouth,2020,0,0,0,0,0,0,0,0,0
BIO,Peninsular,2020,0,0,0,0,0,0,0,0,0
BIO,Central,2025,0.023652,0,0,0,0,0,0,0,0
BIO,Eastern,2025,0,3.90258,0,0,0,0,0,0,0
BIO,Western,2025,0,0,0.94608,0,0,0,0,0,0
BIO,Northwest,2025,0,0,0,0,0,0,0,0,0
BIO,North,2025,0,0,0,0,0.212868,0,0,0,0
BIO,Northeast,2025,0,0,0,0,0,0.449388,0,0,0
BIO,BajaCalif,2025,0,0,0,0,0,0,0,0,0
BIO,BajaCalifSouth,2025,0,0,0,0,0,0,0,0,0
BIO,Peninsular,2025,0,0,0,0,0,0,0,0,0
BIO,Central,2030,0.017739,0,0,0,0,0,0,0,0
BIO,Eastern,2030,0,2.926935,0,0,0,0,0,0,0
BIO,Western,2030,0,0,0.70956,0,0,0,0,0,0
BIO,Northwest,2030,0,0,0,0,0,0,0,0,0
BIO,North,2030,0,0,0,0,0.159651,0,0,0,0
BIO,Northeast,2030,0,0,0,0,0,0.337041,0,0,0
BIO,BajaCalif,2030,0,0,0,0,0,0,0,0,0
BIO,BajaCalifSouth,2030,0,0,0,0,0,0,0,0,0
BIO,Peninsular,2030,0,0,0,0,0,0,0,0,0
BIO,Central,2035,0.01330425,0,0,0,0,0,0,0,0
BIO,Eastern,2035,0,2.19520125,0,0,0,0,0,0,0
BIO,Western,2035,0,0,0.53217,0,0,0,0,0,0
BIO,Northwest,2035,0,0,0,0,0,0,0,0,0
BIO,North,2035,0,0,0,0,0.11973825,0,0,0,0
BIO,Northeast,2035,0,0,0,0,0,0.25278075,0,0,0
BIO,BajaCalif,2035,0,0,0,0,0,0,0,0,0
BIO,BajaCalifSouth,2035,0,0,0,0,0,0,0,0,0
BIO,Peninsular,2035,0,0,0,0,0,0,0,0,0
BIO,Central,2040,0.009978188,0,0,0,0,0,0,0,0
BIO,Eastern,2040,0,1.646400938,0,0,0,0,0,0,0
BIO,Western,2040,0,0,0.3991275,0,0,0,0,0,0
BIO,Northwest,2040,0,0,0,0,0,0,0,0,0
BIO,North,2040,0,0,0,0,0.089803688,0,0,0,0
BIO,Northeast,2040,0,0,0,0,0,0.189585563,0,0,0
BIO,BajaCalif,2040,0,0,0,0,0,0,0,0,0
BIO,BajaCalifSouth,2040,0,0,0,0,0,0,0,0,0
BIO,Peninsular,2040,0,0,0,0,0,0,0,0,0
BIO,Central,2045,0.007483641,0,0,0,0,0,0,0,0
BIO,Eastern,2045,0,1.234800703,0,0,0,0,0,0,0
BIO,Western,2045,0,0,0.299345625,0,0,0,0,0,0
BIO,Northwest,2045,0,0,0,0,0,0,0,0,0
BIO,North,2045,0,0,0,0,0.067352766,0,0,0,0
BIO,Northeast,2045,0,0,0,0,0,0.142189172,0,0,0
BIO,BajaCalif,2045,0,0,0,0,0,0,0,0,0
BIO,BajaCalifSouth,2045,0,0,0,0,0,0,0,0,0
BIO,Peninsular,2045,0,0,0,0,0,0,0,0,0
BIO,Central,2050,0.00561273,0,0,0,0,0,0,0,0
BIO,Eastern,2050,0,0.926100527,0,0,0,0,0,0,0
BIO,Western,2050,0,0,0.224509219,0,0,0,0,0,0
BIO,Northwest,2050,0,0,0,0,0,0,0,0,0
BIO,North,2050,0,0,0,0,0.050514574,0,0,0,0
BIO,Northeast,2050,0,0,0,0,0,0.106641879,0,0,0
BIO,BajaCalif,2050,0,0,0,0,0,0,0,0,0
BIO,BajaCalifSouth,2050,0,0,0,0,0,0,0,0,0
BIO,Peninsular,2050,0,0,0,0,0,0,0,0,0
BIO_CCS,Central,2020,0,0,0,0,0,0,0,0,0
BIO_CCS,Eastern,2020,0,0,0,0,0,0,0,0,0
BIO_CCS,Western,2020,0,0,0,0,0,0,0,0,0
BIO_CCS,Northwest,2020,0,0,0,0,0,0,0,0,0
BIO_CCS,North,2020,0,0,0,0,0,0,0,0,0
BIO_CCS,Northeast,2020,0,0,0,0,0,0,0,0,0
BIO_CCS,BajaCalif,2020,0,0,0,0,0,0,0,0,0
BIO_CCS,BajaCalifSouth,2020,0,0,0,0,0,0,0,0,0
BIO_CCS,Peninsular,2020,0,0,0,0,0,0,0,0,0
BIO_CCS,Central,2025,0,0,0,0,0,0,0,0,0
BIO_CCS,Eastern,2025,0,0,0,0,0,0,0,0,0
BIO_CCS,Western,2025,0,0,0,0,0,0,0,0,0
BIO_CCS,Northwest,2025,0,0,0,0,0,0,0,0,0
BIO_CCS,North,2025,0,0,0,0,0,0,0,0,0
BIO_CCS,Northeast,2025,0,0,0,0,0,0,0,0,0
BIO_CCS,BajaCalif,2025,0,0,0,0,0,0,0,0,0
BIO_CCS,BajaCalifSouth,2025,0,0,0,0,0,0,0,0,0
BIO_CCS,Peninsular,2025,0,0,0,0,0,0,0,0,0
BIO_CCS,Central,2030,0,0,0,0,0,0,0,0,0
BIO_CCS,Eastern,2030,0,0,0,0,0,0,0,0,0
BIO_CCS,Western,2030,0,0,0,0,0,0,0,0,0
BIO_CCS,Northwest,2030,0,0,0,0,0,0,0,0,0
BIO_CCS,North,2030,0,0,0,0,0,0,0,0,0
BIO_CCS,Northeast,2030,0,0,0,0,0,0,0,0,0
BIO_CCS,BajaCalif,2030,0,0,0,0,0,0,0,0,0
BIO_CCS,BajaCalifSouth,2030,0,0,0,0,0,0,0,0,0
BIO_CCS,Peninsular,2030,0,0,0,0,0,0,0,0,0
BIO_CCS,Central,2035,0,0,0,0,0,0,0,0,0
BIO_CCS,Eastern,2035,0,0,0,0,0,0,0,0,0
BIO_CCS,Western,2035,0,0,0,0,0,0,0,0,0
BIO_CCS,Northwest,2035,0,0,0,0,0,0,0,0,0
BIO_CCS,North,2035,0,0,0,0,0,0,0,0,0
BIO_CCS,Northeast,2035,0,0,0,0,0,0,0,0,0
BIO_CCS,BajaCalif,2035,0,0,0,0,0,0,0,0,0
BIO_CCS,BajaCalifSouth,2035,0,0,0,0,0,0,0,0,0
BIO_CCS,Peninsular,2035,0,0,0,0,0,0,0,0,0
BIO_CCS,Central,2040,0,0,0,0,0,0,0,0,0
BIO_CCS,Eastern,2040,0,0,0,0,0,0,0,0,0
BIO_CCS,Western,2040,0,0,0,0,0,0,0,0,0
BIO_CCS,Northwest,2040,0,0,0,0,0,0,0,0,0
BIO_CCS,North,2040,0,0,0,0,0,0,0,0,0
BIO_CCS,Northeast,2040,0,0,0,0,0,0,0,0,0
BIO_CCS,BajaCalif,2040,0,0,0,0,0,0,0,0,0
BIO_CCS,BajaCalifSouth,2040,0,0,0,0,0,0,0,0,0
BIO_CCS,Peninsular,2040,0,0,0,0,0,0,0,0,0
BIO_CCS,Central,2045,0,0,0,0,0,0,0,0,0
BIO_CCS,Eastern,2045,0,0,0,0,0,0,0,0,0
BIO_CCS,Western,2045,0,0,0,0,0,0,0,0,0
BIO_CCS,Northwest,2045,0,0,0,0,0,0,0,0,0
BIO_CCS,North,2045,0,0,0,0,0,0,0,0,0
BIO_CCS,Northeast,2045,0,0,0,0,0,0,0,0,0
BIO_CCS,BajaCalif,2045,0,0,0,0,0,0,0,0,0
BIO_CCS,BajaCalifSouth,2045,0,0,0,0,0,0,0,0,0
