ProcessName,RegionName,Unit,2020,2025,2030,2035,2040,2045,2050
cars_petrol,Central,PJ/y,10900,8162.727772,5441.818515,2720.909257,0,0,0
cars_lpg,Central,PJ/y,80.8910785,60.6683088,40.4455392,20.2227696,0,0,0
cars_hybridpetrol,Central,PJ/y,324.1105149,243.0828862,162.0552574,81.0276287,0,0,0
cars_diesel,Central,PJ/y,978.9416545,734.2062409,489.4708273,244.7354136,0,0,0
cars_hybriddiesel,Central,PJ/y,166.5537423,124.9153067,83.2768712,41.6384356,0,0,0
cars_pluginhybriddiesel,Central,PJ/y,167.1336744,125.3502558,83.5668372,41.7834186,0,0,0
cars_hydrogenfc,Central,PJ/y,0,0,0,0,0,0,0
cars_hybridhydrogenfc,Central,PJ/y,0,0,0,0,0,0,0
cars_pluginhybridhydrogenfc,Central,PJ/y,0,0,0,0,0,0,0
cars_hybridliquidhydrogen,Central,PJ/y,0,0,0,0,0,0,0
cars_cng,Central,PJ/y,0,0,0,0,0,0,0
cars_flexiblefuel,Central,PJ/y,0,0,0,0,0,0,0
cars_battery,Central,PJ/y,335.4353184,251.5764888,167.7176592,83.8588296,0,0,0
bus_diesel,Central,PJ/y,373.2162142,279.9121607,186.6081071,93.3040536,0,0,0
bus_hybriddiesel,Central,PJ/y,47.0176046,35.2632034,23.5088023,11.7544011,0,0,0
bus_battery,Central,PJ/y,47.063705,35.2977788,23.5318525,11.7659263,0,0,0
bus_cng,Central,PJ/y,47.109896,35.332422,23.554948,11.777474,0,0,0
bus_hybridhydrogenfc,Central,PJ/y,0,0,0,0,0,0,0
lightlorry_diesel,Central,PJ/y,377.2494215,282.9370661,188.6247108,94.3123554,0,0,0
lightlorry_petrol,Central,PJ/y,380.2378488,285.1783866,190.1189244,95.0594622,0,0,0
lightlorry_hybridhydrogenfc,Central,PJ/y,0,0,0,0,0,0,0
lightlorry_hybridliquidhydrogen,Central,PJ/y,0,0,0,0,0,0,0
