ProcessName,RegionName,Time,Level,cap_par,cap_exp,fix_par,fix_exp,var_par,var_exp,MaxCapacityAddition,MaxCapacityGrowth,TotalCapacityLimit,TechnicalLife,UtilizationFactor,ScalingSize,efficiency,InterestRate,Type,Fuel,EndUse,Agent2,Agent1
Unit,-,Year,-,MUS$2010/PJ_a,-,MUS$2010/PJ,-,MUS$2010/PJ,-,PJ,%,PJ,Years,-,PJ,%,-,-,-,-,Retrofit,New
passengerjet_kerosene,Central,2020,fixed,153,1,2.85,1,285,0,1000000000,1000000,2000000000,30,0.78,7.4052,70,0.1,energy,kerosene,psg_air,1,0
cars_petrol,Central,2020,fixed,0.104,1,0.0125,1,0,0,1000000000,1000000,2000000000,12,0.08,2.5,70,0.1,energy,gasoline,cars,1,0
cars_lpg,Central,2020,fixed,0.117,1,0.0129,1,0,0,1000000000,1000000,2000000000,12,0.08,2.5,70,0.1,energy,lp_gas,cars,1,0
cars_hybridpetrol,Central,2020,fixed,0.139,1,0.0145,1,0,0,1000000000,1000000,2000000000,12,0.08,2.5,70,0.1,energy,gasoline,cars,1,0
cars_diesel,Central,2020,fixed,0.107,1,0.0127,1,0,0,1000000000,1000000,2000000000,12,0.08,2.5,70,0.1,energy,diesel,cars,1,0
cars_hybriddiesel,Central,2020,fixed,0.141,1,0.0147,1,0,0,1000000000,1000000,2000000000,12,0.08,2.5,70,0.1,energy,diesel,cars,1,0
cars_pluginhybriddiesel,Central,2020,fixed,0.255,1,0.019,1,0,0,1000000000,1000000,2000000000,12,0.08,2.5,70,0.1,energy,diesel,cars,1,0
cars_hydrogenfc,Central,2020,fixed,0.601,1,0.0404,1,0,0,1000000000,1000000,2000000000,12,0.08,2.5,70,0.1,energy,hydrogen,cars,1,0
cars_hybridhydrogenfc,Central,2020,fixed,0.536,1,0.0366,1,0,0,1000000000,1000000,2000000000,12,0.08,2.5,70,0.1,energy,hydrogen,cars,1,0
cars_pluginhybridhydrogenfc,Central,2020,fixed,0.562,1,0.0371,1,0,0,1000000000,1000000,2000000000,12,0.08,2.5,70,0.1,energy,electricity,cars,1,0
cars_hybridliquidhydrogen,Central,2020,fixed,0.149,1,0.0139,1,0,0,1000000000,1000000,2000000000,12,0.08,2.5,70,0.1,energy,hydrogen,cars,1,0
cars_cng,Central,2020,fixed,0.115,1,0.0127,1,0,0,1000000000,1000000,2000000000,12,0.08,2.5,70,0.1,energy,cng,cars,1,0
cars_flexiblefuel,Central,2020,fixed,0.105,1,0.0125,1,0,0,1000000000,1000000,2000000000,12,0.08,2.5,70,0.1,energy,gasoline,cars,1,0
cars_battery,Central,2020,fixed,0.361,1,0.0245,1,0,0,1000000000,1000000,2000000000,12,0.08,2.5,70,0.1,energy,electricity,cars,1,0
bus_diesel,Central,2020,fixed,0.0223,1,0.00197,1,0,0,1000000000,1000000,2000000000,15,0.8,2.5,70,0.1,energy,diesel,buses,1,0
bus_hybriddiesel,Central,2020,fixed,0.0604,1,0.00217,1,0,0,1000000000,1000000,2000000000,15,0.8,2.5,70,0.1,energy,diesel,buses,1,0
bus_battery,Central,2020,fixed,0.0705,1,0.00483,1,0,0,1000000000,1000000,2000000000,15,0.8,2.5,70,0.1,energy,diesel,buses,1,0
bus_cng,Central,2020,fixed,0.0239,1,0.00217,1,0,0,1000000000,1000000,2000000000,15,0.8,2.5,70,0.1,energy,diesel,buses,1,0
bus_hybridhydrogenfc,Central,2020,fixed,0.134,1,0.00241,1,0,0,1000000000,1000000,2000000000,15,0.8,2.5,70,0.1,energy,diesel,buses,1,0
passengertrain_diesel,Central,2020,fixed,29.6,1,0.307,1,30.7,0,1000000000,1000000,2000000000,40,0.55,7.4052,70,0.1,energy,diesel,psg_rail,1,0
passengertrain_electric,Central,2020,fixed,28,1,0.22,1,22,0,1000000000,1000000,2000000000,40,0.55,7.4052,70,0.1,energy,electricity,psg_rail,1,0
passengertrain_hydrogenfc,Central,2020,fixed,37,1,0.773,1,77.3,0,1000000000,1000000,2000000000,40,0.55,7.4052,70,0.1,energy,hydrogen,psg_rail,1,0
passengertrain_addtrackelec,Central,2020,fixed,32.3,1,0.22,1,22,0,1000000000,1000000,2000000000,40,0.55,7.4052,70,0.1,energy,electricity,psg_rail,1,0
freightjet_kerosene,Central,2020,fixed,209,1,4.15,1,415,0,1000000000,1000000,2000000000,30,0.78,7.4052,70,0.1,energy,kerosene,cargo_air,1,0
lightlorry_diesel,Central,2020,fixed,32.9,1,11.4,1,0,0,1000000000,1000000,2000000000,10,0.6,2.5,70,0.1,energy,diesel,lorries,1,0
lightlorry_petrol,Central,2020,fixed,32,1,11.3,1,0,0,1000000000,1000000,2000000000,10,0.6,2.5,70,0.1,energy,gasoline,lorries,1,0
lightlorry_hybridhydrogenfc,Central,2020,fixed,164,1,33,1,0,0,1000000000,1000000,2000000000,10,0.6,2.5,70,0.1,energy,hydrogen,lorries,1,0
lightlorry_hybridliquidhydrogen,Central,2020,fixed,45.7,1,12.5,1,0,0,1000000000,1000000,2000000000,10,0.6,2.5,70,0.1,energy,hydrogen,lorries,1,0
lightlorry_hybridpetrol,Central,2020,fixed,42.5,1,13.1,1,0,0,1000000000,1000000,2000000000,10,0.6,2.5,70,0.1,energy,gasoline,lorries,1,0
lightlorry_pluginhybridpetrol,Central,2020,fixed,71.9,1,18.2,1,0,0,1000000000,1000000,2000000000,10,0.6,2.5,70,0.1,energy,electricity,lorries,1,0
lightlorry_hybriddiesel,Central,2020,fixed,43.4,1,13.2,1,0,0,1000000000,1000000,2000000000,10,0.6,2.5,70,0.1,energy,diesel,lorries,1,0
lightlorry_pluginhybriddiesel,Central,2020,fixed,72.9,1,17.2,1,0,0,1000000000,1000000,2000000000,10,0.6,2.5,70,0.1,energy,electricity,lorries,1,0
lightlorry_cng,Central,2020,fixed,35.2,1,11.5,1,0,0,1000000000,1000000,2000000000,10,0.6,2.5,70,0.1,energy,cng,lorries,1,0
lightlorry_lpg,Central,2020,fixed,35.9,1,11.6,1,0,0,1000000000,1000000,2000000000,10,0.6,2.5,70,0.1,energy,lp_gas,lorries,1,0
heavylorry_diesel,Central,2020,fixed,50.5,1,10.5,1,0,0,1000000000,1000000,2000000000,7,0.6,2.5,70,0.1,energy,diesel,lorries,1,0
heavylorry_hybriddiesel,Central,2020,fixed,133,1,11.5,1,0,0,1000000000,1000000,2000000000,7,0.6,2.5,70,0.1,energy,diesel,lorries,1,0
heavylorry_hybridhydrogenfc,Central,2020,fixed,295,1,12.8,1,0,0,1000000000,1000000,2000000000,7,0.6,2.5,70,0.1,energy,hydrogen,lorries,1,0
heavylorry_cng,Central,2020,fixed,54.1,1,11.5,1,0,0,1000000000,1000000,2000000000,7,0.6,2.5,70,0.1,energy,cng,lorries,1,0
heavylorry_petrol,Central,2020,fixed,50.5,1,10.5,1,0,0,1000000000,1000000,2000000000,7,0.6,2.5,70,0.1,energy,gasoline,lorries,1,0
freighttrain_diesel,Central,2020,fixed,6.68,1,0.0866,1,8.66,0,1000000000,1000000,2000000000,40,0.55,7.4052,70,0.1,energy,diesel,cargo_rail,1,0
freighttrain_electric,Central,2020,fixed,6.13,1,0.0604,1,6.04,0,1000000000,1000000,2000000000,40,0.55,7.4052,70,0.1,energy,electricity,cargo_rail,1,0
freighttrain_hydrogenfc,Central,2020,fixed,11.2,1,0.289,1,28.9,0,1000000000,1000000,2000000000,40,0.55,7.4052,70,0.1,energy,hydrogen,cargo_rail,1,0
freighttrain_addtrackelec,Central,2020,fixed,8.02,1,0.0604,1,6.04,0,1000000000,1000000,2000000000,40,0.55,7.4052,70,0.1,energy,electricity,cargo_rail,1,0
shipping_heavyoil,Central,2020,fixed,6.68,1,0.0866,1,8.66,0,1000000000,1000000,2000000000,40,0.55,7.4052,70,0.1,energy,hfo,cargo_mar,1,0
freighttrain_coal,Central,2020,fixed,6.68,1,0.0866,1,8.66,0,1000000000,1000000,2000000000,40,0.55,7.4052,70,0.1,energy,hardcoal,cargo_rail,1,0
passengerjet_kerosene,Eastern,2020,fixed,153,1,2.85,1,285,0,1000000000,1000000,2000000000,30,0.78,7.4052,70,0.1,energy,kerosene,psg_air,1,0
cars_petrol,Eastern,2020,fixed,0.104,1,0.0125,1,0,0,1000000000,1000000,2000000000,12,0.08,2.5,70,0.1,energy,gasoline,cars,1,0
cars_lpg,Eastern,2020,fixed,0.117,1,0.0129,1,0,0,1000000000,1000000,2000000000,12,0.08,2.5,70,0.1,energy,lp_gas,cars,1,0
cars_hybridpetrol,Eastern,2020,fixed,0.139,1,0.0145,1,0,0,1000000000,1000000,2000000000,12,0.08,2.5,70,0.1,energy,gasoline,cars,1,0
cars_diesel,Eastern,2020,fixed,0.107,1,0.0127,1,0,0,1000000000,1000000,2000000000,12,0.08,2.5,70,0.1,energy,diesel,cars,1,0
cars_hybriddiesel,Eastern,2020,fixed,0.141,1,0.0147,1,0,0,1000000000,1000000,2000000000,12,0.08,2.5,70,0.1,energy,diesel,cars,1,0
cars_pluginhybriddiesel,Eastern,2020,fixed,0.255,1,0.019,1,0,0,1000000000,1000000,2000000000,12,0.08,2.5,70,0.1,energy,diesel,cars,1,0
cars_hydrogenfc,Eastern,2020,fixed,0.601,1,0.0404,1,0,0,1000000000,1000000,2000000000,12,0.08,2.5,70,0.1,energy,hydrogen,cars,1,0
cars_hybridhydrogenfc,Eastern,2020,fixed,0.536,1,0.0366,1,0,0,1000000000,1000000,2000000000,12,0.08,2.5,70,0.1,energy,hydrogen,cars,1,0
cars_pluginhybridhydrogenfc,Eastern,2020,fixed,0.562,1,0.0371,1,0,0,1000000000,1000000,2000000000,12,0.08,2.5,70,0.1,energy,electricity,cars,1,0
cars_hybridliquidhydrogen,Eastern,2020,fixed,0.149,1,0.0139,1,0,0,1000000000,1000000,2000000000,12,0.08,2.5,70,0.1,energy,hydrogen,cars,1,0
cars_cng,Eastern,2020,fixed,0.115,1,0.0127,1,0,0,1000000000,1000000,2000000000,12,0.08,2.5,70,0.1,energy,cng,cars,1,0
cars_flexiblefuel,Eastern,2020,fixed,0.105,1,0.0125,1,0,0,1000000000,1000000,2000000000,12,0.08,2.5,70,0.1,energy,gasoline,cars,1,0
cars_battery,Eastern,2020,fixed,0.361,1,0.0245,1,0,0,1000000000,1000000,2000000000,12,0.08,2.5,70,0.1,energy,electricity,cars,1,0
