timeslice,commodity,asset,year,technology,installed,month,day,hour,supply
0,fruits,22,2040,agr_tec2,2030,all-year,all-week,night,2.96300000000
0,fruits,23,2045,agr_tec2,2040,all-year,all-week,night,3.14810000000
0,fruits,26,2040,agr_tec2,2035,all-year,all-week,night,0.51850000000
0,fruits,26,2045,agr_tec2,2035,all-year,all-week,night,0.55090000000
0,fruits,27,2040,agr_tec2,2030,all-year,all-week,night,9.25930000000
0,fruits,28,2045,agr_tec2,2040,all-year,all-week,night,9.83800000000
0,fruits,29,2040,agr_tec2,2030,all-year,all-week,night,18.37040000000
0,fruits,30,2045,agr_tec2,2040,all-year,all-week,night,19.51850000000
0,fruits,33,2040,agr_tec2,2035,all-year,all-week,night,4.81480000000
0,fruits,33,2045,agr_tec2,2035,all-year,all-week,night,5.11570000000
0,fruits,34,2040,agr_tec2,2030,all-year,all-week,night,22.37040000000
0,fruits,35,2045,agr_tec2,2040,all-year,all-week,night,23.76850000000
0,fruits,38,2040,agr_tec2,2035,all-year,all-week,night,5.70370000000
0,fruits,38,2045,agr_tec2,2035,all-year,all-week,night,6.06020000000
0,fruits,39,2040,agr_tec2,2030,all-year,all-week,night,0.88890000000
0,fruits,40,2045,agr_tec2,2040,all-year,all-week,night,0.94440000000
0,fruits,43,2040,agr_tec2,2035,all-year,all-week,night,9.48150000000
0,fruits,43,2045,agr_tec2,2035,all-year,all-week,night,10.07410000000
0,livestock,0,2040,agr_tec,2030,all-year,all-week,night,0.05930000000
0,livestock,1,2045,agr_tec,2040,all-year,all-week,night,0.06300000000
0,livestock,4,2040,agr_tec,2035,all-year,all-week,night,0.01040000000
0,livestock,4,2045,agr_tec,2035,all-year,all-week,night,0.01100000000
0,livestock,5,2040,agr_tec,2030,all-year,all-week,night,0.18520000000
0,livestock,6,2045,agr_tec,2040,all-year,all-week,night,0.19680000000
0,livestock,7,2040,agr_tec,2030,all-year,all-week,night,0.36740000000
0,livestock,8,2045,agr_tec,2040,all-year,all-week,night,0.39040000000
0,livestock,11,2040,agr_tec,2035,all-year,all-week,night,0.09630000000
0,livestock,11,2045,agr_tec,2035,all-year,all-week,night,0.10230000000
0,livestock,12,2040,agr_tec,2030,all-year,all-week,night,0.44740000000
0,livestock,13,2045,agr_tec,2040,all-year,all-week,night,0.47540000000
0,livestock,16,2040,agr_tec,2035,all-year,all-week,night,0.11410000000
0,livestock,16,2045,agr_tec,2035,all-year,all-week,night,0.12120000000
0,livestock,17,2040,agr_tec,2030,all-year,all-week,night,0.01780000000
0,livestock,18,2045,agr_tec,2040,all-year,all-week,night,0.01890000000
0,livestock,21,2040,agr_tec,2035,all-year,all-week,night,0.18960000000
0,livestock,21,2045,agr_tec,2035,all-year,all-week,night,0.20150000000
1,fruits,22,2040,agr_tec2,2030,all-year,all-week,morning,2.96300000000
1,fruits,23,2045,agr_tec2,2040,all-year,all-week,morning,3.14810000000
1,fruits,26,2040,agr_tec2,2035,all-year,all-week,morning,0.51850000000
1,fruits,26,2045,agr_tec2,2035,all-year,all-week,morning,0.55090000000
1,fruits,27,2040,agr_tec2,2030,all-year,all-week,morning,9.25930000000
1,fruits,28,2045,agr_tec2,2040,all-year,all-week,morning,9.83800000000
1,fruits,29,2040,agr_tec2,2030,all-year,all-week,morning,18.37040000000
1,fruits,30,2045,agr_tec2,2040,all-year,all-week,morning,19.51850000000
1,fruits,33,2040,agr_tec2,2035,all-year,all-week,morning,4.81480000000
1,fruits,33,2045,agr_tec2,2035,all-year,all-week,morning,5.11570000000
1,fruits,34,2040,agr_tec2,2030,all-year,all-week,morning,22.37040000000
1,fruits,35,2045,agr_tec2,2040,all-year,all-week,morning,23.76850000000
1,fruits,38,2040,agr_tec2,2035,all-year,all-week,morning,5.70370000000
1,fruits,38,2045,agr_tec2,2035,all-year,all-week,morning,6.06020000000
1,fruits,39,2040,agr_tec2,2030,all-year,all-week,morning,0.88890000000
1,fruits,40,2045,agr_tec2,2040,all-year,all-week,morning,0.94440000000
1,fruits,43,2040,agr_tec2,2035,all-year,all-week,morning,9.48150000000
1,fruits,43,2045,agr_tec2,2035,all-year,all-week,morning,10.07410000000
1,livestock,0,2040,agr_tec,2030,all-year,all-week,morning,0.05930000000
1,livestock,1,2045,agr_tec,2040,all-year,all-week,morning,0.06300000000
1,livestock,4,2040,agr_tec,2035,all-year,all-week,morning,0.01040000000
1,livestock,4,2045,agr_tec,2035,all-year,all-week,morning,0.01100000000
1,livestock,5,2040,agr_tec,2030,all-year,all-week,morning,0.18520000000
1,livestock,6,2045,agr_tec,2040,all-year,all-week,morning,0.19680000000
1,livestock,7,2040,agr_tec,2030,all-year,all-week,morning,0.36740000000
1,livestock,8,2045,agr_tec,2040,all-year,all-week,morning,0.39040000000
1,livestock,11,2040,agr_tec,2035,all-year,all-week,morning,0.09630000000
1,livestock,11,2045,agr_tec,2035,all-year,all-week,morning,0.10230000000
1,livestock,12,2040,agr_tec,2030,all-year,all-week,morning,0.44740000000
1,livestock,13,2045,agr_tec,2040,all-year,all-week,morning,0.47540000000
1,livestock,16,2040,agr_tec,2035,all-year,all-week,morning,0.11410000000
1,livestock,16,2045,agr_tec,2035,all-year,all-week,morning,0.12120000000
1,livestock,17,2040,agr_tec,2030,all-year,all-week,morning,0.01780000000
1,livestock,18,2045,agr_tec,2040,all-year,all-week,morning,0.01890000000
1,livestock,21,2040,agr_tec,2035,all-year,all-week,morning,0.18960000000
1,livestock,21,2045,agr_tec,2035,all-year,all-week,morning,0.20150000000
2,fruits,22,2040,agr_tec2,2030,all-year,all-week,afternoon,2.96300000000
2,fruits,23,2045,agr_tec2,2040,all-year,all-week,afternoon,3.14810000000
2,fruits,26,2040,agr_tec2,2035,all-year,all-week,afternoon,0.51850000000
2,fruits,26,2045,agr_tec2,2035,all-year,all-week,afternoon,0.55090000000
2,fruits,27,2040,agr_tec2,2030,all-year,all-week,afternoon,9.25930000000
2,fruits,28,2045,agr_tec2,2040,all-year,all-week,afternoon,9.83800000000
2,fruits,29,2040,agr_tec2,2030,all-year,all-week,afternoon,18.37040000000
2,fruits,30,2045,agr_tec2,2040,all-year,all-week,afternoon,19.51850000000
2,fruits,33,2040,agr_tec2,2035,all-year,all-week,afternoon,4.81480000000
2,fruits,33,2045,agr_tec2,2035,all-year,all-week,afternoon,5.11570000000
2,fruits,34,2040,agr_tec2,2030,all-year,all-week,afternoon,22.37040000000
2,fruits,35,2045,agr_tec2,2040,all-year,all-week,afternoon,23.76850000000
2,fruits,38,2040,agr_tec2,2035,all-year,all-week,afternoon,5.70370000000
2,fruits,38,2045,agr_tec2,2035,all-year,all-week,afternoon,6.06020000000
2,fruits,39,2040,agr_tec2,2030,all-year,all-week,afternoon,0.88890000000
2,fruits,40,2045,agr_tec2,2040,all-year,all-week,afternoon,0.94440000000
2,fruits,43,2040,agr_tec2,2035,all-year,all-week,afternoon,9.48150000000
2,fruits,43,2045,agr_tec2,2035,all-year,all-week,afternoon,10.07410000000
2,livestock,0,2040,agr_tec,2030,all-year,all-week,afternoon,0.05930000000
2,livestock,1,2045,agr_tec,2040,all-year,all-week,afternoon,0.06300000000
2,livestock,4,2040,agr_tec,2035,all-year,all-week,afternoon,0.01040000000
2,livestock,4,2045,agr_tec,2035,all-year,all-week,afternoon,0.01100000000
2,livestock,5,2040,agr_tec,2030,all-year,all-week,afternoon,0.18520000000
2,livestock,6,2045,agr_tec,2040,all-year,all-week,afternoon,0.19680000000
2,livestock,7,2040,agr_tec,2030,all-year,all-week,afternoon,0.36740000000
2,livestock,8,2045,agr_tec,2040,all-year,all-week,afternoon,0.39040000000
2,livestock,11,2040,agr_tec,2035,all-year,all-week,afternoon,0.09630000000
2,livestock,11,2045,agr_tec,2035,all-year,all-week,afternoon,0.10230000000
2,livestock,12,2040,agr_tec,2030,all-year,all-week,afternoon,0.44740000000
2,livestock,13,2045,agr_tec,2040,all-year,all-week,afternoon,0.47540000000
2,livestock,16,2040,agr_tec,2035,all-year,all-week,afternoon,0.11410000000
2,livestock,16,2045,agr_tec,2035,all-year,all-week,afternoon,0.12120000000
2,livestock,17,2040,agr_tec,2030,all-year,all-week,afternoon,0.01780000000
2,livestock,18,2045,agr_tec,2040,all-year,all-week,afternoon,0.01890000000
2,livestock,21,2040,agr_tec,2035,all-year,all-week,afternoon,0.18960000000
2,livestock,21,2045,agr_tec,2035,all-year,all-week,afternoon,0.20150000000
3,fruits,22,2040,agr_tec2,2030,all-year,all-week,early-peak,2.96300000000
3,fruits,23,2045,agr_tec2,2040,all-year,all-week,early-peak,3.14810000000
3,fruits,26,2040,agr_tec2,2035,all-year,all-week,early-peak,0.51850000000
3,fruits,26,2045,agr_tec2,2035,all-year,all-week,early-peak,0.55090000000
3,fruits,27,2040,agr_tec2,2030,all-year,all-week,early-peak,9.25930000000
3,fruits,28,2045,agr_tec2,2040,all-year,all-week,early-peak,9.83800000000
3,fruits,29,2040,agr_tec2,2030,all-year,all-week,early-peak,18.37040000000
3,fruits,30,2045,agr_tec2,2040,all-year,all-week,early-peak,19.51850000000
3,fruits,33,2040,agr_tec2,2035,all-year,all-week,early-peak,4.81480000000
3,fruits,33,2045,agr_tec2,2035,all-year,all-week,early-peak,5.11570000000
3,fruits,34,2040,agr_tec2,2030,all-year,all-week,early-peak,22.37040000000
3,fruits,35,2045,agr_tec2,2040,all-year,all-week,early-peak,23.76850000000
3,fruits,38,2040,agr_tec2,2035,all-year,all-week,early-peak,5.70370000000
3,fruits,38,2045,agr_tec2,2035,all-year,all-week,early-peak,6.06020000000
3,fruits,39,2040,agr_tec2,2030,all-year,all-week,early-peak,0.88890000000
3,fruits,40,2045,agr_tec2,2040,all-year,all-week,early-peak,0.94440000000
3,fruits,43,2040,agr_tec2,2035,all-year,all-week,early-peak,9.48150000000
3,fruits,43,2045,agr_tec2,2035,all-year,all-week,early-peak,10.07410000000
3,livestock,0,2040,agr_tec,2030,all-year,all-week,early-peak,0.05930000000
3,livestock,1,2045,agr_tec,2040,all-year,all-week,early-peak,0.06300000000
3,livestock,4,2040,agr_tec,2035,all-year,all-week,early-peak,0.01040000000
3,livestock,4,2045,agr_tec,2035,all-year,all-week,early-peak,0.01100000000
3,livestock,5,2040,agr_tec,2030,all-year,all-week,early-peak,0.18520000000
3,livestock,6,2045,agr_tec,2040,all-year,all-week,early-peak,0.19680000000
3,livestock,7,2040,agr_tec,2030,all-year,all-week,early-peak,0.36740000000
3,livestock,8,2045,agr_tec,2040,all-year,all-week,early-peak,0.39040000000
3,livestock,11,2040,agr_tec,2035,all-year,all-week,early-peak,0.09630000000
3,livestock,11,2045,agr_tec,2035,all-year,all-week,early-peak,0.10230000000
3,livestock,12,2040,agr_tec,2030,all-year,all-week,early-peak,0.44740000000
3,livestock,13,2045,agr_tec,2040,all-year,all-week,early-peak,0.47540000000
3,livestock,16,2040,agr_tec,2035,all-year,all-week,early-peak,0.11410000000
3,livestock,16,2045,agr_tec,2035,all-year,all-week,early-peak,0.12120000000
3,livestock,17,2040,agr_tec,2030,all-year,all-week,early-peak,0.01780000000
3,livestock,18,2045,agr_tec,2040,all-year,all-week,early-peak,0.01890000000
3,livestock,21,2040,agr_tec,2035,all-year,all-week,early-peak,0.18960000000
3,livestock,21,2045,agr_tec,2035,all-year,all-week,early-peak,0.20150000000
4,fruits,22,2040,agr_tec2,2030,all-year,all-week,late-peak,2.96300000000
4,fruits,23,2045,agr_tec2,2040,all-year,all-week,late-peak,3.14810000000
4,fruits,26,2040,agr_tec2,2035,all-year,all-week,late-peak,0.51850000000
4,fruits,26,2045,agr_tec2,2035,all-year,all-week,late-peak,0.55090000000
4,fruits,27,2040,agr_tec2,2030,all-year,all-week,late-peak,9.25930000000
4,fruits,28,2045,agr_tec2,2040,all-year,all-week,late-peak,9.83800000000
4,fruits,29,2040,agr_tec2,2030,all-year,all-week,late-peak,18.37040000000
4,fruits,30,2045,agr_tec2,2040,all-year,all-week,late-peak,19.51850000000
4,fruits,33,2040,agr_tec2,2035,all-year,all-week,late-peak,4.81480000000
4,fruits,33,2045,agr_tec2,2035,all-year,all-week,late-peak,5.11570000000
4,fruits,34,2040,agr_tec2,2030,all-year,all-week,late-peak,22.37040000000
4,fruits,35,2045,agr_tec2,2040,all-year,all-week,late-peak,23.76850000000
4,fruits,38,2040,agr_tec2,2035,all-year,all-week,late-peak,5.70370000000
4,fruits,38,2045,agr_tec2,2035,all-year,all-week,late-peak,6.06020000000
4,fruits,39,2040,agr_tec2,2030,all-year,all-week,late-peak,0.88890000000
4,fruits,40,2045,agr_tec2,2040,all-year,all-week,late-peak,0.94440000000
4,fruits,43,2040,agr_tec2,2035,all-year,all-week,late-peak,9.48150000000
4,fruits,43,2045,agr_tec2,2035,all-year,all-week,late-peak,10.07410000000
4,livestock,0,2040,agr_tec,2030,all-year,all-week,late-peak,0.05930000000
4,livestock,1,2045,agr_tec,2040,all-year,all-week,late-peak,0.06300000000
4,livestock,4,2040,agr_tec,2035,all-year,all-week,late-peak,0.01040000000
4,livestock,4,2045,agr_tec,2035,all-year,all-week,late-peak,0.01100000000
4,livestock,5,2040,agr_tec,2030,all-year,all-week,late-peak,0.18520000000
4,livestock,6,2045,agr_tec,2040,all-year,all-week,late-peak,0.19680000000
4,livestock,7,2040,agr_tec,2030,all-year,all-week,late-peak,0.36740000000
4,livestock,8,2045,agr_tec,2040,all-year,all-week,late-peak,0.39040000000
4,livestock,11,2040,agr_tec,2035,all-year,all-week,late-peak,0.09630000000
4,livestock,11,2045,agr_tec,2035,all-year,all-week,late-peak,0.10230000000
4,livestock,12,2040,agr_tec,2030,all-year,all-week,late-peak,0.44740000000
4,livestock,13,2045,agr_tec,2040,all-year,all-week,late-peak,0.47540000000
4,livestock,16,2040,agr_tec,2035,all-year,all-week,late-peak,0.11410000000
4,livestock,16,2045,agr_tec,2035,all-year,all-week,late-peak,0.12120000000
4,livestock,17,2040,agr_tec,2030,all-year,all-week,late-peak,0.01780000000
4,livestock,18,2045,agr_tec,2040,all-year,all-week,late-peak,0.01890000000
4,livestock,21,2040,agr_tec,2035,all-year,all-week,late-peak,0.18960000000
4,livestock,21,2045,agr_tec,2035,all-year,all-week,late-peak,0.20150000000
5,fruits,22,2040,agr_tec2,2030,all-year,all-week,evening,2.96300000000
5,fruits,23,2045,agr_tec2,2040,all-year,all-week,evening,3.14810000000
5,fruits,26,2040,agr_tec2,2035,all-year,all-week,evening,0.51850000000
5,fruits,26,2045,agr_tec2,2035,all-year,all-week,evening,0.55090000000
5,fruits,27,2040,agr_tec2,2030,all-year,all-week,evening,9.25930000000
5,fruits,28,2045,agr_tec2,2040,all-year,all-week,evening,9.83800000000
5,fruits,29,2040,agr_tec2,2030,all-year,all-week,evening,18.37040000000
5,fruits,30,2045,agr_tec2,2040,all-year,all-week,evening,19.51850000000
5,fruits,33,2040,agr_tec2,2035,all-year,all-week,evening,4.81480000000
5,fruits,33,2045,agr_tec2,2035,all-year,all-week,evening,5.11570000000
5,fruits,34,2040,agr_tec2,2030,all-year,all-week,evening,22.37040000000
5,fruits,35,2045,agr_tec2,2040,all-year,all-week,evening,23.76850000000
5,fruits,38,2040,agr_tec2,2035,all-year,all-week,evening,5.70370000000
5,fruits,38,2045,agr_tec2,2035,all-year,all-week,evening,6.06020000000
5,fruits,39,2040,agr_tec2,2030,all-year,all-week,evening,0.88890000000
5,fruits,40,2045,agr_tec2,2040,all-year,all-week,evening,0.94440000000
5,fruits,43,2040,agr_tec2,2035,all-year,all-week,evening,9.48150000000
5,fruits,43,2045,agr_tec2,2035,all-year,all-week,evening,10.07410000000
5,livestock,0,2040,agr_tec,2030,all-year,all-week,evening,0.05930000000
5,livestock,1,2045,agr_tec,2040,all-year,all-week,evening,0.06300000000
5,livestock,4,2040,agr_tec,2035,all-year,all-week,evening,0.01040000000
5,livestock,4,2045,agr_tec,2035,all-year,all-week,evening,0.01100000000
5,livestock,5,2040,agr_tec,2030,all-year,all-week,evening,0.18520000000
5,livestock,6,2045,agr_tec,2040,all-year,all-week,evening,0.19680000000
5,livestock,7,2040,agr_tec,2030,all-year,all-week,evening,0.36740000000
5,livestock,8,2045,agr_tec,2040,all-year,all-week,evening,0.39040000000
5,livestock,11,2040,agr_tec,2035,all-year,all-week,evening,0.09630000000
5,livestock,11,2045,agr_tec,2035,all-year,all-week,evening,0.10230000000
5,livestock,12,2040,agr_tec,2030,all-year,all-week,evening,0.44740000000
5,livestock,13,2045,agr_tec,2040,all-year,all-week,evening,0.47540000000
5,livestock,16,2040,agr_tec,2035,all-year,all-week,evening,0.11410000000
5,livestock,16,2045,agr_tec,2035,all-year,all-week,evening,0.12120000000
5,livestock,17,2040,agr_tec,2030,all-year,all-week,evening,0.01780000000
5,livestock,18,2045,agr_tec,2040,all-year,all-week,evening,0.01890000000
5,livestock,21,2040,agr_tec,2035,all-year,all-week,evening,0.18960000000
5,livestock,21,2045,agr_tec,2035,all-year,all-week,evening,0.20150000000
