timeslice,commodity,asset,year,installed,technology,month,day,hour,supply
0,fruits,3,2050,2040,agr_tec2,all-year,all-week,night,3.33330000000
0,fruits,5,2055,2050,agr_tec2,all-year,all-week,night,3.33330000000
0,fruits,9,2050,2045,agr_tec2,all-year,all-week,night,0.58330000000
0,fruits,9,2055,2045,agr_tec2,all-year,all-week,night,0.58330000000
0,fruits,13,2050,2040,agr_tec2,all-year,all-week,night,10.41670000000
0,fruits,15,2055,2050,agr_tec2,all-year,all-week,night,10.41670000000
0,fruits,19,2050,2040,agr_tec2,all-year,all-week,night,20.66670000000
0,fruits,21,2055,2050,agr_tec2,all-year,all-week,night,20.66670000000
0,fruits,25,2050,2045,agr_tec2,all-year,all-week,night,5.41670000000
0,fruits,25,2055,2045,agr_tec2,all-year,all-week,night,5.41670000000
0,fruits,29,2050,2040,agr_tec2,all-year,all-week,night,25.16670000000
0,fruits,31,2055,2050,agr_tec2,all-year,all-week,night,25.16670000000
0,fruits,35,2050,2045,agr_tec2,all-year,all-week,night,6.41670000000
0,fruits,35,2055,2045,agr_tec2,all-year,all-week,night,6.41670000000
0,fruits,39,2050,2040,agr_tec2,all-year,all-week,night,1.00000000000
0,fruits,41,2055,2050,agr_tec2,all-year,all-week,night,1.00000000000
0,fruits,45,2050,2045,agr_tec2,all-year,all-week,night,10.66670000000
0,fruits,45,2055,2045,agr_tec2,all-year,all-week,night,10.66670000000
0,livestock,2,2050,2040,agr_tec,all-year,all-week,night,0.06670000000
0,livestock,4,2055,2050,agr_tec,all-year,all-week,night,0.06670000000
0,livestock,8,2050,2045,agr_tec,all-year,all-week,night,0.01170000000
0,livestock,8,2055,2045,agr_tec,all-year,all-week,night,0.01170000000
0,livestock,12,2050,2040,agr_tec,all-year,all-week,night,0.20830000000
0,livestock,14,2055,2050,agr_tec,all-year,all-week,night,0.20830000000
0,livestock,18,2050,2040,agr_tec,all-year,all-week,night,0.41330000000
0,livestock,20,2055,2050,agr_tec,all-year,all-week,night,0.41330000000
0,livestock,24,2050,2045,agr_tec,all-year,all-week,night,0.10830000000
0,livestock,24,2055,2045,agr_tec,all-year,all-week,night,0.10830000000
0,livestock,28,2050,2040,agr_tec,all-year,all-week,night,0.50330000000
0,livestock,30,2055,2050,agr_tec,all-year,all-week,night,0.50330000000
0,livestock,34,2050,2045,agr_tec,all-year,all-week,night,0.12830000000
0,livestock,34,2055,2045,agr_tec,all-year,all-week,night,0.12830000000
0,livestock,38,2050,2040,agr_tec,all-year,all-week,night,0.02000000000
0,livestock,40,2055,2050,agr_tec,all-year,all-week,night,0.02000000000
0,livestock,44,2050,2045,agr_tec,all-year,all-week,night,0.21330000000
0,livestock,44,2055,2045,agr_tec,all-year,all-week,night,0.21330000000
1,fruits,3,2050,2040,agr_tec2,all-year,all-week,morning,3.33330000000
1,fruits,5,2055,2050,agr_tec2,all-year,all-week,morning,3.33330000000
1,fruits,9,2050,2045,agr_tec2,all-year,all-week,morning,0.58330000000
1,fruits,9,2055,2045,agr_tec2,all-year,all-week,morning,0.58330000000
1,fruits,13,2050,2040,agr_tec2,all-year,all-week,morning,10.41670000000
1,fruits,15,2055,2050,agr_tec2,all-year,all-week,morning,10.41670000000
1,fruits,19,2050,2040,agr_tec2,all-year,all-week,morning,20.66670000000
1,fruits,21,2055,2050,agr_tec2,all-year,all-week,morning,20.66670000000
1,fruits,25,2050,2045,agr_tec2,all-year,all-week,morning,5.41670000000
1,fruits,25,2055,2045,agr_tec2,all-year,all-week,morning,5.41670000000
1,fruits,29,2050,2040,agr_tec2,all-year,all-week,morning,25.16670000000
1,fruits,31,2055,2050,agr_tec2,all-year,all-week,morning,25.16670000000
1,fruits,35,2050,2045,agr_tec2,all-year,all-week,morning,6.41670000000
1,fruits,35,2055,2045,agr_tec2,all-year,all-week,morning,6.41670000000
1,fruits,39,2050,2040,agr_tec2,all-year,all-week,morning,1.00000000000
1,fruits,41,2055,2050,agr_tec2,all-year,all-week,morning,1.00000000000
1,fruits,45,2050,2045,agr_tec2,all-year,all-week,morning,10.66670000000
1,fruits,45,2055,2045,agr_tec2,all-year,all-week,morning,10.66670000000
1,livestock,2,2050,2040,agr_tec,all-year,all-week,morning,0.06670000000
1,livestock,4,2055,2050,agr_tec,all-year,all-week,morning,0.06670000000
1,livestock,8,2050,2045,agr_tec,all-year,all-week,morning,0.01170000000
1,livestock,8,2055,2045,agr_tec,all-year,all-week,morning,0.01170000000
1,livestock,12,2050,2040,agr_tec,all-year,all-week,morning,0.20830000000
1,livestock,14,2055,2050,agr_tec,all-year,all-week,morning,0.20830000000
1,livestock,18,2050,2040,agr_tec,all-year,all-week,morning,0.41330000000
1,livestock,20,2055,2050,agr_tec,all-year,all-week,morning,0.41330000000
1,livestock,24,2050,2045,agr_tec,all-year,all-week,morning,0.10830000000
1,livestock,24,2055,2045,agr_tec,all-year,all-week,morning,0.10830000000
1,livestock,28,2050,2040,agr_tec,all-year,all-week,morning,0.50330000000
1,livestock,30,2055,2050,agr_tec,all-year,all-week,morning,0.50330000000
1,livestock,34,2050,2045,agr_tec,all-year,all-week,morning,0.12830000000
1,livestock,34,2055,2045,agr_tec,all-year,all-week,morning,0.12830000000
1,livestock,38,2050,2040,agr_tec,all-year,all-week,morning,0.02000000000
1,livestock,40,2055,2050,agr_tec,all-year,all-week,morning,0.02000000000
1,livestock,44,2050,2045,agr_tec,all-year,all-week,morning,0.21330000000
1,livestock,44,2055,2045,agr_tec,all-year,all-week,morning,0.21330000000
2,fruits,3,2050,2040,agr_tec2,all-year,all-week,afternoon,3.33330000000
2,fruits,5,2055,2050,agr_tec2,all-year,all-week,afternoon,3.33330000000
2,fruits,9,2050,2045,agr_tec2,all-year,all-week,afternoon,0.58330000000
2,fruits,9,2055,2045,agr_tec2,all-year,all-week,afternoon,0.58330000000
2,fruits,13,2050,2040,agr_tec2,all-year,all-week,afternoon,10.41670000000
2,fruits,15,2055,2050,agr_tec2,all-year,all-week,afternoon,10.41670000000
2,fruits,19,2050,2040,agr_tec2,all-year,all-week,afternoon,20.66670000000
2,fruits,21,2055,2050,agr_tec2,all-year,all-week,afternoon,20.66670000000
2,fruits,25,2050,2045,agr_tec2,all-year,all-week,afternoon,5.41670000000
2,fruits,25,2055,2045,agr_tec2,all-year,all-week,afternoon,5.41670000000
2,fruits,29,2050,2040,agr_tec2,all-year,all-week,afternoon,25.16670000000
2,fruits,31,2055,2050,agr_tec2,all-year,all-week,afternoon,25.16670000000
2,fruits,35,2050,2045,agr_tec2,all-year,all-week,afternoon,6.41670000000
2,fruits,35,2055,2045,agr_tec2,all-year,all-week,afternoon,6.41670000000
2,fruits,39,2050,2040,agr_tec2,all-year,all-week,afternoon,1.00000000000
2,fruits,41,2055,2050,agr_tec2,all-year,all-week,afternoon,1.00000000000
2,fruits,45,2050,2045,agr_tec2,all-year,all-week,afternoon,10.66670000000
2,fruits,45,2055,2045,agr_tec2,all-year,all-week,afternoon,10.66670000000
2,livestock,2,2050,2040,agr_tec,all-year,all-week,afternoon,0.06670000000
2,livestock,4,2055,2050,agr_tec,all-year,all-week,afternoon,0.06670000000
2,livestock,8,2050,2045,agr_tec,all-year,all-week,afternoon,0.01170000000
2,livestock,8,2055,2045,agr_tec,all-year,all-week,afternoon,0.01170000000
2,livestock,12,2050,2040,agr_tec,all-year,all-week,afternoon,0.20830000000
2,livestock,14,2055,2050,agr_tec,all-year,all-week,afternoon,0.20830000000
2,livestock,18,2050,2040,agr_tec,all-year,all-week,afternoon,0.41330000000
2,livestock,20,2055,2050,agr_tec,all-year,all-week,afternoon,0.41330000000
2,livestock,24,2050,2045,agr_tec,all-year,all-week,afternoon,0.10830000000
2,livestock,24,2055,2045,agr_tec,all-year,all-week,afternoon,0.10830000000
2,livestock,28,2050,2040,agr_tec,all-year,all-week,afternoon,0.50330000000
2,livestock,30,2055,2050,agr_tec,all-year,all-week,afternoon,0.50330000000
2,livestock,34,2050,2045,agr_tec,all-year,all-week,afternoon,0.12830000000
2,livestock,34,2055,2045,agr_tec,all-year,all-week,afternoon,0.12830000000
2,livestock,38,2050,2040,agr_tec,all-year,all-week,afternoon,0.02000000000
2,livestock,40,2055,2050,agr_tec,all-year,all-week,afternoon,0.02000000000
2,livestock,44,2050,2045,agr_tec,all-year,all-week,afternoon,0.21330000000
2,livestock,44,2055,2045,agr_tec,all-year,all-week,afternoon,0.21330000000
3,fruits,3,2050,2040,agr_tec2,all-year,all-week,early-peak,3.33330000000
3,fruits,5,2055,2050,agr_tec2,all-year,all-week,early-peak,3.33330000000
3,fruits,9,2050,2045,agr_tec2,all-year,all-week,early-peak,0.58330000000
3,fruits,9,2055,2045,agr_tec2,all-year,all-week,early-peak,0.58330000000
