timeslice,commodity,asset,year,installed,technology,month,day,hour,supply
0,steel,3,2035,2020,procIron_NG,all-year,all-week,night,16.11300000000
0,steel,20,2035,2025,procIron_Biogas,all-year,all-week,night,44.75830000000
0,steel,20,2040,2025,procIron_Biogas,all-year,all-week,night,47.74220000000
0,steel,21,2035,2025,procIron_Biogas_CCS,all-year,all-week,night,44.75830000000
0,steel,21,2040,2025,procIron_Biogas_CCS,all-year,all-week,night,47.74220000000
0,steel,22,2035,2025,procIron_ForRes,all-year,all-week,night,44.75830000000
0,steel,22,2040,2025,procIron_ForRes,all-year,all-week,night,47.74220000000
0,steel,23,2035,2025,procIron_ForRes_CCS,all-year,all-week,night,44.75830000000
0,steel,23,2040,2025,procIron_ForRes_CCS,all-year,all-week,night,47.74220000000
0,steel,24,2035,2025,procIron_HFO,all-year,all-week,night,44.75830000000
0,steel,24,2040,2025,procIron_HFO,all-year,all-week,night,47.74220000000
0,steel,25,2035,2025,procIron_HFO_CCS,all-year,all-week,night,44.75830000000
0,steel,25,2040,2025,procIron_HFO_CCS,all-year,all-week,night,47.74220000000
0,steel,26,2035,2025,procIron_Hardcoal,all-year,all-week,night,44.75830000000
0,steel,26,2040,2025,procIron_Hardcoal,all-year,all-week,night,47.74220000000
0,steel,27,2035,2025,procIron_Hardcoal_CCS,all-year,all-week,night,44.75830000000
0,steel,27,2040,2025,procIron_Hardcoal_CCS,all-year,all-week,night,47.74220000000
0,steel,28,2035,2025,procIron_LPG,all-year,all-week,night,44.75830000000
0,steel,28,2040,2025,procIron_LPG,all-year,all-week,night,47.74220000000
0,steel,29,2035,2025,procIron_LPG_CCS,all-year,all-week,night,44.75830000000
0,steel,29,2040,2025,procIron_LPG_CCS,all-year,all-week,night,47.74220000000
0,steel,30,2035,2025,procIron_NG,all-year,all-week,night,44.75830000000
0,steel,30,2040,2025,procIron_NG,all-year,all-week,night,47.74220000000
0,steel,31,2035,2025,procIron_NG_CCS,all-year,all-week,night,44.75830000000
0,steel,31,2040,2025,procIron_NG_CCS,all-year,all-week,night,47.74220000000
0,steel,87,2035,2020,procIron_NG,all-year,all-week,night,16.11300000000
0,steel,104,2035,2025,procIron_Biogas,all-year,all-week,night,44.75830000000
0,steel,104,2040,2025,procIron_Biogas,all-year,all-week,night,47.74220000000
0,steel,105,2035,2025,procIron_Biogas_CCS,all-year,all-week,night,44.75830000000
0,steel,105,2040,2025,procIron_Biogas_CCS,all-year,all-week,night,47.74220000000
0,steel,106,2035,2025,procIron_ForRes,all-year,all-week,night,44.75830000000
0,steel,106,2040,2025,procIron_ForRes,all-year,all-week,night,47.74220000000
0,steel,107,2035,2025,procIron_ForRes_CCS,all-year,all-week,night,44.75830000000
