asset,year,region,installed,technology,capacity
2,2050,BajaCalif,2045,Proc_Diesel,4000000.00000000000
2,2055,BajaCalif,2045,Proc_Diesel,4000000.00000000000
2,2074,BajaCalif,2045,Proc_Diesel,4000000.00000000000
3,2050,BajaCalif,2045,Proc_hydrogen,4000000.00000000000
3,2055,BajaCalif,2045,Proc_hydrogen,4000000.00000000000
3,2074,BajaCalif,2045,Proc_hydrogen,4000000.00000000000
6,2050,BajaCalifSouth,2045,Proc_Diesel,4000000.00000000000
6,2055,BajaCalifSouth,2045,Proc_Diesel,4000000.00000000000
6,2074,BajaCalifSouth,2045,Proc_Diesel,4000000.00000000000
7,2050,BajaCalifSouth,2045,Proc_hydrogen,4000000.00000000000
7,2055,BajaCalifSouth,2045,Proc_hydrogen,4000000.00000000000
7,2074,BajaCalifSouth,2045,Proc_hydrogen,4000000.00000000000
10,2050,Central,2045,Proc_Diesel,4000000.00000000000
10,2055,Central,2045,Proc_Diesel,4000000.00000000000
10,2074,Central,2045,Proc_Diesel,4000000.00000000000
11,2050,Central,2045,Proc_hydrogen,4000000.00000000000
11,2055,Central,2045,Proc_hydrogen,4000000.00000000000
11,2074,Central,2045,Proc_hydrogen,4000000.00000000000
14,2050,Eastern,2045,Proc_Diesel,4000000.00000000000
14,2055,Eastern,2045,Proc_Diesel,4000000.00000000000
14,2074,Eastern,2045,Proc_Diesel,4000000.00000000000
15,2050,Eastern,2045,Proc_hydrogen,4000000.00000000000
15,2055,Eastern,2045,Proc_hydrogen,4000000.00000000000
15,2074,Eastern,2045,Proc_hydrogen,4000000.00000000000
18,2050,North,2045,Proc_Diesel,4000000.00000000000
18,2055,North,2045,Proc_Diesel,4000000.00000000000
18,2074,North,2045,Proc_Diesel,4000000.00000000000
19,2050,North,2045,Proc_hydrogen,4000000.00000000000
19,2055,North,2045,Proc_hydrogen,4000000.00000000000
19,2074,North,2045,Proc_hydrogen,4000000.00000000000
22,2050,Northeast,2045,Proc_Diesel,4000000.00000000000
22,2055,Northeast,2045,Proc_Diesel,4000000.00000000000
22,2074,Northeast,2045,Proc_Diesel,4000000.00000000000
23,2050,Northeast,2045,Proc_hydrogen,4000000.00000000000
23,2055,Northeast,2045,Proc_hydrogen,4000000.00000000000
23,2074,Northeast,2045,Proc_hydrogen,4000000.00000000000
26,2050,Northwest,2045,Proc_Diesel,4000000.00000000000
26,2055,Northwest,2045,Proc_Diesel,4000000.00000000000
26,2074,Northwest,2045,Proc_Diesel,4000000.00000000000
27,2050,Northwest,2045,Proc_hydrogen,4000000.00000000000
27,2055,Northwest,2045,Proc_hydrogen,4000000.00000000000
27,2074,Northwest,2045,Proc_hydrogen,4000000.00000000000
30,2050,Peninsular,2045,Proc_Diesel,4000000.00000000000
30,2055,Peninsular,2045,Proc_Diesel,4000000.00000000000
30,2074,Peninsular,2045,Proc_Diesel,4000000.00000000000
31,2050,Peninsular,2045,Proc_hydrogen,4000000.00000000000
31,2055,Peninsular,2045,Proc_hydrogen,4000000.00000000000
31,2074,Peninsular,2045,Proc_hydrogen,4000000.00000000000
34,2050,Western,2045,Proc_Diesel,4000000.00000000000
34,2055,Western,2045,Proc_Diesel,4000000.00000000000
34,2074,Western,2045,Proc_Diesel,4000000.00000000000
35,2050,Western,2045,Proc_hydrogen,4000000.00000000000
35,2055,Western,2045,Proc_hydrogen,4000000.00000000000
35,2074,Western,2045,Proc_hydrogen,4000000.00000000000
