asset,year,region,installed,technology,capacity
0,2040,BajaCalif,2020,cars_gsl,6.64150000000
0,2044,BajaCalif,2020,cars_gsl,3.98490000000
0,2045,BajaCalif,2020,cars_gsl,3.32070000000
0,2049,BajaCalif,2020,cars_gsl,1.99240000000
0,2050,BajaCalif,2020,cars_gsl,1.66040000000
0,2054,BajaCalif,2020,cars_gsl,1.66040000000
0,2055,BajaCalif,2020,cars_gsl,1.66040000000
1,2040,BajaCalif,2020,cars_hyd,3.32070000000
1,2044,BajaCalif,2020,cars_hyd,1.99240000000
1,2045,BajaCalif,2020,cars_hyd,1.66040000000
1,2049,BajaCalif,2020,cars_hyd,0.99620000000
1,2050,BajaCalif,2020,cars_hyd,0.83020000000
1,2054,BajaCalif,2020,cars_hyd,0.83020000000
1,2055,BajaCalif,2020,cars_hyd,0.83020000000
4,2040,BajaCalif,2035,cars_gsl,39993.35850000000
4,2044,BajaCalif,2035,cars_gsl,39993.35850000000
4,2045,BajaCalif,2035,cars_gsl,39993.35850000000
4,2049,BajaCalif,2035,cars_gsl,39993.35850000000
5,2040,BajaCalif,2035,cars_hyd,39996.67930000000
5,2044,BajaCalif,2035,cars_hyd,39996.67930000000
5,2045,BajaCalif,2035,cars_hyd,39996.67930000000
5,2049,BajaCalif,2035,cars_hyd,39996.67930000000
6,2040,BajaCalifSouth,2020,cars_gsl,1.70530000000
6,2044,BajaCalifSouth,2020,cars_gsl,1.02320000000
6,2045,BajaCalifSouth,2020,cars_gsl,0.85270000000
6,2049,BajaCalifSouth,2020,cars_gsl,0.51160000000
6,2050,BajaCalifSouth,2020,cars_gsl,0.42630000000
7,2040,BajaCalifSouth,2020,cars_hyd,0.85270000000
7,2044,BajaCalifSouth,2020,cars_hyd,0.51160000000
7,2045,BajaCalifSouth,2020,cars_hyd,0.42630000000
7,2049,BajaCalifSouth,2020,cars_hyd,0.25580000000
7,2050,BajaCalifSouth,2020,cars_hyd,0.21320000000
8,2040,BajaCalifSouth,2030,cars_gsl,23414.02900000000
8,2044,BajaCalifSouth,2030,cars_gsl,23414.02900000000
9,2040,BajaCalifSouth,2030,cars_hyd,21707.01450000000
9,2044,BajaCalifSouth,2030,cars_hyd,21707.01450000000
10,2045,BajaCalifSouth,2040,cars_gsl,39999.14730000000
10,2049,BajaCalifSouth,2040,cars_gsl,39999.14730000000
10,2050,BajaCalifSouth,2040,cars_gsl,39999.14730000000
10,2054,BajaCalifSouth,2040,cars_gsl,39999.14730000000
11,2045,BajaCalifSouth,2040,cars_hyd,39999.57370000000
11,2049,BajaCalifSouth,2040,cars_hyd,39999.57370000000
11,2050,BajaCalifSouth,2040,cars_hyd,39999.57370000000
11,2054,BajaCalifSouth,2040,cars_hyd,39999.57370000000
12,2040,Central,2020,cars_gsl,10.44950000000
12,2044,Central,2020,cars_gsl,6.26970000000
12,2045,Central,2020,cars_gsl,5.22470000000
12,2049,Central,2020,cars_gsl,3.13480000000
12,2050,Central,2020,cars_gsl,2.61240000000
12,2054,Central,2020,cars_gsl,2.61240000000
12,2055,Central,2020,cars_gsl,2.61240000000
13,2040,Central,2020,cars_hyd,5.22470000000
13,2044,Central,2020,cars_hyd,3.13480000000
13,2045,Central,2020,cars_hyd,2.61240000000
13,2049,Central,2020,cars_hyd,1.56740000000
13,2050,Central,2020,cars_hyd,1.30620000000
13,2054,Central,2020,cars_hyd,1.30620000000
13,2055,Central,2020,cars_hyd,1.30620000000
14,2040,Eastern,2020,cars_gsl,40.66960000000
14,2044,Eastern,2020,cars_gsl,24.40180000000
14,2045,Eastern,2020,cars_gsl,20.33480000000
14,2049,Eastern,2020,cars_gsl,12.20090000000
14,2050,Eastern,2020,cars_gsl,10.16740000000
14,2054,Eastern,2020,cars_gsl,10.16740000000
14,2055,Eastern,2020,cars_gsl,10.16740000000
15,2040,Eastern,2020,cars_hyd,20.33480000000
15,2044,Eastern,2020,cars_hyd,12.20090000000
15,2045,Eastern,2020,cars_hyd,10.16740000000
15,2049,Eastern,2020,cars_hyd,6.10040000000
15,2050,Eastern,2020,cars_hyd,5.08370000000
15,2054,Eastern,2020,cars_hyd,5.08370000000
15,2055,Eastern,2020,cars_hyd,5.08370000000
16,2040,North,2020,cars_gsl,13.38940000000
16,2044,North,2020,cars_gsl,8.03360000000
16,2045,North,2020,cars_gsl,6.69470000000
16,2049,North,2020,cars_gsl,4.01680000000
16,2050,North,2020,cars_gsl,3.34730000000
16,2054,North,2020,cars_gsl,3.34730000000
16,2055,North,2020,cars_gsl,3.34730000000
17,2040,North,2020,cars_hyd,6.69470000000
17,2044,North,2020,cars_hyd,4.01680000000
17,2045,North,2020,cars_hyd,3.34730000000
17,2049,North,2020,cars_hyd,2.00840000000
17,2050,North,2020,cars_hyd,1.67370000000
17,2054,North,2020,cars_hyd,1.67370000000
17,2055,North,2020,cars_hyd,1.67370000000
18,2040,Northeast,2020,cars_gsl,37.50020000000
18,2044,Northeast,2020,cars_gsl,22.50010000000
18,2045,Northeast,2020,cars_gsl,18.75010000000
18,2049,Northeast,2020,cars_gsl,11.25010000000
18,2050,Northeast,2020,cars_gsl,9.37510000000
18,2054,Northeast,2020,cars_gsl,9.37510000000
18,2055,Northeast,2020,cars_gsl,9.37510000000
19,2040,Northeast,2020,cars_hyd,18.75010000000
19,2044,Northeast,2020,cars_hyd,11.25010000000
19,2045,Northeast,2020,cars_hyd,9.37510000000
19,2049,Northeast,2020,cars_hyd,5.62500000000
19,2050,Northeast,2020,cars_hyd,4.68750000000
19,2054,Northeast,2020,cars_hyd,4.68750000000
19,2055,Northeast,2020,cars_hyd,4.68750000000
22,2040,Northeast,2035,cars_gsl,39962.49980000000
22,2044,Northeast,2035,cars_gsl,39962.49980000000
22,2045,Northeast,2035,cars_gsl,39962.49980000000
22,2049,Northeast,2035,cars_gsl,39962.49980000000
23,2040,Northeast,2035,cars_hyd,39981.24990000000
23,2044,Northeast,2035,cars_hyd,39981.24990000000
23,2045,Northeast,2035,cars_hyd,39981.24990000000
23,2049,Northeast,2035,cars_hyd,39981.24990000000
24,2040,Northwest,2020,cars_gsl,17.29670000000
24,2044,Northwest,2020,cars_gsl,10.37800000000
24,2045,Northwest,2020,cars_gsl,8.64840000000
24,2049,Northwest,2020,cars_gsl,5.18900000000
24,2050,Northwest,2020,cars_gsl,4.32420000000
24,2054,Northwest,2020,cars_gsl,4.32420000000
24,2055,Northwest,2020,cars_gsl,4.32420000000
25,2040,Northwest,2020,cars_hyd,8.64840000000
25,2044,Northwest,2020,cars_hyd,5.18900000000
25,2045,Northwest,2020,cars_hyd,4.32420000000
25,2049,Northwest,2020,cars_hyd,2.59450000000
25,2050,Northwest,2020,cars_hyd,2.16210000000
25,2054,Northwest,2020,cars_hyd,2.16210000000
25,2055,Northwest,2020,cars_hyd,2.16210000000
26,2040,Peninsular,2020,cars_gsl,5.40650000000
26,2044,Peninsular,2020,cars_gsl,3.24390000000
26,2045,Peninsular,2020,cars_gsl,2.70320000000
26,2049,Peninsular,2020,cars_gsl,1.62190000000
26,2050,Peninsular,2020,cars_gsl,1.35160000000
26,2054,Peninsular,2020,cars_gsl,1.35160000000
26,2055,Peninsular,2020,cars_gsl,1.35160000000
27,2040,Peninsular,2020,cars_hyd,2.70320000000
27,2044,Peninsular,2020,cars_hyd,1.62190000000
27,2045,Peninsular,2020,cars_hyd,1.35160000000
27,2049,Peninsular,2020,cars_hyd,0.81100000000
27,2050,Peninsular,2020,cars_hyd,0.67580000000
27,2054,Peninsular,2020,cars_hyd,0.67580000000
27,2055,Peninsular,2020,cars_hyd,0.67580000000
28,2040,Peninsular,2035,cars_gsl,25411.85950000000
28,2044,Peninsular,2035,cars_gsl,25411.85950000000
28,2045,Peninsular,2035,cars_gsl,25411.85950000000
28,2049,Peninsular,2035,cars_gsl,25411.85950000000
29,2040,Peninsular,2035,cars_hyd,22705.92970000000
29,2044,Peninsular,2035,cars_hyd,22705.92970000000
29,2045,Peninsular,2035,cars_hyd,22705.92970000000
29,2049,Peninsular,2035,cars_hyd,22705.92970000000
30,2040,Western,2020,cars_gsl,35.49570000000
30,2044,Western,2020,cars_gsl,21.29740000000
30,2045,Western,2020,cars_gsl,17.74790000000
30,2049,Western,2020,cars_gsl,10.64870000000
30,2050,Western,2020,cars_gsl,8.87390000000
30,2054,Western,2020,cars_gsl,8.87390000000
30,2055,Western,2020,cars_gsl,8.87390000000
31,2040,Western,2020,cars_hyd,17.74790000000
31,2044,Western,2020,cars_hyd,10.64870000000
31,2045,Western,2020,cars_hyd,8.87390000000
31,2049,Western,2020,cars_hyd,5.32440000000
31,2050,Western,2020,cars_hyd,4.43700000000
31,2054,Western,2020,cars_hyd,4.43700000000
31,2055,Western,2020,cars_hyd,4.43700000000
