timeslice,commodity,asset,year,installed,technology,month,day,hour,supply
0,cars,0,2040,2020,cars_gsl,all-year,all-week,night,1.10690000000
0,cars,0,2045,2020,cars_gsl,all-year,all-week,night,0.55350000000
0,cars,1,2040,2020,cars_hyd,all-year,all-week,night,0.55350000000
0,cars,1,2045,2020,cars_hyd,all-year,all-week,night,0.27670000000
0,cars,4,2040,2035,cars_gsl,all-year,all-week,night,8.88890000000
0,cars,4,2045,2035,cars_gsl,all-year,all-week,night,9.44440000000
0,cars,5,2040,2035,cars_hyd,all-year,all-week,night,8.88890000000
0,cars,5,2045,2035,cars_hyd,all-year,all-week,night,9.44440000000
0,cars,6,2040,2020,cars_gsl,all-year,all-week,night,0.28420000000
0,cars,6,2045,2020,cars_gsl,all-year,all-week,night,0.14210000000
0,cars,7,2040,2020,cars_hyd,all-year,all-week,night,0.14210000000
0,cars,7,2045,2020,cars_hyd,all-year,all-week,night,0.07110000000
0,cars,8,2040,2030,cars_gsl,all-year,all-week,night,1.55560000000
0,cars,9,2040,2030,cars_hyd,all-year,all-week,night,1.55560000000
0,cars,10,2045,2040,cars_gsl,all-year,all-week,night,1.65280000000
0,cars,11,2045,2040,cars_hyd,all-year,all-week,night,1.65280000000
0,cars,18,2040,2020,cars_gsl,all-year,all-week,night,6.25000000000
0,cars,18,2045,2020,cars_gsl,all-year,all-week,night,3.12500000000
0,cars,19,2040,2020,cars_hyd,all-year,all-week,night,3.12500000000
0,cars,19,2045,2020,cars_hyd,all-year,all-week,night,1.56250000000
0,cars,22,2040,2035,cars_gsl,all-year,all-week,night,67.11110000000
0,cars,22,2045,2035,cars_gsl,all-year,all-week,night,71.30560000000
0,cars,23,2040,2035,cars_hyd,all-year,all-week,night,67.11110000000
0,cars,23,2045,2035,cars_hyd,all-year,all-week,night,71.30560000000
0,cars,26,2040,2020,cars_gsl,all-year,all-week,night,0.90110000000
0,cars,26,2045,2020,cars_gsl,all-year,all-week,night,0.45050000000
0,cars,27,2040,2020,cars_hyd,all-year,all-week,night,0.45050000000
0,cars,27,2045,2020,cars_hyd,all-year,all-week,night,0.22530000000
0,cars,28,2040,2035,cars_gsl,all-year,all-week,night,2.66670000000
0,cars,28,2045,2035,cars_gsl,all-year,all-week,night,2.83330000000
0,cars,29,2040,2035,cars_hyd,all-year,all-week,night,2.66670000000
0,cars,29,2045,2035,cars_hyd,all-year,all-week,night,2.83330000000
1,cars,0,2040,2020,cars_gsl,all-year,all-week,morning,1.10690000000
1,cars,0,2045,2020,cars_gsl,all-year,all-week,morning,0.55350000000
1,cars,1,2040,2020,cars_hyd,all-year,all-week,morning,0.55350000000
1,cars,1,2045,2020,cars_hyd,all-year,all-week,morning,0.27670000000
1,cars,4,2040,2035,cars_gsl,all-year,all-week,morning,8.88890000000
1,cars,4,2045,2035,cars_gsl,all-year,all-week,morning,9.44440000000
1,cars,5,2040,2035,cars_hyd,all-year,all-week,morning,8.88890000000
1,cars,5,2045,2035,cars_hyd,all-year,all-week,morning,9.44440000000
1,cars,6,2040,2020,cars_gsl,all-year,all-week,morning,0.28420000000
1,cars,6,2045,2020,cars_gsl,all-year,all-week,morning,0.14210000000
1,cars,7,2040,2020,cars_hyd,all-year,all-week,morning,0.14210000000
1,cars,7,2045,2020,cars_hyd,all-year,all-week,morning,0.07110000000
1,cars,8,2040,2030,cars_gsl,all-year,all-week,morning,1.55560000000
1,cars,9,2040,2030,cars_hyd,all-year,all-week,morning,1.55560000000
1,cars,10,2045,2040,cars_gsl,all-year,all-week,morning,1.65280000000
1,cars,11,2045,2040,cars_hyd,all-year,all-week,morning,1.65280000000
1,cars,18,2040,2020,cars_gsl,all-year,all-week,morning,6.25000000000
1,cars,18,2045,2020,cars_gsl,all-year,all-week,morning,3.12500000000
1,cars,19,2040,2020,cars_hyd,all-year,all-week,morning,3.12500000000
1,cars,19,2045,2020,cars_hyd,all-year,all-week,morning,1.56250000000
1,cars,22,2040,2035,cars_gsl,all-year,all-week,morning,67.11110000000
1,cars,22,2045,2035,cars_gsl,all-year,all-week,morning,71.30560000000
1,cars,23,2040,2035,cars_hyd,all-year,all-week,morning,67.11110000000
1,cars,23,2045,2035,cars_hyd,all-year,all-week,morning,71.30560000000
1,cars,26,2040,2020,cars_gsl,all-year,all-week,morning,0.90110000000
1,cars,26,2045,2020,cars_gsl,all-year,all-week,morning,0.45050000000
1,cars,27,2040,2020,cars_hyd,all-year,all-week,morning,0.45050000000
1,cars,27,2045,2020,cars_hyd,all-year,all-week,morning,0.22530000000
1,cars,28,2040,2035,cars_gsl,all-year,all-week,morning,2.66670000000
1,cars,28,2045,2035,cars_gsl,all-year,all-week,morning,2.83330000000
1,cars,29,2040,2035,cars_hyd,all-year,all-week,morning,2.66670000000
1,cars,29,2045,2035,cars_hyd,all-year,all-week,morning,2.83330000000
2,cars,0,2040,2020,cars_gsl,all-year,all-week,afternoon,1.10690000000
2,cars,0,2045,2020,cars_gsl,all-year,all-week,afternoon,0.55350000000
2,cars,1,2040,2020,cars_hyd,all-year,all-week,afternoon,0.55350000000
2,cars,1,2045,2020,cars_hyd,all-year,all-week,afternoon,0.27670000000
2,cars,4,2040,2035,cars_gsl,all-year,all-week,afternoon,8.88890000000
