timeslice,commodity,asset,year,technology,installed,month,day,hour,supply
0,fruits,9,2020,agr_tec2,2020,all-year,all-week,night,2.22220000000
0,fruits,9,2025,agr_tec2,2020,all-year,all-week,night,2.40740000000
0,fruits,10,2020,agr_tec2,2020,all-year,all-week,night,0.38890000000
0,fruits,10,2025,agr_tec2,2020,all-year,all-week,night,0.42130000000
0,fruits,11,2020,agr_tec2,2020,all-year,all-week,night,4.87640000000
0,fruits,11,2025,agr_tec2,2020,all-year,all-week,night,7.52310000000
0,fruits,12,2020,agr_tec2,2020,all-year,all-week,night,13.77780000000
0,fruits,12,2025,agr_tec2,2020,all-year,all-week,night,14.92590000000
0,fruits,13,2020,agr_tec2,2020,all-year,all-week,night,3.61110000000
0,fruits,13,2025,agr_tec2,2020,all-year,all-week,night,3.91200000000
0,fruits,14,2020,agr_tec2,2020,all-year,all-week,night,16.77780000000
0,fruits,14,2025,agr_tec2,2020,all-year,all-week,night,18.17590000000
0,fruits,15,2020,agr_tec2,2020,all-year,all-week,night,4.27780000000
0,fruits,15,2025,agr_tec2,2020,all-year,all-week,night,4.63430000000
0,fruits,16,2020,agr_tec2,2020,all-year,all-week,night,0.66670000000
0,fruits,16,2025,agr_tec2,2020,all-year,all-week,night,0.72220000000
0,fruits,17,2020,agr_tec2,2020,all-year,all-week,night,7.11110000000
0,fruits,17,2025,agr_tec2,2020,all-year,all-week,night,7.70370000000
0,livestock,0,2020,agr_tec,2020,all-year,all-week,night,0.04440000000
0,livestock,0,2025,agr_tec,2020,all-year,all-week,night,0.04810000000
0,livestock,1,2020,agr_tec,2020,all-year,all-week,night,0.00780000000
0,livestock,1,2025,agr_tec,2020,all-year,all-week,night,0.00840000000
0,livestock,2,2020,agr_tec,2020,all-year,all-week,night,0.13890000000
0,livestock,2,2025,agr_tec,2020,all-year,all-week,night,0.15050000000
0,livestock,3,2020,agr_tec,2020,all-year,all-week,night,0.27560000000
0,livestock,3,2025,agr_tec,2020,all-year,all-week,night,0.29850000000
0,livestock,4,2020,agr_tec,2020,all-year,all-week,night,0.07220000000
0,livestock,4,2025,agr_tec,2020,all-year,all-week,night,0.07820000000
0,livestock,5,2020,agr_tec,2020,all-year,all-week,night,0.33560000000
0,livestock,5,2025,agr_tec,2020,all-year,all-week,night,0.36350000000
0,livestock,6,2020,agr_tec,2020,all-year,all-week,night,0.08560000000
0,livestock,6,2025,agr_tec,2020,all-year,all-week,night,0.09270000000
0,livestock,7,2020,agr_tec,2020,all-year,all-week,night,0.01330000000
0,livestock,7,2025,agr_tec,2020,all-year,all-week,night,0.01440000000
0,livestock,8,2020,agr_tec,2020,all-year,all-week,night,0.14220000000
0,livestock,8,2025,agr_tec,2020,all-year,all-week,night,0.15410000000
1,fruits,9,2020,agr_tec2,2020,all-year,all-week,morning,2.22220000000
1,fruits,9,2025,agr_tec2,2020,all-year,all-week,morning,2.40740000000
1,fruits,10,2020,agr_tec2,2020,all-year,all-week,morning,0.38890000000
1,fruits,10,2025,agr_tec2,2020,all-year,all-week,morning,0.42130000000
1,fruits,11,2020,agr_tec2,2020,all-year,all-week,morning,4.87640000000
1,fruits,11,2025,agr_tec2,2020,all-year,all-week,morning,7.52310000000
1,fruits,12,2020,agr_tec2,2020,all-year,all-week,morning,13.77780000000
1,fruits,12,2025,agr_tec2,2020,all-year,all-week,morning,14.92590000000
1,fruits,13,2020,agr_tec2,2020,all-year,all-week,morning,3.61110000000
1,fruits,13,2025,agr_tec2,2020,all-year,all-week,morning,3.91200000000
1,fruits,14,2020,agr_tec2,2020,all-year,all-week,morning,16.77780000000
1,fruits,14,2025,agr_tec2,2020,all-year,all-week,morning,18.17590000000
1,fruits,15,2020,agr_tec2,2020,all-year,all-week,morning,4.27780000000
1,fruits,15,2025,agr_tec2,2020,all-year,all-week,morning,4.63430000000
1,fruits,16,2020,agr_tec2,2020,all-year,all-week,morning,0.66670000000
1,fruits,16,2025,agr_tec2,2020,all-year,all-week,morning,0.72220000000
1,fruits,17,2020,agr_tec2,2020,all-year,all-week,morning,7.11110000000
1,fruits,17,2025,agr_tec2,2020,all-year,all-week,morning,7.70370000000
1,livestock,0,2020,agr_tec,2020,all-year,all-week,morning,0.04440000000
1,livestock,0,2025,agr_tec,2020,all-year,all-week,morning,0.04810000000
1,livestock,1,2020,agr_tec,2020,all-year,all-week,morning,0.00780000000
1,livestock,1,2025,agr_tec,2020,all-year,all-week,morning,0.00840000000
1,livestock,2,2020,agr_tec,2020,all-year,all-week,morning,0.13890000000
1,livestock,2,2025,agr_tec,2020,all-year,all-week,morning,0.15050000000
1,livestock,3,2020,agr_tec,2020,all-year,all-week,morning,0.27560000000
1,livestock,3,2025,agr_tec,2020,all-year,all-week,morning,0.29850000000
1,livestock,4,2020,agr_tec,2020,all-year,all-week,morning,0.07220000000
1,livestock,4,2025,agr_tec,2020,all-year,all-week,morning,0.07820000000
1,livestock,5,2020,agr_tec,2020,all-year,all-week,morning,0.33560000000
1,livestock,5,2025,agr_tec,2020,all-year,all-week,morning,0.36350000000
1,livestock,6,2020,agr_tec,2020,all-year,all-week,morning,0.08560000000
1,livestock,6,2025,agr_tec,2020,all-year,all-week,morning,0.09270000000
1,livestock,7,2020,agr_tec,2020,all-year,all-week,morning,0.01330000000
1,livestock,7,2025,agr_tec,2020,all-year,all-week,morning,0.01440000000
1,livestock,8,2020,agr_tec,2020,all-year,all-week,morning,0.14220000000
1,livestock,8,2025,agr_tec,2020,all-year,all-week,morning,0.15410000000
2,fruits,9,2020,agr_tec2,2020,all-year,all-week,afternoon,2.22220000000
2,fruits,9,2025,agr_tec2,2020,all-year,all-week,afternoon,2.40740000000
2,fruits,10,2020,agr_tec2,2020,all-year,all-week,afternoon,0.38890000000
2,fruits,10,2025,agr_tec2,2020,all-year,all-week,afternoon,0.42130000000
2,fruits,11,2020,agr_tec2,2020,all-year,all-week,afternoon,4.87640000000
2,fruits,11,2025,agr_tec2,2020,all-year,all-week,afternoon,7.52310000000
2,fruits,12,2020,agr_tec2,2020,all-year,all-week,afternoon,13.77780000000
2,fruits,12,2025,agr_tec2,2020,all-year,all-week,afternoon,14.92590000000
2,fruits,13,2020,agr_tec2,2020,all-year,all-week,afternoon,3.61110000000
2,fruits,13,2025,agr_tec2,2020,all-year,all-week,afternoon,3.91200000000
2,fruits,14,2020,agr_tec2,2020,all-year,all-week,afternoon,16.77780000000
2,fruits,14,2025,agr_tec2,2020,all-year,all-week,afternoon,18.17590000000
2,fruits,15,2020,agr_tec2,2020,all-year,all-week,afternoon,4.27780000000
2,fruits,15,2025,agr_tec2,2020,all-year,all-week,afternoon,4.63430000000
2,fruits,16,2020,agr_tec2,2020,all-year,all-week,afternoon,0.66670000000
2,fruits,16,2025,agr_tec2,2020,all-year,all-week,afternoon,0.72220000000
2,fruits,17,2020,agr_tec2,2020,all-year,all-week,afternoon,7.11110000000
2,fruits,17,2025,agr_tec2,2020,all-year,all-week,afternoon,7.70370000000
2,livestock,0,2020,agr_tec,2020,all-year,all-week,afternoon,0.04440000000
2,livestock,0,2025,agr_tec,2020,all-year,all-week,afternoon,0.04810000000
2,livestock,1,2020,agr_tec,2020,all-year,all-week,afternoon,0.00780000000
2,livestock,1,2025,agr_tec,2020,all-year,all-week,afternoon,0.00840000000
2,livestock,2,2020,agr_tec,2020,all-year,all-week,afternoon,0.13890000000
2,livestock,2,2025,agr_tec,2020,all-year,all-week,afternoon,0.15050000000
2,livestock,3,2020,agr_tec,2020,all-year,all-week,afternoon,0.27560000000
2,livestock,3,2025,agr_tec,2020,all-year,all-week,afternoon,0.29850000000
2,livestock,4,2020,agr_tec,2020,all-year,all-week,afternoon,0.07220000000
2,livestock,4,2025,agr_tec,2020,all-year,all-week,afternoon,0.07820000000
2,livestock,5,2020,agr_tec,2020,all-year,all-week,afternoon,0.33560000000
2,livestock,5,2025,agr_tec,2020,all-year,all-week,afternoon,0.36350000000
2,livestock,6,2020,agr_tec,2020,all-year,all-week,afternoon,0.08560000000
2,livestock,6,2025,agr_tec,2020,all-year,all-week,afternoon,0.09270000000
2,livestock,7,2020,agr_tec,2020,all-year,all-week,afternoon,0.01330000000
2,livestock,7,2025,agr_tec,2020,all-year,all-week,afternoon,0.01440000000
