timeslice,commodity,asset,year,installed,technology,month,day,hour,supply
0,fruits,1,2035,2020,agr_tec2,all-year,all-week,night,0.77480000000
0,fruits,3,2035,2030,agr_tec2,all-year,all-week,night,2.77780000000
0,fruits,3,2040,2030,agr_tec2,all-year,all-week,night,2.96300000000
0,fruits,5,2035,2020,agr_tec2,all-year,all-week,night,0.19900000000
0,fruits,7,2035,2025,agr_tec2,all-year,all-week,night,0.48610000000
0,fruits,9,2040,2035,agr_tec2,all-year,all-week,night,0.51850000000
0,fruits,11,2035,2020,agr_tec2,all-year,all-week,night,1.21910000000
0,fruits,13,2035,2030,agr_tec2,all-year,all-week,night,8.68060000000
0,fruits,13,2040,2030,agr_tec2,all-year,all-week,night,9.25930000000
0,fruits,15,2035,2020,agr_tec2,all-year,all-week,night,4.74480000000
0,fruits,17,2035,2030,agr_tec2,all-year,all-week,night,17.22220000000
0,fruits,17,2040,2030,agr_tec2,all-year,all-week,night,18.37040000000
0,fruits,19,2035,2020,agr_tec2,all-year,all-week,night,1.56210000000
0,fruits,21,2035,2025,agr_tec2,all-year,all-week,night,4.51390000000
0,fruits,23,2040,2035,agr_tec2,all-year,all-week,night,4.81480000000
0,fruits,25,2035,2020,agr_tec2,all-year,all-week,night,4.37500000000
0,fruits,27,2035,2030,agr_tec2,all-year,all-week,night,20.97220000000
0,fruits,27,2040,2030,agr_tec2,all-year,all-week,night,22.37040000000
0,fruits,29,2035,2020,agr_tec2,all-year,all-week,night,2.01790000000
0,fruits,31,2035,2025,agr_tec2,all-year,all-week,night,5.34720000000
0,fruits,33,2040,2035,agr_tec2,all-year,all-week,night,5.70370000000
0,fruits,35,2035,2020,agr_tec2,all-year,all-week,night,0.63080000000
0,fruits,37,2035,2030,agr_tec2,all-year,all-week,night,0.83330000000
0,fruits,37,2040,2030,agr_tec2,all-year,all-week,night,0.88890000000
0,fruits,39,2035,2020,agr_tec2,all-year,all-week,night,4.14120000000
0,fruits,41,2035,2025,agr_tec2,all-year,all-week,night,8.88890000000
0,fruits,43,2040,2035,agr_tec2,all-year,all-week,night,9.48150000000
0,livestock,0,2035,2020,agr_tec,all-year,all-week,night,0.05560000000
0,livestock,2,2035,2030,agr_tec,all-year,all-week,night,0.05560000000
0,livestock,2,2040,2030,agr_tec,all-year,all-week,night,0.05930000000
0,livestock,4,2035,2020,agr_tec,all-year,all-week,night,0.00970000000
0,livestock,6,2035,2025,agr_tec,all-year,all-week,night,0.00970000000
0,livestock,8,2040,2035,agr_tec,all-year,all-week,night,0.01040000000
0,livestock,10,2035,2020,agr_tec,all-year,all-week,night,0.17360000000
0,livestock,12,2035,2030,agr_tec,all-year,all-week,night,0.17360000000
0,livestock,12,2040,2030,agr_tec,all-year,all-week,night,0.18520000000
0,livestock,14,2035,2020,agr_tec,all-year,all-week,night,0.34440000000
0,livestock,16,2035,2030,agr_tec,all-year,all-week,night,0.34440000000
0,livestock,16,2040,2030,agr_tec,all-year,all-week,night,0.36740000000
0,livestock,18,2035,2020,agr_tec,all-year,all-week,night,0.09030000000
0,livestock,20,2035,2025,agr_tec,all-year,all-week,night,0.09030000000
0,livestock,22,2040,2035,agr_tec,all-year,all-week,night,0.09630000000
0,livestock,24,2035,2020,agr_tec,all-year,all-week,night,0.41940000000
0,livestock,26,2035,2030,agr_tec,all-year,all-week,night,0.41940000000
0,livestock,26,2040,2030,agr_tec,all-year,all-week,night,0.44740000000
0,livestock,28,2035,2020,agr_tec,all-year,all-week,night,0.10690000000
