asset,year,region,installed,technology,capacity
0,2020,BajaCalif,2020,procChemFertiliz,6.38000000000
0,2025,BajaCalif,2020,procChemFertiliz,4.78500000000
0,2030,BajaCalif,2020,procChemFertiliz,3.19000000000
0,2035,BajaCalif,2020,procChemFertiliz,1.59500000000
1,2020,BajaCalif,2020,procChemNG_NG,200.90000000000
1,2025,BajaCalif,2020,procChemNG_NG,150.67500000000
1,2030,BajaCalif,2020,procChemNG_NG,100.45000000000
1,2035,BajaCalif,2020,procChemNG_NG,50.22500000000
2,2020,BajaCalif,2020,procGlass,91.24000000000
2,2025,BajaCalif,2020,procGlass,68.43000000000
2,2030,BajaCalif,2020,procGlass,45.62000000000
2,2035,BajaCalif,2020,procGlass,22.81000000000
3,2020,BajaCalif,2020,procIron_NG,429.68000000000
3,2025,BajaCalif,2020,procIron_NG,322.26000000000
3,2030,BajaCalif,2020,procIron_NG,214.84000000000
3,2035,BajaCalif,2020,procIron_NG,107.42000000000
4,2020,BajaCalif,2020,procMining,159.68000000000
4,2025,BajaCalif,2020,procMining,119.76000000000
4,2030,BajaCalif,2020,procMining,79.84000000000
4,2035,BajaCalif,2020,procMining,39.92000000000
5,2020,BajaCalif,2020,procNonmetminDry_NG,319.42000000000
5,2025,BajaCalif,2020,procNonmetminDry_NG,239.56500000000
5,2030,BajaCalif,2020,procNonmetminDry_NG,159.71000000000
5,2035,BajaCalif,2020,procNonmetminDry_NG,79.85500000000
6,2020,BajaCalif,2020,procOtherInd,70.34400000000
6,2025,BajaCalif,2020,procOtherInd,52.75800000000
6,2030,BajaCalif,2020,procOtherInd,35.17200000000
6,2035,BajaCalif,2020,procOtherInd,17.58600000000
7,2020,BajaCalif,2020,procPulppChem_NG,98.42000000000
7,2025,BajaCalif,2020,procPulppChem_NG,73.81500000000
7,2030,BajaCalif,2020,procPulppChem_NG,49.21000000000
7,2035,BajaCalif,2020,procPulppChem_NG,24.60500000000
8,2020,BajaCalif,2020,procRubber,19.30000000000
8,2025,BajaCalif,2020,procRubber,14.47500000000
8,2030,BajaCalif,2020,procRubber,9.65000000000
8,2035,BajaCalif,2020,procRubber,4.82500000000
9,2020,BajaCalif,2020,procSugar,72.62000000000
9,2025,BajaCalif,2020,procSugar,54.46500000000
9,2030,BajaCalif,2020,procSugar,36.31000000000
9,2035,BajaCalif,2020,procSugar,18.15500000000
10,2020,BajaCalifSouth,2020,procChemFertiliz,6.38000000000
10,2025,BajaCalifSouth,2020,procChemFertiliz,4.78500000000
10,2030,BajaCalifSouth,2020,procChemFertiliz,3.19000000000
10,2035,BajaCalifSouth,2020,procChemFertiliz,1.59500000000
11,2020,BajaCalifSouth,2020,procChemNG_NG,200.90000000000
11,2025,BajaCalifSouth,2020,procChemNG_NG,150.67500000000
11,2030,BajaCalifSouth,2020,procChemNG_NG,100.45000000000
11,2035,BajaCalifSouth,2020,procChemNG_NG,50.22500000000
12,2020,BajaCalifSouth,2020,procGlass,91.24000000000
12,2025,BajaCalifSouth,2020,procGlass,68.43000000000
12,2030,BajaCalifSouth,2020,procGlass,45.62000000000
12,2035,BajaCalifSouth,2020,procGlass,22.81000000000
13,2020,BajaCalifSouth,2020,procIron_NG,429.68000000000
13,2025,BajaCalifSouth,2020,procIron_NG,322.26000000000
13,2030,BajaCalifSouth,2020,procIron_NG,214.84000000000
13,2035,BajaCalifSouth,2020,procIron_NG,107.42000000000
14,2020,BajaCalifSouth,2020,procMining,159.68000000000
14,2025,BajaCalifSouth,2020,procMining,119.76000000000
14,2030,BajaCalifSouth,2020,procMining,79.84000000000
14,2035,BajaCalifSouth,2020,procMining,39.92000000000
15,2020,BajaCalifSouth,2020,procNonmetminDry_NG,319.42000000000
15,2025,BajaCalifSouth,2020,procNonmetminDry_NG,239.56500000000
15,2030,BajaCalifSouth,2020,procNonmetminDry_NG,159.71000000000
15,2035,BajaCalifSouth,2020,procNonmetminDry_NG,79.85500000000
16,2020,BajaCalifSouth,2020,procOtherInd,70.34400000000
16,2025,BajaCalifSouth,2020,procOtherInd,52.75800000000
16,2030,BajaCalifSouth,2020,procOtherInd,35.17200000000
16,2035,BajaCalifSouth,2020,procOtherInd,17.58600000000
17,2020,BajaCalifSouth,2020,procPulppChem_NG,98.42000000000
17,2025,BajaCalifSouth,2020,procPulppChem_NG,73.81500000000
17,2030,BajaCalifSouth,2020,procPulppChem_NG,49.21000000000
17,2035,BajaCalifSouth,2020,procPulppChem_NG,24.60500000000
18,2020,BajaCalifSouth,2020,procRubber,19.30000000000
18,2025,BajaCalifSouth,2020,procRubber,14.47500000000
18,2030,BajaCalifSouth,2020,procRubber,9.65000000000
18,2035,BajaCalifSouth,2020,procRubber,4.82500000000
19,2020,BajaCalifSouth,2020,procSugar,72.62000000000
19,2025,BajaCalifSouth,2020,procSugar,54.46500000000
19,2030,BajaCalifSouth,2020,procSugar,36.31000000000
19,2035,BajaCalifSouth,2020,procSugar,18.15500000000
20,2020,Central,2020,procChemFertiliz,6.38000000000
20,2025,Central,2020,procChemFertiliz,4.78500000000
20,2030,Central,2020,procChemFertiliz,3.19000000000
20,2035,Central,2020,procChemFertiliz,1.59500000000
21,2020,Central,2020,procChemNG_NG,200.90000000000
21,2025,Central,2020,procChemNG_NG,150.67500000000
21,2030,Central,2020,procChemNG_NG,100.45000000000
21,2035,Central,2020,procChemNG_NG,50.22500000000
22,2020,Central,2020,procGlass,91.24000000000
22,2025,Central,2020,procGlass,68.43000000000
22,2030,Central,2020,procGlass,45.62000000000
22,2035,Central,2020,procGlass,22.81000000000
23,2020,Central,2020,procIron_NG,429.68000000000
23,2025,Central,2020,procIron_NG,322.26000000000
23,2030,Central,2020,procIron_NG,214.84000000000
23,2035,Central,2020,procIron_NG,107.42000000000
24,2020,Central,2020,procMining,159.68000000000
24,2025,Central,2020,procMining,119.76000000000
24,2030,Central,2020,procMining,79.84000000000
24,2035,Central,2020,procMining,39.92000000000
25,2020,Central,2020,procNonmetminDry_NG,319.42000000000
25,2025,Central,2020,procNonmetminDry_NG,239.56500000000
25,2030,Central,2020,procNonmetminDry_NG,159.71000000000
25,2035,Central,2020,procNonmetminDry_NG,79.85500000000
26,2020,Central,2020,procOtherInd,70.34400000000
26,2025,Central,2020,procOtherInd,52.75800000000
26,2030,Central,2020,procOtherInd,35.17200000000
26,2035,Central,2020,procOtherInd,17.58600000000
27,2020,Central,2020,procPulppChem_NG,98.42000000000
27,2025,Central,2020,procPulppChem_NG,73.81500000000
27,2030,Central,2020,procPulppChem_NG,49.21000000000
