asset,year,region,installed,technology,capacity
0,2030,BajaCalif,2020,cars_gsl,26.56590000000
0,2035,BajaCalif,2020,cars_gsl,13.28300000000
0,2039,BajaCalif,2020,cars_gsl,2.65660000000
1,2030,BajaCalif,2020,cars_hyd,13.28300000000
1,2035,BajaCalif,2020,cars_hyd,6.64150000000
1,2039,BajaCalif,2020,cars_hyd,1.32830000000
2,2030,BajaCalif,2025,cars_gsl,39937.72780000000
2,2035,BajaCalif,2025,cars_gsl,39937.72780000000
2,2039,BajaCalif,2025,cars_gsl,39937.72780000000
3,2030,BajaCalif,2025,cars_hyd,29968.86390000000
3,2035,BajaCalif,2025,cars_hyd,29968.86390000000
3,2039,BajaCalif,2025,cars_hyd,29968.86390000000
4,2030,BajaCalifSouth,2020,cars_gsl,6.82120000000
4,2035,BajaCalifSouth,2020,cars_gsl,3.41060000000
4,2039,BajaCalifSouth,2020,cars_gsl,0.68210000000
5,2030,BajaCalifSouth,2020,cars_hyd,3.41060000000
5,2035,BajaCalifSouth,2020,cars_hyd,1.70530000000
5,2039,BajaCalifSouth,2020,cars_hyd,0.34110000000
6,2035,BajaCalifSouth,2030,cars_gsl,23414.02900000000
6,2039,BajaCalifSouth,2030,cars_gsl,23414.02900000000
6,2040,BajaCalifSouth,2030,cars_gsl,23414.02900000000
6,2044,BajaCalifSouth,2030,cars_gsl,23414.02900000000
7,2035,BajaCalifSouth,2030,cars_hyd,21707.01450000000
7,2039,BajaCalifSouth,2030,cars_hyd,21707.01450000000
7,2040,BajaCalifSouth,2030,cars_hyd,21707.01450000000
7,2044,BajaCalifSouth,2030,cars_hyd,21707.01450000000
8,2030,Central,2020,cars_gsl,41.79780000000
8,2035,Central,2020,cars_gsl,20.89890000000
8,2039,Central,2020,cars_gsl,4.17980000000
9,2030,Central,2020,cars_hyd,20.89890000000
9,2035,Central,2020,cars_hyd,10.44950000000
9,2039,Central,2020,cars_hyd,2.08990000000
10,2030,Eastern,2020,cars_gsl,162.67850000000
10,2035,Eastern,2020,cars_gsl,81.33920000000
10,2039,Eastern,2020,cars_gsl,16.26780000000
11,2030,Eastern,2020,cars_hyd,81.33920000000
11,2035,Eastern,2020,cars_hyd,40.66960000000
11,2039,Eastern,2020,cars_hyd,8.13390000000
12,2030,North,2020,cars_gsl,53.55760000000
12,2035,North,2020,cars_gsl,26.77880000000
12,2039,North,2020,cars_gsl,5.35580000000
13,2030,North,2020,cars_hyd,26.77880000000
13,2035,North,2020,cars_hyd,13.38940000000
13,2039,North,2020,cars_hyd,2.67790000000
14,2030,Northeast,2020,cars_gsl,150.00100000000
14,2035,Northeast,2020,cars_gsl,75.00050000000
14,2039,Northeast,2020,cars_gsl,15.00010000000
15,2030,Northeast,2020,cars_hyd,75.00050000000
15,2035,Northeast,2020,cars_hyd,37.50020000000
15,2039,Northeast,2020,cars_hyd,7.50000000000
16,2030,Northeast,2025,cars_gsl,39849.99900000000
16,2035,Northeast,2025,cars_gsl,39849.99900000000
16,2039,Northeast,2025,cars_gsl,39849.99900000000
17,2030,Northeast,2025,cars_hyd,39924.99950000000
17,2035,Northeast,2025,cars_hyd,39924.99950000000
17,2039,Northeast,2025,cars_hyd,39924.99950000000
18,2030,Northwest,2020,cars_gsl,69.18680000000
18,2035,Northwest,2020,cars_gsl,34.59340000000
18,2039,Northwest,2020,cars_gsl,6.91870000000
19,2030,Northwest,2020,cars_hyd,34.59340000000
19,2035,Northwest,2020,cars_hyd,17.29670000000
19,2039,Northwest,2020,cars_hyd,3.45930000000
20,2030,Peninsular,2020,cars_gsl,21.62580000000
20,2035,Peninsular,2020,cars_gsl,10.81290000000
20,2039,Peninsular,2020,cars_gsl,2.16260000000
21,2030,Peninsular,2020,cars_hyd,10.81290000000
21,2035,Peninsular,2020,cars_hyd,5.40650000000
21,2039,Peninsular,2020,cars_hyd,1.08130000000
22,2030,Western,2020,cars_gsl,141.98300000000
22,2035,Western,2020,cars_gsl,70.99150000000
22,2039,Western,2020,cars_gsl,14.19830000000
23,2030,Western,2020,cars_hyd,70.99150000000
23,2035,Western,2020,cars_hyd,35.49570000000
23,2039,Western,2020,cars_hyd,7.09910000000
