timeslice,commodity,asset,year,installed,technology,month,day,hour,supply
0,cars,0,2030,2020,cars_gsl,all-year,all-week,night,4.42770000000
0,cars,0,2035,2020,cars_gsl,all-year,all-week,night,2.21380000000
0,cars,1,2030,2020,cars_hyd,all-year,all-week,night,2.21380000000
0,cars,1,2035,2020,cars_hyd,all-year,all-week,night,1.10690000000
0,cars,2,2030,2025,cars_gsl,all-year,all-week,night,7.77780000000
0,cars,2,2035,2025,cars_gsl,all-year,all-week,night,8.33330000000
0,cars,3,2030,2025,cars_hyd,all-year,all-week,night,7.77780000000
0,cars,3,2035,2025,cars_hyd,all-year,all-week,night,8.33330000000
0,cars,4,2030,2020,cars_gsl,all-year,all-week,night,1.13690000000
0,cars,4,2035,2020,cars_gsl,all-year,all-week,night,0.56840000000
0,cars,5,2030,2020,cars_hyd,all-year,all-week,night,0.56840000000
0,cars,5,2035,2020,cars_hyd,all-year,all-week,night,0.28420000000
0,cars,6,2035,2030,cars_gsl,all-year,all-week,night,1.45830000000
0,cars,7,2035,2030,cars_hyd,all-year,all-week,night,1.45830000000
0,cars,14,2030,2020,cars_gsl,all-year,all-week,night,25.00020000000
0,cars,14,2035,2020,cars_gsl,all-year,all-week,night,12.50010000000
0,cars,15,2030,2020,cars_hyd,all-year,all-week,night,12.50010000000
0,cars,15,2035,2020,cars_hyd,all-year,all-week,night,6.25000000000
0,cars,16,2030,2025,cars_gsl,all-year,all-week,night,58.72220000000
0,cars,16,2035,2025,cars_gsl,all-year,all-week,night,62.91670000000
0,cars,17,2030,2025,cars_hyd,all-year,all-week,night,58.72220000000
0,cars,17,2035,2025,cars_hyd,all-year,all-week,night,62.91670000000
0,cars,20,2030,2020,cars_gsl,all-year,all-week,night,2.33330000000
0,cars,20,2035,2020,cars_gsl,all-year,all-week,night,1.80220000000
0,cars,21,2030,2020,cars_hyd,all-year,all-week,night,1.80220000000
0,cars,21,2035,2020,cars_hyd,all-year,all-week,night,0.90110000000
1,cars,0,2030,2020,cars_gsl,all-year,all-week,morning,4.42770000000
1,cars,0,2035,2020,cars_gsl,all-year,all-week,morning,2.21380000000
1,cars,1,2030,2020,cars_hyd,all-year,all-week,morning,2.21380000000
1,cars,1,2035,2020,cars_hyd,all-year,all-week,morning,1.10690000000
1,cars,2,2030,2025,cars_gsl,all-year,all-week,morning,7.77780000000
1,cars,2,2035,2025,cars_gsl,all-year,all-week,morning,8.33330000000
1,cars,3,2030,2025,cars_hyd,all-year,all-week,morning,7.77780000000
1,cars,3,2035,2025,cars_hyd,all-year,all-week,morning,8.33330000000
1,cars,4,2030,2020,cars_gsl,all-year,all-week,morning,1.13690000000
1,cars,4,2035,2020,cars_gsl,all-year,all-week,morning,0.56840000000
1,cars,5,2030,2020,cars_hyd,all-year,all-week,morning,0.56840000000
1,cars,5,2035,2020,cars_hyd,all-year,all-week,morning,0.28420000000
1,cars,6,2035,2030,cars_gsl,all-year,all-week,morning,1.45830000000
1,cars,7,2035,2030,cars_hyd,all-year,all-week,morning,1.45830000000
1,cars,14,2030,2020,cars_gsl,all-year,all-week,morning,25.00020000000
1,cars,14,2035,2020,cars_gsl,all-year,all-week,morning,12.50010000000
1,cars,15,2030,2020,cars_hyd,all-year,all-week,morning,12.50010000000
1,cars,15,2035,2020,cars_hyd,all-year,all-week,morning,6.25000000000
1,cars,16,2030,2025,cars_gsl,all-year,all-week,morning,58.72220000000
1,cars,16,2035,2025,cars_gsl,all-year,all-week,morning,62.91670000000
1,cars,17,2030,2025,cars_hyd,all-year,all-week,morning,58.72220000000
1,cars,17,2035,2025,cars_hyd,all-year,all-week,morning,62.91670000000
1,cars,20,2030,2020,cars_gsl,all-year,all-week,morning,2.33330000000
1,cars,20,2035,2020,cars_gsl,all-year,all-week,morning,1.80220000000
1,cars,21,2030,2020,cars_hyd,all-year,all-week,morning,1.80220000000
1,cars,21,2035,2020,cars_hyd,all-year,all-week,morning,0.90110000000
2,cars,0,2030,2020,cars_gsl,all-year,all-week,afternoon,4.42770000000
2,cars,0,2035,2020,cars_gsl,all-year,all-week,afternoon,2.21380000000
2,cars,1,2030,2020,cars_hyd,all-year,all-week,afternoon,2.21380000000
2,cars,1,2035,2020,cars_hyd,all-year,all-week,afternoon,1.10690000000
2,cars,2,2030,2025,cars_gsl,all-year,all-week,afternoon,7.77780000000
2,cars,2,2035,2025,cars_gsl,all-year,all-week,afternoon,8.33330000000
2,cars,3,2030,2025,cars_hyd,all-year,all-week,afternoon,7.77780000000
2,cars,3,2035,2025,cars_hyd,all-year,all-week,afternoon,8.33330000000
2,cars,4,2030,2020,cars_gsl,all-year,all-week,afternoon,1.13690000000
2,cars,4,2035,2020,cars_gsl,all-year,all-week,afternoon,0.56840000000
2,cars,5,2030,2020,cars_hyd,all-year,all-week,afternoon,0.56840000000
2,cars,5,2035,2020,cars_hyd,all-year,all-week,afternoon,0.28420000000
2,cars,6,2035,2030,cars_gsl,all-year,all-week,afternoon,1.45830000000
2,cars,7,2035,2030,cars_hyd,all-year,all-week,afternoon,1.45830000000
2,cars,14,2030,2020,cars_gsl,all-year,all-week,afternoon,25.00020000000
2,cars,14,2035,2020,cars_gsl,all-year,all-week,afternoon,12.50010000000
2,cars,15,2030,2020,cars_hyd,all-year,all-week,afternoon,12.50010000000
2,cars,15,2035,2020,cars_hyd,all-year,all-week,afternoon,6.25000000000
2,cars,16,2030,2025,cars_gsl,all-year,all-week,afternoon,58.72220000000
2,cars,16,2035,2025,cars_gsl,all-year,all-week,afternoon,62.91670000000
2,cars,17,2030,2025,cars_hyd,all-year,all-week,afternoon,58.72220000000
2,cars,17,2035,2025,cars_hyd,all-year,all-week,afternoon,62.91670000000
2,cars,20,2030,2020,cars_gsl,all-year,all-week,afternoon,2.33330000000
2,cars,20,2035,2020,cars_gsl,all-year,all-week,afternoon,1.80220000000
2,cars,21,2030,2020,cars_hyd,all-year,all-week,afternoon,1.80220000000
2,cars,21,2035,2020,cars_hyd,all-year,all-week,afternoon,0.90110000000
