ProcessName,RegionName,Unit,2020,2025,2030,2035,2040,2045,2050
procChemCoal_Hardcoal,Central,PJ/y,0,0,0,0,0,0,0
procChemCoal_Hardcoal_CCS,Central,PJ/y,0,0,0,0,0,0,0
procChemHFO_HFO,Central,PJ/y,0,0,0,0,0,0,0
procChemHFO_HFO_CCS,Central,PJ/y,0,0,0,0,0,0,0
procChemNG_Biogas,Central,PJ/y,0,0,0,0,0,0,0
procChemNG_Biogas_CCS,Central,PJ/y,0,0,0,0,0,0,0
procChemNG_NG,Central,PJ/y,100.45,75.3375,50.225,25.1125,0,0,0
procChemNG_NG_CCS,Central,PJ/y,0,0,0,0,0,0,0
procIron_Biogas,Central,PJ/y,0,0,0,0,0,0,0
procIron_Biogas_CCS,Central,PJ/y,0,0,0,0,0,0,0
procIron_ForRes,Central,PJ/y,0,0,0,0,0,0,0
procIron_ForRes_CCS,Central,PJ/y,0,0,0,0,0,0,0
procIron_Hardcoal,Central,PJ/y,0,0,0,0,0,0,0
procIron_Hardcoal_CCS,Central,PJ/y,0,0,0,0,0,0,0
procIron_HFO,Central,PJ/y,0,0,0,0,0,0,0
procIron_HFO_CCS,Central,PJ/y,0,0,0,0,0,0,0
procIron_LPG,Central,PJ/y,0,0,0,0,0,0,0
procIron_LPG_CCS,Central,PJ/y,0,0,0,0,0,0,0
procIron_NG,Central,PJ/y,214.84,161.13,107.42,53.71,0,0,0
procIron_NG_CCS,Central,PJ/y,0,0,0,0,0,0,0
procNonmetminDry_Biogas,Central,PJ/y,0,0,0,0,0,0,0
procNonmetminDry_Biogas_CCS,Central,PJ/y,0,0,0,0,0,0,0
procNonmetminDry_ForRes,Central,PJ/y,0,0,0,0,0,0,0
procNonmetminDry_ForRes_CCS,Central,PJ/y,0,0,0,0,0,0,0
procNonmetminDry_Hardcoal,Central,PJ/y,0,0,0,0,0,0,0
procNonmetminDry_Hardcoal_CCS,Central,PJ/y,0,0,0,0,0,0,0
procNonmetminDry_HFO,Central,PJ/y,0,0,0,0,0,0,0
procNonmetminDry_HFO_CCS,Central,PJ/y,0,0,0,0,0,0,0
procNonmetminDry_LPG,Central,PJ/y,0,0,0,0,0,0,0
procNonmetminDry_LPG_CCS,Central,PJ/y,0,0,0,0,0,0,0
procNonmetminDry_NG,Central,PJ/y,159.71,119.7825,79.855,39.9275,0,0,0
procNonmetminDry_NG_CCS,Central,PJ/y,0,0,0,0,0,0,0
procPulppChem_Biogas,Central,PJ/y,0,0,0,0,0,0,0
procPulppChem_Biogas_CCS,Central,PJ/y,0,0,0,0,0,0,0
procPulppChem_ForRes,Central,PJ/y,0,0,0,0,0,0,0
procPulppChem_ForRes_CCS,Central,PJ/y,0,0,0,0,0,0,0
procPulppChem_Hardcoal,Central,PJ/y,0,0,0,0,0,0,0
procPulppChem_Hardcoal_CCS,Central,PJ/y,0,0,0,0,0,0,0
procPulppChem_HFO,Central,PJ/y,0,0,0,0,0,0,0
procPulppChem_HFO_CCS,Central,PJ/y,0,0,0,0,0,0,0
procPulppChem_LPG,Central,PJ/y,0,0,0,0,0,0,0
procPulppChem_LPG_CCS,Central,PJ/y,0,0,0,0,0,0,0
procPulppChem_NG,Central,PJ/y,49.21,36.9075,24.605,12.3025,0,0,0
procPulppChem_NG_CCS,Central,PJ/y,0,0,0,0,0,0,0
procPulppMech_Biogas,Central,PJ/y,0,0,0,0,0,0,0
procPulppMech_Biogas_CCS,Central,PJ/y,0,0,0,0,0,0,0
