ProcessName,RegionName,Unit,2020,2025,2030,2035,2040,2045,2050
cars_gsl,Central,PJ/y,41.7978144,31.3483608,20.8989072,10.4494536,5.2247268,2.6123634,1.3061817
cars_hyd,Central,PJ/y,20.8989072,15.6741804,10.4494536,5.2247268,2.6123634,1.3061817,0.65309085
cars_gsl,Eastern,PJ/y,162.678456,122.008842,81.339228,40.669614,20.334807,10.1674035,5.08370175
cars_hyd,Eastern,PJ/y,81.339228,61.004421,40.669614,20.334807,10.1674035,5.08370175,2.541850875
cars_gsl,Western,PJ/y,141.982956,106.487217,70.991478,35.495739,17.7478695,8.87393475,4.436967375
cars_hyd,Western,PJ/y,70.991478,53.2436085,35.495739,17.7478695,8.87393475,4.436967375,2.218483688
cars_gsl,Northwest,PJ/y,69.1868304,51.8901228,34.5934152,17.2967076,8.6483538,4.3241769,2.16208845
cars_hyd,Northwest,PJ/y,34.5934152,25.9450614,17.2967076,8.6483538,4.3241769,2.16208845,1.081044225
cars_gsl,North,PJ/y,53.5575888,40.1681916,26.7787944,13.3893972,6.6946986,3.3473493,1.67367465
cars_hyd,North,PJ/y,26.7787944,20.0840958,13.3893972,6.6946986,3.3473493,1.67367465,0.836837325
cars_gsl,Northeast,PJ/y,150.000984,112.500738,75.000492,37.500246,18.750123,9.3750615,4.68753075
cars_hyd,Northeast,PJ/y,75.000492,56.250369,37.500246,18.750123,9.3750615,4.68753075,2.343765375
cars_gsl,BajaCalif,PJ/y,26.5659264,19.9244448,13.2829632,6.6414816,3.3207408,1.6603704,0.8301852
cars_hyd,BajaCalif,PJ/y,13.2829632,9.9622224,6.6414816,3.3207408,1.6603704,0.8301852,0.4150926
cars_gsl,BajaCalifSouth,PJ/y,6.8212368,5.1159276,3.4106184,1.7053092,0.8526546,0.4263273,0.21316365
cars_hyd,BajaCalifSouth,PJ/y,3.4106184,2.5579638,1.7053092,0.8526546,0.4263273,0.21316365,0.106581825
cars_gsl,Peninsular,PJ/y,21.625812,16.219359,10.812906,5.406453,2.7032265,1.35161325,0.675806625
cars_hyd,Peninsular,PJ/y,10.812906,8.1096795,5.406453,2.7032265,1.35161325,0.675806625,0.337903313
