asset,year,dst_region,region,technology,installed,capacity
0,2030,BajaCalif,BajaCalif,CC_GAS,2020,167.14270000000
0,2035,BajaCalif,BajaCalif,CC_GAS,2020,51.55570000000
0,2040,BajaCalif,BajaCalif,CC_GAS,2020,47.28570000000
0,2045,BajaCalif,BajaCalif,CC_GAS,2020,42.23990000000
0,2049,BajaCalif,BajaCalif,CC_GAS,2020,8.44800000000
2,2030,BajaCalif,BajaCalif,OC_GAS,2020,16.81310000000
2,2035,BajaCalif,BajaCalif,OC_GAS,2020,16.81310000000
2,2040,BajaCalif,BajaCalif,OC_GAS,2020,16.81310000000
2,2045,BajaCalif,BajaCalif,OC_GAS,2020,4.46550000000
2,2049,BajaCalif,BajaCalif,OC_GAS,2020,0.89310000000
3,2030,BajaCalif,BajaCalif,OC_OIL,2020,0.80920000000
3,2035,BajaCalif,BajaCalif,OC_OIL,2020,0.21000000000
4,2030,BajaCalif,BajaCalif,ON_WIND,2020,12.36210000000
4,2035,BajaCalif,BajaCalif,ON_WIND,2020,11.73140000000
4,2040,BajaCalif,BajaCalif,ON_WIND,2020,11.73140000000
5,2030,BajaCalif,BajaCalif,PV_GND,2020,0.06560000000
5,2035,BajaCalif,BajaCalif,PV_GND,2020,0.06560000000
6,2030,BajaCalif,BajaCalif,PV_SSG,2020,4.22580000000
6,2035,BajaCalif,BajaCalif,PV_SSG,2020,4.22580000000
6,2040,BajaCalif,BajaCalif,PV_SSG,2020,4.22580000000
6,2045,BajaCalif,BajaCalif,PV_SSG,2020,1.65170000000
6,2049,BajaCalif,BajaCalif,PV_SSG,2020,0.33030000000
7,2030,BajaCalifSouth,BajaCalifSouth,GEOTH,2020,0.63070000000
8,2030,BajaCalifSouth,BajaCalifSouth,OC_GAS,2020,2.90130000000
8,2035,BajaCalifSouth,BajaCalifSouth,OC_GAS,2020,2.90130000000
8,2040,BajaCalifSouth,BajaCalifSouth,OC_GAS,2020,2.90130000000
10,2030,BajaCalifSouth,BajaCalifSouth,OC_OIL,2020,35.56060000000
10,2035,BajaCalifSouth,BajaCalifSouth,OC_OIL,2020,9.92440000000
10,2040,BajaCalifSouth,BajaCalifSouth,OC_OIL,2020,1.26140000000
12,2030,BajaCalifSouth,BajaCalifSouth,PV_GND,2020,3.53010000000
12,2035,BajaCalifSouth,BajaCalifSouth,PV_GND,2020,3.53010000000
12,2040,BajaCalifSouth,BajaCalifSouth,PV_GND,2020,1.57680000000
13,2030,BajaCalifSouth,BajaCalifSouth,PV_SSG,2020,1.07200000000
13,2035,BajaCalifSouth,BajaCalifSouth,PV_SSG,2020,1.07200000000
13,2040,BajaCalifSouth,BajaCalifSouth,PV_SSG,2020,1.07200000000
13,2045,BajaCalifSouth,BajaCalifSouth,PV_SSG,2020,0.00030000000
13,2049,BajaCalifSouth,BajaCalifSouth,PV_SSG,2020,0.00010000000
14,2030,Central,Central,BIO,2020,2.29140000000
14,2035,Central,Central,BIO,2020,2.29140000000
14,2040,Central,Central,BIO,2020,2.12300000000
15,2030,Central,Central,CC_GAS,2020,77.11810000000
15,2035,Central,Central,CC_GAS,2020,77.11810000000
15,2040,Central,Central,CC_GAS,2020,77.11810000000
15,2045,Central,Central,CC_GAS,2020,77.11810000000
15,2049,Central,Central,CC_GAS,2020,44.01740000000
15,2050,Central,Central,CC_GAS,2020,35.74230000000
15,2054,Central,Central,CC_GAS,2020,35.74230000000
15,2055,Central,Central,CC_GAS,2020,35.74230000000
15,2059,Central,Central,CC_GAS,2020,35.74230000000
15,2060,Central,Central,CC_GAS,2020,35.74230000000
15,2064,Central,Central,CC_GAS,2020,35.74230000000
15,2065,Central,Central,CC_GAS,2020,35.74230000000
15,2069,Central,Central,CC_GAS,2020,35.74230000000
15,2070,Central,Central,CC_GAS,2020,35.74230000000
15,2074,Central,Central,CC_GAS,2020,35.74230000000
15,2075,Central,Central,CC_GAS,2020,35.74230000000
15,2084,Central,Central,CC_GAS,2020,35.74230000000
15,2085,Central,Central,CC_GAS,2020,35.74230000000
15,2089,Central,Central,CC_GAS,2020,35.74230000000
15,2090,Central,Central,CC_GAS,2020,35.74230000000
15,2094,Central,Central,CC_GAS,2020,35.74230000000
15,2095,Central,Central,CC_GAS,2020,35.74230000000
16,2030,Central,Central,HYD_LS,2020,18.85220000000
16,2035,Central,Central,HYD_LS,2020,18.85220000000
16,2040,Central,Central,HYD_LS,2020,18.85220000000
16,2045,Central,Central,HYD_LS,2020,18.85220000000
16,2049,Central,Central,HYD_LS,2020,4.11860000000
16,2050,Central,Central,HYD_LS,2020,0.43520000000
16,2054,Central,Central,HYD_LS,2020,0.43520000000
16,2055,Central,Central,HYD_LS,2020,0.43520000000
16,2059,Central,Central,HYD_LS,2020,0.43520000000
16,2060,Central,Central,HYD_LS,2020,0.43520000000
16,2064,Central,Central,HYD_LS,2020,0.43520000000
16,2065,Central,Central,HYD_LS,2020,0.43520000000
16,2069,Central,Central,HYD_LS,2020,0.43520000000
16,2070,Central,Central,HYD_LS,2020,0.43520000000
16,2074,Central,Central,HYD_LS,2020,0.43520000000
16,2075,Central,Central,HYD_LS,2020,0.43520000000
16,2084,Central,Central,HYD_LS,2020,0.43520000000
16,2085,Central,Central,HYD_LS,2020,0.43520000000
16,2089,Central,Central,HYD_LS,2020,0.43520000000
16,2090,Central,Central,HYD_LS,2020,0.43520000000
16,2094,Central,Central,HYD_LS,2020,0.43520000000
16,2095,Central,Central,HYD_LS,2020,0.43520000000
17,2030,Central,Central,OC_GAS,2020,71.13070000000
17,2035,Central,Central,OC_GAS,2020,23.39400000000
17,2040,Central,Central,OC_GAS,2020,17.68980000000
17,2045,Central,Central,OC_GAS,2020,0.06940000000
17,2049,Central,Central,OC_GAS,2020,0.01390000000
18,2030,Central,Central,OC_OIL,2020,4.60430000000
18,2035,Central,Central,OC_OIL,2020,0.54180000000
18,2040,Central,Central,OC_OIL,2020,0.37840000000
19,2030,Central,Central,ON_WIND,2020,0.41690000000
19,2035,Central,Central,ON_WIND,2020,0.41690000000
20,2030,Central,Central,PV_GND,2020,1.34600000000
20,2035,Central,Central,PV_GND,2020,1.34600000000
20,2040,Central,Central,PV_GND,2020,1.34600000000
21,2030,Central,Central,PV_SSG,2020,15.16090000000
21,2035,Central,Central,PV_SSG,2020,15.16090000000
21,2040,Central,Central,PV_SSG,2020,15.16090000000
21,2045,Central,Central,PV_SSG,2020,3.90230000000
21,2049,Central,Central,PV_SSG,2020,0.78050000000
22,2030,Eastern,Eastern,BIO,2020,15.98880000000
22,2035,Eastern,Eastern,BIO,2020,15.18460000000
22,2040,Eastern,Eastern,BIO,2020,11.33910000000
23,2030,Eastern,Eastern,CC_GAS,2020,221.94090000000
23,2035,Eastern,Eastern,CC_GAS,2020,97.26770000000
23,2040,Eastern,Eastern,CC_GAS,2020,57.91080000000
23,2045,Eastern,Eastern,CC_GAS,2020,50.46830000000
23,2049,Eastern,Eastern,CC_GAS,2020,10.09370000000
25,2030,Eastern,Eastern,COAL,2020,175.23670000000
26,2030,Eastern,Eastern,HYD_LS,2020,233.85840000000
26,2035,Eastern,Eastern,HYD_LS,2020,82.48560000000
26,2040,Eastern,Eastern,HYD_LS,2020,18.15210000000
26,2045,Eastern,Eastern,HYD_LS,2020,17.45640000000
26,2049,Eastern,Eastern,HYD_LS,2020,17.39290000000
26,2050,Eastern,Eastern,HYD_LS,2020,17.37700000000
26,2054,Eastern,Eastern,HYD_LS,2020,8.68850000000
26,2055,Eastern,Eastern,HYD_LS,2020,8.68850000000
26,2059,Eastern,Eastern,HYD_LS,2020,8.68850000000
26,2060,Eastern,Eastern,HYD_LS,2020,8.68850000000
26,2064,Eastern,Eastern,HYD_LS,2020,8.68850000000
26,2065,Eastern,Eastern,HYD_LS,2020,8.68850000000
26,2069,Eastern,Eastern,HYD_LS,2020,8.68850000000
26,2070,Eastern,Eastern,HYD_LS,2020,8.68850000000
26,2074,Eastern,Eastern,HYD_LS,2020,8.68850000000
26,2075,Eastern,Eastern,HYD_LS,2020,8.68850000000
26,2084,Eastern,Eastern,HYD_LS,2020,8.68850000000
26,2085,Eastern,Eastern,HYD_LS,2020,8.68850000000
26,2089,Eastern,Eastern,HYD_LS,2020,8.68850000000
26,2090,Eastern,Eastern,HYD_LS,2020,8.68850000000
26,2094,Eastern,Eastern,HYD_LS,2020,8.68850000000
26,2095,Eastern,Eastern,HYD_LS,2020,8.68850000000
27,2030,Eastern,Eastern,NUCL,2020,103.05960000000
27,2035,Eastern,Eastern,NUCL,2020,103.05960000000
27,2040,Eastern,Eastern,NUCL,2020,103.05960000000
27,2045,Eastern,Eastern,NUCL,2020,103.05960000000
27,2049,Eastern,Eastern,NUCL,2020,103.05960000000
27,2050,Eastern,Eastern,NUCL,2020,103.05960000000
27,2054,Eastern,Eastern,NUCL,2020,51.52980000000
27,2055,Eastern,Eastern,NUCL,2020,51.52980000000
27,2059,Eastern,Eastern,NUCL,2020,51.52980000000
27,2060,Eastern,Eastern,NUCL,2020,51.52980000000
27,2064,Eastern,Eastern,NUCL,2020,51.52980000000
27,2065,Eastern,Eastern,NUCL,2020,51.52980000000
27,2069,Eastern,Eastern,NUCL,2020,51.52980000000
27,2070,Eastern,Eastern,NUCL,2020,51.52980000000
27,2074,Eastern,Eastern,NUCL,2020,51.52980000000
27,2075,Eastern,Eastern,NUCL,2020,51.52980000000
27,2084,Eastern,Eastern,NUCL,2020,51.52980000000
27,2085,Eastern,Eastern,NUCL,2020,51.52980000000
27,2089,Eastern,Eastern,NUCL,2020,51.52980000000
27,2090,Eastern,Eastern,NUCL,2020,51.52980000000
27,2094,Eastern,Eastern,NUCL,2020,51.52980000000
27,2095,Eastern,Eastern,NUCL,2020,51.52980000000
28,2030,Eastern,Eastern,OC_GAS,2020,74.45020000000
28,2035,Eastern,Eastern,OC_GAS,2020,20.17990000000
28,2040,Eastern,Eastern,OC_GAS,2020,14.90830000000
29,2030,Eastern,Eastern,OC_OIL,2020,3.00660000000
29,2035,Eastern,Eastern,OC_OIL,2020,0.94990000000
29,2040,Eastern,Eastern,OC_OIL,2020,0.41380000000
30,2030,Eastern,Eastern,ON_WIND,2020,189.64620000000
30,2035,Eastern,Eastern,ON_WIND,2020,167.41960000000
30,2040,Eastern,Eastern,ON_WIND,2020,54.19270000000
30,2045,Eastern,Eastern,ON_WIND,2020,14.23850000000
30,2049,Eastern,Eastern,ON_WIND,2020,2.84770000000
32,2030,Eastern,Eastern,PV_GND,2020,27.80210000000
32,2035,Eastern,Eastern,PV_GND,2020,27.80210000000
32,2040,Eastern,Eastern,PV_GND,2020,27.80210000000
32,2045,Eastern,Eastern,PV_GND,2020,27.80210000000
32,2049,Eastern,Eastern,PV_GND,2020,5.56040000000
33,2030,Eastern,Eastern,PV_SSG,2020,9.75950000000
33,2035,Eastern,Eastern,PV_SSG,2020,9.75950000000
33,2040,Eastern,Eastern,PV_SSG,2020,9.75950000000
33,2045,Eastern,Eastern,PV_SSG,2020,3.50840000000
33,2049,Eastern,Eastern,PV_SSG,2020,0.70170000000
34,2030,North,North,BIO,2020,0.71590000000
34,2035,North,North,BIO,2020,0.71590000000
34,2040,North,North,BIO,2020,0.21130000000
35,2030,North,North,CC_GAS,2020,230.96150000000
35,2035,North,North,CC_GAS,2020,174.38340000000
35,2040,North,North,CC_GAS,2020,141.97630000000
35,2045,North,North,CC_GAS,2020,61.17290000000
35,2049,North,North,CC_GAS,2020,61.17290000000
35,2050,North,North,CC_GAS,2020,61.17290000000
35,2054,North,North,CC_GAS,2020,52.43390000000
35,2055,North,North,CC_GAS,2020,50.24920000000
35,2059,North,North,CC_GAS,2020,41.51020000000
35,2060,North,North,CC_GAS,2020,39.32540000000
35,2064,North,North,CC_GAS,2020,30.58650000000
35,2065,North,North,CC_GAS,2020,30.58650000000
35,2069,North,North,CC_GAS,2020,30.58650000000
35,2070,North,North,CC_GAS,2020,30.58650000000
35,2074,North,North,CC_GAS,2020,30.58650000000
35,2075,North,North,CC_GAS,2020,30.58650000000
35,2084,North,North,CC_GAS,2020,30.58650000000
35,2085,North,North,CC_GAS,2020,30.58650000000
35,2089,North,North,CC_GAS,2020,30.58650000000
35,2090,North,North,CC_GAS,2020,30.58650000000
35,2094,North,North,CC_GAS,2020,30.58650000000
35,2095,North,North,CC_GAS,2020,30.58650000000
36,2030,North,North,COAL,2020,4.09970000000
36,2035,North,North,COAL,2020,4.09970000000
36,2040,North,North,COAL,2020,4.09970000000
36,2045,North,North,COAL,2020,4.09970000000
36,2049,North,North,COAL,2020,0.81990000000
38,2030,North,North,HYD_LS,2020,1.24440000000
38,2035,North,North,HYD_LS,2020,1.24440000000
38,2040,North,North,HYD_LS,2020,1.24440000000
38,2045,North,North,HYD_LS,2020,1.24440000000
38,2049,North,North,HYD_LS,2020,1.24440000000
38,2050,North,North,HYD_LS,2020,1.24440000000
38,2054,North,North,HYD_LS,2020,1.06660000000
38,2055,North,North,HYD_LS,2020,1.02220000000
38,2059,North,North,HYD_LS,2020,0.84440000000
38,2060,North,North,HYD_LS,2020,0.80000000000
38,2064,North,North,HYD_LS,2020,0.62220000000
38,2065,North,North,HYD_LS,2020,0.62220000000
38,2069,North,North,HYD_LS,2020,0.62220000000
38,2070,North,North,HYD_LS,2020,0.62220000000
38,2074,North,North,HYD_LS,2020,0.62220000000
38,2075,North,North,HYD_LS,2020,0.62220000000
38,2084,North,North,HYD_LS,2020,0.62220000000
38,2085,North,North,HYD_LS,2020,0.62220000000
38,2089,North,North,HYD_LS,2020,0.62220000000
38,2090,North,North,HYD_LS,2020,0.62220000000
38,2094,North,North,HYD_LS,2020,0.62220000000
38,2095,North,North,HYD_LS,2020,0.62220000000
39,2030,North,North,OC_GAS,2020,9.71810000000
39,2035,North,North,OC_GAS,2020,9.71810000000
39,2040,North,North,OC_GAS,2020,8.14640000000
40,2030,North,North,OC_OIL,2020,2.72160000000
40,2035,North,North,OC_OIL,2020,0.23020000000
41,2030,North,North,PV_GND,2020,47.42130000000
41,2035,North,North,PV_GND,2020,47.42130000000
41,2040,North,North,PV_GND,2020,47.42130000000
41,2045,North,North,PV_GND,2020,5.83420000000
41,2049,North,North,PV_GND,2020,1.16680000000
42,2030,North,North,PV_SSG,2020,11.45270000000
42,2035,North,North,PV_SSG,2020,11.45270000000
42,2040,North,North,PV_SSG,2020,11.45270000000
42,2045,North,North,PV_SSG,2020,4.77000000000
42,2049,North,North,PV_SSG,2020,0.95400000000
43,2030,Northeast,Northeast,BIO,2020,3.05770000000
43,2035,Northeast,Northeast,BIO,2020,3.05770000000
43,2040,Northeast,Northeast,BIO,2020,0.05420000000
44,2030,Northeast,Northeast,CC_GAS,2020,666.29580000000
44,2035,Northeast,Northeast,CC_GAS,2020,380.76440000000
44,2040,Northeast,Northeast,CC_GAS,2020,275.96210000000
44,2045,Northeast,Northeast,CC_GAS,2020,275.96210000000
44,2049,Northeast,Northeast,CC_GAS,2020,55.19240000000
45,2030,Northeast,Northeast,COAL,2020,88.30080000000
48,2030,Northeast,Northeast,HYD_LS,2020,4.16280000000
48,2035,Northeast,Northeast,HYD_LS,2020,4.16280000000
50,2030,Northeast,Northeast,OC_GAS,2020,91.78810000000
50,2035,Northeast,Northeast,OC_GAS,2020,71.69900000000
50,2040,Northeast,Northeast,OC_GAS,2020,65.87810000000
50,2045,Northeast,Northeast,OC_GAS,2020,48.43930000000
50,2049,Northeast,Northeast,OC_GAS,2020,9.68790000000
51,2030,Northeast,Northeast,OC_OIL,2020,3.08360000000
51,2035,Northeast,Northeast,OC_OIL,2020,1.42860000000
52,2030,Northeast,Northeast,ON_WIND,2020,151.95310000000
52,2035,Northeast,Northeast,ON_WIND,2020,151.95310000000
52,2040,Northeast,Northeast,ON_WIND,2020,147.15960000000
52,2045,Northeast,Northeast,ON_WIND,2020,6.03600000000
52,2049,Northeast,Northeast,ON_WIND,2020,1.20720000000
53,2030,Northeast,Northeast,PV_GND,2020,53.09020000000
53,2035,Northeast,Northeast,PV_GND,2020,53.09020000000
53,2040,Northeast,Northeast,PV_GND,2020,53.09020000000
53,2045,Northeast,Northeast,PV_GND,2020,5.22610000000
53,2049,Northeast,Northeast,PV_GND,2020,1.04520000000
54,2030,Northeast,Northeast,PV_SSG,2020,20.95430000000
54,2035,Northeast,Northeast,PV_SSG,2020,20.95430000000
54,2040,Northeast,Northeast,PV_SSG,2020,20.95430000000
54,2045,Northeast,Northeast,PV_SSG,2020,7.73890000000
54,2049,Northeast,Northeast,PV_SSG,2020,1.54780000000
55,2030,Northwest,Northwest,CC_GAS,2020,275.60570000000
55,2035,Northwest,Northwest,CC_GAS,2020,241.42070000000
55,2040,Northwest,Northwest,CC_GAS,2020,241.42070000000
55,2045,Northwest,Northwest,CC_GAS,2020,204.83890000000
55,2049,Northwest,Northwest,CC_GAS,2020,45.35760000000
55,2050,Northwest,Northwest,CC_GAS,2020,5.48730000000
55,2054,Northwest,Northwest,CC_GAS,2020,5.48730000000
55,2055,Northwest,Northwest,CC_GAS,2020,5.48730000000
55,2059,Northwest,Northwest,CC_GAS,2020,5.48730000000
55,2060,Northwest,Northwest,CC_GAS,2020,5.48730000000
55,2064,Northwest,Northwest,CC_GAS,2020,5.48730000000
55,2065,Northwest,Northwest,CC_GAS,2020,5.48730000000
55,2069,Northwest,Northwest,CC_GAS,2020,5.48730000000
55,2070,Northwest,Northwest,CC_GAS,2020,5.48730000000
55,2074,Northwest,Northwest,CC_GAS,2020,5.48730000000
55,2075,Northwest,Northwest,CC_GAS,2020,5.48730000000
55,2084,Northwest,Northwest,CC_GAS,2020,5.48730000000
55,2085,Northwest,Northwest,CC_GAS,2020,5.48730000000
55,2089,Northwest,Northwest,CC_GAS,2020,5.48730000000
55,2090,Northwest,Northwest,CC_GAS,2020,5.48730000000
55,2094,Northwest,Northwest,CC_GAS,2020,5.48730000000
55,2095,Northwest,Northwest,CC_GAS,2020,5.48730000000
56,2030,Northwest,Northwest,HYD_LS,2020,38.72620000000
56,2035,Northwest,Northwest,HYD_LS,2020,38.72620000000
56,2040,Northwest,Northwest,HYD_LS,2020,32.92360000000
56,2045,Northwest,Northwest,HYD_LS,2020,26.61640000000
56,2049,Northwest,Northwest,HYD_LS,2020,5.32330000000
57,2030,Northwest,Northwest,OC_OIL,2020,2.97070000000
57,2035,Northwest,Northwest,OC_OIL,2020,2.32740000000
58,2030,Northwest,Northwest,ON_WIND,2020,0.12610000000
58,2035,Northwest,Northwest,ON_WIND,2020,0.12610000000
59,2030,Northwest,Northwest,PV_GND,2020,75.41140000000
59,2035,Northwest,Northwest,PV_GND,2020,75.41140000000
59,2040,Northwest,Northwest,PV_GND,2020,75.34900000000
59,2045,Northwest,Northwest,PV_GND,2020,22.00710000000
59,2049,Northwest,Northwest,PV_GND,2020,4.40140000000
60,2030,Northwest,Northwest,PV_SSG,2020,9.29660000000
60,2035,Northwest,Northwest,PV_SSG,2020,9.29660000000
60,2040,Northwest,Northwest,PV_SSG,2020,9.29660000000
60,2045,Northwest,Northwest,PV_SSG,2020,4.45040000000
60,2049,Northwest,Northwest,PV_SSG,2020,0.89010000000
61,2030,Peninsular,Peninsular,BIO,2020,2.13810000000
61,2035,Peninsular,Peninsular,BIO,2020,2.13810000000
61,2040,Peninsular,Peninsular,BIO,2020,2.13810000000
62,2030,Peninsular,Peninsular,CC_GAS,2020,122.87180000000
62,2035,Peninsular,Peninsular,CC_GAS,2020,44.34910000000
62,2040,Peninsular,Peninsular,CC_GAS,2020,1.94890000000
62,2045,Peninsular,Peninsular,CC_GAS,2020,1.94890000000
62,2049,Peninsular,Peninsular,CC_GAS,2020,0.38980000000
64,2030,Peninsular,Peninsular,CC_OIL,2020,4.62700000000
64,2035,Peninsular,Peninsular,CC_OIL,2020,4.62700000000
65,2030,Peninsular,Peninsular,OC_GAS,2020,3.14920000000
65,2035,Peninsular,Peninsular,OC_GAS,2020,3.08610000000
65,2040,Peninsular,Peninsular,OC_GAS,2020,3.08610000000
66,2030,Peninsular,Peninsular,OC_OIL,2020,2.82120000000
66,2035,Peninsular,Peninsular,OC_OIL,2020,1.99500000000
66,2040,Peninsular,Peninsular,OC_OIL,2020,1.19840000000
67,2030,Peninsular,Peninsular,ON_WIND,2020,15.63550000000
67,2035,Peninsular,Peninsular,ON_WIND,2020,15.63550000000
67,2040,Peninsular,Peninsular,ON_WIND,2020,15.54090000000
67,2045,Peninsular,Peninsular,ON_WIND,2020,5.82790000000
67,2049,Peninsular,Peninsular,ON_WIND,2020,1.16560000000
69,2030,Peninsular,Peninsular,PV_GND,2020,3.41980000000
69,2035,Peninsular,Peninsular,PV_GND,2020,3.41980000000
69,2040,Peninsular,Peninsular,PV_GND,2020,3.41980000000
71,2030,Peninsular,Peninsular,PV_SSG,2020,8.48610000000
71,2035,Peninsular,Peninsular,PV_SSG,2020,8.48610000000
71,2040,Peninsular,Peninsular,PV_SSG,2020,8.48610000000
71,2045,Peninsular,Peninsular,PV_SSG,2020,3.20250000000
71,2049,Peninsular,Peninsular,PV_SSG,2020,0.64050000000
72,2030,Western,Western,BIO,2020,7.39460000000
72,2035,Western,Western,BIO,2020,7.39460000000
72,2040,Western,Western,BIO,2020,3.42670000000
73,2030,Western,Western,CC_GAS,2020,203.35230000000
73,2035,Western,Western,CC_GAS,2020,157.42960000000
73,2040,Western,Western,CC_GAS,2020,82.62500000000
73,2045,Western,Western,CC_GAS,2020,76.31780000000
73,2049,Western,Western,CC_GAS,2020,59.38870000000
73,2050,Western,Western,CC_GAS,2020,55.15650000000
73,2054,Western,Western,CC_GAS,2020,47.27700000000
73,2055,Western,Western,CC_GAS,2020,45.30710000000
73,2059,Western,Western,CC_GAS,2020,37.42760000000
73,2060,Western,Western,CC_GAS,2020,35.45770000000
73,2064,Western,Western,CC_GAS,2020,27.57820000000
73,2065,Western,Western,CC_GAS,2020,27.57820000000
73,2069,Western,Western,CC_GAS,2020,27.57820000000
73,2070,Western,Western,CC_GAS,2020,27.57820000000
73,2074,Western,Western,CC_GAS,2020,27.57820000000
73,2075,Western,Western,CC_GAS,2020,27.57820000000
73,2084,Western,Western,CC_GAS,2020,27.57820000000
