dst_region,asset,year,region,technology,installed,capacity
Central,5,2040,BajaCalif,ON_WIND,2035,7076.37910000000
Central,5,2045,BajaCalif,ON_WIND,2035,7076.37910000000
Central,5,2049,BajaCalif,ON_WIND,2035,7076.37910000000
Central,5,2050,BajaCalif,ON_WIND,2035,7076.37910000000
Central,5,2054,BajaCalif,ON_WIND,2035,7076.37910000000
Central,5,2055,BajaCalif,ON_WIND,2035,7076.37910000000
Central,5,2059,BajaCalif,ON_WIND,2035,7076.37910000000
Central,5,2060,BajaCalif,ON_WIND,2035,7076.37910000000
Central,5,2064,BajaCalif,ON_WIND,2035,7076.37910000000
Central,6,2045,BajaCalif,ON_WIND,2040,7531.17390000000
Central,6,2049,BajaCalif,ON_WIND,2040,7531.17390000000
Central,6,2050,BajaCalif,ON_WIND,2040,7531.17390000000
Central,6,2054,BajaCalif,ON_WIND,2040,7531.17390000000
Central,6,2055,BajaCalif,ON_WIND,2040,7531.17390000000
Central,6,2059,BajaCalif,ON_WIND,2040,7531.17390000000
Central,6,2060,BajaCalif,ON_WIND,2040,7531.17390000000
Central,6,2064,BajaCalif,ON_WIND,2040,7531.17390000000
Central,6,2065,BajaCalif,ON_WIND,2040,7531.17390000000
Central,6,2069,BajaCalif,ON_WIND,2040,7531.17390000000
Central,15,2040,Central,BIO,2020,2.12300000000
Central,16,2040,Central,CC_GAS,2020,77.11810000000
Central,16,2045,Central,CC_GAS,2020,77.11810000000
Central,16,2049,Central,CC_GAS,2020,44.01740000000
Central,16,2050,Central,CC_GAS,2020,35.74230000000
Central,16,2054,Central,CC_GAS,2020,25.53020000000
Central,16,2055,Central,CC_GAS,2020,22.97720000000
Central,16,2059,Central,CC_GAS,2020,12.76510000000
Central,16,2060,Central,CC_GAS,2020,10.21210000000
Central,21,2040,Central,HYD_LS,2020,18.85220000000
Central,21,2045,Central,HYD_LS,2020,18.85220000000
Central,21,2049,Central,HYD_LS,2020,4.11860000000
Central,21,2050,Central,HYD_LS,2020,0.43520000000
Central,21,2054,Central,HYD_LS,2020,0.31090000000
Central,21,2055,Central,HYD_LS,2020,0.27980000000
Central,21,2059,Central,HYD_LS,2020,0.15540000000
Central,21,2060,Central,HYD_LS,2020,0.12430000000
Central,22,2040,Central,OC_GAS,2020,17.68980000000
Central,22,2045,Central,OC_GAS,2020,0.06940000000
Central,22,2049,Central,OC_GAS,2020,0.01390000000
Central,23,2040,Central,OC_OIL,2020,0.37840000000
Central,24,2040,Central,PV_GND,2020,1.34600000000
Central,25,2040,Central,PV_SSG,2020,15.16090000000
Central,25,2045,Central,PV_SSG,2020,3.90230000000
Central,25,2049,Central,PV_SSG,2020,0.78050000000
Eastern,26,2040,Eastern,BIO,2020,11.33910000000
Eastern,27,2040,Eastern,CC_GAS,2020,57.91080000000
Eastern,27,2045,Eastern,CC_GAS,2020,50.46830000000
Eastern,27,2049,Eastern,CC_GAS,2020,10.09370000000
Eastern,28,2040,Eastern,HYD_LS,2020,18.15210000000
Eastern,28,2045,Eastern,HYD_LS,2020,17.45640000000
Eastern,28,2049,Eastern,HYD_LS,2020,17.39290000000
Eastern,28,2050,Eastern,HYD_LS,2020,17.37700000000
Eastern,28,2054,Eastern,HYD_LS,2020,14.89450000000
Eastern,28,2055,Eastern,HYD_LS,2020,14.27390000000
Eastern,28,2059,Eastern,HYD_LS,2020,11.79150000000
Eastern,28,2060,Eastern,HYD_LS,2020,11.17090000000
Eastern,28,2064,Eastern,HYD_LS,2020,8.68850000000
Eastern,28,2065,Eastern,HYD_LS,2020,8.68850000000
Eastern,28,2069,Eastern,HYD_LS,2020,8.68850000000
Eastern,28,2070,Eastern,HYD_LS,2020,8.68850000000
Eastern,28,2074,Eastern,HYD_LS,2020,8.68850000000
Eastern,28,2075,Eastern,HYD_LS,2020,8.68850000000
Eastern,28,2079,Eastern,HYD_LS,2020,8.68850000000
Eastern,28,2080,Eastern,HYD_LS,2020,8.68850000000
Eastern,28,2084,Eastern,HYD_LS,2020,8.68850000000
Eastern,28,2085,Eastern,HYD_LS,2020,8.68850000000
Eastern,28,2089,Eastern,HYD_LS,2020,8.68850000000
Eastern,28,2090,Eastern,HYD_LS,2020,8.68850000000
Eastern,28,2094,Eastern,HYD_LS,2020,8.68850000000
Eastern,28,2095,Eastern,HYD_LS,2020,8.68850000000
Eastern,28,2099,Eastern,HYD_LS,2020,8.68850000000
Eastern,28,2100,Eastern,HYD_LS,2020,8.68850000000
Eastern,28,2104,Eastern,HYD_LS,2020,8.68850000000
Eastern,28,2105,Eastern,HYD_LS,2020,8.68850000000
Eastern,29,2040,Eastern,HYD_LS,2030,7318.49900000000
Eastern,29,2045,Eastern,HYD_LS,2030,7318.49900000000
Eastern,29,2049,Eastern,HYD_LS,2030,7318.49900000000
Eastern,29,2050,Eastern,HYD_LS,2030,7318.49900000000
Eastern,29,2054,Eastern,HYD_LS,2030,7318.49900000000
Eastern,29,2055,Eastern,HYD_LS,2030,7318.49900000000
Eastern,29,2059,Eastern,HYD_LS,2030,7318.49900000000
Eastern,29,2060,Eastern,HYD_LS,2030,7318.49900000000
Eastern,29,2064,Eastern,HYD_LS,2030,7318.49900000000
Eastern,29,2065,Eastern,HYD_LS,2030,7318.49900000000
Eastern,29,2069,Eastern,HYD_LS,2030,7318.49900000000
Eastern,29,2070,Eastern,HYD_LS,2030,7318.49900000000
Eastern,29,2074,Eastern,HYD_LS,2030,7318.49900000000
Eastern,29,2075,Eastern,HYD_LS,2030,7318.49900000000
Eastern,29,2079,Eastern,HYD_LS,2030,7318.49900000000
Eastern,29,2080,Eastern,HYD_LS,2030,7318.49900000000
Eastern,29,2084,Eastern,HYD_LS,2030,7318.49900000000
Eastern,29,2085,Eastern,HYD_LS,2030,7318.49900000000
Eastern,29,2089,Eastern,HYD_LS,2030,7318.49900000000
Eastern,29,2090,Eastern,HYD_LS,2030,7318.49900000000
Eastern,29,2094,Eastern,HYD_LS,2030,7318.49900000000
Eastern,30,2040,Eastern,NUCL,2020,103.05960000000
Eastern,30,2045,Eastern,NUCL,2020,103.05960000000
Eastern,30,2049,Eastern,NUCL,2020,103.05960000000
Eastern,30,2050,Eastern,NUCL,2020,103.05960000000
Eastern,30,2054,Eastern,NUCL,2020,88.33680000000
Eastern,30,2055,Eastern,NUCL,2020,84.65610000000
Eastern,30,2059,Eastern,NUCL,2020,69.93330000000
Eastern,30,2060,Eastern,NUCL,2020,66.25260000000
Eastern,30,2064,Eastern,NUCL,2020,51.52980000000
Eastern,30,2065,Eastern,NUCL,2020,51.52980000000
Eastern,30,2069,Eastern,NUCL,2020,51.52980000000
Eastern,30,2070,Eastern,NUCL,2020,51.52980000000
Eastern,30,2074,Eastern,NUCL,2020,51.52980000000
Eastern,30,2075,Eastern,NUCL,2020,51.52980000000
Eastern,30,2079,Eastern,NUCL,2020,51.52980000000
Eastern,30,2080,Eastern,NUCL,2020,51.52980000000
Eastern,30,2084,Eastern,NUCL,2020,51.52980000000
Eastern,30,2085,Eastern,NUCL,2020,51.52980000000
Eastern,30,2089,Eastern,NUCL,2020,51.52980000000
Eastern,30,2090,Eastern,NUCL,2020,51.52980000000
Eastern,30,2094,Eastern,NUCL,2020,51.52980000000
Eastern,30,2095,Eastern,NUCL,2020,51.52980000000
Eastern,30,2099,Eastern,NUCL,2020,51.52980000000
Eastern,30,2100,Eastern,NUCL,2020,51.52980000000
Eastern,30,2104,Eastern,NUCL,2020,51.52980000000
Eastern,30,2105,Eastern,NUCL,2020,51.52980000000
Eastern,31,2040,Eastern,OC_GAS,2020,14.90830000000
Eastern,32,2040,Eastern,OC_OIL,2020,0.41380000000
Eastern,33,2040,Eastern,ON_WIND,2020,54.19270000000
Eastern,33,2045,Eastern,ON_WIND,2020,14.23850000000
Eastern,33,2049,Eastern,ON_WIND,2020,2.84770000000
Eastern,34,2040,Eastern,PV_GND,2020,27.80210000000
Eastern,34,2045,Eastern,PV_GND,2020,27.80210000000
Eastern,34,2049,Eastern,PV_GND,2020,5.56040000000
Eastern,35,2040,Eastern,PV_SSG,2020,9.75950000000
Eastern,35,2045,Eastern,PV_SSG,2020,3.50840000000
Eastern,35,2049,Eastern,PV_SSG,2020,0.70170000000
Western,4,2040,BajaCalif,ON_WIND,2030,7988.18120000000
Western,4,2045,BajaCalif,ON_WIND,2030,7988.18120000000
Western,4,2049,BajaCalif,ON_WIND,2030,7988.18120000000
Western,4,2050,BajaCalif,ON_WIND,2030,7988.18120000000
Western,4,2054,BajaCalif,ON_WIND,2030,7988.18120000000
Western,4,2055,BajaCalif,ON_WIND,2030,7988.18120000000
Western,4,2059,BajaCalif,ON_WIND,2030,7988.18120000000
Western,17,2040,Central,CC_GAS,2035,6950.52220000000
Western,17,2045,Central,CC_GAS,2035,6950.52220000000
Western,17,2049,Central,CC_GAS,2035,6950.52220000000
Western,17,2050,Central,CC_GAS,2035,6950.52220000000
Western,17,2054,Central,CC_GAS,2035,6950.52220000000
Western,17,2055,Central,CC_GAS,2035,6950.52220000000
Western,17,2059,Central,CC_GAS,2035,6950.52220000000
Western,17,2060,Central,CC_GAS,2035,6950.52220000000
Western,17,2064,Central,CC_GAS,2035,6950.52220000000
Western,17,2065,Central,CC_GAS,2035,6950.52220000000
Western,17,2069,Central,CC_GAS,2035,6950.52220000000
Western,17,2070,Central,CC_GAS,2035,6950.52220000000
Western,17,2074,Central,CC_GAS,2035,6950.52220000000
Western,18,2045,Central,CC_GAS,2040,354.85310000000
Western,18,2049,Central,CC_GAS,2040,354.85310000000
Western,18,2050,Central,CC_GAS,2040,354.85310000000
Western,18,2054,Central,CC_GAS,2040,354.85310000000
Western,18,2055,Central,CC_GAS,2040,354.85310000000
Western,18,2059,Central,CC_GAS,2040,354.85310000000
Western,18,2060,Central,CC_GAS,2040,354.85310000000
Western,18,2064,Central,CC_GAS,2040,354.85310000000
Western,18,2065,Central,CC_GAS,2040,354.85310000000
Western,18,2069,Central,CC_GAS,2040,354.85310000000
Western,18,2070,Central,CC_GAS,2040,354.85310000000
Western,18,2074,Central,CC_GAS,2040,354.85310000000
Western,18,2075,Central,CC_GAS,2040,354.85310000000
Western,18,2079,Central,CC_GAS,2040,354.85310000000
Western,47,2040,Northeast,GEOTH,2020,3876.47690000000
Western,47,2045,Northeast,GEOTH,2020,3876.47690000000
Western,47,2049,Northeast,GEOTH,2020,3876.47690000000
Western,47,2050,Northeast,GEOTH,2020,3876.47690000000
Western,47,2054,Northeast,GEOTH,2020,3876.47690000000
Western,47,2055,Northeast,GEOTH,2020,3876.47690000000
Western,47,2059,Northeast,GEOTH,2020,3876.47690000000
Western,48,2040,Northeast,HYD_LS,2035,6520.09220000000
Western,48,2045,Northeast,HYD_LS,2035,6520.09220000000
Western,48,2049,Northeast,HYD_LS,2035,6520.09220000000
Western,48,2050,Northeast,HYD_LS,2035,6520.09220000000
Western,48,2054,Northeast,HYD_LS,2035,6520.09220000000
Western,48,2055,Northeast,HYD_LS,2035,6520.09220000000
Western,48,2059,Northeast,HYD_LS,2035,6520.09220000000
Western,48,2060,Northeast,HYD_LS,2035,6520.09220000000
Western,48,2064,Northeast,HYD_LS,2035,6520.09220000000
Western,48,2065,Northeast,HYD_LS,2035,6520.09220000000
Western,48,2069,Northeast,HYD_LS,2035,6520.09220000000
Western,48,2070,Northeast,HYD_LS,2035,6520.09220000000
Western,48,2074,Northeast,HYD_LS,2035,6520.09220000000
Western,48,2075,Northeast,HYD_LS,2035,6520.09220000000
Western,48,2079,Northeast,HYD_LS,2035,6520.09220000000
Western,48,2080,Northeast,HYD_LS,2035,6520.09220000000
Western,48,2084,Northeast,HYD_LS,2035,6520.09220000000
Western,48,2085,Northeast,HYD_LS,2035,6520.09220000000
Western,48,2089,Northeast,HYD_LS,2035,6520.09220000000
Western,48,2090,Northeast,HYD_LS,2035,6520.09220000000
Western,48,2094,Northeast,HYD_LS,2035,6520.09220000000
Western,48,2095,Northeast,HYD_LS,2035,6520.09220000000
Western,48,2099,Northeast,HYD_LS,2035,6520.09220000000
Western,49,2045,Northeast,HYD_LS,2040,7187.77190000000
Western,49,2049,Northeast,HYD_LS,2040,7187.77190000000
Western,49,2050,Northeast,HYD_LS,2040,7187.77190000000
Western,49,2054,Northeast,HYD_LS,2040,7187.77190000000
Western,49,2055,Northeast,HYD_LS,2040,7187.77190000000
Western,49,2059,Northeast,HYD_LS,2040,7187.77190000000
Western,49,2060,Northeast,HYD_LS,2040,7187.77190000000
Western,49,2064,Northeast,HYD_LS,2040,7187.77190000000
Western,49,2065,Northeast,HYD_LS,2040,7187.77190000000
Western,49,2069,Northeast,HYD_LS,2040,7187.77190000000
Western,49,2070,Northeast,HYD_LS,2040,7187.77190000000
Western,49,2074,Northeast,HYD_LS,2040,7187.77190000000
Western,49,2075,Northeast,HYD_LS,2040,7187.77190000000
Western,49,2079,Northeast,HYD_LS,2040,7187.77190000000
Western,49,2080,Northeast,HYD_LS,2040,7187.77190000000
Western,49,2084,Northeast,HYD_LS,2040,7187.77190000000
Western,49,2085,Northeast,HYD_LS,2040,7187.77190000000
Western,49,2089,Northeast,HYD_LS,2040,7187.77190000000
Western,49,2090,Northeast,HYD_LS,2040,7187.77190000000
Western,49,2094,Northeast,HYD_LS,2040,7187.77190000000
Western,49,2095,Northeast,HYD_LS,2040,7187.77190000000
Western,49,2099,Northeast,HYD_LS,2040,7187.77190000000
Western,49,2100,Northeast,HYD_LS,2040,7187.77190000000
Western,49,2104,Northeast,HYD_LS,2040,7187.77190000000
Western,65,2040,Western,BIO,2020,3.42670000000
Western,66,2040,Western,CC_GAS,2020,82.62500000000
Western,66,2045,Western,CC_GAS,2020,76.31780000000
Western,66,2049,Western,CC_GAS,2020,59.38870000000
Western,66,2050,Western,CC_GAS,2020,55.15650000000
Western,66,2054,Western,CC_GAS,2020,47.27700000000
Western,66,2055,Western,CC_GAS,2020,45.30710000000
Western,66,2059,Western,CC_GAS,2020,37.42760000000
Western,66,2060,Western,CC_GAS,2020,35.45770000000
Western,66,2064,Western,CC_GAS,2020,27.57820000000
Western,66,2065,Western,CC_GAS,2020,27.57820000000
Western,66,2069,Western,CC_GAS,2020,27.57820000000
Western,66,2070,Western,CC_GAS,2020,27.57820000000
Western,66,2074,Western,CC_GAS,2020,27.57820000000
Western,66,2075,Western,CC_GAS,2020,27.57820000000
Western,66,2079,Western,CC_GAS,2020,27.57820000000
Western,66,2080,Western,CC_GAS,2020,27.57820000000
Western,66,2084,Western,CC_GAS,2020,27.57820000000
Western,66,2085,Western,CC_GAS,2020,27.57820000000
Western,66,2089,Western,CC_GAS,2020,27.57820000000
Western,66,2090,Western,CC_GAS,2020,27.57820000000
Western,66,2094,Western,CC_GAS,2020,27.57820000000
Western,66,2095,Western,CC_GAS,2020,27.57820000000
Western,66,2099,Western,CC_GAS,2020,27.57820000000
Western,66,2100,Western,CC_GAS,2020,27.57820000000
Western,66,2104,Western,CC_GAS,2020,27.57820000000
Western,66,2105,Western,CC_GAS,2020,27.57820000000
Western,67,2040,Western,GEOTH,2020,3.27970000000
Western,67,2045,Western,GEOTH,2020,3.27970000000
Western,67,2049,Western,GEOTH,2020,0.65590000000
Western,68,2040,Western,HYD_LS,2020,177.25940000000
Western,68,2045,Western,HYD_LS,2020,101.57300000000
Western,68,2049,Western,HYD_LS,2020,101.57300000000
Western,68,2050,Western,HYD_LS,2020,101.57300000000
Western,68,2054,Western,HYD_LS,2020,87.06260000000
Western,68,2055,Western,HYD_LS,2020,83.43500000000
Western,68,2059,Western,HYD_LS,2020,68.92460000000
Western,68,2060,Western,HYD_LS,2020,65.29700000000
Western,68,2064,Western,HYD_LS,2020,50.78650000000
Western,68,2065,Western,HYD_LS,2020,50.78650000000
Western,68,2069,Western,HYD_LS,2020,50.78650000000
Western,68,2070,Western,HYD_LS,2020,50.78650000000
Western,68,2074,Western,HYD_LS,2020,50.78650000000
Western,68,2075,Western,HYD_LS,2020,50.78650000000
Western,68,2079,Western,HYD_LS,2020,50.78650000000
Western,68,2080,Western,HYD_LS,2020,50.78650000000
Western,68,2084,Western,HYD_LS,2020,50.78650000000
Western,68,2085,Western,HYD_LS,2020,50.78650000000
Western,68,2089,Western,HYD_LS,2020,50.78650000000
Western,68,2090,Western,HYD_LS,2020,50.78650000000
Western,68,2094,Western,HYD_LS,2020,50.78650000000
Western,68,2095,Western,HYD_LS,2020,50.78650000000
Western,68,2099,Western,HYD_LS,2020,50.78650000000
Western,68,2100,Western,HYD_LS,2020,50.78650000000
Western,68,2104,Western,HYD_LS,2020,50.78650000000
Western,68,2105,Western,HYD_LS,2020,50.78650000000
Western,69,2040,Western,OC_GAS,2020,31.08500000000
Western,70,2040,Western,ON_WIND,2020,25.16450000000
Western,71,2040,Western,PV_GND,2020,142.90600000000
Western,71,2045,Western,PV_GND,2020,4.24600000000
Western,71,2049,Western,PV_GND,2020,0.84920000000
Western,72,2040,Western,PV_SSG,2020,48.69910000000
Western,72,2045,Western,PV_SSG,2020,19.34100000000
Western,72,2049,Western,PV_SSG,2020,3.86820000000
Northwest,11,2040,BajaCalifSouth,ON_WIND,2020,4209.42490000000
Northwest,11,2045,BajaCalifSouth,ON_WIND,2020,4209.42490000000
Northwest,11,2049,BajaCalifSouth,ON_WIND,2020,4209.42490000000
Northwest,12,2040,BajaCalifSouth,ON_WIND,2025,7013.86140000000
