timeslice,commodity,asset,year,dst_region,technology,installed,month,day,hour,supply
0,electricity,8,2050,Central,CC_GAS,2020,all-year,all-week,night,5.65920000000
0,electricity,9,2050,Central,HYD_LS,2020,all-year,all-week,night,0.06890000000
0,electricity,10,2050,Eastern,HYD_LS,2020,all-year,all-week,night,2.75140000000
0,electricity,11,2050,Eastern,NUCL,2020,all-year,all-week,night,16.31780000000
0,electricity,13,2050,North,CC_GAS,2020,all-year,all-week,night,9.68570000000
0,electricity,15,2050,North,HYD_LS,2020,all-year,all-week,night,0.19700000000
0,electricity,18,2050,Northwest,CC_GAS,2020,all-year,all-week,night,0.86880000000
0,electricity,19,2050,Western,CC_GAS,2020,all-year,all-week,night,8.73310000000
0,electricity,20,2050,Western,HYD_LS,2020,all-year,all-week,night,16.08240000000
1,electricity,8,2050,Central,CC_GAS,2020,all-year,all-week,morning,5.65920000000
1,electricity,9,2050,Central,HYD_LS,2020,all-year,all-week,morning,0.06890000000
1,electricity,10,2050,Eastern,HYD_LS,2020,all-year,all-week,morning,2.75140000000
1,electricity,11,2050,Eastern,NUCL,2020,all-year,all-week,morning,16.31780000000
1,electricity,13,2050,North,CC_GAS,2020,all-year,all-week,morning,9.68570000000
1,electricity,15,2050,North,HYD_LS,2020,all-year,all-week,morning,0.19700000000
1,electricity,18,2050,Northwest,CC_GAS,2020,all-year,all-week,morning,0.86880000000
1,electricity,19,2050,Western,CC_GAS,2020,all-year,all-week,morning,8.73310000000
1,electricity,20,2050,Western,HYD_LS,2020,all-year,all-week,morning,16.08240000000
2,electricity,8,2050,Central,CC_GAS,2020,all-year,all-week,afternoon,5.65920000000
2,electricity,9,2050,Central,HYD_LS,2020,all-year,all-week,afternoon,0.06890000000
2,electricity,10,2050,Eastern,HYD_LS,2020,all-year,all-week,afternoon,2.75140000000
2,electricity,11,2050,Eastern,NUCL,2020,all-year,all-week,afternoon,16.31780000000
2,electricity,13,2050,North,CC_GAS,2020,all-year,all-week,afternoon,9.68570000000
2,electricity,15,2050,North,HYD_LS,2020,all-year,all-week,afternoon,0.19700000000
2,electricity,18,2050,Northwest,CC_GAS,2020,all-year,all-week,afternoon,0.86880000000
2,electricity,19,2050,Western,CC_GAS,2020,all-year,all-week,afternoon,8.73310000000
2,electricity,20,2050,Western,HYD_LS,2020,all-year,all-week,afternoon,16.08240000000
3,electricity,8,2050,Central,CC_GAS,2020,all-year,all-week,early-peak,5.65920000000
3,electricity,9,2050,Central,HYD_LS,2020,all-year,all-week,early-peak,0.06890000000
3,electricity,10,2050,Eastern,HYD_LS,2020,all-year,all-week,early-peak,2.75140000000
3,electricity,11,2050,Eastern,NUCL,2020,all-year,all-week,early-peak,16.31780000000
3,electricity,13,2050,North,CC_GAS,2020,all-year,all-week,early-peak,9.68570000000
3,electricity,15,2050,North,HYD_LS,2020,all-year,all-week,early-peak,0.19700000000
3,electricity,18,2050,Northwest,CC_GAS,2020,all-year,all-week,early-peak,0.86880000000
3,electricity,19,2050,Western,CC_GAS,2020,all-year,all-week,early-peak,8.73310000000
3,electricity,20,2050,Western,HYD_LS,2020,all-year,all-week,early-peak,16.08240000000
4,electricity,8,2050,Central,CC_GAS,2020,all-year,all-week,late-peak,5.65920000000
4,electricity,9,2050,Central,HYD_LS,2020,all-year,all-week,late-peak,0.06890000000
4,electricity,10,2050,Eastern,HYD_LS,2020,all-year,all-week,late-peak,2.75140000000
4,electricity,11,2050,Eastern,NUCL,2020,all-year,all-week,late-peak,16.31780000000
4,electricity,13,2050,North,CC_GAS,2020,all-year,all-week,late-peak,9.68570000000
4,electricity,15,2050,North,HYD_LS,2020,all-year,all-week,late-peak,0.19700000000
4,electricity,18,2050,Northwest,CC_GAS,2020,all-year,all-week,late-peak,0.86880000000
4,electricity,19,2050,Western,CC_GAS,2020,all-year,all-week,late-peak,8.73310000000
4,electricity,20,2050,Western,HYD_LS,2020,all-year,all-week,late-peak,16.08240000000
5,electricity,8,2050,Central,CC_GAS,2020,all-year,all-week,evening,5.65920000000
5,electricity,9,2050,Central,HYD_LS,2020,all-year,all-week,evening,0.06890000000
5,electricity,10,2050,Eastern,HYD_LS,2020,all-year,all-week,evening,2.75140000000
5,electricity,11,2050,Eastern,NUCL,2020,all-year,all-week,evening,16.31780000000
5,electricity,13,2050,North,CC_GAS,2020,all-year,all-week,evening,9.68570000000
5,electricity,15,2050,North,HYD_LS,2020,all-year,all-week,evening,0.19700000000
5,electricity,18,2050,Northwest,CC_GAS,2020,all-year,all-week,evening,0.86880000000
5,electricity,19,2050,Western,CC_GAS,2020,all-year,all-week,evening,8.73310000000
5,electricity,20,2050,Western,HYD_LS,2020,all-year,all-week,evening,16.08240000000
