timeslice,commodity,asset,year,units_prices,comm_usage,technology,installed,month,day,hour,supply
0,cars,0,2030,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2020,all-year,all-week,night,4.42770000000
0,cars,0,2035,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2020,all-year,all-week,night,2.21380000000
0,cars,1,2030,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2025,all-year,all-week,night,7.77780000000
0,cars,1,2035,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2025,all-year,all-week,night,8.33330000000
0,cars,2,2030,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2020,all-year,all-week,night,1.13690000000
0,cars,2,2035,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2020,all-year,all-week,night,0.56840000000
0,cars,3,2035,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2030,all-year,all-week,night,1.45830000000
0,cars,4,2030,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2020,all-year,all-week,night,24.30560000000
0,cars,4,2035,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2020,all-year,all-week,night,3.48320000000
0,cars,5,2035,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2030,all-year,all-week,night,26.04170000000
0,cars,6,2030,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2020,all-year,all-week,night,27.11310000000
0,cars,6,2035,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2020,all-year,all-week,night,13.55650000000
0,cars,7,2030,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2025,all-year,all-week,night,48.22220000000
0,cars,7,2035,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2025,all-year,all-week,night,51.66670000000
0,cars,8,2030,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2020,all-year,all-week,night,8.92630000000
0,cars,8,2035,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2020,all-year,all-week,night,4.46310000000
0,cars,9,2035,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2030,all-year,all-week,night,13.54170000000
0,cars,10,2030,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2020,all-year,all-week,night,25.00020000000
0,cars,10,2035,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2020,all-year,all-week,night,12.50010000000
0,cars,11,2030,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2025,all-year,all-week,night,58.72220000000
0,cars,11,2035,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2025,all-year,all-week,night,62.91670000000
0,cars,12,2030,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2020,all-year,all-week,night,11.53110000000
0,cars,12,2035,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2020,all-year,all-week,night,5.76560000000
0,cars,13,2035,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2030,all-year,all-week,night,16.04170000000
0,cars,14,2030,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2020,all-year,all-week,night,2.33330000000
0,cars,14,2035,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2020,all-year,all-week,night,1.80220000000
0,cars,15,2030,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2020,all-year,all-week,night,23.66380000000
0,cars,15,2035,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2020,all-year,all-week,night,11.83190000000
0,cars,16,2035,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2030,all-year,all-week,night,26.66670000000
0,cars,17,2030,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2020,all-year,all-week,night,2.21380000000
0,cars,17,2035,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2020,all-year,all-week,night,1.10690000000
0,cars,18,2030,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2025,all-year,all-week,night,7.77780000000
0,cars,18,2035,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2025,all-year,all-week,night,8.33330000000
0,cars,19,2030,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2020,all-year,all-week,night,0.56840000000
0,cars,19,2035,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2020,all-year,all-week,night,0.28420000000
0,cars,20,2035,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2030,all-year,all-week,night,1.45830000000
0,cars,21,2030,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2020,all-year,all-week,night,24.30560000000
0,cars,21,2035,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2020,all-year,all-week,night,1.74160000000
0,cars,22,2035,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2030,all-year,all-week,night,26.04170000000
0,cars,23,2030,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2020,all-year,all-week,night,13.55650000000
0,cars,23,2035,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2020,all-year,all-week,night,6.77830000000
0,cars,24,2030,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2025,all-year,all-week,night,48.22220000000
0,cars,24,2035,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2025,all-year,all-week,night,51.66670000000
0,cars,25,2030,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2020,all-year,all-week,night,4.46310000000
0,cars,25,2035,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2020,all-year,all-week,night,2.23160000000
0,cars,26,2035,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2030,all-year,all-week,night,13.54170000000
0,cars,27,2030,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2020,all-year,all-week,night,12.50010000000
0,cars,27,2035,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2020,all-year,all-week,night,6.25000000000
0,cars,28,2030,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2025,all-year,all-week,night,58.72220000000
0,cars,28,2035,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2025,all-year,all-week,night,62.91670000000
0,cars,29,2030,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2020,all-year,all-week,night,5.76560000000
0,cars,29,2035,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2020,all-year,all-week,night,2.88280000000
0,cars,30,2035,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2030,all-year,all-week,night,16.04170000000
0,cars,31,2030,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2020,all-year,all-week,night,1.80220000000
0,cars,31,2035,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2020,all-year,all-week,night,0.90110000000
0,cars,32,2030,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2020,all-year,all-week,night,11.83190000000
0,cars,32,2035,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2020,all-year,all-week,night,5.91600000000
0,cars,33,2035,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2030,all-year,all-week,night,26.66670000000
1,cars,0,2030,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2020,all-year,all-week,morning,4.42770000000
1,cars,0,2035,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2020,all-year,all-week,morning,2.21380000000
1,cars,1,2030,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2025,all-year,all-week,morning,7.77780000000
1,cars,1,2035,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2025,all-year,all-week,morning,8.33330000000
1,cars,2,2030,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2020,all-year,all-week,morning,1.13690000000
1,cars,2,2035,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2020,all-year,all-week,morning,0.56840000000
1,cars,3,2035,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2030,all-year,all-week,morning,1.45830000000
1,cars,4,2030,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2020,all-year,all-week,morning,24.30560000000
1,cars,4,2035,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2020,all-year,all-week,morning,3.48320000000
1,cars,5,2035,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2030,all-year,all-week,morning,26.04170000000
1,cars,6,2030,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2020,all-year,all-week,morning,27.11310000000
1,cars,6,2035,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2020,all-year,all-week,morning,13.55650000000
1,cars,7,2030,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2025,all-year,all-week,morning,48.22220000000
1,cars,7,2035,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2025,all-year,all-week,morning,51.66670000000
1,cars,8,2030,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2020,all-year,all-week,morning,8.92630000000
1,cars,8,2035,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2020,all-year,all-week,morning,4.46310000000
1,cars,9,2035,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2030,all-year,all-week,morning,13.54170000000
1,cars,10,2030,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2020,all-year,all-week,morning,25.00020000000
1,cars,10,2035,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2020,all-year,all-week,morning,12.50010000000
1,cars,11,2030,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2025,all-year,all-week,morning,58.72220000000
1,cars,11,2035,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2025,all-year,all-week,morning,62.91670000000
1,cars,12,2030,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2020,all-year,all-week,morning,11.53110000000
1,cars,12,2035,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2020,all-year,all-week,morning,5.76560000000
1,cars,13,2035,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2030,all-year,all-week,morning,16.04170000000
1,cars,14,2030,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2020,all-year,all-week,morning,2.33330000000
1,cars,14,2035,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2020,all-year,all-week,morning,1.80220000000
1,cars,15,2030,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2020,all-year,all-week,morning,23.66380000000
1,cars,15,2035,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2020,all-year,all-week,morning,11.83190000000
1,cars,16,2035,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2030,all-year,all-week,morning,26.66670000000
1,cars,17,2030,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2020,all-year,all-week,morning,2.21380000000
1,cars,17,2035,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2020,all-year,all-week,morning,1.10690000000
1,cars,18,2030,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2025,all-year,all-week,morning,7.77780000000
1,cars,18,2035,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2025,all-year,all-week,morning,8.33330000000
1,cars,19,2030,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2020,all-year,all-week,morning,0.56840000000
1,cars,19,2035,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2020,all-year,all-week,morning,0.28420000000
1,cars,20,2035,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2030,all-year,all-week,morning,1.45830000000
1,cars,21,2030,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2020,all-year,all-week,morning,24.30560000000
