AgentShare,Name,AgenNumber,RegionName,Objective1,Objective2,Objective3,ObjData1,ObjData2,ObjData3,Objsort1,Objsort2,Objsort3,SearchRule,DecisionMethod,Quantity,MaturityThreshold,Budget,Type
Agent1,A1,1,Central,LCOE,,,1,,,FALSE,,,all,singleObj,0.5,-1,inf,New
Agent2,A1,2,Central,LCOE,,,1,,,FALSE,,,all,singleObj,0.5,-1,inf,Retrofit
Agent1,A2,1,Central,LCOE,,,1,,,FALSE,,,all,singleObj,0.5,-1,inf,New
Agent2,A2,2,Central,LCOE,,,1,,,FALSE,,,all,singleObj,0.5,-1,inf,Retrofit
Agent1,A1,1,Eastern,LCOE,,,1,,,FALSE,,,all,singleObj,0.5,-1,inf,New
Agent2,A1,2,Eastern,LCOE,,,1,,,FALSE,,,all,singleObj,0.5,-1,inf,Retrofit
Agent1,A2,1,Eastern,LCOE,,,1,,,FALSE,,,all,singleObj,0.5,-1,inf,New
Agent2,A2,2,Eastern,LCOE,,,1,,,FALSE,,,all,singleObj,0.5,-1,inf,Retrofit
Agent1,A1,1,Western,LCOE,,,1,,,FALSE,,,all,singleObj,0.5,-1,inf,New
Agent2,A1,2,Western,LCOE,,,1,,,FALSE,,,all,singleObj,0.5,-1,inf,Retrofit
Agent1,A2,1,Western,LCOE,,,1,,,FALSE,,,all,singleObj,0.5,-1,inf,New
Agent2,A2,2,Western,LCOE,,,1,,,FALSE,,,all,singleObj,0.5,-1,inf,Retrofit
Agent1,A1,1,Northwest,LCOE,,,1,,,FALSE,,,all,singleObj,0.5,-1,inf,New
Agent2,A1,2,Northwest,LCOE,,,1,,,FALSE,,,all,singleObj,0.5,-1,inf,Retrofit
Agent1,A2,1,Northwest,LCOE,,,1,,,FALSE,,,all,singleObj,0.5,-1,inf,New
Agent2,A2,2,Northwest,LCOE,,,1,,,FALSE,,,all,singleObj,0.5,-1,inf,Retrofit
Agent1,A1,1,North,LCOE,,,1,,,FALSE,,,all,singleObj,0.5,-1,inf,New
Agent2,A1,2,North,LCOE,,,1,,,FALSE,,,all,singleObj,0.5,-1,inf,Retrofit
Agent1,A2,1,North,LCOE,,,1,,,FALSE,,,all,singleObj,0.5,-1,inf,New
Agent2,A2,2,North,LCOE,,,1,,,FALSE,,,all,singleObj,0.5,-1,inf,Retrofit
Agent1,A1,1,Northeast,LCOE,,,1,,,FALSE,,,all,singleObj,0.5,-1,inf,New
Agent2,A1,2,Northeast,LCOE,,,1,,,FALSE,,,all,singleObj,0.5,-1,inf,Retrofit
Agent1,A2,1,Northeast,LCOE,,,1,,,FALSE,,,all,singleObj,0.5,-1,inf,New
Agent2,A2,2,Northeast,LCOE,,,1,,,FALSE,,,all,singleObj,0.5,-1,inf,Retrofit
Agent1,A1,1,BajaCalif,LCOE,,,1,,,FALSE,,,all,singleObj,0.5,-1,inf,New
Agent2,A1,2,BajaCalif,LCOE,,,1,,,FALSE,,,all,singleObj,0.5,-1,inf,Retrofit
Agent1,A2,1,BajaCalif,LCOE,,,1,,,FALSE,,,all,singleObj,0.5,-1,inf,New
Agent2,A2,2,BajaCalif,LCOE,,,1,,,FALSE,,,all,singleObj,0.5,-1,inf,Retrofit
Agent1,A1,1,BajaCalifSouth,LCOE,,,1,,,FALSE,,,all,singleObj,0.5,-1,inf,New
Agent2,A1,2,BajaCalifSouth,LCOE,,,1,,,FALSE,,,all,singleObj,0.5,-1,inf,Retrofit
Agent1,A2,1,BajaCalifSouth,LCOE,,,1,,,FALSE,,,all,singleObj,0.5,-1,inf,New
Agent2,A2,2,BajaCalifSouth,LCOE,,,1,,,FALSE,,,all,singleObj,0.5,-1,inf,Retrofit
Agent1,A1,1,Peninsular,LCOE,,,1,,,FALSE,,,all,singleObj,0.5,-1,inf,New
Agent2,A1,2,Peninsular,LCOE,,,1,,,FALSE,,,all,singleObj,0.5,-1,inf,Retrofit
Agent1,A2,1,Peninsular,LCOE,,,1,,,FALSE,,,all,singleObj,0.5,-1,inf,New
Agent2,A2,2,Peninsular,LCOE,,,1,,,FALSE,,,all,singleObj,0.5,-1,inf,Retrofit
