timeslice,commodity,asset,year,installed,technology,month,day,hour,supply
0,fruits,3,2045,2040,agr_tec2,all-year,all-week,night,3.14810000000
0,fruits,3,2050,2040,agr_tec2,all-year,all-week,night,3.33330000000
0,fruits,5,2045,2035,agr_tec2,all-year,all-week,night,0.55090000000
0,fruits,7,2050,2045,agr_tec2,all-year,all-week,night,0.58330000000
0,fruits,11,2045,2040,agr_tec2,all-year,all-week,night,9.83800000000
0,fruits,11,2050,2040,agr_tec2,all-year,all-week,night,10.41670000000
0,fruits,15,2045,2040,agr_tec2,all-year,all-week,night,19.51850000000
0,fruits,15,2050,2040,agr_tec2,all-year,all-week,night,20.66670000000
0,fruits,17,2045,2035,agr_tec2,all-year,all-week,night,5.11570000000
0,fruits,19,2050,2045,agr_tec2,all-year,all-week,night,5.41670000000
0,fruits,23,2045,2040,agr_tec2,all-year,all-week,night,23.76850000000
0,fruits,23,2050,2040,agr_tec2,all-year,all-week,night,25.16670000000
0,fruits,25,2045,2035,agr_tec2,all-year,all-week,night,6.06020000000
0,fruits,27,2050,2045,agr_tec2,all-year,all-week,night,6.41670000000
0,fruits,31,2045,2040,agr_tec2,all-year,all-week,night,0.94440000000
0,fruits,31,2050,2040,agr_tec2,all-year,all-week,night,1.00000000000
0,fruits,33,2045,2035,agr_tec2,all-year,all-week,night,10.07410000000
0,fruits,35,2050,2045,agr_tec2,all-year,all-week,night,10.66670000000
0,livestock,2,2045,2040,agr_tec,all-year,all-week,night,0.28520000000
0,livestock,2,2050,2040,agr_tec,all-year,all-week,night,0.33330000000
0,livestock,4,2045,2035,agr_tec,all-year,all-week,night,0.04990000000
0,livestock,6,2050,2045,agr_tec,all-year,all-week,night,0.05830000000
0,livestock,10,2045,2040,agr_tec,all-year,all-week,night,0.89120000000
0,livestock,10,2050,2040,agr_tec,all-year,all-week,night,1.04170000000
0,livestock,14,2045,2040,agr_tec,all-year,all-week,night,1.76810000000
0,livestock,14,2050,2040,agr_tec,all-year,all-week,night,2.06670000000
0,livestock,16,2045,2035,agr_tec,all-year,all-week,night,0.46340000000
0,livestock,18,2050,2045,agr_tec,all-year,all-week,night,0.54170000000
0,livestock,22,2045,2040,agr_tec,all-year,all-week,night,2.15310000000
0,livestock,22,2050,2040,agr_tec,all-year,all-week,night,2.51670000000
0,livestock,24,2045,2035,agr_tec,all-year,all-week,night,0.54900000000
0,livestock,26,2050,2045,agr_tec,all-year,all-week,night,0.64170000000
0,livestock,30,2045,2040,agr_tec,all-year,all-week,night,0.08560000000
0,livestock,30,2050,2040,agr_tec,all-year,all-week,night,0.10000000000
0,livestock,32,2045,2035,agr_tec,all-year,all-week,night,0.91260000000
0,livestock,34,2050,2045,agr_tec,all-year,all-week,night,1.06670000000
1,fruits,3,2045,2040,agr_tec2,all-year,all-week,morning,3.14810000000
1,fruits,3,2050,2040,agr_tec2,all-year,all-week,morning,3.33330000000
1,fruits,5,2045,2035,agr_tec2,all-year,all-week,morning,0.55090000000
1,fruits,7,2050,2045,agr_tec2,all-year,all-week,morning,0.58330000000
1,fruits,11,2045,2040,agr_tec2,all-year,all-week,morning,9.83800000000
1,fruits,11,2050,2040,agr_tec2,all-year,all-week,morning,10.41670000000
1,fruits,15,2045,2040,agr_tec2,all-year,all-week,morning,19.51850000000
1,fruits,15,2050,2040,agr_tec2,all-year,all-week,morning,20.66670000000
1,fruits,17,2045,2035,agr_tec2,all-year,all-week,morning,5.11570000000
1,fruits,19,2050,2045,agr_tec2,all-year,all-week,morning,5.41670000000
1,fruits,23,2045,2040,agr_tec2,all-year,all-week,morning,23.76850000000
1,fruits,23,2050,2040,agr_tec2,all-year,all-week,morning,25.16670000000
1,fruits,25,2045,2035,agr_tec2,all-year,all-week,morning,6.06020000000
1,fruits,27,2050,2045,agr_tec2,all-year,all-week,morning,6.41670000000
1,fruits,31,2045,2040,agr_tec2,all-year,all-week,morning,0.94440000000
1,fruits,31,2050,2040,agr_tec2,all-year,all-week,morning,1.00000000000
1,fruits,33,2045,2035,agr_tec2,all-year,all-week,morning,10.07410000000
1,fruits,35,2050,2045,agr_tec2,all-year,all-week,morning,10.66670000000
