timeslice,commodity,region,prices,year
"('all-year', 'all-week', 'night')",methanol,Central,16.00000000000,2020
"('all-year', 'all-week', 'night')",methanol,Eastern,16.00000000000,2020
"('all-year', 'all-week', 'night')",methanol,Western,16.00000000000,2020
"('all-year', 'all-week', 'night')",methanol,Northwest,16.00000000000,2020
"('all-year', 'all-week', 'night')",methanol,North,16.00000000000,2020
"('all-year', 'all-week', 'night')",methanol,Northeast,16.00000000000,2020
"('all-year', 'all-week', 'night')",methanol,BajaCalif,16.00000000000,2020
"('all-year', 'all-week', 'night')",methanol,BajaCalifSouth,16.00000000000,2020
"('all-year', 'all-week', 'night')",methanol,Peninsular,16.00000000000,2020
"('all-year', 'all-week', 'night')",sfuel,Central,7.15280000000,2020
"('all-year', 'all-week', 'night')",sfuel,Eastern,7.15280000000,2020
"('all-year', 'all-week', 'night')",sfuel,Western,7.15280000000,2020
"('all-year', 'all-week', 'night')",sfuel,Northwest,7.15280000000,2020
"('all-year', 'all-week', 'night')",sfuel,North,7.15280000000,2020
"('all-year', 'all-week', 'night')",sfuel,Northeast,7.15280000000,2020
"('all-year', 'all-week', 'night')",sfuel,BajaCalif,7.15280000000,2020
"('all-year', 'all-week', 'night')",sfuel,BajaCalifSouth,7.15280000000,2020
"('all-year', 'all-week', 'night')",sfuel,Peninsular,7.15280000000,2020
"('all-year', 'all-week', 'night')",pcoal,Central,16.00000000000,2020
"('all-year', 'all-week', 'night')",pcoal,Eastern,16.00000000000,2020
"('all-year', 'all-week', 'night')",pcoal,Western,16.00000000000,2020
"('all-year', 'all-week', 'night')",pcoal,Northwest,16.00000000000,2020
"('all-year', 'all-week', 'night')",pcoal,North,16.00000000000,2020
"('all-year', 'all-week', 'night')",pcoal,Northeast,16.00000000000,2020
"('all-year', 'all-week', 'night')",pcoal,BajaCalif,16.00000000000,2020
"('all-year', 'all-week', 'night')",pcoal,BajaCalifSouth,16.00000000000,2020
"('all-year', 'all-week', 'night')",pcoal,Peninsular,16.00000000000,2020
"('all-year', 'all-week', 'night')",naphtha,Central,7.15280000000,2020
"('all-year', 'all-week', 'night')",naphtha,Eastern,7.15280000000,2020
"('all-year', 'all-week', 'night')",naphtha,Western,7.15280000000,2020
"('all-year', 'all-week', 'night')",naphtha,Northwest,7.15280000000,2020
"('all-year', 'all-week', 'night')",naphtha,North,7.15280000000,2020
"('all-year', 'all-week', 'night')",naphtha,Northeast,7.15280000000,2020
"('all-year', 'all-week', 'night')",naphtha,BajaCalif,7.15280000000,2020
"('all-year', 'all-week', 'night')",naphtha,BajaCalifSouth,7.15280000000,2020
"('all-year', 'all-week', 'night')",naphtha,Peninsular,7.15280000000,2020
"('all-year', 'all-week', 'night')",keroj,Central,16.00000000000,2020
"('all-year', 'all-week', 'night')",keroj,Eastern,16.00000000000,2020
"('all-year', 'all-week', 'night')",keroj,Western,16.00000000000,2020
"('all-year', 'all-week', 'night')",keroj,Northwest,16.00000000000,2020
"('all-year', 'all-week', 'night')",keroj,North,16.00000000000,2020
"('all-year', 'all-week', 'night')",keroj,Northeast,16.00000000000,2020
"('all-year', 'all-week', 'night')",keroj,BajaCalif,16.00000000000,2020
"('all-year', 'all-week', 'night')",keroj,BajaCalifSouth,16.00000000000,2020
"('all-year', 'all-week', 'night')",keroj,Peninsular,16.00000000000,2020
"('all-year', 'all-week', 'night')",hfo,Central,7.15280000000,2020
