asset,year,region,installed,technology,capacity
2,2050,Central,2020,procBiogasBiomass,0.83380000000
3,2050,Central,2020,procCTL,72987.79730000001
3,2054,Central,2020,procCTL,72987.79730000001
4,2050,Central,2020,procCTLwCCS,72987.79730000001
4,2054,Central,2020,procCTLwCCS,72987.79730000001
5,2050,Central,2020,procGTL,121906.94010000001
5,2054,Central,2020,procGTL,121906.94010000001
12,2050,Central,2020,procRefineryOilA,41780.06210000000
12,2054,Central,2020,procRefineryOilA,41122.14720000000
12,2055,Central,2020,procRefineryOilA,41122.14720000000
12,2064,Central,2020,procRefineryOilA,41122.14720000000
13,2050,Central,2045,procElectrolysis,63.15210000000
13,2054,Central,2045,procElectrolysis,63.15210000000
13,2055,Central,2045,procElectrolysis,63.15210000000
13,2064,Central,2045,procElectrolysis,63.15210000000
14,2050,Central,2045,procH2Biomass,3404.64000000000
14,2054,Central,2045,procH2Biomass,3404.64000000000
14,2055,Central,2045,procH2Biomass,3404.64000000000
14,2064,Central,2045,procH2Biomass,3404.64000000000
14,2065,Central,2045,procH2Biomass,3404.64000000000
14,2074,Central,2045,procH2Biomass,3404.64000000000
15,2050,Central,2045,procH2BiomasswCCS,3404.64000000000
15,2054,Central,2045,procH2BiomasswCCS,3404.64000000000
15,2055,Central,2045,procH2BiomasswCCS,3404.64000000000
15,2064,Central,2045,procH2BiomasswCCS,3404.64000000000
15,2065,Central,2045,procH2BiomasswCCS,3404.64000000000
15,2074,Central,2045,procH2BiomasswCCS,3404.64000000000
16,2050,Central,2045,procH2Coal,2732.03780000000
16,2054,Central,2045,procH2Coal,2732.03780000000
16,2055,Central,2045,procH2Coal,2732.03780000000
16,2064,Central,2045,procH2Coal,2732.03780000000
16,2065,Central,2045,procH2Coal,2732.03780000000
16,2074,Central,2045,procH2Coal,2732.03780000000
17,2050,Central,2045,procH2CoalwCCS,2732.03780000000
17,2054,Central,2045,procH2CoalwCCS,2732.03780000000
17,2055,Central,2045,procH2CoalwCCS,2732.03780000000
17,2064,Central,2045,procH2CoalwCCS,2732.03780000000
17,2065,Central,2045,procH2CoalwCCS,2732.03780000000
17,2074,Central,2045,procH2CoalwCCS,2732.03780000000
18,2050,Central,2045,procH2NG,8643.34690000000
18,2054,Central,2045,procH2NG,8643.34690000000
18,2055,Central,2045,procH2NG,8643.34690000000
18,2064,Central,2045,procH2NG,8643.34690000000
18,2065,Central,2045,procH2NG,8643.34690000000
18,2074,Central,2045,procH2NG,8643.34690000000
19,2050,Central,2045,procH2NGwCCS,8643.34690000000
19,2054,Central,2045,procH2NGwCCS,8643.34690000000
19,2055,Central,2045,procH2NGwCCS,8643.34690000000
19,2064,Central,2045,procH2NGwCCS,8643.34690000000
19,2065,Central,2045,procH2NGwCCS,8643.34690000000
19,2074,Central,2045,procH2NGwCCS,8643.34690000000
22,2050,Eastern,2020,procBiodieselOil,0.02100000000
23,2050,Eastern,2020,procCTL,72987.79730000001
23,2054,Eastern,2020,procCTL,72987.79730000001
24,2050,Eastern,2020,procCTLwCCS,72987.79730000001
24,2054,Eastern,2020,procCTLwCCS,72987.79730000001
25,2050,Eastern,2020,procEthanolBiomass,4.55030000000
26,2050,Eastern,2020,procGTL,121906.94010000001
26,2054,Eastern,2020,procGTL,121906.94010000001
33,2050,Eastern,2020,procRefineryOilA,46230.26880000000
33,2054,Eastern,2020,procRefineryOilA,45108.28900000000
33,2055,Eastern,2020,procRefineryOilA,45108.28900000000
