ProcessName,RegionName,Unit,2020,2025,2030,2035,2040,2045,2050
agrTraditionalCropping_fruits,Central,Mt,0,0,0,0,0,0,0
agrModernCropping_fruits,Central,Mt,0,0,0,0,0,0,0
agrTraditionalCropping_vegt,Central,Mt,0,0,0,0,0,0,0
agrModernCropping_vegt,Central,Mt,0,0,0,0,0,0,0
agrTraditionalCropping_seeds,Central,Mt,0,0,0,0,0,0,0
agrModernCropping_seeds,Central,Millons of pieces,0,0,0,0,0,0,0
agrTraditionalCropping_plants,Central,Millons of pieces,0,0,0,0,0,0,0
agrModernCropping_plants,Central,Mm3/UP,0,0,0,0,0,0,0
livestock_meat,Central,Mt/UP,0,0,0,0,0,0,0
livestock_milk,Central,Mt/UP,0,0,0,0,0,0,0
livestock_other,Central,Mt/UP,0,0,0,0,0,0,0
agrTraditionalCropping_fruits,Eastern,Mt,0,0,0,0,0,0,0
agrModernCropping_fruits,Eastern,Mt,0,0,0,0,0,0,0
agrTraditionalCropping_vegt,Eastern,Mt,0,0,0,0,0,0,0
agrModernCropping_vegt,Eastern,Mt,0,0,0,0,0,0,0
agrTraditionalCropping_seeds,Eastern,Mt,0,0,0,0,0,0,0
agrModernCropping_seeds,Eastern,Millons of pieces,0,0,0,0,0,0,0
agrTraditionalCropping_plants,Eastern,Millons of pieces,0,0,0,0,0,0,0
agrModernCropping_plants,Eastern,Mm3/UP,0,0,0,0,0,0,0
livestock_meat,Eastern,Mt/UP,0,0,0,0,0,0,0
livestock_milk,Eastern,Mt/UP,0,0,0,0,0,0,0
livestock_other,Eastern,Mt/UP,0,0,0,0,0,0,0
agrTraditionalCropping_fruits,Western,Mt,0,0,0,0,0,0,0
agrModernCropping_fruits,Western,Mt,0,0,0,0,0,0,0
agrTraditionalCropping_vegt,Western,Mt,0,0,0,0,0,0,0
agrModernCropping_vegt,Western,Mt,0,0,0,0,0,0,0
agrTraditionalCropping_seeds,Western,Mt,0,0,0,0,0,0,0
agrModernCropping_seeds,Western,Millons of pieces,0,0,0,0,0,0,0
agrTraditionalCropping_plants,Western,Millons of pieces,0,0,0,0,0,0,0
agrModernCropping_plants,Western,Mm3/UP,0,0,0,0,0,0,0
livestock_meat,Western,Mt/UP,0,0,0,0,0,0,0
livestock_milk,Western,Mt/UP,0,0,0,0,0,0,0
livestock_other,Western,Mt/UP,0,0,0,0,0,0,0
agrTraditionalCropping_fruits,Northwest,Mt,0,0,0,0,0,0,0
agrModernCropping_fruits,Northwest,Mt,0,0,0,0,0,0,0
agrTraditionalCropping_vegt,Northwest,Mt,0,0,0,0,0,0,0
agrModernCropping_vegt,Northwest,Mt,0,0,0,0,0,0,0
agrTraditionalCropping_seeds,Northwest,Mt,0,0,0,0,0,0,0
agrModernCropping_seeds,Northwest,Millons of pieces,0,0,0,0,0,0,0
agrTraditionalCropping_plants,Northwest,Millons of pieces,0,0,0,0,0,0,0
agrModernCropping_plants,Northwest,Mm3/UP,0,0,0,0,0,0,0
livestock_meat,Northwest,Mt/UP,0,0,0,0,0,0,0
livestock_milk,Northwest,Mt/UP,0,0,0,0,0,0,0
livestock_other,Northwest,Mt/UP,0,0,0,0,0,0,0
agrTraditionalCropping_fruits,North,Mt,0,0,0,0,0,0,0
agrModernCropping_fruits,North,Mt,0,0,0,0,0,0,0
agrTraditionalCropping_vegt,North,Mt,0,0,0,0,0,0,0
agrModernCropping_vegt,North,Mt,0,0,0,0,0,0,0
agrTraditionalCropping_seeds,North,Mt,0,0,0,0,0,0,0
agrModernCropping_seeds,North,Millons of pieces,0,0,0,0,0,0,0
agrTraditionalCropping_plants,North,Millons of pieces,0,0,0,0,0,0,0
agrModernCropping_plants,North,Mm3/UP,0,0,0,0,0,0,0
livestock_meat,North,Mt/UP,0,0,0,0,0,0,0
livestock_milk,North,Mt/UP,0,0,0,0,0,0,0
livestock_other,North,Mt/UP,0,0,0,0,0,0,0
agrTraditionalCropping_fruits,Northeast,Mt,0,0,0,0,0,0,0
agrModernCropping_fruits,Northeast,Mt,0,0,0,0,0,0,0
agrTraditionalCropping_vegt,Northeast,Mt,0,0,0,0,0,0,0
agrModernCropping_vegt,Northeast,Mt,0,0,0,0,0,0,0
agrTraditionalCropping_seeds,Northeast,Mt,0,0,0,0,0,0,0
agrModernCropping_seeds,Northeast,Millons of pieces,0,0,0,0,0,0,0
agrTraditionalCropping_plants,Northeast,Millons of pieces,0,0,0,0,0,0,0
agrModernCropping_plants,Northeast,Mm3/UP,0,0,0,0,0,0,0
livestock_meat,Northeast,Mt/UP,0,0,0,0,0,0,0
livestock_milk,Northeast,Mt/UP,0,0,0,0,0,0,0
livestock_other,Northeast,Mt/UP,0,0,0,0,0,0,0
agrTraditionalCropping_fruits,BajaCalif,Mt,0,0,0,0,0,0,0
agrModernCropping_fruits,BajaCalif,Mt,0,0,0,0,0,0,0
agrTraditionalCropping_vegt,BajaCalif,Mt,0,0,0,0,0,0,0
agrModernCropping_vegt,BajaCalif,Mt,0,0,0,0,0,0,0
agrTraditionalCropping_seeds,BajaCalif,Mt,0,0,0,0,0,0,0
agrModernCropping_seeds,BajaCalif,Millons of pieces,0,0,0,0,0,0,0
agrTraditionalCropping_plants,BajaCalif,Millons of pieces,0,0,0,0,0,0,0
agrModernCropping_plants,BajaCalif,Mm3/UP,0,0,0,0,0,0,0
livestock_meat,BajaCalif,Mt/UP,0,0,0,0,0,0,0
livestock_milk,BajaCalif,Mt/UP,0,0,0,0,0,0,0
livestock_other,BajaCalif,Mt/UP,0,0,0,0,0,0,0
agrTraditionalCropping_fruits,BajaCalifSouth,Mt,0,0,0,0,0,0,0
agrModernCropping_fruits,BajaCalifSouth,Mt,0,0,0,0,0,0,0
agrTraditionalCropping_vegt,BajaCalifSouth,Mt,0,0,0,0,0,0,0
agrModernCropping_vegt,BajaCalifSouth,Mt,0,0,0,0,0,0,0
agrTraditionalCropping_seeds,BajaCalifSouth,Mt,0,0,0,0,0,0,0
agrModernCropping_seeds,BajaCalifSouth,Millons of pieces,0,0,0,0,0,0,0
agrTraditionalCropping_plants,BajaCalifSouth,Millons of pieces,0,0,0,0,0,0,0
agrModernCropping_plants,BajaCalifSouth,Mm3/UP,0,0,0,0,0,0,0
livestock_meat,BajaCalifSouth,Mt/UP,0,0,0,0,0,0,0
livestock_milk,BajaCalifSouth,Mt/UP,0,0,0,0,0,0,0
livestock_other,BajaCalifSouth,Mt/UP,0,0,0,0,0,0,0
agrTraditionalCropping_fruits,Peninsular,Mt,0,0,0,0,0,0,0
agrModernCropping_fruits,Peninsular,Mt,0,0,0,0,0,0,0
agrTraditionalCropping_vegt,Peninsular,Mt,0,0,0,0,0,0,0
agrModernCropping_vegt,Peninsular,Mt,0,0,0,0,0,0,0
agrTraditionalCropping_seeds,Peninsular,Mt,0,0,0,0,0,0,0
agrModernCropping_seeds,Peninsular,Millons of pieces,0,0,0,0,0,0,0
agrTraditionalCropping_plants,Peninsular,Millons of pieces,0,0,0,0,0,0,0
