ProcessName,RegionName,Time,Level,cap_par,cap_exp,fix_par,fix_exp,var_par,var_exp,MaxCapacityAddition,MaxCapacityGrowth,TotalCapacityLimit,TechnicalLife,UtilizationFactor,ScalingSize,efficiency,InterestRate,Type,Fuel,EndUse,Agent2
Unit,-,Year,-,MUS$2010/PJ_a,-,MUS$2010/PJ,-,MUS$2010/PJ,-,PJ,%,PJ,Years,-,PJ,%,-,-,-,-,Retrofit
procRefineryOilA,Central,2020,fixed,4.627150689,1,0.18758719,1,0.061591127,1,90723.85949,100,11066137.38,40,0.85,558,0.879934752,0.1,energy,oil,diesel,1
procGTL,Central,2020,fixed,7.07,1,0.2828,1,0.707,1,12190.69401,100,2438138.802,30,0.85,57,0.58,0.1,energy,gas,diesel,1
procCTLwCCS,Central,2020,fixed,34.76925,1,1.39077,1,5.231674835,1,7298.779734,100,7298779.734,30,0.85,57,1.125,0.1,energy,coal,diesel,1
procCTL,Central,2020,fixed,22.725,1,0.909,1,3.419395317,1,7298.779734,100,7298779.734,30,0.85,57,0.45,0.1,energy,coal,diesel,1
procBTL,Central,2020,fixed,31.78039646,1,4.392666702,1,6.487390325,1,12568.68316,100,1256868.316,25,0.85,2.5,0.46,0.1,energy,encrops,diesel,1
procBTLwCCS,Central,2020,fixed,41.95012332,1,5.798320046,1,8.563355229,1,12568.68316,100,1256868.316,25,0.85,2.5,1.15,0.1,energy,encrops,diesel,1
procElectrolysis,Central,2020,fixed,42.30303745,1,2.115151873,1,0,1,3.1576065,100,2438138.802,15,0.75,0.0024,0.65,0.1,energy,water,hydrogen,1
procH2Biomass,Central,2020,fixed,130.4992952,1,9.134950665,1,0,1,170.232,100,3404.64,25,0.91,4,0.5,0.1,energy,encrops,hydrogen,1
procH2BiomasswCCS,Central,2020,fixed,172.5141609,1,12.07599127,1,0,1,170.232,100,3404.64,25,0.91,4,1.111111111,0.1,energy,encrops,hydrogen,1
procH2NGwCCS,Central,2020,fixed,28.2683057,1,2.82613777,1,0,1,432.1673428,100,8643.346856,25,0.91,28,1.090909091,0.1,energy,gas,hydrogen,1
procH2NG,Central,2020,fixed,15.66779165,1,1.130732228,1,0,1,432.1673428,100,8643.346856,25,0.91,28,0.72,0.1,energy,gas,hydrogen,1
procH2CoalwCCS,Central,2020,fixed,86.60661535,1,4.330330767,1,0,1,136.6018882,100,2732.037764,25,0.85,22,1.1,0.1,energy,coal,hydrogen,1
procH2Coal,Central,2020,fixed,56.52275541,1,0.626711666,1,0,1,136.6018882,100,2732.037764,25,0.85,22,0.55,0.1,energy,coal,hydrogen,1
procEthanolStarchCrops,Central,2020,fixed,38.86181288,1,2.329207611,1,0,1,1000,100,100000,25,0.9,2.5,0.38,0.1,energy,encrops,bioethanol,1
procEthanolSugarCrops,Central,2020,fixed,37.01720552,1,4.752208816,1,0,1,23477.27946,100,469545.5892,25,0.9,2.5,0.36,0.1,energy,encrops,bioethanol,1
procEthanolBiomass,Central,2020,fixed,37.01720552,1,4.752208816,1,0,1,14830.10496,100,2438138.802,25,0.9,2.5,0.34,0.1,energy,encrops,bioethanol,1
procEthanolBiomasswCCS,Central,2020,fixed,48.86271128,1,6.272915637,1,0,1,23477.27946,100,469545.5892,25,0.9,2.5,0.34,0.1,energy,encrops,bioethanol,1
procMethanolBiomass,Central,2020,fixed,36.53260527,1,5.480672404,1,0,1,1382.94,100,27658.8,25,0.91,5.1376,0.58,0.1,energy,encrops,methanol,1
procMethanolBiomasswCCS,Central,2020,fixed,48.22303896,1,7.234487574,1,0,1,1382.94,100,27658.8,25,0.91,5.1376,1.111111111,0.1,energy,encrops,methanol,1
procBiogasBiomass,Central,2020,fixed,29.74038577,1,1.485065255,1,0,1,18.86643,100,912057.4652,20,0.95,0.3128,0.62,0.1,energy,encrops,biogas,1
procBiogasLandfill,Central,2020,fixed,77.65135428,1,0.7474,1,0,1,1000,100,100000,25,0.9,2.5,0.62,0.1,energy,msw,biogas,1
procBiosyngasBiomass,Central,2020,fixed,35.64156612,1,3.564156612,1,0,1,186.48,100,3729.6,25,0.9,2.5,0.62,0.1,energy,encrops,biosyngas,1
procPyrolysisUpgradeBiomass,Central,2020,fixed,39.61372487,1,2.063459091,1,8.191307302,1,12464.92229,100,249298.4458,20,0.85,8.3121,0.77,0.1,energy,encrops,diesel,1
procBiodieselOil,Central,2020,fixed,4.095653651,1,3.1577177,1,0,1,896182.261,100,17923645.22,25,0.7,2.5,0.45,0.1,energy,encrops,biodiesel,1
procBiodieselAlgae,Central,2020,fixed,56.43445699,1,1.685387,1,2.525,1,2.86783,100,57.3566,20,0.9,7.4052,0.63,0.1,energy,algae,biodiesel,1
procRefineryOilA,Eastern,2020,fixed,4.627150689,1,0.18758719,1,0.061591127,1,90723.85949,100,11066137.38,40,0.85,558,0.879934752,0.1,energy,oil,diesel,1
procGTL,Eastern,2020,fixed,7.07,1,0.2828,1,0.707,1,12190.69401,100,2438138.802,30,0.85,57,0.58,0.1,energy,gas,diesel,1
procCTLwCCS,Eastern,2020,fixed,34.76925,1,1.39077,1,5.231674835,1,7298.779734,100,7298779.734,30,0.85,57,1.125,0.1,energy,coal,diesel,1
procCTL,Eastern,2020,fixed,22.725,1,0.909,1,3.419395317,1,7298.779734,100,7298779.734,30,0.85,57,0.45,0.1,energy,coal,diesel,1
procBTL,Eastern,2020,fixed,31.78039646,1,4.392666702,1,6.487390325,1,12568.68316,100,1256868.316,25,0.85,2.5,0.46,0.1,energy,encrops,diesel,1
procBTLwCCS,Eastern,2020,fixed,41.95012332,1,5.798320046,1,8.563355229,1,12568.68316,100,1256868.316,25,0.85,2.5,1.15,0.1,energy,encrops,diesel,1
procElectrolysis,Eastern,2020,fixed,42.30303745,1,2.115151873,1,0,1,3.1576065,100,2438138.802,15,0.75,0.0024,0.65,0.1,energy,water,hydrogen,1
procH2Biomass,Eastern,2020,fixed,130.4992952,1,9.134950665,1,0,1,170.232,100,3404.64,25,0.91,4,0.5,0.1,energy,encrops,hydrogen,1
