year,asset,dst_region,region,technology,installed,capacity
2040,0,BajaCalif,BajaCalif,GAS_GT,2020,44.88190000000
2040,1,BajaCalif,BajaCalif,GEOTH,2020,10.77640000000
2040,2,BajaCalif,BajaCalif,OIL,2020,0.03990000000
2040,4,BajaCalif,BajaCalif,PV_GND,2020,0.13970000000
2040,7,BajaCalif,BajaCalif,WIND_ON,2020,0.19960000000
2040,8,BajaCalifSouth,BajaCalifSouth,GAS_GT,2020,2.25510000000
2040,9,BajaCalifSouth,BajaCalifSouth,OIL,2020,9.47930000000
2040,11,BajaCalifSouth,BajaCalifSouth,PV_GND,2020,1.65640000000
2040,14,BajaCalifSouth,BajaCalifSouth,WIND_ON,2020,0.99780000000
2040,15,Central,Central,BIO,2020,0.02000000000
2040,19,Central,Central,GAS_GT,2020,83.35780000000
2040,19,Eastern,Central,GAS_GT,2020,22.58660000000
2040,19,Western,Central,GAS_GT,2020,27.00100000000
2040,20,Eastern,Central,GEOTH,2020,0.00010000000
2040,21,Central,Central,HYD,2020,1.61650000000
2040,22,Central,Central,OIL,2020,2.75400000000
2040,23,Central,Central,PV_GND,2020,0.41910000000
2040,24,Eastern,Eastern,BIO,2020,3.29280000000
2040,30,Eastern,Eastern,GAS_GT,2020,90.34650000000
2040,30,Peninsular,Eastern,GAS_GT,2020,17.65140000000
2040,32,Eastern,Eastern,HYD,2020,133.52810000000
2040,33,Eastern,Eastern,NUCL,2020,32.32930000000
2040,34,Eastern,Eastern,OIL,2020,5.82730000000
2040,36,Eastern,Eastern,WIND_ON,2020,55.23920000000
2040,38,North,North,BIO,2020,0.17960000000
2040,41,North,North,GAS_GT,2020,87.28920000000
2040,43,North,North,HYD,2020,0.55880000000
2040,45,North,North,OIL,2020,2.29500000000
2040,46,North,North,PV_GND,2020,22.65050000000
2040,47,Northeast,Northeast,BIO,2020,0.37920000000
2040,48,Northeast,Northeast,COAL,2020,26.34240000000
2040,49,Northeast,Northeast,GAS_GT,2020,286.55360000000
2040,52,Northeast,Northeast,HYD,2020,2.35490000000
2040,54,Northeast,Northeast,OIL,2020,4.47020000000
2040,55,Northeast,Northeast,PV_GND,2020,9.25980000000
2040,56,Northeast,Northeast,WIND_ON,2020,50.33000000000
2040,59,Northwest,Northwest,GAS_GT,2020,93.22020000000
2040,59,North,Northwest,GAS_GT,2020,26.18680000000
2040,61,Northwest,Northwest,HYD,2020,19.15810000000
2040,63,Northwest,Northwest,OIL,2020,1.11760000000
2040,64,Northwest,Northwest,PV_GND,2020,9.10010000000
2040,65,Northwest,Northwest,WIND_ON,2020,0.03990000000
2040,66,Peninsular,Peninsular,GAS_GT,2020,17.65140000000
2040,67,Peninsular,Peninsular,OIL,2020,0.31930000000
2040,68,Peninsular,Peninsular,PV_GND,2020,13.88960000000
2040,69,Peninsular,Peninsular,PV_RFT,2020,0.11970000000
2040,71,Peninsular,Peninsular,WIND_ON,2020,5.10880000000
2040,73,Western,Western,BIO,2020,0.79830000000
2040,76,Western,Western,COAL,2020,66.85390000000
2040,80,Western,Western,GAS_GT,2020,108.00390000000
2040,80,Northwest,Western,GAS_GT,2020,23.30510000000
2040,82,Western,Western,GEOTH,2020,6.28630000000
2040,83,Western,Western,HYD,2020,98.04570000000
2040,85,Western,Western,OIL,2020,16.48400000000
2040,86,Western,Western,PV_GND,2020,15.36640000000
2040,87,Western,Western,WIND_ON,2020,20.55510000000
2045,0,BajaCalif,BajaCalif,GAS_GT,2020,33.66140000000
2045,1,BajaCalif,BajaCalif,GEOTH,2020,8.08230000000
2045,2,BajaCalif,BajaCalif,OIL,2020,0.02990000000
2045,4,BajaCalif,BajaCalif,PV_GND,2020,0.10480000000
2045,7,BajaCalif,BajaCalif,WIND_ON,2020,0.14970000000
2045,8,BajaCalifSouth,BajaCalifSouth,GAS_GT,2020,1.69130000000
2045,9,BajaCalifSouth,BajaCalifSouth,OIL,2020,7.10950000000
2045,11,BajaCalifSouth,BajaCalifSouth,PV_GND,2020,1.24230000000
2045,14,BajaCalifSouth,BajaCalifSouth,WIND_ON,2020,0.74840000000
2045,15,Central,Central,BIO,2020,0.01500000000
2045,19,Central,Central,GAS_GT,2020,62.51830000000
2045,19,Eastern,Central,GAS_GT,2020,16.94000000000
2045,19,Western,Central,GAS_GT,2020,20.25070000000
2045,21,Central,Central,HYD,2020,1.21230000000
2045,22,Central,Central,OIL,2020,2.06550000000
2045,23,Central,Central,PV_GND,2020,0.31430000000
2045,24,Eastern,Eastern,BIO,2020,2.46960000000
2045,30,Eastern,Eastern,GAS_GT,2020,67.75990000000
2045,30,Peninsular,Eastern,GAS_GT,2020,13.23860000000
2045,32,Eastern,Eastern,HYD,2020,100.14610000000
2045,33,Eastern,Eastern,NUCL,2020,24.24700000000
2045,34,Eastern,Eastern,OIL,2020,4.37040000000
2045,36,Eastern,Eastern,WIND_ON,2020,41.42940000000
2045,38,North,North,BIO,2020,0.13470000000
2045,41,North,North,GAS_GT,2020,65.46690000000
2045,43,North,North,HYD,2020,0.41910000000
2045,45,North,North,OIL,2020,1.72120000000
2045,46,North,North,PV_GND,2020,16.98790000000
2045,47,Northeast,Northeast,BIO,2020,0.28440000000
2045,48,Northeast,Northeast,COAL,2020,19.75680000000
2045,49,Northeast,Northeast,GAS_GT,2020,214.91520000000
2045,52,Northeast,Northeast,HYD,2020,1.76610000000
2045,54,Northeast,Northeast,OIL,2020,3.35270000000
2045,55,Northeast,Northeast,PV_GND,2020,6.94480000000
2045,56,Northeast,Northeast,WIND_ON,2020,37.74750000000
2045,59,Northwest,Northwest,GAS_GT,2020,69.91520000000
2045,59,North,Northwest,GAS_GT,2020,19.64010000000
2045,61,Northwest,Northwest,HYD,2020,14.36860000000
2045,63,Northwest,Northwest,OIL,2020,0.83820000000
2045,64,Northwest,Northwest,PV_GND,2020,6.82510000000
2045,65,Northwest,Northwest,WIND_ON,2020,0.02990000000
2045,66,Peninsular,Peninsular,GAS_GT,2020,13.23860000000
2045,67,Peninsular,Peninsular,OIL,2020,0.23950000000
2045,68,Peninsular,Peninsular,PV_GND,2020,10.41720000000
2045,69,Peninsular,Peninsular,PV_RFT,2020,0.08980000000
2045,71,Peninsular,Peninsular,WIND_ON,2020,3.83160000000
2045,73,Western,Western,BIO,2020,0.59870000000
2045,76,Western,Western,COAL,2020,50.14040000000
2045,80,Western,Western,GAS_GT,2020,81.00290000000
2045,80,Northwest,Western,GAS_GT,2020,17.47880000000
2045,82,Western,Western,GEOTH,2020,4.71470000000
2045,83,Western,Western,HYD,2020,73.53430000000
2045,85,Western,Western,OIL,2020,12.36300000000
2045,86,Western,Western,PV_GND,2020,11.52480000000
2045,87,Western,Western,WIND_ON,2020,15.41630000000
2049,0,BajaCalif,BajaCalif,GAS_GT,2020,26.92910000000
2049,1,BajaCalif,BajaCalif,GEOTH,2020,6.46590000000
2049,2,BajaCalif,BajaCalif,OIL,2020,0.02390000000
2049,4,BajaCalif,BajaCalif,PV_GND,2020,0.08380000000
2049,7,BajaCalif,BajaCalif,WIND_ON,2020,0.11970000000
2049,8,BajaCalifSouth,BajaCalifSouth,GAS_GT,2020,1.35300000000
2049,9,BajaCalifSouth,BajaCalifSouth,OIL,2020,5.68760000000
2049,11,BajaCalifSouth,BajaCalifSouth,PV_GND,2020,0.99380000000
2049,14,BajaCalifSouth,BajaCalifSouth,WIND_ON,2020,0.59870000000
2049,15,Central,Central,BIO,2020,0.01200000000
2049,19,Central,Central,GAS_GT,2020,50.01470000000
2049,19,Eastern,Central,GAS_GT,2020,13.55200000000
2049,19,Western,Central,GAS_GT,2020,16.20060000000
2049,21,Central,Central,HYD,2020,0.96990000000
2049,22,Central,Central,OIL,2020,1.65240000000
2049,23,Central,Central,PV_GND,2020,0.25150000000
2049,24,Eastern,Eastern,BIO,2020,1.97570000000
2049,30,Eastern,Eastern,GAS_GT,2020,54.20790000000
2049,30,Peninsular,Eastern,GAS_GT,2020,10.59080000000
2049,32,Eastern,Eastern,HYD,2020,80.11690000000
2049,33,Eastern,Eastern,NUCL,2020,19.39760000000
2049,34,Eastern,Eastern,OIL,2020,3.49640000000
2049,36,Eastern,Eastern,WIND_ON,2020,33.14350000000
2049,38,North,North,BIO,2020,0.10780000000
2049,41,North,North,GAS_GT,2020,52.37350000000
2049,43,North,North,HYD,2020,0.33530000000
2049,45,North,North,OIL,2020,1.37700000000
2049,46,North,North,PV_GND,2020,13.59030000000
2049,47,Northeast,Northeast,BIO,2020,0.22750000000
2049,48,Northeast,Northeast,COAL,2020,15.80540000000
2049,49,Northeast,Northeast,GAS_GT,2020,171.93220000000
2049,52,Northeast,Northeast,HYD,2020,1.41290000000
2049,54,Northeast,Northeast,OIL,2020,2.68210000000
