timeslice,commodity,asset,year,installed,technology,month,day,hour,supply
0,light,0,2020,2020,comLightingFluorescent,all-year,all-week,night,5.25490000000
0,light,0,2025,2020,comLightingFluorescent,all-year,all-week,night,5.69280000000
0,light,1,2020,2020,comLightingOtherCCL,all-year,all-week,night,5.25490000000
0,light,1,2025,2020,comLightingOtherCCL,all-year,all-week,night,5.69280000000
0,light,2,2020,2020,resLightingCon,all-year,all-week,night,5.25490000000
0,light,2,2025,2020,resLightingCon,all-year,all-week,night,5.69280000000
0,light,3,2020,2020,resLightingEnergySaving,all-year,all-week,night,5.25490000000
0,light,3,2025,2020,resLightingEnergySaving,all-year,all-week,night,5.69280000000
0,light,9,2020,2020,res_comLightingLED,all-year,all-week,night,5.25490000000
0,light,9,2025,2020,res_comLightingLED,all-year,all-week,night,5.69280000000
0,light,10,2020,2020,comLightingFluorescent,all-year,all-week,night,1.99300000000
0,light,10,2025,2020,comLightingFluorescent,all-year,all-week,night,2.15910000000
0,light,11,2020,2020,comLightingOtherCCL,all-year,all-week,night,1.99300000000
0,light,11,2025,2020,comLightingOtherCCL,all-year,all-week,night,1.75000000000
0,light,12,2020,2020,resLightingCon,all-year,all-week,night,1.99300000000
0,light,12,2025,2020,resLightingCon,all-year,all-week,night,2.15910000000
0,light,13,2020,2020,resLightingEnergySaving,all-year,all-week,night,1.99300000000
0,light,13,2025,2020,resLightingEnergySaving,all-year,all-week,night,2.15910000000
0,light,19,2020,2020,res_comLightingLED,all-year,all-week,night,1.99300000000
0,light,19,2025,2020,res_comLightingLED,all-year,all-week,night,2.15910000000
0,light,20,2020,2020,comLightingFluorescent,all-year,all-week,night,39.20090000000
0,light,20,2025,2020,comLightingFluorescent,all-year,all-week,night,33.00000000000
0,light,21,2020,2020,comLightingOtherCCL,all-year,all-week,night,30.33330000000
0,light,21,2025,2020,comLightingOtherCCL,all-year,all-week,night,22.75000000000
0,light,22,2020,2020,resLightingCon,all-year,all-week,night,39.20090000000
0,light,22,2025,2020,resLightingCon,all-year,all-week,night,42.46760000000
0,light,23,2020,2020,resLightingEnergySaving,all-year,all-week,night,39.20090000000
0,light,23,2025,2020,resLightingEnergySaving,all-year,all-week,night,42.46760000000
0,light,29,2020,2020,res_comLightingLED,all-year,all-week,night,39.20090000000
0,light,29,2025,2020,res_comLightingLED,all-year,all-week,night,42.46760000000
0,light,30,2020,2020,comLightingFluorescent,all-year,all-week,night,34.34990000000
0,light,30,2025,2020,comLightingFluorescent,all-year,all-week,night,37.21240000000
0,light,31,2020,2020,comLightingOtherCCL,all-year,all-week,night,3.00000000000
0,light,31,2025,2020,comLightingOtherCCL,all-year,all-week,night,2.25000000000
0,light,32,2020,2020,resLightingCon,all-year,all-week,night,34.34990000000
0,light,32,2025,2020,resLightingCon,all-year,all-week,night,37.21240000000
0,light,33,2020,2020,resLightingEnergySaving,all-year,all-week,night,34.34990000000
0,light,33,2025,2020,resLightingEnergySaving,all-year,all-week,night,37.21240000000
0,light,39,2020,2020,res_comLightingLED,all-year,all-week,night,34.34990000000
0,light,39,2025,2020,res_comLightingLED,all-year,all-week,night,37.21240000000
0,light,40,2020,2020,comLightingFluorescent,all-year,all-week,night,20.80630000000
0,light,40,2025,2020,comLightingFluorescent,all-year,all-week,night,22.54010000000
0,light,41,2020,2020,comLightingOtherCCL,all-year,all-week,night,16.33330000000
0,light,41,2025,2020,comLightingOtherCCL,all-year,all-week,night,12.25000000000
