ProcessName,RegionName,Unit,2020,2025,2030,2035,2040,2045,2050,2055
comACHFC_HC,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
comACHFO_HC,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
comBoilerBiomass_HC,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
comBoilerCoal_HC,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
comBoilerElectric_HC,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
comBoilerKerosene_HC,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
comBoilerNG_HC,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
comHVAC_HFC_HC,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
comHVAC_HFO_HC,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
comHWaterBiomass_HC,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
comHWaterCoal_HC,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
comHWaterElec_HC,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
comHWaterLFO_HC,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
comHWaterNG_HC,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
res_comASHeatPump,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
res_comASHeatPump_solarT,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
res_comASHeatPumpNG,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
res_comBoilerBiomass,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
res_comBoilerBiomass_solarT,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
res_comBoilerCoal,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
res_comBoilerCoal_solarT,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
res_comBoilerElectriciy_solarT,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
res_comBoilerKerosene,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
res_comBoilerKerosene_solarT,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
res_comBoilerNG,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
res_comBoilerNG_solarT,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
res_comCHPBiomass,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
res_comCHPCoal,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
res_comCHPNG,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
res_comCookingBiomass,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
res_comCookingCoal,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
res_comCookingKerosene,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
res_comCookingNG,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
res_comDHBiomass,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
res_comDHCoal,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
res_comDHHeatPump,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
res_comDHNG,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
res_comDHSolarWater,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
res_comDHThermalStorage,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
res_comDHWasteHeatOfftake,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
res_comElectricNightStorage,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
res_comElectricResSA,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
res_comElectricResSA_storage,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
res_comGSHeatPump,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
res_comGSHeatPump_solarT,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
res_comGSHeatPumpNG,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
res_comHWaterBiomass,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
res_comHWaterCoal,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
res_comHWaterKerosene,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
res_comHWaterNG,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
res_comMicroCHPBiomass,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
res_comMicroCHPNG,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
res_comNGSA,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
resAppliancesAdv,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
comLightingOtherCCL,BajaCalif,PJ/y,33,24.75,18.5625,13.921875,0.1,0.1,0.1,0.1
