asset,year,region,installed,technology,capacity
0,2050,BajaCalif,2020,comAC,0.20000000000
0,2051,BajaCalif,2020,comAC,0.20000000000
0,2053,BajaCalif,2020,comAC,0.20000000000
0,2054,BajaCalif,2020,comAC,0.20000000000
0,2055,BajaCalif,2020,comAC,0.20000000000
1,2050,BajaCalif,2020,comAppliancesCon,0.20000000000
1,2051,BajaCalif,2020,comAppliancesCon,0.20000000000
1,2053,BajaCalif,2020,comAppliancesCon,0.20000000000
1,2054,BajaCalif,2020,comAppliancesCon,0.20000000000
1,2055,BajaCalif,2020,comAppliancesCon,0.20000000000
2,2050,BajaCalif,2020,comBoilerElectric,0.20000000000
2,2051,BajaCalif,2020,comBoilerElectric,0.20000000000
2,2053,BajaCalif,2020,comBoilerElectric,0.20000000000
2,2054,BajaCalif,2020,comBoilerElectric,0.20000000000
2,2055,BajaCalif,2020,comBoilerElectric,0.20000000000
3,2050,BajaCalif,2020,comCookingElec,0.20000000000
3,2051,BajaCalif,2020,comCookingElec,0.20000000000
3,2053,BajaCalif,2020,comCookingElec,0.20000000000
3,2054,BajaCalif,2020,comCookingElec,0.20000000000
3,2055,BajaCalif,2020,comCookingElec,0.20000000000
4,2050,BajaCalif,2020,comHWaterElec,0.20000000000
4,2051,BajaCalif,2020,comHWaterElec,0.20000000000
4,2053,BajaCalif,2020,comHWaterElec,0.20000000000
4,2054,BajaCalif,2020,comHWaterElec,0.20000000000
4,2055,BajaCalif,2020,comHWaterElec,0.20000000000
5,2050,BajaCalif,2020,comLightingFluorescent,0.20000000000
5,2051,BajaCalif,2020,comLightingFluorescent,0.20000000000
5,2053,BajaCalif,2020,comLightingFluorescent,0.20000000000
5,2054,BajaCalif,2020,comLightingFluorescent,0.20000000000
5,2055,BajaCalif,2020,comLightingFluorescent,0.20000000000
6,2050,BajaCalif,2020,comLightingLED,0.20000000000
6,2051,BajaCalif,2020,comLightingLED,0.20000000000
6,2053,BajaCalif,2020,comLightingLED,0.20000000000
6,2054,BajaCalif,2020,comLightingLED,0.20000000000
6,2055,BajaCalif,2020,comLightingLED,0.20000000000
7,2050,BajaCalif,2020,comLightingOtherCCL,0.20000000000
7,2051,BajaCalif,2020,comLightingOtherCCL,0.20000000000
7,2053,BajaCalif,2020,comLightingOtherCCL,0.20000000000
7,2054,BajaCalif,2020,comLightingOtherCCL,0.20000000000
