timeslice,commodity,asset,year,installed,technology,month,day,hour,supply
0,light_com,5,2020,2020,comLightingFluorescent,all-year,all-week,night,2.72900000000
0,light_com,5,2025,2020,comLightingFluorescent,all-year,all-week,night,2.95650000000
0,light_com,6,2020,2020,comLightingLED,all-year,all-week,night,2.72900000000
0,light_com,6,2025,2020,comLightingLED,all-year,all-week,night,2.95650000000
0,light_com,7,2020,2020,comLightingOtherCCL,all-year,all-week,night,2.72900000000
0,light_com,7,2025,2020,comLightingOtherCCL,all-year,all-week,night,2.95650000000
0,light_com,13,2020,2020,comLightingFluorescent,all-year,all-week,night,1.03500000000
0,light_com,13,2025,2020,comLightingFluorescent,all-year,all-week,night,1.12130000000
0,light_com,14,2020,2020,comLightingLED,all-year,all-week,night,1.03500000000
0,light_com,14,2025,2020,comLightingLED,all-year,all-week,night,1.12130000000
0,light_com,15,2020,2020,comLightingOtherCCL,all-year,all-week,night,1.03500000000
0,light_com,15,2025,2020,comLightingOtherCCL,all-year,all-week,night,1.12130000000
0,light_com,21,2020,2020,comLightingFluorescent,all-year,all-week,night,20.35820000000
0,light_com,21,2025,2020,comLightingFluorescent,all-year,all-week,night,22.05470000000
0,light_com,22,2020,2020,comLightingLED,all-year,all-week,night,20.35820000000
0,light_com,22,2025,2020,comLightingLED,all-year,all-week,night,22.05470000000
0,light_com,23,2020,2020,comLightingOtherCCL,all-year,all-week,night,20.35820000000
0,light_com,23,2025,2020,comLightingOtherCCL,all-year,all-week,night,22.05470000000
0,light_com,29,2020,2020,comLightingFluorescent,all-year,all-week,night,17.83900000000
0,light_com,29,2025,2020,comLightingFluorescent,all-year,all-week,night,19.32560000000
0,light_com,30,2020,2020,comLightingLED,all-year,all-week,night,17.83900000000
0,light_com,30,2025,2020,comLightingLED,all-year,all-week,night,19.32560000000
0,light_com,31,2020,2020,comLightingOtherCCL,all-year,all-week,night,3.00000000000
0,light_com,31,2025,2020,comLightingOtherCCL,all-year,all-week,night,2.25000000000
0,light_com,37,2020,2020,comLightingFluorescent,all-year,all-week,night,10.80530000000
0,light_com,37,2025,2020,comLightingFluorescent,all-year,all-week,night,11.70580000000
0,light_com,38,2020,2020,comLightingLED,all-year,all-week,night,10.80530000000
0,light_com,38,2025,2020,comLightingLED,all-year,all-week,night,11.70580000000
0,light_com,39,2020,2020,comLightingOtherCCL,all-year,all-week,night,10.80530000000
0,light_com,39,2025,2020,comLightingOtherCCL,all-year,all-week,night,11.70580000000
0,light_com,45,2020,2020,comLightingFluorescent,all-year,all-week,night,5.89010000000
