timeslice,commodity,asset,year,installed,technology,month,day,hour,supply
0,cement,0,2025,2020,indr_tec,all-year,all-week,night,6.64150000000
0,cement,0,2030,2020,indr_tec,all-year,all-week,night,4.42770000000
0,cement,1,2025,2020,indr_tec2,all-year,all-week,night,3.32070000000
0,cement,1,2030,2020,indr_tec2,all-year,all-week,night,2.21380000000
0,cement,2,2030,2025,indr_tec,all-year,all-week,night,7.77780000000
0,cement,3,2030,2025,indr_tec2,all-year,all-week,night,7.77780000000
0,cement,4,2025,2020,indr_tec,all-year,all-week,night,1.26390000000
0,cement,4,2030,2020,indr_tec,all-year,all-week,night,1.13690000000
0,cement,5,2025,2020,indr_tec2,all-year,all-week,night,0.85270000000
0,cement,5,2030,2020,indr_tec2,all-year,all-week,night,0.56840000000
0,cement,6,2025,2020,indr_tec,all-year,all-week,night,64.40280000000
0,cement,6,2030,2020,indr_tec,all-year,all-week,night,107.97220000000
0,cement,7,2025,2020,indr_tec2,all-year,all-week,night,64.40280000000
0,cement,7,2030,2020,indr_tec2,all-year,all-week,night,107.97220000000
0,cement,8,2025,2020,indr_tec,all-year,all-week,night,40.66960000000
0,cement,8,2030,2020,indr_tec,all-year,all-week,night,27.11310000000
0,cement,9,2025,2020,indr_tec2,all-year,all-week,night,20.33480000000
0,cement,9,2030,2020,indr_tec2,all-year,all-week,night,13.55650000000
0,cement,10,2030,2025,indr_tec,all-year,all-week,night,48.22220000000
0,cement,11,2030,2025,indr_tec2,all-year,all-week,night,48.22220000000
0,cement,12,2025,2020,indr_tec,all-year,all-week,night,11.73610000000
0,cement,12,2030,2020,indr_tec,all-year,all-week,night,8.92630000000
0,cement,13,2025,2020,indr_tec2,all-year,all-week,night,6.69470000000
0,cement,13,2030,2020,indr_tec2,all-year,all-week,night,4.46310000000
0,cement,14,2025,2020,indr_tec,all-year,all-week,night,37.50020000000
0,cement,14,2030,2020,indr_tec,all-year,all-week,night,25.00020000000
0,cement,15,2025,2020,indr_tec2,all-year,all-week,night,18.75010000000
0,cement,15,2030,2020,indr_tec2,all-year,all-week,night,12.50010000000
0,cement,16,2030,2025,indr_tec,all-year,all-week,night,58.72220000000
0,cement,17,2030,2025,indr_tec2,all-year,all-week,night,58.72220000000
0,cement,18,2025,2020,indr_tec,all-year,all-week,night,13.90280000000
0,cement,18,2030,2020,indr_tec,all-year,all-week,night,11.53110000000
0,cement,19,2025,2020,indr_tec2,all-year,all-week,night,8.64840000000
0,cement,19,2030,2020,indr_tec2,all-year,all-week,night,5.76560000000
0,cement,20,2025,2020,indr_tec,all-year,all-week,night,2.16670000000
0,cement,20,2030,2020,indr_tec,all-year,all-week,night,2.33330000000
0,cement,21,2025,2020,indr_tec2,all-year,all-week,night,2.16670000000
0,cement,21,2030,2020,indr_tec2,all-year,all-week,night,1.80220000000
0,cement,22,2025,2020,indr_tec,all-year,all-week,night,23.11110000000
0,cement,22,2030,2020,indr_tec,all-year,all-week,night,23.66380000000
0,cement,23,2025,2020,indr_tec2,all-year,all-week,night,17.74790000000
0,cement,23,2030,2020,indr_tec2,all-year,all-week,night,11.83190000000
1,cement,0,2025,2020,indr_tec,all-year,all-week,morning,6.64150000000
1,cement,0,2030,2020,indr_tec,all-year,all-week,morning,4.42770000000
1,cement,1,2025,2020,indr_tec2,all-year,all-week,morning,3.32070000000
1,cement,1,2030,2020,indr_tec2,all-year,all-week,morning,2.21380000000
1,cement,2,2030,2025,indr_tec,all-year,all-week,morning,7.77780000000
1,cement,3,2030,2025,indr_tec2,all-year,all-week,morning,7.77780000000
1,cement,4,2025,2020,indr_tec,all-year,all-week,morning,1.26390000000
1,cement,4,2030,2020,indr_tec,all-year,all-week,morning,1.13690000000
1,cement,5,2025,2020,indr_tec2,all-year,all-week,morning,0.85270000000
1,cement,5,2030,2020,indr_tec2,all-year,all-week,morning,0.56840000000
1,cement,6,2025,2020,indr_tec,all-year,all-week,morning,64.40280000000
1,cement,6,2030,2020,indr_tec,all-year,all-week,morning,107.97220000000
1,cement,7,2025,2020,indr_tec2,all-year,all-week,morning,64.40280000000
1,cement,7,2030,2020,indr_tec2,all-year,all-week,morning,107.97220000000
1,cement,8,2025,2020,indr_tec,all-year,all-week,morning,40.66960000000
1,cement,8,2030,2020,indr_tec,all-year,all-week,morning,27.11310000000
