technology,dst_region,region,agent,sector,type,year,capacity
resAC,Central,Central,A1,residential,retrofit,2020,0.75470000000
resASHeatPump,Central,Central,A1,residential,retrofit,2020,0.66520000000
resAppliancesCon,Central,Central,A1,residential,retrofit,2020,38.57290000000
resBoilerBiomass,Central,Central,A1,residential,retrofit,2020,1.33050000000
resBoilerElectric,Central,Central,A1,residential,retrofit,2020,0.79830000000
resBoilerLPG,Central,Central,A1,residential,retrofit,2020,0.53220000000
resBoilerNG,Central,Central,A1,residential,retrofit,2020,8.78100000000
resCHPBiomass,Central,Central,A1,residential,retrofit,2020,0.13300000000
resCHPNG,Central,Central,A1,residential,retrofit,2020,0.93130000000
resCookingBiomass,Central,Central,A1,residential,retrofit,2020,28.99660000000
resCookingElec,Central,Central,A1,residential,retrofit,2020,0.17680000000
resCookingKerosene,Central,Central,A1,residential,retrofit,2020,0.20630000000
resCookingLPG,Central,Central,A1,residential,retrofit,2020,0.02950000000
resCookingNG,Central,Central,A1,residential,retrofit,2020,0.00060000000
resGSHeatPump,Central,Central,A1,residential,retrofit,2020,0.18630000000
resLightingCon,Central,Central,A1,residential,retrofit,2020,13.37410000000
resLightingEnergySaving,Central,Central,A1,residential,retrofit,2020,35.10690000000
resLightingLED,Central,Central,A1,residential,retrofit,2020,35.10690000000
resAC,Eastern,Eastern,A1,residential,retrofit,2020,2.84290000000
resASHeatPump,Eastern,Eastern,A1,residential,retrofit,2020,0.62120000000
resAppliancesCon,Eastern,Eastern,A1,residential,retrofit,2020,39.00650000000
resBoilerBiomass,Eastern,Eastern,A1,residential,retrofit,2020,1.24240000000
resBoilerElectric,Eastern,Eastern,A1,residential,retrofit,2020,0.74540000000
resBoilerLPG,Eastern,Eastern,A1,residential,retrofit,2020,0.49690000000
resBoilerNG,Eastern,Eastern,A1,residential,retrofit,2020,8.19970000000
resCHPBiomass,Eastern,Eastern,A1,residential,retrofit,2020,0.12420000000
resCHPNG,Eastern,Eastern,A1,residential,retrofit,2020,0.86970000000
resCookingBiomass,Eastern,Eastern,A1,residential,retrofit,2020,29.32260000000
resCookingElec,Eastern,Eastern,A1,residential,retrofit,2020,0.17880000000
resCookingKerosene,Eastern,Eastern,A1,residential,retrofit,2020,0.20860000000
resCookingLPG,Eastern,Eastern,A1,residential,retrofit,2020,0.02980000000
resCookingNG,Eastern,Eastern,A1,residential,retrofit,2020,0.00060000000
resGSHeatPump,Eastern,Eastern,A1,residential,retrofit,2020,0.17390000000
resLightingCon,Eastern,Eastern,A1,residential,retrofit,2020,13.52440000000
resLightingEnergySaving,Eastern,Eastern,A1,residential,retrofit,2020,35.50150000000
resLightingLED,Eastern,Eastern,A1,residential,retrofit,2020,35.50150000000
resAC,Western,Western,A1,residential,retrofit,2020,0.75470000000
resASHeatPump,Western,Western,A1,residential,retrofit,2020,0.63030000000
resAppliancesCon,Western,Western,A1,residential,retrofit,2020,36.36700000000
resBoilerBiomass,Western,Western,A1,residential,retrofit,2020,1.26060000000
resBoilerElectric,Western,Western,A1,residential,retrofit,2020,0.75640000000
resBoilerLPG,Western,Western,A1,residential,retrofit,2020,0.50430000000
resBoilerNG,Western,Western,A1,residential,retrofit,2020,8.32020000000
resCHPBiomass,Western,Western,A1,residential,retrofit,2020,0.12610000000
resCHPNG,Western,Western,A1,residential,retrofit,2020,0.88240000000
resCookingBiomass,Western,Western,A1,residential,retrofit,2020,27.33840000000
resCookingElec,Western,Western,A1,residential,retrofit,2020,0.16670000000
resCookingKerosene,Western,Western,A1,residential,retrofit,2020,0.19450000000
resCookingLPG,Western,Western,A1,residential,retrofit,2020,0.02780000000
resCookingNG,Western,Western,A1,residential,retrofit,2020,0.00060000000
resGSHeatPump,Western,Western,A1,residential,retrofit,2020,0.17650000000
resLightingCon,Western,Western,A1,residential,retrofit,2020,12.60920000000
resLightingEnergySaving,Western,Western,A1,residential,retrofit,2020,33.09920000000
resLightingLED,Western,Western,A1,residential,retrofit,2020,33.09920000000
resAC,Northwest,Northwest,A1,residential,retrofit,2020,7.23640000000
resASHeatPump,Northwest,Northwest,A1,residential,retrofit,2020,0.22850000000
resAppliancesCon,Northwest,Northwest,A1,residential,retrofit,2020,7.36960000000
resBoilerBiomass,Northwest,Northwest,A1,residential,retrofit,2020,0.45700000000
resBoilerElectric,Northwest,Northwest,A1,residential,retrofit,2020,0.27420000000
resBoilerLPG,Northwest,Northwest,A1,residential,retrofit,2020,0.18280000000
resBoilerNG,Northwest,Northwest,A1,residential,retrofit,2020,3.01650000000
resCHPBiomass,Northwest,Northwest,A1,residential,retrofit,2020,0.04570000000
resCHPNG,Northwest,Northwest,A1,residential,retrofit,2020,0.31990000000
resCookingBiomass,Northwest,Northwest,A1,residential,retrofit,2020,5.54000000000
resCookingElec,Northwest,Northwest,A1,residential,retrofit,2020,0.03380000000
resCookingKerosene,Northwest,Northwest,A1,residential,retrofit,2020,0.03940000000
resCookingLPG,Northwest,Northwest,A1,residential,retrofit,2020,0.00560000000
resCookingNG,Northwest,Northwest,A1,residential,retrofit,2020,0.00010000000
resGSHeatPump,Northwest,Northwest,A1,residential,retrofit,2020,0.06400000000
resLightingCon,Northwest,Northwest,A1,residential,retrofit,2020,2.55520000000
resLightingEnergySaving,Northwest,Northwest,A1,residential,retrofit,2020,6.70740000000
resLightingLED,Northwest,Northwest,A1,residential,retrofit,2020,6.70740000000
resAC,North,North,A1,residential,retrofit,2020,7.23640000000
resASHeatPump,North,North,A1,residential,retrofit,2020,0.22080000000
resAppliancesCon,North,North,A1,residential,retrofit,2020,6.87930000000
resBoilerBiomass,North,North,A1,residential,retrofit,2020,0.44150000000
resBoilerElectric,North,North,A1,residential,retrofit,2020,0.26490000000
resBoilerLPG,North,North,A1,residential,retrofit,2020,0.17660000000
resBoilerNG,North,North,A1,residential,retrofit,2020,2.91410000000
resCHPBiomass,North,North,A1,residential,retrofit,2020,0.04420000000
resCHPNG,North,North,A1,residential,retrofit,2020,0.30910000000
resCookingBiomass,North,North,A1,residential,retrofit,2020,5.17140000000
