asset,dst_region,year,region,technology,installed,capacity
0,BajaCalif,2035,BajaCalif,GAS_GT,2020,59.84250000000
0,BajaCalif,2040,BajaCalif,GAS_GT,2020,44.88190000000
0,BajaCalif,2045,BajaCalif,GAS_GT,2020,33.66140000000
0,BajaCalif,2049,BajaCalif,GAS_GT,2020,26.92910000000
0,BajaCalif,2050,BajaCalif,GAS_GT,2020,25.24610000000
0,BajaCalif,2054,BajaCalif,GAS_GT,2020,25.24610000000
0,BajaCalif,2055,BajaCalif,GAS_GT,2020,25.24610000000
0,BajaCalif,2059,BajaCalif,GAS_GT,2020,25.24610000000
0,BajaCalif,2060,BajaCalif,GAS_GT,2020,25.24610000000
0,BajaCalif,2064,BajaCalif,GAS_GT,2020,25.24610000000
0,BajaCalif,2065,BajaCalif,GAS_GT,2020,25.24610000000
1,BajaCalif,2035,BajaCalif,GEOTH,2020,14.36860000000
1,BajaCalif,2040,BajaCalif,GEOTH,2020,10.77640000000
1,BajaCalif,2045,BajaCalif,GEOTH,2020,8.08230000000
1,BajaCalif,2049,BajaCalif,GEOTH,2020,6.46590000000
1,BajaCalif,2050,BajaCalif,GEOTH,2020,6.06170000000
1,BajaCalif,2054,BajaCalif,GEOTH,2020,6.06170000000
1,BajaCalif,2055,BajaCalif,GEOTH,2020,6.06170000000
1,BajaCalif,2059,BajaCalif,GEOTH,2020,6.06170000000
1,BajaCalif,2060,BajaCalif,GEOTH,2020,6.06170000000
1,BajaCalif,2064,BajaCalif,GEOTH,2020,6.06170000000
1,BajaCalif,2065,BajaCalif,GEOTH,2020,6.06170000000
2,BajaCalif,2035,BajaCalif,OIL,2020,0.05320000000
2,BajaCalif,2040,BajaCalif,OIL,2020,0.03990000000
2,BajaCalif,2045,BajaCalif,OIL,2020,0.02990000000
2,BajaCalif,2049,BajaCalif,OIL,2020,0.02390000000
2,BajaCalif,2050,BajaCalif,OIL,2020,0.02250000000
2,BajaCalif,2054,BajaCalif,OIL,2020,0.02250000000
2,BajaCalif,2055,BajaCalif,OIL,2020,0.02250000000
2,BajaCalif,2059,BajaCalif,OIL,2020,0.02250000000
2,BajaCalif,2060,BajaCalif,OIL,2020,0.02250000000
2,BajaCalif,2064,BajaCalif,OIL,2020,0.02250000000
2,BajaCalif,2065,BajaCalif,OIL,2020,0.02250000000
3,BajaCalif,2035,BajaCalif,PV_GND,2020,0.18630000000
3,BajaCalif,2040,BajaCalif,PV_GND,2020,0.13970000000
3,BajaCalif,2045,BajaCalif,PV_GND,2020,0.10480000000
3,BajaCalif,2049,BajaCalif,PV_GND,2020,0.08380000000
3,BajaCalif,2050,BajaCalif,PV_GND,2020,0.07860000000
3,BajaCalif,2054,BajaCalif,PV_GND,2020,0.07860000000
3,BajaCalif,2055,BajaCalif,PV_GND,2020,0.07860000000
3,BajaCalif,2059,BajaCalif,PV_GND,2020,0.07860000000
3,BajaCalif,2060,BajaCalif,PV_GND,2020,0.07860000000
3,BajaCalif,2064,BajaCalif,PV_GND,2020,0.07860000000
3,BajaCalif,2065,BajaCalif,PV_GND,2020,0.07860000000
4,BajaCalif,2035,BajaCalif,WIND_ON,2020,0.26610000000
4,BajaCalif,2040,BajaCalif,WIND_ON,2020,0.19960000000
4,BajaCalif,2045,BajaCalif,WIND_ON,2020,0.14970000000
4,BajaCalif,2049,BajaCalif,WIND_ON,2020,0.11970000000
4,BajaCalif,2050,BajaCalif,WIND_ON,2020,0.11230000000
4,BajaCalif,2054,BajaCalif,WIND_ON,2020,0.11230000000
4,BajaCalif,2055,BajaCalif,WIND_ON,2020,0.11230000000
4,BajaCalif,2059,BajaCalif,WIND_ON,2020,0.11230000000
4,BajaCalif,2060,BajaCalif,WIND_ON,2020,0.11230000000
4,BajaCalif,2064,BajaCalif,WIND_ON,2020,0.11230000000
4,BajaCalif,2065,BajaCalif,WIND_ON,2020,0.11230000000
5,BajaCalifSouth,2035,BajaCalifSouth,GAS_GT,2020,3.00680000000
5,BajaCalifSouth,2040,BajaCalifSouth,GAS_GT,2020,2.25510000000
