dst_region,year,asset,region,technology,installed,capacity
Central,2045,3,BajaCalif,PV_GND,2020,5207.33240000000
Central,2045,4,BajaCalif,PV_GND,2025,6465.44570000000
Central,2045,5,BajaCalif,PV_GND,2030,7252.91690000000
Central,2045,12,BajaCalifSouth,PV_GND,2035,8830.30350000000
Central,2045,13,BajaCalifSouth,PV_GND,2040,6679.00070000000
Central,2045,16,Central,BIO,2020,0.01500000000
Central,2045,18,Central,GAS_GT,2020,62.51830000000
Central,2045,20,Central,HYD,2020,1.21230000000
Central,2045,21,Central,OIL,2020,2.06550000000
Central,2045,22,Central,PV_GND,2020,0.31430000000
Central,2045,26,Eastern,GAS_GT,2025,6306.84610000000
Central,2045,27,Eastern,GAS_GT,2030,7143.26120000000
Central,2045,69,Western,GAS_GT,2025,12.39190000000
Central,2045,70,Western,GAS_GT,2035,8748.06180000000
Central,2049,3,BajaCalif,PV_GND,2020,5207.33240000000
Central,2049,4,BajaCalif,PV_GND,2025,6465.44570000000
Central,2049,5,BajaCalif,PV_GND,2030,7252.91690000000
Central,2049,12,BajaCalifSouth,PV_GND,2035,8830.30350000000
Central,2049,13,BajaCalifSouth,PV_GND,2040,6679.00070000000
Central,2049,16,Central,BIO,2020,0.01200000000
Central,2049,17,Central,GAS_CC,2045,12.95930000000
Central,2049,18,Central,GAS_GT,2020,50.01470000000
Central,2049,20,Central,HYD,2020,0.96990000000
Central,2049,21,Central,OIL,2020,1.65240000000
Central,2049,22,Central,PV_GND,2020,0.25150000000
Central,2049,26,Eastern,GAS_GT,2025,6306.84610000000
Central,2049,27,Eastern,GAS_GT,2030,7143.26120000000
Central,2049,69,Western,GAS_GT,2025,12.39190000000
Central,2049,70,Western,GAS_GT,2035,8748.06180000000
Central,2050,4,BajaCalif,PV_GND,2025,6465.44570000000
Central,2050,5,BajaCalif,PV_GND,2030,7252.91690000000
Central,2050,12,BajaCalifSouth,PV_GND,2035,8830.30350000000
Central,2050,13,BajaCalifSouth,PV_GND,2040,6679.00070000000
Central,2050,14,BajaCalifSouth,PV_GND,2045,5925.81110000000
Central,2050,16,Central,BIO,2020,0.01120000000
Central,2050,17,Central,GAS_CC,2045,16.19910000000
Central,2050,18,Central,GAS_GT,2020,46.88880000000
Central,2050,20,Central,HYD,2020,0.90930000000
Central,2050,21,Central,OIL,2020,1.54910000000
Central,2050,22,Central,PV_GND,2020,0.23570000000
Central,2050,26,Eastern,GAS_GT,2025,6306.84610000000
Central,2050,27,Eastern,GAS_GT,2030,7143.26120000000
Central,2050,69,Western,GAS_GT,2025,12.39190000000
Central,2050,70,Western,GAS_GT,2035,8748.06180000000
Central,2054,4,BajaCalif,PV_GND,2025,6465.44570000000
Central,2054,5,BajaCalif,PV_GND,2030,7252.91690000000
Central,2054,12,BajaCalifSouth,PV_GND,2035,8830.30350000000
Central,2054,13,BajaCalifSouth,PV_GND,2040,6679.00070000000
Central,2054,14,BajaCalifSouth,PV_GND,2045,5925.81110000000
Central,2054,16,Central,BIO,2020,0.00870000000
Central,2054,17,Central,GAS_CC,2045,16.19910000000
Central,2054,18,Central,GAS_GT,2020,36.46900000000
Central,2054,20,Central,HYD,2020,0.70720000000
Central,2054,21,Central,OIL,2020,1.20490000000
Central,2054,22,Central,PV_GND,2020,0.18330000000
Central,2054,26,Eastern,GAS_GT,2025,6306.84610000000
Central,2054,27,Eastern,GAS_GT,2030,7143.26120000000
Central,2054,69,Western,GAS_GT,2025,12.39190000000
Central,2054,70,Western,GAS_GT,2035,8748.06180000000
Central,2055,5,BajaCalif,PV_GND,2030,7252.91690000000
Central,2055,12,BajaCalifSouth,PV_GND,2035,8830.30350000000
Central,2055,13,BajaCalifSouth,PV_GND,2040,6679.00070000000
Central,2055,14,BajaCalifSouth,PV_GND,2045,5925.81110000000
Central,2055,16,Central,BIO,2020,0.00810000000
Central,2055,17,Central,GAS_CC,2045,16.19910000000
Central,2055,18,Central,GAS_GT,2020,33.86410000000
Central,2055,20,Central,HYD,2020,0.65670000000
Central,2055,21,Central,OIL,2020,1.11880000000
Central,2055,22,Central,PV_GND,2020,0.17030000000
Central,2055,27,Eastern,GAS_GT,2030,7143.26120000000
Central,2055,70,Western,GAS_GT,2035,8748.06180000000
Central,2059,5,BajaCalif,PV_GND,2030,7252.91690000000
Central,2059,12,BajaCalifSouth,PV_GND,2035,8830.30350000000
Central,2059,13,BajaCalifSouth,PV_GND,2040,6679.00070000000
Central,2059,14,BajaCalifSouth,PV_GND,2045,5925.81110000000
Central,2059,16,Central,BIO,2020,0.00560000000
Central,2059,17,Central,GAS_CC,2045,16.19910000000
Central,2059,18,Central,GAS_GT,2020,23.44440000000
Central,2059,20,Central,HYD,2020,0.45460000000
Central,2059,21,Central,OIL,2020,0.77460000000
Central,2059,22,Central,PV_GND,2020,0.11790000000
Central,2059,27,Eastern,GAS_GT,2030,7143.26120000000
Central,2059,70,Western,GAS_GT,2035,8748.06180000000
Central,2060,12,BajaCalifSouth,PV_GND,2035,8830.30350000000
Central,2060,13,BajaCalifSouth,PV_GND,2040,6679.00070000000
Central,2060,14,BajaCalifSouth,PV_GND,2045,5925.81110000000
Central,2060,16,Central,BIO,2020,0.00560000000
Central,2060,17,Central,GAS_CC,2045,16.19910000000
Central,2060,18,Central,GAS_GT,2020,23.44440000000
Central,2060,20,Central,HYD,2020,0.45460000000
Central,2060,21,Central,OIL,2020,0.77460000000
Central,2060,22,Central,PV_GND,2020,0.11790000000
Central,2060,70,Western,GAS_GT,2035,8748.06180000000
Central,2064,12,BajaCalifSouth,PV_GND,2035,8830.30350000000
Central,2064,13,BajaCalifSouth,PV_GND,2040,6679.00070000000
Central,2064,14,BajaCalifSouth,PV_GND,2045,5925.81110000000
Central,2064,16,Central,BIO,2020,0.00560000000
Central,2064,17,Central,GAS_CC,2045,16.19910000000
Central,2064,18,Central,GAS_GT,2020,23.44440000000
Central,2064,20,Central,HYD,2020,0.45460000000
Central,2064,21,Central,OIL,2020,0.77460000000
Central,2064,22,Central,PV_GND,2020,0.11790000000
Central,2064,70,Western,GAS_GT,2035,8748.06180000000
Central,2065,13,BajaCalifSouth,PV_GND,2040,6679.00070000000
Central,2065,14,BajaCalifSouth,PV_GND,2045,5925.81110000000
Central,2065,16,Central,BIO,2020,0.00560000000
Central,2065,17,Central,GAS_CC,2045,16.19910000000
Central,2065,18,Central,GAS_GT,2020,23.44440000000
Central,2065,20,Central,HYD,2020,0.45460000000
Central,2065,21,Central,OIL,2020,0.77460000000
Central,2065,22,Central,PV_GND,2020,0.11790000000
Central,2069,13,BajaCalifSouth,PV_GND,2040,6679.00070000000
Central,2069,14,BajaCalifSouth,PV_GND,2045,5925.81110000000
Central,2069,16,Central,BIO,2020,0.00560000000
Central,2069,17,Central,GAS_CC,2045,16.19910000000
Central,2069,18,Central,GAS_GT,2020,23.44440000000
Central,2069,20,Central,HYD,2020,0.45460000000
Central,2069,21,Central,OIL,2020,0.77460000000
Central,2069,22,Central,PV_GND,2020,0.11790000000
Central,2070,14,BajaCalifSouth,PV_GND,2045,5925.81110000000
Central,2070,16,Central,BIO,2020,0.00560000000
Central,2070,17,Central,GAS_CC,2045,16.19910000000
Central,2070,18,Central,GAS_GT,2020,23.44440000000
Central,2070,20,Central,HYD,2020,0.45460000000
Central,2070,21,Central,OIL,2020,0.77460000000
Central,2070,22,Central,PV_GND,2020,0.11790000000
Central,2074,14,BajaCalifSouth,PV_GND,2045,5925.81110000000
Central,2074,16,Central,BIO,2020,0.00560000000
Central,2074,17,Central,GAS_CC,2045,16.19910000000
Central,2074,18,Central,GAS_GT,2020,23.44440000000
Central,2074,20,Central,HYD,2020,0.45460000000
Central,2074,21,Central,OIL,2020,0.77460000000
Central,2074,22,Central,PV_GND,2020,0.11790000000
Central,2075,16,Central,BIO,2020,0.00560000000
Central,2075,18,Central,GAS_GT,2020,23.44440000000
Central,2075,20,Central,HYD,2020,0.45460000000
Central,2075,21,Central,OIL,2020,0.77460000000
Central,2075,22,Central,PV_GND,2020,0.11790000000
Eastern,2045,18,Central,GAS_GT,2020,16.94000000000
Eastern,2045,23,Eastern,BIO,2020,2.46960000000
Eastern,2045,24,Eastern,GAS_CC,2030,13.27700000000
