timeslice,commodity,asset,year,dst_region,technology,installed,month,day,hour,supply
0,electricity,0,2040,BajaCalif,GAS_GT,2020,all-year,all-week,night,6.69870000000
0,electricity,0,2045,BajaCalif,GAS_GT,2020,all-year,all-week,night,5.02110000000
0,electricity,1,2040,BajaCalif,GEOTH,2020,all-year,all-week,night,1.60840000000
0,electricity,1,2045,BajaCalif,GEOTH,2020,all-year,all-week,night,1.20560000000
0,electricity,2,2040,BajaCalif,OIL,2020,all-year,all-week,night,0.00530000000
0,electricity,2,2045,BajaCalif,OIL,2020,all-year,all-week,night,0.00400000000
0,electricity,3,2040,Central,PV_GND,2020,all-year,all-week,night,171.10400000000
0,electricity,3,2040,BajaCalif,PV_GND,2020,all-year,all-week,night,0.00300000000
0,electricity,3,2045,Central,PV_GND,2020,all-year,all-week,night,171.00320000000
0,electricity,3,2045,BajaCalif,PV_GND,2020,all-year,all-week,night,0.00230000000
0,electricity,4,2040,Central,PV_GND,2025,all-year,all-week,night,204.51270000000
0,electricity,4,2045,Central,PV_GND,2025,all-year,all-week,night,204.39230000000
0,electricity,5,2040,BajaCalif,PV_GND,2030,all-year,all-week,night,329.60020000000
0,electricity,5,2045,BajaCalif,PV_GND,2030,all-year,all-week,night,329.40600000000
0,electricity,6,2040,BajaCalif,PV_GND,2035,all-year,all-week,night,473.75070000000
0,electricity,6,2045,BajaCalif,PV_GND,2035,all-year,all-week,night,473.47160000000
0,electricity,7,2040,BajaCalif,WIND_ON,2020,all-year,all-week,night,0.00660000000
0,electricity,7,2045,BajaCalif,WIND_ON,2020,all-year,all-week,night,0.00500000000
0,electricity,8,2040,BajaCalifSouth,GAS_GT,2020,all-year,all-week,night,0.33660000000
0,electricity,8,2045,BajaCalifSouth,GAS_GT,2020,all-year,all-week,night,0.25230000000
0,electricity,9,2040,BajaCalifSouth,OIL,2020,all-year,all-week,night,1.25760000000
0,electricity,9,2045,BajaCalifSouth,OIL,2020,all-year,all-week,night,0.94260000000
0,electricity,10,2040,BajaCalifSouth,PV_GND,2020,all-year,all-week,night,312.12690000000
0,electricity,10,2045,BajaCalifSouth,PV_GND,2020,all-year,all-week,night,311.93410000000
0,electricity,11,2040,Central,PV_GND,2030,all-year,all-week,night,226.90860000000
0,electricity,11,2045,Central,PV_GND,2030,all-year,all-week,night,226.77490000000
0,electricity,12,2040,Central,PV_GND,2035,all-year,all-week,night,259.70390000000
0,electricity,12,2045,Central,PV_GND,2035,all-year,all-week,night,259.55090000000
0,electricity,13,2045,Central,PV_GND,2040,all-year,all-week,night,176.18360000000
0,electricity,13,2045,BajaCalifSouth,PV_GND,2040,all-year,all-week,night,446.08060000000
0,electricity,14,2040,BajaCalifSouth,WIND_ON,2020,all-year,all-week,night,0.03310000000
0,electricity,14,2045,BajaCalifSouth,WIND_ON,2020,all-year,all-week,night,0.02480000000
0,electricity,15,2040,Central,BIO,2020,all-year,all-week,night,0.00170000000
0,electricity,15,2045,Central,BIO,2020,all-year,all-week,night,0.00120000000
0,electricity,16,2040,Central,GAS_GT,2020,all-year,all-week,night,12.44130000000
0,electricity,16,2040,Eastern,GAS_GT,2020,all-year,all-week,night,3.37110000000
0,electricity,16,2040,Western,GAS_GT,2020,all-year,all-week,night,4.03000000000
0,electricity,16,2045,Central,GAS_GT,2020,all-year,all-week,night,9.32550000000
0,electricity,16,2045,Eastern,GAS_GT,2020,all-year,all-week,night,2.52680000000
0,electricity,16,2045,Western,GAS_GT,2020,all-year,all-week,night,3.02070000000
0,electricity,18,2040,Central,HYD,2020,all-year,all-week,night,0.24130000000
0,electricity,18,2045,Central,HYD,2020,all-year,all-week,night,0.18080000000
0,electricity,19,2040,Central,OIL,2020,all-year,all-week,night,0.36540000000
0,electricity,19,2045,Central,OIL,2020,all-year,all-week,night,0.27390000000
0,electricity,20,2040,Central,PV_GND,2020,all-year,all-week,night,0.00900000000
0,electricity,20,2045,Central,PV_GND,2020,all-year,all-week,night,0.00680000000
0,electricity,21,2040,Eastern,BIO,2020,all-year,all-week,night,0.27300000000
0,electricity,21,2045,Eastern,BIO,2020,all-year,all-week,night,0.20470000000
0,electricity,22,2040,Eastern,GAS_CC,2025,all-year,all-week,night,3.69900000000
0,electricity,22,2045,Eastern,GAS_CC,2025,all-year,all-week,night,3.69690000000
0,electricity,23,2040,Eastern,GAS_GT,2020,all-year,all-week,night,13.48440000000
0,electricity,23,2040,Peninsular,GAS_GT,2020,all-year,all-week,night,2.63450000000
0,electricity,23,2045,Eastern,GAS_GT,2020,all-year,all-week,night,10.10740000000
0,electricity,23,2045,Peninsular,GAS_GT,2020,all-year,all-week,night,1.97470000000
0,electricity,24,2040,Central,GAS_GT,2025,all-year,all-week,night,1394.03560000000
0,electricity,24,2045,Central,GAS_GT,2025,all-year,all-week,night,1393.21430000000
0,electricity,25,2040,Eastern,HYD,2020,all-year,all-week,night,19.92940000000
0,electricity,25,2045,Eastern,HYD,2020,all-year,all-week,night,14.93820000000
0,electricity,26,2040,Eastern,NUCL,2020,all-year,all-week,night,4.82520000000
0,electricity,26,2045,Eastern,NUCL,2020,all-year,all-week,night,3.61680000000
0,electricity,27,2040,Eastern,OIL,2020,all-year,all-week,night,0.77310000000
0,electricity,27,2045,Eastern,OIL,2020,all-year,all-week,night,0.57950000000
0,electricity,28,2040,Eastern,WIND_ON,2020,all-year,all-week,night,266.40660000000
0,electricity,28,2045,Eastern,WIND_ON,2020,all-year,all-week,night,265.79190000000
0,electricity,29,2040,North,BIO,2020,all-year,all-week,night,0.01490000000
0,electricity,29,2045,North,BIO,2020,all-year,all-week,night,0.01120000000
0,electricity,30,2040,North,GAS_GT,2020,all-year,all-week,night,13.02810000000
0,electricity,30,2045,North,GAS_GT,2020,all-year,all-week,night,9.76530000000
0,electricity,31,2040,North,HYD,2020,all-year,all-week,night,0.08340000000
0,electricity,31,2045,North,HYD,2020,all-year,all-week,night,0.06250000000
0,electricity,32,2040,North,OIL,2020,all-year,all-week,night,0.30450000000
0,electricity,32,2045,North,OIL,2020,all-year,all-week,night,0.22820000000
0,electricity,33,2040,North,PV_GND,2020,all-year,all-week,night,0.48830000000
0,electricity,33,2045,North,PV_GND,2020,all-year,all-week,night,0.36600000000
0,electricity,34,2040,Northeast,BIO,2020,all-year,all-week,night,0.03140000000
0,electricity,34,2045,Northeast,BIO,2020,all-year,all-week,night,0.02360000000
0,electricity,35,2040,Northeast,COAL,2020,all-year,all-week,night,3.05800000000
0,electricity,35,2045,Northeast,COAL,2020,all-year,all-week,night,2.29210000000
0,electricity,36,2040,Northeast,GAS_GT,2020,all-year,all-week,night,42.76880000000
0,electricity,36,2045,Northeast,GAS_GT,2020,all-year,all-week,night,32.05770000000
0,electricity,38,2040,Northeast,HYD,2020,all-year,all-week,night,1400.39490000000
0,electricity,38,2045,Northeast,HYD,2020,all-year,all-week,night,1399.48210000000
0,electricity,39,2040,Northeast,HYD,2030,all-year,all-week,night,150.50910000000
0,electricity,39,2045,Northeast,HYD,2030,all-year,all-week,night,150.42050000000
0,electricity,40,2040,Northeast,HYD,2035,all-year,all-week,night,689.97610000000
0,electricity,40,2045,Northeast,HYD,2035,all-year,all-week,night,689.56960000000
0,electricity,41,2040,Northeast,OIL,2020,all-year,all-week,night,0.59310000000
0,electricity,41,2045,Northeast,OIL,2020,all-year,all-week,night,0.44450000000
