asset,year,region,installed,technology,capacity
0,2030,BajaCalif,2020,resAC,82.06070000000
0,2031,BajaCalif,2020,resAC,81.39490000000
0,2032,BajaCalif,2020,resAC,80.72920000000
0,2035,BajaCalif,2020,resAC,78.73190000000
0,2036,BajaCalif,2020,resAC,78.44250000000
0,2038,BajaCalif,2020,resAC,77.86360000000
0,2039,BajaCalif,2020,resAC,77.57410000000
1,2030,BajaCalif,2020,resASHeatPump,2.10350000000
1,2031,BajaCalif,2020,resASHeatPump,2.08650000000
1,2032,BajaCalif,2020,resASHeatPump,2.06940000000
1,2035,BajaCalif,2020,resASHeatPump,2.01820000000
1,2036,BajaCalif,2020,resASHeatPump,2.01080000000
1,2038,BajaCalif,2020,resASHeatPump,1.99600000000
1,2039,BajaCalif,2020,resASHeatPump,1.98850000000
1,2040,BajaCalif,2020,resASHeatPump,1.98110000000
1,2043,BajaCalif,2020,resASHeatPump,1.98110000000
1,2044,BajaCalif,2020,resASHeatPump,1.98110000000
2,2030,BajaCalif,2020,resASHeatPump_solarT,50184.08410000000
2,2031,BajaCalif,2020,resASHeatPump_solarT,50184.08410000000
2,2032,BajaCalif,2020,resASHeatPump_solarT,50184.08410000000
2,2035,BajaCalif,2020,resASHeatPump_solarT,50184.08410000000
2,2036,BajaCalif,2020,resASHeatPump_solarT,50184.08410000000
2,2038,BajaCalif,2020,resASHeatPump_solarT,50184.08410000000
2,2039,BajaCalif,2020,resASHeatPump_solarT,50184.08410000000
2,2040,BajaCalif,2020,resASHeatPump_solarT,50184.08410000000
2,2043,BajaCalif,2020,resASHeatPump_solarT,50184.08410000000
2,2044,BajaCalif,2020,resASHeatPump_solarT,50184.08410000000
3,2030,BajaCalif,2020,resAppliancesAdv,918.92430000000
3,2031,BajaCalif,2020,resAppliancesAdv,918.92430000000
3,2032,BajaCalif,2020,resAppliancesAdv,918.92430000000
3,2035,BajaCalif,2020,resAppliancesAdv,918.92430000000
4,2030,BajaCalif,2020,resAppliancesCon,709.11930000000
4,2031,BajaCalif,2020,resAppliancesCon,708.69140000000
4,2032,BajaCalif,2020,resAppliancesCon,708.26350000000
4,2035,BajaCalif,2020,resAppliancesCon,706.97980000000
4,2036,BajaCalif,2020,resAppliancesCon,0.74420000000
4,2038,BajaCalif,2020,resAppliancesCon,0.37210000000
4,2039,BajaCalif,2020,resAppliancesCon,0.18600000000
5,2030,BajaCalif,2020,resBoilerBiomass,4.20710000000
5,2031,BajaCalif,2020,resBoilerBiomass,4.17300000000
5,2032,BajaCalif,2020,resBoilerBiomass,4.13880000000
5,2035,BajaCalif,2020,resBoilerBiomass,4.03640000000
5,2036,BajaCalif,2020,resBoilerBiomass,4.02160000000
5,2038,BajaCalif,2020,resBoilerBiomass,3.99190000000
5,2039,BajaCalif,2020,resBoilerBiomass,3.97710000000
5,2040,BajaCalif,2020,resBoilerBiomass,3.96220000000
5,2043,BajaCalif,2020,resBoilerBiomass,3.96220000000
