asset,year,technology,region,installed,capacity
0,2035,resAC,BajaCalif,2020,736.59380000000
0,2040,resAC,BajaCalif,2020,0.20000000000
0,2044,resAC,BajaCalif,2020,0.20000000000
0,2045,resAC,BajaCalif,2020,0.20000000000
0,2046,resAC,BajaCalif,2020,0.20000000000
0,2047,resAC,BajaCalif,2020,0.20000000000
0,2050,resAC,BajaCalif,2020,0.20000000000
0,2051,resAC,BajaCalif,2020,0.20000000000
0,2053,resAC,BajaCalif,2020,0.20000000000
0,2054,resAC,BajaCalif,2020,0.20000000000
0,2055,resAC,BajaCalif,2020,0.20000000000
1,2040,resAC,BajaCalif,2035,974.91260000000
1,2044,resAC,BajaCalif,2035,974.91260000000
1,2045,resAC,BajaCalif,2035,974.91260000000
1,2046,resAC,BajaCalif,2035,974.91260000000
1,2047,resAC,BajaCalif,2035,974.91260000000
1,2050,resAC,BajaCalif,2035,974.91260000000
1,2051,resAC,BajaCalif,2035,974.91260000000
1,2053,resAC,BajaCalif,2035,974.91260000000
1,2054,resAC,BajaCalif,2035,974.91260000000
2,2035,resAC,BajaCalifSouth,2020,736.59380000000
2,2040,resAC,BajaCalifSouth,2020,0.20000000000
2,2044,resAC,BajaCalifSouth,2020,0.20000000000
2,2045,resAC,BajaCalifSouth,2020,0.20000000000
2,2046,resAC,BajaCalifSouth,2020,0.20000000000
2,2047,resAC,BajaCalifSouth,2020,0.20000000000
2,2050,resAC,BajaCalifSouth,2020,0.20000000000
2,2051,resAC,BajaCalifSouth,2020,0.20000000000
2,2053,resAC,BajaCalifSouth,2020,0.20000000000
2,2054,resAC,BajaCalifSouth,2020,0.20000000000
2,2055,resAC,BajaCalifSouth,2020,0.20000000000
3,2040,resAC,BajaCalifSouth,2035,974.91260000000
3,2044,resAC,BajaCalifSouth,2035,974.91260000000
3,2045,resAC,BajaCalifSouth,2035,974.91260000000
3,2046,resAC,BajaCalifSouth,2035,974.91260000000
3,2047,resAC,BajaCalifSouth,2035,974.91260000000
3,2050,resAC,BajaCalifSouth,2035,974.91260000000
3,2051,resAC,BajaCalifSouth,2035,974.91260000000
3,2053,resAC,BajaCalifSouth,2035,974.91260000000
3,2054,resAC,BajaCalifSouth,2035,974.91260000000
4,2035,resAC,Central,2020,3926.81250000000
4,2040,resAC,Central,2020,0.20000000000
4,2044,resAC,Central,2020,0.20000000000
4,2045,resAC,Central,2020,0.20000000000
4,2046,resAC,Central,2020,0.20000000000
4,2047,resAC,Central,2020,0.20000000000
4,2050,resAC,Central,2020,0.20000000000
4,2051,resAC,Central,2020,0.20000000000
4,2053,resAC,Central,2020,0.20000000000
4,2054,resAC,Central,2020,0.20000000000
4,2055,resAC,Central,2020,0.20000000000
5,2040,resAC,Central,2035,974.91260000000
5,2044,resAC,Central,2035,974.91260000000
5,2045,resAC,Central,2035,974.91260000000
5,2046,resAC,Central,2035,974.91260000000
5,2047,resAC,Central,2035,974.91260000000
5,2050,resAC,Central,2035,974.91260000000
5,2051,resAC,Central,2035,974.91260000000
5,2053,resAC,Central,2035,974.91260000000
5,2054,resAC,Central,2035,974.91260000000
6,2035,resAC,Eastern,2020,3971.53120000000
6,2040,resAC,Eastern,2020,0.20000000000
6,2044,resAC,Eastern,2020,0.20000000000
6,2045,resAC,Eastern,2020,0.20000000000
6,2046,resAC,Eastern,2020,0.20000000000
6,2047,resAC,Eastern,2020,0.20000000000
