timeslice,commodity,asset,year,installed,technology,month,day,hour,supply
0,light,0,2020,2020,resLightingCon,all-year,all-week,night,4.73290000000
0,light,0,2025,2020,resLightingCon,all-year,all-week,night,5.25790000000
0,light,1,2020,2020,resLightingEnergySaving,all-year,all-week,night,4.73290000000
0,light,1,2025,2020,resLightingEnergySaving,all-year,all-week,night,5.25790000000
0,light,7,2020,2020,res_comLightingLED,all-year,all-week,night,4.73290000000
0,light,7,2025,2020,res_comLightingLED,all-year,all-week,night,5.25790000000
0,light,8,2020,2020,resLightingCon,all-year,all-week,night,1.79500000000
0,light,8,2025,2020,resLightingCon,all-year,all-week,night,1.99410000000
0,light,9,2020,2020,resLightingEnergySaving,all-year,all-week,night,1.79500000000
0,light,9,2025,2020,resLightingEnergySaving,all-year,all-week,night,1.99410000000
0,light,15,2020,2020,res_comLightingLED,all-year,all-week,night,1.79500000000
0,light,15,2025,2020,res_comLightingLED,all-year,all-week,night,1.99410000000
0,light,16,2020,2020,resLightingCon,all-year,all-week,night,35.30700000000
0,light,16,2025,2020,resLightingCon,all-year,all-week,night,39.22270000000
0,light,17,2020,2020,resLightingEnergySaving,all-year,all-week,night,35.30700000000
0,light,17,2025,2020,resLightingEnergySaving,all-year,all-week,night,39.22270000000
0,light,23,2020,2020,res_comLightingLED,all-year,all-week,night,35.30700000000
0,light,23,2025,2020,res_comLightingLED,all-year,all-week,night,39.22270000000
0,light,24,2020,2020,resLightingCon,all-year,all-week,night,30.93790000000
0,light,24,2025,2020,resLightingCon,all-year,all-week,night,34.36910000000
0,light,25,2020,2020,resLightingEnergySaving,all-year,all-week,night,30.93790000000
0,light,25,2025,2020,resLightingEnergySaving,all-year,all-week,night,34.36910000000
0,light,31,2020,2020,res_comLightingLED,all-year,all-week,night,30.93790000000
0,light,31,2025,2020,res_comLightingLED,all-year,all-week,night,34.36910000000
0,light,32,2020,2020,resLightingCon,all-year,all-week,night,18.73960000000
0,light,32,2025,2020,resLightingCon,all-year,all-week,night,20.81790000000
0,light,33,2020,2020,resLightingEnergySaving,all-year,all-week,night,18.73960000000
0,light,33,2025,2020,resLightingEnergySaving,all-year,all-week,night,20.81790000000
0,light,39,2020,2020,res_comLightingLED,all-year,all-week,night,18.73960000000
0,light,39,2025,2020,res_comLightingLED,all-year,all-week,night,20.81790000000
0,light,40,2020,2020,resLightingCon,all-year,all-week,night,10.21520000000
0,light,40,2025,2020,resLightingCon,all-year,all-week,night,11.34810000000
0,light,41,2020,2020,resLightingEnergySaving,all-year,all-week,night,10.21520000000
0,light,41,2025,2020,resLightingEnergySaving,all-year,all-week,night,11.34810000000
0,light,47,2020,2020,res_comLightingLED,all-year,all-week,night,10.21520000000
0,light,47,2025,2020,res_comLightingLED,all-year,all-week,night,11.34810000000
0,light,48,2020,2020,resLightingCon,all-year,all-week,night,3.99900000000
0,light,48,2025,2020,resLightingCon,all-year,all-week,night,4.44250000000
0,light,49,2020,2020,resLightingEnergySaving,all-year,all-week,night,3.99900000000
0,light,49,2025,2020,resLightingEnergySaving,all-year,all-week,night,4.44250000000
0,light,55,2020,2020,res_comLightingLED,all-year,all-week,night,3.99900000000
0,light,55,2025,2020,res_comLightingLED,all-year,all-week,night,4.44250000000
0,light,56,2020,2020,resLightingCon,all-year,all-week,night,6.05650000000
0,light,56,2025,2020,resLightingCon,all-year,all-week,night,6.72820000000
0,light,57,2020,2020,resLightingEnergySaving,all-year,all-week,night,6.05650000000
0,light,57,2025,2020,resLightingEnergySaving,all-year,all-week,night,6.72820000000
0,light,63,2020,2020,res_comLightingLED,all-year,all-week,night,6.05650000000
0,light,63,2025,2020,res_comLightingLED,all-year,all-week,night,6.72820000000
0,light,64,2020,2020,resLightingCon,all-year,all-week,night,21.89440000000
0,light,64,2025,2020,resLightingCon,all-year,all-week,night,24.32260000000
0,light,65,2020,2020,resLightingEnergySaving,all-year,all-week,night,21.89440000000
0,light,65,2025,2020,resLightingEnergySaving,all-year,all-week,night,24.32260000000
0,light,71,2020,2020,res_comLightingLED,all-year,all-week,night,21.89440000000
0,light,71,2025,2020,res_comLightingLED,all-year,all-week,night,24.32260000000
0,heating,4,2020,2020,res_comBoilerElectric,all-year,all-week,night,0.83290000000
0,heating,4,2025,2020,res_comBoilerElectric,all-year,all-week,night,0.90230000000
0,heating,12,2020,2020,res_comBoilerElectric,all-year,all-week,night,0.88240000000
0,heating,12,2025,2020,res_comBoilerElectric,all-year,all-week,night,0.95600000000
0,heating,20,2020,2020,res_comBoilerElectric,all-year,all-week,night,0.31680000000
0,heating,20,2025,2020,res_comBoilerElectric,all-year,all-week,night,0.34320000000
0,heating,28,2020,2020,res_comBoilerElectric,all-year,all-week,night,0.39050000000
0,heating,28,2025,2020,res_comBoilerElectric,all-year,all-week,night,0.42310000000
0,heating,36,2020,2020,res_comBoilerElectric,all-year,all-week,night,0.59640000000
0,heating,36,2025,2020,res_comBoilerElectric,all-year,all-week,night,0.64610000000
0,heating,44,2020,2020,res_comBoilerElectric,all-year,all-week,night,0.74030000000
0,heating,44,2025,2020,res_comBoilerElectric,all-year,all-week,night,0.80200000000
0,heating,52,2020,2020,res_comBoilerElectric,all-year,all-week,night,0.84520000000
0,heating,52,2025,2020,res_comBoilerElectric,all-year,all-week,night,0.91570000000
0,heating,60,2020,2020,res_comBoilerElectric,all-year,all-week,night,0.81050000000
0,heating,60,2025,2020,res_comBoilerElectric,all-year,all-week,night,0.87810000000
0,heating,68,2020,2020,res_comBoilerElectric,all-year,all-week,night,0.54320000000
0,heating,68,2025,2020,res_comBoilerElectric,all-year,all-week,night,0.58850000000
0,cool,2,2020,2020,res_comAC,all-year,all-week,night,2.88370000000
0,cool,2,2025,2020,res_comAC,all-year,all-week,night,3.12400000000
0,cool,10,2020,2020,res_comAC,all-year,all-week,night,3.10460000000
0,cool,10,2025,2020,res_comAC,all-year,all-week,night,3.36330000000
0,cool,18,2020,2020,res_comAC,all-year,all-week,night,0.58470000000
0,cool,18,2025,2020,res_comAC,all-year,all-week,night,0.63340000000
0,cool,26,2020,2020,res_comAC,all-year,all-week,night,0.91320000000
0,cool,26,2025,2020,res_comAC,all-year,all-week,night,0.98930000000
0,cool,34,2020,2020,res_comAC,all-year,all-week,night,1.83050000000
0,cool,34,2025,2020,res_comAC,all-year,all-week,night,1.98300000000
0,cool,42,2020,2020,res_comAC,all-year,all-week,night,2.47150000000
0,cool,42,2025,2020,res_comAC,all-year,all-week,night,2.67740000000
0,cool,50,2020,2020,res_comAC,all-year,all-week,night,2.93890000000
0,cool,50,2025,2020,res_comAC,all-year,all-week,night,3.18380000000
0,cool,58,2020,2020,res_comAC,all-year,all-week,night,2.78420000000
0,cool,58,2025,2020,res_comAC,all-year,all-week,night,3.01620000000
0,hwater,6,2020,2020,res_comHWaterElec,all-year,all-week,night,0.76760000000
0,hwater,6,2025,2020,res_comHWaterElec,all-year,all-week,night,0.83160000000
0,hwater,14,2020,2020,res_comHWaterElec,all-year,all-week,night,0.29110000000
0,hwater,14,2025,2020,res_comHWaterElec,all-year,all-week,night,0.31540000000
0,hwater,22,2020,2020,res_comHWaterElec,all-year,all-week,night,5.72640000000
0,hwater,22,2025,2020,res_comHWaterElec,all-year,all-week,night,6.20360000000
