asset,year,region,installed,technology,capacity
0,2035,BajaCalif,2020,cars_gsl,13.28300000000
0,2039,BajaCalif,2020,cars_gsl,2.65660000000
1,2035,BajaCalif,2020,cars_hyd,6.64150000000
1,2039,BajaCalif,2020,cars_hyd,1.32830000000
2,2035,BajaCalif,2025,cars_gsl,39937.72780000000
2,2039,BajaCalif,2025,cars_gsl,39937.72780000000
3,2035,BajaCalif,2025,cars_hyd,29968.86390000000
3,2039,BajaCalif,2025,cars_hyd,29968.86390000000
4,2040,BajaCalif,2035,cars_gsl,40000.00000000000
4,2044,BajaCalif,2035,cars_gsl,40000.00000000000
4,2045,BajaCalif,2035,cars_gsl,40000.00000000000
4,2049,BajaCalif,2035,cars_gsl,40000.00000000000
5,2040,BajaCalif,2035,cars_hyd,40000.00000000000
5,2044,BajaCalif,2035,cars_hyd,40000.00000000000
5,2045,BajaCalif,2035,cars_hyd,40000.00000000000
5,2049,BajaCalif,2035,cars_hyd,40000.00000000000
6,2035,BajaCalifSouth,2020,cars_gsl,3.41060000000
6,2039,BajaCalifSouth,2020,cars_gsl,0.68210000000
7,2035,BajaCalifSouth,2020,cars_hyd,1.70530000000
7,2039,BajaCalifSouth,2020,cars_hyd,0.34110000000
8,2035,BajaCalifSouth,2030,cars_gsl,23414.02900000000
8,2039,BajaCalifSouth,2030,cars_gsl,23414.02900000000
8,2040,BajaCalifSouth,2030,cars_gsl,23414.02900000000
8,2044,BajaCalifSouth,2030,cars_gsl,23414.02900000000
9,2035,BajaCalifSouth,2030,cars_hyd,21707.01450000000
9,2039,BajaCalifSouth,2030,cars_hyd,21707.01450000000
9,2040,BajaCalifSouth,2030,cars_hyd,21707.01450000000
9,2044,BajaCalifSouth,2030,cars_hyd,21707.01450000000
10,2035,Central,2020,cars_gsl,20.89890000000
10,2039,Central,2020,cars_gsl,4.17980000000
11,2035,Central,2020,cars_hyd,10.44950000000
11,2039,Central,2020,cars_hyd,2.08990000000
12,2035,Central,2030,cars_gsl,39979.10110000000
12,2039,Central,2030,cars_gsl,39979.10110000000
12,2040,Central,2030,cars_gsl,39979.10110000000
12,2044,Central,2030,cars_gsl,39979.10110000000
13,2035,Central,2030,cars_hyd,39989.55050000000
13,2039,Central,2030,cars_hyd,39989.55050000000
13,2040,Central,2030,cars_hyd,39989.55050000000
13,2044,Central,2030,cars_hyd,39989.55050000000
14,2035,Eastern,2020,cars_gsl,81.33920000000
14,2039,Eastern,2020,cars_gsl,16.26780000000
15,2035,Eastern,2020,cars_hyd,40.66960000000
15,2039,Eastern,2020,cars_hyd,8.13390000000
16,2035,Eastern,2025,cars_gsl,39837.32150000000
16,2039,Eastern,2025,cars_gsl,39837.32150000000
17,2035,Eastern,2025,cars_hyd,39918.66080000000
17,2039,Eastern,2025,cars_hyd,39918.66080000000
18,2040,Eastern,2035,cars_gsl,40000.00000000000
18,2044,Eastern,2035,cars_gsl,40000.00000000000
18,2045,Eastern,2035,cars_gsl,40000.00000000000
18,2049,Eastern,2035,cars_gsl,40000.00000000000
19,2040,Eastern,2035,cars_hyd,40000.00000000000
19,2044,Eastern,2035,cars_hyd,40000.00000000000
19,2045,Eastern,2035,cars_hyd,40000.00000000000
19,2049,Eastern,2035,cars_hyd,40000.00000000000
20,2035,North,2020,cars_gsl,26.77880000000
20,2039,North,2020,cars_gsl,5.35580000000
21,2035,North,2020,cars_hyd,13.38940000000
21,2039,North,2020,cars_hyd,2.67790000000
22,2035,North,2030,cars_gsl,39973.22120000000
22,2039,North,2030,cars_gsl,39973.22120000000
22,2040,North,2030,cars_gsl,39973.22120000000
22,2044,North,2030,cars_gsl,39973.22120000000
23,2035,North,2030,cars_hyd,33402.78660000000
23,2039,North,2030,cars_hyd,33402.78660000000
23,2040,North,2030,cars_hyd,33402.78660000000
23,2044,North,2030,cars_hyd,33402.78660000000
24,2035,Northeast,2020,cars_gsl,75.00050000000
24,2039,Northeast,2020,cars_gsl,15.00010000000
25,2035,Northeast,2020,cars_hyd,37.50020000000
25,2039,Northeast,2020,cars_hyd,7.50000000000
26,2035,Northeast,2025,cars_gsl,39849.99900000000
26,2039,Northeast,2025,cars_gsl,39849.99900000000
27,2035,Northeast,2025,cars_hyd,39924.99950000000
27,2039,Northeast,2025,cars_hyd,39924.99950000000
28,2040,Northeast,2035,cars_gsl,40000.00000000000
28,2044,Northeast,2035,cars_gsl,40000.00000000000
28,2045,Northeast,2035,cars_gsl,40000.00000000000
28,2049,Northeast,2035,cars_gsl,40000.00000000000
29,2040,Northeast,2035,cars_hyd,40000.00000000000
29,2044,Northeast,2035,cars_hyd,40000.00000000000
29,2045,Northeast,2035,cars_hyd,40000.00000000000
29,2049,Northeast,2035,cars_hyd,40000.00000000000
30,2035,Northwest,2020,cars_gsl,34.59340000000
30,2039,Northwest,2020,cars_gsl,6.91870000000
31,2035,Northwest,2020,cars_hyd,17.29670000000
31,2039,Northwest,2020,cars_hyd,3.45930000000
32,2035,Northwest,2030,cars_gsl,39965.40660000000
32,2039,Northwest,2030,cars_gsl,39965.40660000000
32,2040,Northwest,2030,cars_gsl,39965.40660000000
32,2044,Northwest,2030,cars_gsl,39965.40660000000
33,2035,Northwest,2030,cars_hyd,37314.00430000000
33,2039,Northwest,2030,cars_hyd,37314.00430000000
33,2040,Northwest,2030,cars_hyd,37314.00430000000
33,2044,Northwest,2030,cars_hyd,37314.00430000000
34,2035,Peninsular,2020,cars_gsl,10.81290000000
34,2039,Peninsular,2020,cars_gsl,2.16260000000
35,2035,Peninsular,2020,cars_hyd,5.40650000000
35,2039,Peninsular,2020,cars_hyd,1.08130000000
36,2039,Peninsular,2035,cars_gsl,4333.81270000000
36,2040,Peninsular,2035,cars_gsl,25417.26590000000
36,2044,Peninsular,2035,cars_gsl,25417.26590000000
36,2045,Peninsular,2035,cars_gsl,25417.26590000000
36,2049,Peninsular,2035,cars_gsl,25417.26590000000
37,2039,Peninsular,2035,cars_hyd,2166.90640000000
37,2040,Peninsular,2035,cars_hyd,22708.63300000000
37,2044,Peninsular,2035,cars_hyd,22708.63300000000
37,2045,Peninsular,2035,cars_hyd,22708.63300000000
37,2049,Peninsular,2035,cars_hyd,22708.63300000000
38,2035,Western,2020,cars_gsl,70.99150000000
38,2039,Western,2020,cars_gsl,14.19830000000
39,2035,Western,2020,cars_hyd,35.49570000000
39,2039,Western,2020,cars_hyd,7.09910000000
40,2035,Western,2030,cars_gsl,39929.00850000000
40,2039,Western,2030,cars_gsl,39929.00850000000
40,2040,Western,2030,cars_gsl,39929.00850000000
40,2044,Western,2030,cars_gsl,39929.00850000000
41,2035,Western,2030,cars_hyd,39964.50430000000
41,2039,Western,2030,cars_hyd,39964.50430000000
41,2040,Western,2030,cars_hyd,39964.50430000000
41,2044,Western,2030,cars_hyd,39964.50430000000
