timeslice,commodity,asset,year,installed,technology,month,day,hour,supply
0,cars,2,2050,2045,cars_gsl,all-year,all-week,night,10.00000000000
0,cars,2,2055,2045,cars_gsl,all-year,all-week,night,10.00000000000
0,cars,3,2050,2045,cars_hyd,all-year,all-week,night,10.00000000000
0,cars,3,2055,2045,cars_hyd,all-year,all-week,night,10.00000000000
0,cars,6,2050,2040,cars_gsl,all-year,all-week,night,1.75000000000
0,cars,7,2050,2040,cars_hyd,all-year,all-week,night,1.75000000000
0,cars,8,2055,2050,cars_gsl,all-year,all-week,night,1.75000000000
0,cars,9,2055,2050,cars_hyd,all-year,all-week,night,1.75000000000
0,cars,12,2050,2040,cars_gsl,all-year,all-week,night,192.00000000000
0,cars,13,2050,2040,cars_hyd,all-year,all-week,night,192.00000000000
0,cars,14,2055,2050,cars_gsl,all-year,all-week,night,192.00000000000
0,cars,15,2055,2050,cars_hyd,all-year,all-week,night,192.00000000000
0,cars,18,2050,2045,cars_gsl,all-year,all-week,night,152.25000000000
0,cars,18,2055,2045,cars_gsl,all-year,all-week,night,152.25000000000
0,cars,19,2050,2045,cars_hyd,all-year,all-week,night,152.25000000000
0,cars,19,2055,2045,cars_hyd,all-year,all-week,night,152.25000000000
0,cars,22,2050,2040,cars_gsl,all-year,all-week,night,16.25000000000
0,cars,23,2050,2040,cars_hyd,all-year,all-week,night,16.25000000000
0,cars,24,2055,2050,cars_gsl,all-year,all-week,night,16.25000000000
0,cars,25,2055,2050,cars_hyd,all-year,all-week,night,16.25000000000
0,cars,28,2050,2045,cars_gsl,all-year,all-week,night,75.50000000000
0,cars,28,2055,2045,cars_gsl,all-year,all-week,night,75.50000000000
0,cars,29,2050,2045,cars_hyd,all-year,all-week,night,75.50000000000
0,cars,29,2055,2045,cars_hyd,all-year,all-week,night,75.50000000000
0,cars,32,2050,2040,cars_gsl,all-year,all-week,night,19.25000000000
0,cars,33,2050,2040,cars_hyd,all-year,all-week,night,19.25000000000
0,cars,34,2055,2050,cars_gsl,all-year,all-week,night,19.25000000000
0,cars,35,2055,2050,cars_hyd,all-year,all-week,night,19.25000000000
0,cars,38,2050,2045,cars_gsl,all-year,all-week,night,3.00000000000
0,cars,38,2055,2045,cars_gsl,all-year,all-week,night,3.00000000000
0,cars,39,2050,2045,cars_hyd,all-year,all-week,night,3.00000000000
0,cars,39,2055,2045,cars_hyd,all-year,all-week,night,3.00000000000
0,cars,42,2050,2040,cars_gsl,all-year,all-week,night,32.00000000000
0,cars,43,2050,2040,cars_hyd,all-year,all-week,night,32.00000000000
0,cars,44,2055,2050,cars_gsl,all-year,all-week,night,32.00000000000
0,cars,45,2055,2050,cars_hyd,all-year,all-week,night,32.00000000000
1,cars,2,2050,2045,cars_gsl,all-year,all-week,morning,10.00000000000
1,cars,2,2055,2045,cars_gsl,all-year,all-week,morning,10.00000000000
1,cars,3,2050,2045,cars_hyd,all-year,all-week,morning,10.00000000000
1,cars,3,2055,2045,cars_hyd,all-year,all-week,morning,10.00000000000
1,cars,6,2050,2040,cars_gsl,all-year,all-week,morning,1.75000000000
1,cars,7,2050,2040,cars_hyd,all-year,all-week,morning,1.75000000000
1,cars,8,2055,2050,cars_gsl,all-year,all-week,morning,1.75000000000
1,cars,9,2055,2050,cars_hyd,all-year,all-week,morning,1.75000000000
1,cars,12,2050,2040,cars_gsl,all-year,all-week,morning,192.00000000000
1,cars,13,2050,2040,cars_hyd,all-year,all-week,morning,192.00000000000
1,cars,14,2055,2050,cars_gsl,all-year,all-week,morning,192.00000000000
1,cars,15,2055,2050,cars_hyd,all-year,all-week,morning,192.00000000000
1,cars,18,2050,2045,cars_gsl,all-year,all-week,morning,152.25000000000
1,cars,18,2055,2045,cars_gsl,all-year,all-week,morning,152.25000000000
1,cars,19,2050,2045,cars_hyd,all-year,all-week,morning,152.25000000000
1,cars,19,2055,2045,cars_hyd,all-year,all-week,morning,152.25000000000
1,cars,22,2050,2040,cars_gsl,all-year,all-week,morning,16.25000000000
1,cars,23,2050,2040,cars_hyd,all-year,all-week,morning,16.25000000000
1,cars,24,2055,2050,cars_gsl,all-year,all-week,morning,16.25000000000
1,cars,25,2055,2050,cars_hyd,all-year,all-week,morning,16.25000000000
1,cars,28,2050,2045,cars_gsl,all-year,all-week,morning,75.50000000000
1,cars,28,2055,2045,cars_gsl,all-year,all-week,morning,75.50000000000
1,cars,29,2050,2045,cars_hyd,all-year,all-week,morning,75.50000000000
1,cars,29,2055,2045,cars_hyd,all-year,all-week,morning,75.50000000000
1,cars,32,2050,2040,cars_gsl,all-year,all-week,morning,19.25000000000
1,cars,33,2050,2040,cars_hyd,all-year,all-week,morning,19.25000000000
1,cars,34,2055,2050,cars_gsl,all-year,all-week,morning,19.25000000000
1,cars,35,2055,2050,cars_hyd,all-year,all-week,morning,19.25000000000
1,cars,38,2050,2045,cars_gsl,all-year,all-week,morning,3.00000000000
1,cars,38,2055,2045,cars_gsl,all-year,all-week,morning,3.00000000000
1,cars,39,2050,2045,cars_hyd,all-year,all-week,morning,3.00000000000
1,cars,39,2055,2045,cars_hyd,all-year,all-week,morning,3.00000000000
1,cars,42,2050,2040,cars_gsl,all-year,all-week,morning,32.00000000000
1,cars,43,2050,2040,cars_hyd,all-year,all-week,morning,32.00000000000
1,cars,44,2055,2050,cars_gsl,all-year,all-week,morning,32.00000000000
1,cars,45,2055,2050,cars_hyd,all-year,all-week,morning,32.00000000000
2,cars,2,2050,2045,cars_gsl,all-year,all-week,afternoon,10.00000000000
2,cars,2,2055,2045,cars_gsl,all-year,all-week,afternoon,10.00000000000
2,cars,3,2050,2045,cars_hyd,all-year,all-week,afternoon,10.00000000000
2,cars,3,2055,2045,cars_hyd,all-year,all-week,afternoon,10.00000000000
2,cars,6,2050,2040,cars_gsl,all-year,all-week,afternoon,1.75000000000
2,cars,7,2050,2040,cars_hyd,all-year,all-week,afternoon,1.75000000000
2,cars,8,2055,2050,cars_gsl,all-year,all-week,afternoon,1.75000000000
2,cars,9,2055,2050,cars_hyd,all-year,all-week,afternoon,1.75000000000
2,cars,12,2050,2040,cars_gsl,all-year,all-week,afternoon,192.00000000000
2,cars,13,2050,2040,cars_hyd,all-year,all-week,afternoon,192.00000000000
2,cars,14,2055,2050,cars_gsl,all-year,all-week,afternoon,192.00000000000
2,cars,15,2055,2050,cars_hyd,all-year,all-week,afternoon,192.00000000000
2,cars,18,2050,2045,cars_gsl,all-year,all-week,afternoon,152.25000000000
2,cars,18,2055,2045,cars_gsl,all-year,all-week,afternoon,152.25000000000
2,cars,19,2050,2045,cars_hyd,all-year,all-week,afternoon,152.25000000000
2,cars,19,2055,2045,cars_hyd,all-year,all-week,afternoon,152.25000000000
2,cars,22,2050,2040,cars_gsl,all-year,all-week,afternoon,16.25000000000
2,cars,23,2050,2040,cars_hyd,all-year,all-week,afternoon,16.25000000000
2,cars,24,2055,2050,cars_gsl,all-year,all-week,afternoon,16.25000000000
2,cars,25,2055,2050,cars_hyd,all-year,all-week,afternoon,16.25000000000
2,cars,28,2050,2045,cars_gsl,all-year,all-week,afternoon,75.50000000000
2,cars,28,2055,2045,cars_gsl,all-year,all-week,afternoon,75.50000000000
2,cars,29,2050,2045,cars_hyd,all-year,all-week,afternoon,75.50000000000
2,cars,29,2055,2045,cars_hyd,all-year,all-week,afternoon,75.50000000000
2,cars,32,2050,2040,cars_gsl,all-year,all-week,afternoon,19.25000000000
2,cars,33,2050,2040,cars_hyd,all-year,all-week,afternoon,19.25000000000
2,cars,34,2055,2050,cars_gsl,all-year,all-week,afternoon,19.25000000000
2,cars,35,2055,2050,cars_hyd,all-year,all-week,afternoon,19.25000000000
2,cars,38,2050,2045,cars_gsl,all-year,all-week,afternoon,3.00000000000
2,cars,38,2055,2045,cars_gsl,all-year,all-week,afternoon,3.00000000000
