ProcessName,RegionName,Unit,2020,2025,2030,2035,2040,2045,2050,2055
Unit,-,PJ/y,0,0,0,0,0,0,0,0
comLightingFluorescent,BajaCalif,PJ/y,0.874813605,0.57737698,0.28868849,0.087481361,0,0,0,0
comLightingOtherCCL,BajaCalif,PJ/y,0.333262326,0.219953135,0.109976568,0.033326233,0,0,0,0
comLightingLED,BajaCalif,PJ/y,0.874813605,0.57737698,0.28868849,0.087481361,0,0,0,0
comAppliancesCon,BajaCalif,PJ/y,0.961181212,0.6343796,0.3171898,0.096118121,0,0,0,0
comCookingElec,BajaCalif,PJ/y,0.359074166,0.23698895,0.118494475,0.035907417,0,0,0,0
comCookingNG,BajaCalif,PJ/y,0.359074166,0.23698895,0.118494475,0.035907417,0,0,0,0
comCookingBiomass,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
comAC,BajaCalif,PJ/y,1.495409431,0.986970225,0.493485112,0.149540943,0,0,0,0
comACHFC_HC,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
comACHFO_HC,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
comBoilerNG,BajaCalif,PJ/y,0.319870562,0.211114571,0.105557285,0.031987056,0,0,0,0
comBoilerElectric,BajaCalif,PJ/y,0.311291089,0.205452119,0.10272606,0.031129109,0,0,0,0
comBoilerBiomass,BajaCalif,PJ/y,0.002434122,0.00160652,0.00080326,0.000243412,0,0,0,0
comBoilerNG_HC,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
comBoilerElectric_HC,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
comBoilerBiomass_HC,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
comBoilerNG_solarT,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
comBoilerElectriciy_solarT,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
comBoilerBiomass_solarT,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
comASHeatPump,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
comGSHeatPump,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
comASHeatPump_solarT,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
comGSHeatPump_solarT,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
comElectricNightStorage,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
comElectricResSA_storage,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
comElectricResSA,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
comCHPNG,BajaCalif,PJ/y,0.09200012,0.060720079,0.030360039,0.009200012,0,0,0,0
comCHPBiomass,BajaCalif,PJ/y,0.031591511,0.020850398,0.010425199,0.003159151,0,0,0,0
comMicroCHPNG,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
comMicroCHPBiomass,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
comHVAC_HFC_HC,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
comHVAC_HFO_HC,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
comBoilerHydrogen,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
comBoilerHydrogen_solarT,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
comBoilerLPG,BajaCalif,PJ/y,0.006085305,0.004016301,0.002008151,0.00060853,0,0,0,0
comCHPFuelCellHdg,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
comCHPHydrogen,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
comCookingHydrogen,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
comCookingLPG,BajaCalif,PJ/y,0.01468606,0.0096928,0.0048464,0.001468606,0,0,0,0
comMicroCHPHydrogen,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
comLightingFluorescent,BajaCalifSouth,PJ/y,0.185324646,0.122314267,0.061157133,0.018532465,0,0,0,0
comLightingOtherCCL,BajaCalifSouth,PJ/y,0.070599865,0.046595911,0.023297956,0.007059987,0,0,0,0
comLightingLED,BajaCalifSouth,PJ/y,0.185324646,0.122314267,0.061157133,0.018532465,0,0,0,0
comAppliancesCon,BajaCalifSouth,PJ/y,0.203621168,0.134389971,0.067194986,0.020362117,0,0,0,0
comCookingElec,BajaCalifSouth,PJ/y,0.076067967,0.050204859,0.025102429,0.007606797,0,0,0,0
comCookingNG,BajaCalifSouth,PJ/y,0.076067967,0.050204859,0.025102429,0.007606797,0,0,0,0
comCookingBiomass,BajaCalifSouth,PJ/y,0,0,0,0,0,0,0,0
comAC,BajaCalifSouth,PJ/y,1.495409431,0.986970225,0.493485112,0.149540943,0,0,0,0
comACHFC_HC,BajaCalifSouth,PJ/y,0,0,0,0,0,0,0,0
comACHFO_HC,BajaCalifSouth,PJ/y,0,0,0,0,0,0,0,0
comBoilerNG,BajaCalifSouth,PJ/y,0.220829752,0.145747636,0.072873818,0.022082975,0,0,0,0
