ProcessName,RegionName,Time,Level,cap_par,cap_exp,fix_par,fix_exp,var_par,var_exp,MaxCapacityAddition,MaxCapacityGrowth,TotalCapacityLimit,TechnicalLife,UtilizationFactor,ScalingSize,efficiency,InterestRate,Type,Fuel,EndUse,Agent2
Unit,-,Year,-,MUS$2010/PJ_a,-,MUS$2010/PJ,-,MUS$2010/PJ,-,PJ,%,PJ,Years,-,PJ,%,-,-,-,-,Retrofit
Proc_Diesel,Central,2020,fixed,96.7212313,1,1.45081847,1,0,1,10000000000,10000000,10000000000,25,0.5,0.00000189,35,0.1,energy,hfo,diesel,1
Proc_ethanol,Central,2020,fixed,155.6358597,1,2.334537896,1,0,1,10000000000,10000000,10000000000,25,0.5,0.00000189,34,0.1,energy,biomass,ethanol,1
Proc_hydrogen,Central,2020,fixed,45.76448902,1,0.91528978,1,0,1,10000000000,10000000,10000000000,25,0.7,0.00000189,35,0.1,energy,water,hydrogen,1
Proc_Diesel,Eastern,2020,fixed,91.528978,1,2.9488249,1,0,1,10000000000,10000000,10000000000,25,0.7,0.00000189,34,0.1,energy,hfo,diesel,1
Proc_ethanol,Eastern,2020,fixed,17.61349516,1,0.704539807,1,0,1,10000000000,10000000,10000000000,25,0.9,0.00000189,38,0.1,energy,biomass,ethanol,1
Proc_hydrogen,Eastern,2020,fixed,24.16946163,1,0.604236541,1,0,1,10000000000,10000000,10000000000,25,0.9,0.00000189,50,0.1,energy,water,hydrogen,1
Proc_Diesel,Western,2020,fixed,39.87961169,1,0.996990292,1,0,1,10000000000,10000000,10000000000,25,0.9,0.00000189,45,0.1,energy,hfo,diesel,1
Proc_ethanol,Western,2020,fixed,44.0337379,1,1.05680971,1,0,1,10000000000,10000000,10000000000,25,0.8,0.00000189,35,0.1,energy,biomass,ethanol,1
Proc_hydrogen,Western,2020,fixed,261.2740281,1,5.225480564,1,0,1,10000000000,10000000,10000000000,25,0.9,0.00000189,35,0.1,energy,water,hydrogen,1
Proc_Diesel,Northwest,2020,fixed,50.09136676,1,1.001827335,1,0,1,10000000000,10000000,10000000000,25,0.9,0.00000189,90,0.1,energy,hfo,diesel,1
Proc_ethanol,Northwest,2020,fixed,51.09268512,1,0.766390277,1,0,1,10000000000,10000000,10000000000,25,0.2,0.00000189,100,0.1,energy,biomass,ethanol,1
Proc_hydrogen,Northwest,2020,fixed,132.1765251,1,3.965295754,1,0,1,10000000000,10000000,10000000000,25,0.25,0.00000189,100,0.1,energy,water,hydrogen,1
Proc_Diesel,North,2020,fixed,63.65439379,1,0.636543938,1,0,1,10000000000,10000000,10000000000,25,0.13,0.00000189,100,0.1,energy,hfo,diesel,1
Proc_ethanol,North,2020,fixed,131.5524138,1,1.315524138,1,0,1,10000000000,10000000,10000000000,25,0.13,0.00000189,100,0.1,energy,biomass,ethanol,1
Proc_hydrogen,North,2020,fixed,157.68,1,3.1536,1,0,1,10000000000,10000000,10000000000,25,0.9,0.00000189,100,0.1,energy,water,hydrogen,1
Proc_Diesel,Northeast,2020,fixed,96.7212313,1,1.45081847,1,0,1,10000000000,10000000,10000000000,25,0.5,0.00000189,35,0.1,energy,hfo,diesel,1
Proc_ethanol,Northeast,2020,fixed,155.6358597,1,2.334537896,1,0,1,10000000000,10000000,10000000000,25,0.5,0.00000189,34,0.1,energy,biomass,ethanol,1
Proc_hydrogen,Northeast,2020,fixed,45.76448902,1,0.91528978,1,0,1,10000000000,10000000,10000000000,25,0.7,0.00000189,35,0.1,energy,water,hydrogen,1
Proc_Diesel,BajaCalif,2020,fixed,91.528978,1,2.9488249,1,0,1,10000000000,10000000,10000000000,25,0.7,0.00000189,34,0.1,energy,hfo,diesel,1
Proc_ethanol,BajaCalif,2020,fixed,17.61349516,1,0.704539807,1,0,1,10000000000,10000000,10000000000,25,0.9,0.00000189,38,0.1,energy,biomass,ethanol,1
Proc_hydrogen,BajaCalif,2020,fixed,24.16946163,1,0.604236541,1,0,1,10000000000,10000000,10000000000,25,0.9,0.00000189,50,0.1,energy,water,hydrogen,1
Proc_Diesel,BajaCalifSouth,2020,fixed,39.87961169,1,0.996990292,1,0,1,10000000000,10000000,10000000000,25,0.9,0.00000189,45,0.1,energy,hfo,diesel,1
Proc_ethanol,BajaCalifSouth,2020,fixed,44.0337379,1,1.05680971,1,0,1,10000000000,10000000,10000000000,25,0.8,0.00000189,35,0.1,energy,biomass,ethanol,1
Proc_hydrogen,BajaCalifSouth,2020,fixed,261.2740281,1,5.225480564,1,0,1,10000000000,10000000,10000000000,25,0.9,0.00000189,35,0.1,energy,water,hydrogen,1
Proc_Diesel,Peninsular,2020,fixed,50.09136676,1,1.001827335,1,0,1,10000000000,10000000,10000000000,25,0.9,0.00000189,90,0.1,energy,hfo,diesel,1
Proc_ethanol,Peninsular,2020,fixed,51.09268512,1,0.766390277,1,0,1,10000000000,10000000,10000000000,25,0.2,0.00000189,100,0.1,energy,biomass,ethanol,1
Proc_hydrogen,Peninsular,2020,fixed,132.1765251,1,3.965295754,1,0,1,10000000000,10000000,10000000000,25,0.25,0.00000189,100,0.1,energy,water,hydrogen,1
