ProcessName,RegionName,Unit,2020,2025,2030,2035,2040,2045,2050,2055
resLightingEnergySaving,BajaCalif,PJ/y,4.23328407,2.793967486,1.396983743,0.423328407,0,0,0,0
resLightingCon,BajaCalif,PJ/y,1.612679646,1.064368566,0.532184283,0.161267965,0,0,0,0
resLightingLED,BajaCalif,PJ/y,4.23328407,2.793967486,1.396983743,0.423328407,0,0,0,0
resAppliancesCon,BajaCalif,PJ/y,4.651222946,3.069807144,1.534903572,0.465122295,0,0,0,0
resAppliancesAdv,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
resCookingElec,BajaCalif,PJ/y,0.021320061,0.01407124,0.00703562,0.002132006,0,0,0,0
resCookingNG,BajaCalif,PJ/y,7.11E-05,4.69E-05,2.35E-05,7.11E-06,0,0,0,0
resCookingBiomass,BajaCalif,PJ/y,3.496489942,2.307683362,1.153841681,0.349648994,0,0,0,0
resCookingKerosene,BajaCalif,PJ/y,0.024873404,0.016416447,0.008208223,0.00248734,0,0,0,0
resCookingCoal,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
resAC,BajaCalif,PJ/y,7.236390569,4.776017775,2.388008888,0.723639057,0,0,0,0
resBoilerNG,BajaCalif,PJ/y,2.448572485,1.61605784,0.80802892,0.244857248,0,0,0,0
resBoilerElectric,BajaCalif,PJ/y,0.222597499,0.146914349,0.073457175,0.02225975,0,0,0,0
resBoilerBiomass,BajaCalif,PJ/y,0.370995831,0.244857248,0.122428624,0.037099583,0,0,0,0
resBoilerNG_solarT,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
resBoilerElectriciy_solarT,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
resBoilerBiomass_solarT,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
resASHeatPump,BajaCalif,PJ/y,0.185497915,0.122428624,0.061214312,0.018549792,0,0,0,0
resGSHeatPump,BajaCalif,PJ/y,0.051939416,0.034280015,0.017140007,0.005193942,0,0,0,0
resASHeatPump_solarT,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
resGSHeatPump_solarT,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
resElectricNightStorage,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
resElectricResSA_storage,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
resElectricResSA,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
resCHPNG,BajaCalif,PJ/y,0.259697082,0.171400074,0.085700037,0.025969708,0,0,0,0
resCHPBiomass,BajaCalif,PJ/y,0.037099583,0.024485725,0.012242862,0.003709958,0,0,0,0
resMicroCHPNG,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
resMicroCHPBiomass,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
resBoilerHydrogen,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
resBoilerHydrogen_solarT,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
resBoilerLPG,BajaCalif,PJ/y,0.148398332,0.097942899,0.04897145,0.014839833,0,0,0,0
resCHPFuelCellHdg,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
resCHPHydrogen,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
resCookingHydrogen,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
resCookingLPG,BajaCalif,PJ/y,0.003553343,0.002345207,0.001172603,0.000355334,0,0,0,0
resMicroCHPHydrogen,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
resLightingEnergySaving,BajaCalifSouth,PJ/y,0.896798894,0.59188727,0.295943635,0.089679889,0,0,0,0
resLightingCon,BajaCalifSouth,PJ/y,0.341637674,0.225480865,0.112740432,0.034163767,0,0,0,0
resLightingLED,BajaCalifSouth,PJ/y,0.896798894,0.59188727,0.295943635,0.089679889,0,0,0,0
resAppliancesCon,BajaCalifSouth,PJ/y,0.985337039,0.650322446,0.325161223,0.098533704,0,0,0,0
resAppliancesAdv,BajaCalifSouth,PJ/y,0,0,0,0,0,0,0,0
resCookingElec,BajaCalifSouth,PJ/y,0.004516542,0.002980918,0.001490459,0.000451654,0,0,0,0
resCookingNG,BajaCalifSouth,PJ/y,1.51E-05,9.94E-06,4.97E-06,1.51E-06,0,0,0,0
resCookingBiomass,BajaCalifSouth,PJ/y,0.740712945,0.488870544,0.244435272,0.074071295,0,0,0,0
resCookingKerosene,BajaCalifSouth,PJ/y,0.005269299,0.003477738,0.001738869,0.00052693,0,0,0,0
resCookingCoal,BajaCalifSouth,PJ/y,0,0,0,0,0,0,0,0
resAC,BajaCalifSouth,PJ/y,7.236390569,4.776017775,2.388008888,0.723639057,0,0,0,0
resBoilerNG,BajaCalifSouth,PJ/y,1.682676224,1.110566308,0.555283154,0.168267622,0,0,0,0
resBoilerElectric,BajaCalifSouth,PJ/y,0.152970566,0.100960573,0.050480287,0.015297057,0,0,0,0
resBoilerBiomass,BajaCalifSouth,PJ/y,0.254950943,0.168267622,0.084133811,0.025495094,0,0,0,0
resBoilerNG_solarT,BajaCalifSouth,PJ/y,0,0,0,0,0,0,0,0
resBoilerElectriciy_solarT,BajaCalifSouth,PJ/y,0,0,0,0,0,0,0,0
resBoilerBiomass_solarT,BajaCalifSouth,PJ/y,0,0,0,0,0,0,0,0
resASHeatPump,BajaCalifSouth,PJ/y,0.127475472,0.084133811,0.042066906,0.012747547,0,0,0,0
resGSHeatPump,BajaCalifSouth,PJ/y,0.035693132,0.023557467,0.011778734,0.003569313,0,0,0,0
resASHeatPump_solarT,BajaCalifSouth,PJ/y,0,0,0,0,0,0,0,0
resGSHeatPump_solarT,BajaCalifSouth,PJ/y,0,0,0,0,0,0,0,0
resElectricNightStorage,BajaCalifSouth,PJ/y,0,0,0,0,0,0,0,0
resElectricResSA_storage,BajaCalifSouth,PJ/y,0,0,0,0,0,0,0,0
resElectricResSA,BajaCalifSouth,PJ/y,0,0,0,0,0,0,0,0
resCHPNG,BajaCalifSouth,PJ/y,0.17846566,0.117787336,0.058893668,0.017846566,0,0,0,0
resCHPBiomass,BajaCalifSouth,PJ/y,0.025495094,0.016826762,0.008413381,0.002549509,0,0,0,0
resMicroCHPNG,BajaCalifSouth,PJ/y,0,0,0,0,0,0,0,0
resMicroCHPBiomass,BajaCalifSouth,PJ/y,0,0,0,0,0,0,0,0
resBoilerHydrogen,BajaCalifSouth,PJ/y,0,0,0,0,0,0,0,0
resBoilerHydrogen_solarT,BajaCalifSouth,PJ/y,0,0,0,0,0,0,0,0
resBoilerLPG,BajaCalifSouth,PJ/y,0.101980377,0.067307049,0.033653524,0.010198038,0,0,0,0
resCHPFuelCellHdg,BajaCalifSouth,PJ/y,0,0,0,0,0,0,0,0
resCHPHydrogen,BajaCalifSouth,PJ/y,0,0,0,0,0,0,0,0
resCookingHydrogen,BajaCalifSouth,PJ/y,0,0,0,0,0,0,0,0
