timeslice,commodity,asset,year,dst_region,technology,installed,month,day,hour,supply
0,electricity,0,2030,BajaCalif,GAS_GT,2020,all-year,all-week,night,11.96850000000
0,electricity,0,2035,BajaCalif,GAS_GT,2020,all-year,all-week,night,8.97640000000
0,electricity,1,2030,BajaCalif,GEOTH,2020,all-year,all-week,night,2.87370000000
0,electricity,1,2035,BajaCalif,GEOTH,2020,all-year,all-week,night,2.15530000000
0,electricity,2,2030,BajaCalif,OIL,2020,all-year,all-week,night,0.00950000000
0,electricity,2,2035,BajaCalif,OIL,2020,all-year,all-week,night,0.00710000000
0,electricity,4,2030,Central,PV_GND,2020,all-year,all-week,night,2166.66670000000
0,electricity,4,2030,BajaCalif,PV_GND,2020,all-year,all-week,night,0.00540000000
0,electricity,4,2035,Central,PV_GND,2020,all-year,all-week,night,2166.66670000000
0,electricity,4,2035,BajaCalif,PV_GND,2020,all-year,all-week,night,0.00400000000
0,electricity,5,2030,Central,PV_GND,2025,all-year,all-week,night,2166.66670000000
0,electricity,5,2030,BajaCalif,PV_GND,2025,all-year,all-week,night,2166.66670000000
0,electricity,5,2035,Central,PV_GND,2025,all-year,all-week,night,2166.66670000000
0,electricity,5,2035,BajaCalif,PV_GND,2025,all-year,all-week,night,2166.66670000000
0,electricity,7,2035,Northeast,PV_RFT,2030,all-year,all-week,night,2166.66670000000
0,electricity,7,2035,BajaCalif,PV_RFT,2030,all-year,all-week,night,2166.66670000000
0,electricity,8,2030,BajaCalif,WIND_ON,2020,all-year,all-week,night,0.01180000000
0,electricity,8,2035,BajaCalif,WIND_ON,2020,all-year,all-week,night,0.00890000000
0,electricity,9,2030,BajaCalifSouth,GAS_GT,2020,all-year,all-week,night,0.60140000000
0,electricity,9,2035,BajaCalifSouth,GAS_GT,2020,all-year,all-week,night,0.45100000000
0,electricity,10,2030,BajaCalifSouth,OIL,2020,all-year,all-week,night,2.24690000000
0,electricity,10,2035,BajaCalifSouth,OIL,2020,all-year,all-week,night,1.68520000000
0,electricity,12,2030,BajaCalifSouth,PV_GND,2020,all-year,all-week,night,2166.73050000000
0,electricity,12,2035,BajaCalifSouth,PV_GND,2020,all-year,all-week,night,2166.71450000000
0,electricity,13,2030,BajaCalifSouth,PV_GND,2025,all-year,all-week,night,2166.66670000000
0,electricity,13,2035,BajaCalifSouth,PV_GND,2025,all-year,all-week,night,2166.66670000000
0,electricity,14,2035,Eastern,PV_GND,2030,all-year,all-week,night,2009.00910000000
0,electricity,15,2030,Northeast,PV_RFT,2025,all-year,all-week,night,2166.66670000000
0,electricity,15,2035,Northeast,PV_RFT,2025,all-year,all-week,night,2166.66670000000
0,electricity,16,2035,BajaCalifSouth,PV_RFT,2030,all-year,all-week,night,9.21950000000
0,electricity,17,2030,BajaCalifSouth,WIND_ON,2020,all-year,all-week,night,0.05910000000
0,electricity,17,2035,BajaCalifSouth,WIND_ON,2020,all-year,all-week,night,0.04430000000
0,electricity,18,2030,Central,BIO,2020,all-year,all-week,night,0.00300000000
0,electricity,18,2035,Central,BIO,2020,all-year,all-week,night,0.00220000000
0,electricity,21,2030,Central,GAS_GT,2020,all-year,all-week,night,22.22870000000
0,electricity,21,2030,Eastern,GAS_GT,2020,all-year,all-week,night,6.02310000000
0,electricity,21,2030,Western,GAS_GT,2020,all-year,all-week,night,7.20030000000
0,electricity,21,2035,Central,GAS_GT,2020,all-year,all-week,night,16.67160000000
0,electricity,21,2035,Eastern,GAS_GT,2020,all-year,all-week,night,4.51730000000
0,electricity,21,2035,Western,GAS_GT,2020,all-year,all-week,night,5.40020000000
0,electricity,23,2030,Central,HYD,2020,all-year,all-week,night,0.43110000000
0,electricity,23,2035,Central,HYD,2020,all-year,all-week,night,0.32330000000
0,electricity,24,2030,Central,OIL,2020,all-year,all-week,night,0.65280000000
0,electricity,24,2035,Central,OIL,2020,all-year,all-week,night,0.48960000000
0,electricity,25,2030,Central,PV_GND,2020,all-year,all-week,night,0.01610000000
0,electricity,25,2035,Central,PV_GND,2020,all-year,all-week,night,0.01210000000
0,electricity,26,2030,Eastern,BIO,2020,all-year,all-week,night,0.48780000000
0,electricity,26,2035,Eastern,BIO,2020,all-year,all-week,night,0.36590000000
0,electricity,30,2030,Peninsular,GAS_CC_CCS,2025,all-year,all-week,night,12811.27040000000
0,electricity,30,2035,Peninsular,GAS_CC_CCS,2025,all-year,all-week,night,12811.27040000000
0,electricity,31,2030,Eastern,GAS_GT,2020,all-year,all-week,night,24.09240000000
0,electricity,31,2030,Peninsular,GAS_GT,2020,all-year,all-week,night,4.70700000000
0,electricity,31,2035,Eastern,GAS_GT,2020,all-year,all-week,night,18.06930000000
0,electricity,31,2035,Peninsular,GAS_GT,2020,all-year,all-week,night,3.53030000000
0,electricity,32,2030,Central,GAS_GT,2025,all-year,all-week,night,15000.00000000000
0,electricity,32,2035,Central,GAS_GT,2025,all-year,all-week,night,15000.00000000000
