asset,year,technology,region,installed,capacity
0,2020,bus_battery,BajaCalif,2020,1947465602.00000000000
0,2025,bus_battery,BajaCalif,2020,1460599201.59999990463
0,2030,bus_battery,BajaCalif,2020,973732801.00000000000
0,2035,bus_battery,BajaCalif,2020,486866400.60000002384
0,2036,bus_battery,BajaCalif,2020,389493120.48000001907
0,2037,bus_battery,BajaCalif,2020,292119840.36000001431
1,2020,bus_battery,BajaCalifSouth,2020,886898269.20000004768
1,2025,bus_battery,BajaCalifSouth,2020,665173702.00000000000
1,2030,bus_battery,BajaCalifSouth,2020,443449134.60000002384
1,2035,bus_battery,BajaCalifSouth,2020,221724567.40000000596
1,2036,bus_battery,BajaCalifSouth,2020,177379653.91999998689
1,2037,bus_battery,BajaCalifSouth,2020,133034740.43999999762
2,2020,bus_battery,Central,2020,941274100.39999997616
2,2025,bus_battery,Central,2020,705955575.20000004768
2,2030,bus_battery,Central,2020,470637050.19999998808
2,2035,bus_battery,Central,2020,235318525.00000000000
2,2036,bus_battery,Central,2020,188254820.00000000000
2,2037,bus_battery,Central,2020,141191115.00000000000
3,2020,bus_battery,Eastern,2020,1268407870.00000000000
3,2025,bus_battery,Eastern,2020,951305902.39999997616
3,2030,bus_battery,Eastern,2020,634203935.00000000000
3,2035,bus_battery,Eastern,2020,317101967.39999997616
3,2036,bus_battery,Eastern,2020,253681573.91999998689
3,2037,bus_battery,Eastern,2020,190261180.43999999762
4,2020,bus_battery,North,2020,1096489362.79999995232
4,2025,bus_battery,North,2020,822367022.20000004768
4,2030,bus_battery,North,2020,548244681.39999997616
4,2035,bus_battery,North,2020,274122340.80000001192
4,2036,bus_battery,North,2020,219297872.63999998569
4,2037,bus_battery,North,2020,164473404.47999998927
5,2020,bus_battery,Northeast,2020,3213720666.00000000000
5,2025,bus_battery,Northeast,2020,2410290500.00000000000
5,2030,bus_battery,Northeast,2020,1606860333.40000009537
5,2035,bus_battery,Northeast,2020,803430166.79999995232
5,2036,bus_battery,Northeast,2020,642744133.44000005722
5,2037,bus_battery,Northeast,2020,482058100.07999998331
6,2020,bus_battery,Northwest,2020,1140677621.20000004768
6,2025,bus_battery,Northwest,2020,855508215.79999995232
6,2030,bus_battery,Northwest,2020,570338810.60000002384
6,2035,bus_battery,Northwest,2020,285169405.19999998808
6,2036,bus_battery,Northwest,2020,228135524.15999999642
6,2037,bus_battery,Northwest,2020,171101643.12000000477
7,2020,bus_battery,Peninsular,2020,5008438738.00000000000
7,2025,bus_battery,Peninsular,2020,3756329054.00000000000
7,2030,bus_battery,Peninsular,2020,2504219370.00000000000
7,2035,bus_battery,Peninsular,2020,1252109684.59999990463
7,2036,bus_battery,Peninsular,2020,1001687747.67999994755
7,2037,bus_battery,Peninsular,2020,751265810.75999999046
8,2020,bus_battery,Western,2020,3553320550.00000000000
8,2025,bus_battery,Western,2020,2664990412.00000000000
8,2030,bus_battery,Western,2020,1776660275.20000004768
8,2035,bus_battery,Western,2020,888330137.60000002384
8,2036,bus_battery,Western,2020,710664110.08000004292
8,2037,bus_battery,Western,2020,532998082.56000000238
9,2020,bus_cng,BajaCalif,2020,1951424280.79999995232
9,2025,bus_cng,BajaCalif,2020,1463568210.59999990463
9,2030,bus_cng,BajaCalif,2020,975712140.39999997616
9,2035,bus_cng,BajaCalif,2020,487856070.19999998808
9,2036,bus_cng,BajaCalif,2020,390284856.16000002623
9,2037,bus_cng,BajaCalif,2020,292713642.12000000477
10,2020,bus_cng,BajaCalifSouth,2020,887718390.00000000000
10,2025,bus_cng,BajaCalifSouth,2020,665788792.60000002384
10,2030,bus_cng,BajaCalifSouth,2020,443859195.00000000000
10,2035,bus_cng,BajaCalifSouth,2020,221929597.59999999404
10,2036,bus_cng,BajaCalifSouth,2020,177543678.08000001311
10,2037,bus_cng,BajaCalifSouth,2020,133157758.56000000238
11,2020,bus_cng,Central,2020,942197919.60000002384
11,2025,bus_cng,Central,2020,706648439.79999995232
11,2030,bus_cng,Central,2020,471098959.80000001192
11,2035,bus_cng,Central,2020,235549480.00000000000
11,2036,bus_cng,Central,2020,188439584.00000000000
11,2037,bus_cng,Central,2020,141329688.00000000000
12,2020,bus_cng,Eastern,2020,1270085981.40000009537
12,2025,bus_cng,Eastern,2020,952564486.20000004768
12,2030,bus_cng,Eastern,2020,635042990.79999995232
12,2035,bus_cng,Eastern,2020,317521495.39999997616
12,2036,bus_cng,Eastern,2020,254017196.31999999285
12,2037,bus_cng,Eastern,2020,190512897.24000000954
13,2020,bus_cng,North,2020,1097743179.20000004768
13,2025,bus_cng,North,2020,823307384.39999997616
13,2030,bus_cng,North,2020,548871589.60000002384
13,2035,bus_cng,North,2020,274435794.80000001192
13,2036,bus_cng,North,2020,219548635.84000000358
13,2037,bus_cng,North,2020,164661476.87999999523
14,2020,bus_cng,Northeast,2020,3224515136.00000000000
14,2025,bus_cng,Northeast,2020,2418386352.00000000000
14,2030,bus_cng,Northeast,2020,1612257568.40000009537
14,2035,bus_cng,Northeast,2020,806128784.20000004768
14,2036,bus_cng,Northeast,2020,644903027.36000001431
14,2037,bus_cng,Northeast,2020,483677270.51999998093
15,2020,bus_cng,Northwest,2020,1142034593.40000009537
15,2025,bus_cng,Northwest,2020,856525945.00000000000
15,2030,bus_cng,Northwest,2020,571017296.60000002384
15,2035,bus_cng,Northwest,2020,285508648.39999997616
15,2036,bus_cng,Northwest,2020,228406918.71999999881
15,2037,bus_cng,Northwest,2020,171305189.03999999166
16,2020,bus_cng,Peninsular,2020,5034705420.00000000000
16,2025,bus_cng,Peninsular,2020,3776029064.00000000000
16,2030,bus_cng,Peninsular,2020,2517352710.00000000000
16,2035,bus_cng,Peninsular,2020,1258676354.79999995232
16,2036,bus_cng,Peninsular,2020,1006941083.84000003338
16,2037,bus_cng,Peninsular,2020,755205812.87999999523
17,2020,bus_cng,Western,2020,3566521586.00000000000
17,2025,bus_cng,Western,2020,2674891190.00000000000
17,2030,bus_cng,Western,2020,1783260793.00000000000
17,2035,bus_cng,Western,2020,891630396.60000002384
17,2036,bus_cng,Western,2020,713304317.27999997139
17,2037,bus_cng,Western,2020,534978237.95999997854
18,2020,bus_diesel,BajaCalif,2020,15300378302.00000000000
18,2025,bus_diesel,BajaCalif,2020,11475283726.00000000000
18,2030,bus_diesel,BajaCalif,2020,7650189152.00000000000
18,2035,bus_diesel,BajaCalif,2020,3825094576.00000000000
18,2036,bus_diesel,BajaCalif,2020,3060075660.80000019073
