asset,year,region,installed,technology,capacity
0,2025,BajaCalif,2020,bus_battery,1460599201.59999990463
0,2030,BajaCalif,2020,bus_battery,973732801.00000000000
0,2035,BajaCalif,2020,bus_battery,486866400.60000002384
0,2036,BajaCalif,2020,bus_battery,389493120.48000001907
0,2037,BajaCalif,2020,bus_battery,292119840.36000001431
1,2025,BajaCalif,2020,bus_cng,1463568210.59999990463
1,2030,BajaCalif,2020,bus_cng,975712140.39999997616
1,2035,BajaCalif,2020,bus_cng,487856070.19999998808
1,2036,BajaCalif,2020,bus_cng,390284856.16000002623
1,2037,BajaCalif,2020,bus_cng,292713642.12000000477
2,2025,BajaCalif,2020,bus_diesel,11475283726.00000000000
2,2030,BajaCalif,2020,bus_diesel,7650189152.00000000000
2,2035,BajaCalif,2020,bus_diesel,3825094576.00000000000
2,2036,BajaCalif,2020,bus_diesel,3060075660.80000019073
2,2037,BajaCalif,2020,bus_diesel,2295056745.59999990463
3,2025,BajaCalif,2020,bus_hybriddiesel,1457642214.00000000000
3,2030,BajaCalif,2020,bus_hybriddiesel,971761476.00000000000
3,2035,BajaCalif,2020,bus_hybriddiesel,485880738.00000000000
3,2036,BajaCalif,2020,bus_hybriddiesel,388704590.39999997616
3,2037,BajaCalif,2020,bus_hybriddiesel,291528442.80000001192
4,2025,BajaCalif,2020,cars_battery,1137661009050.00000000000
4,2030,BajaCalif,2020,cars_battery,1135894908146.00000000000
4,2035,BajaCalif,2020,cars_battery,1134128807241.00000000000
4,2036,BajaCalif,2020,cars_battery,1133775587060.00000000000
4,2037,BajaCalif,2020,cars_battery,1059660543.00000000000
5,2025,BajaCalif,2020,cars_cng,2240000000000.00000000000
5,2030,BajaCalif,2020,cars_cng,2240000000000.00000000000
5,2035,BajaCalif,2020,cars_cng,2240000000000.00000000000
5,2036,BajaCalif,2020,cars_cng,2240000000000.00000000000
6,2025,BajaCalif,2020,cars_diesel,1171468063890.00000000000
6,2030,BajaCalif,2020,cars_diesel,1166321257502.00000000000
6,2035,BajaCalif,2020,cars_diesel,1161174451112.00000000000
6,2036,BajaCalif,2020,cars_diesel,1160145089834.39990234375
6,2037,BajaCalif,2020,cars_diesel,3088083832.80000019073
7,2025,BajaCalif,2020,cars_flexiblefuel,2240000000000.00000000000
7,2030,BajaCalif,2020,cars_flexiblefuel,2240000000000.00000000000
7,2035,BajaCalif,2020,cars_flexiblefuel,2240000000000.00000000000
7,2036,BajaCalif,2020,cars_flexiblefuel,2240000000000.00000000000
8,2025,BajaCalif,2020,cars_hybriddiesel,1128765997700.00000000000
8,2030,BajaCalif,2020,cars_hybriddiesel,1127889397930.00000000000
8,2035,BajaCalif,2020,cars_hybriddiesel,1127012798160.00000000000
8,2036,BajaCalif,2020,cars_hybriddiesel,1126837478206.00000000000
8,2037,BajaCalif,2020,cars_hybriddiesel,525959862.00000000000
9,2025,BajaCalif,2020,cars_hybridhydrogenfc,2240000000000.00000000000
9,2030,BajaCalif,2020,cars_hybridhydrogenfc,2240000000000.00000000000
9,2035,BajaCalif,2020,cars_hybridhydrogenfc,2240000000000.00000000000
9,2036,BajaCalif,2020,cars_hybridhydrogenfc,2240000000000.00000000000
10,2025,BajaCalif,2020,cars_hybridliquidhydrogen,2240000000000.00000000000
10,2030,BajaCalif,2020,cars_hybridliquidhydrogen,2240000000000.00000000000
10,2035,BajaCalif,2020,cars_hybridliquidhydrogen,2240000000000.00000000000
10,2036,BajaCalif,2020,cars_hybridliquidhydrogen,2240000000000.00000000000
11,2025,BajaCalif,2020,cars_hybridpetrol,1137034254625.00000000000
11,2030,BajaCalif,2020,cars_hybridpetrol,1135330829163.00000000000
11,2035,BajaCalif,2020,cars_hybridpetrol,1133627403701.39990234375
11,2036,BajaCalif,2020,cars_hybridpetrol,1133286718608.91992187500
11,2037,BajaCalif,2020,cars_hybridpetrol,1022055277.43990004063
12,2025,BajaCalif,2020,cars_hydrogenfc,2240000000000.00000000000
12,2030,BajaCalif,2020,cars_hydrogenfc,2240000000000.00000000000
12,2035,BajaCalif,2020,cars_hydrogenfc,2240000000000.00000000000
12,2036,BajaCalif,2020,cars_hydrogenfc,2240000000000.00000000000
13,2025,BajaCalif,2020,cars_lpg,1124251020629.00000000000
13,2030,BajaCalif,2020,cars_lpg,1123825918566.00000000000
13,2035,BajaCalif,2020,cars_lpg,1123400816503.19995117188
13,2036,BajaCalif,2020,cars_lpg,1123315796090.60009765625
13,2037,BajaCalif,2020,cars_lpg,255061237.80000001192
14,2025,BajaCalif,2020,cars_petrol,1685415000000.00000000000
14,2030,BajaCalif,2020,cars_petrol,1628873327608.00000000000
14,2035,BajaCalif,2020,cars_petrol,1572331655214.00000000000
14,2036,BajaCalif,2020,cars_petrol,1561023320735.60009765625
14,2037,BajaCalif,2020,cars_petrol,33925003435.20000076294
15,2025,BajaCalif,2020,cars_pluginhybriddiesel,1128798132870.00000000000
15,2030,BajaCalif,2020,cars_pluginhybriddiesel,1127918319582.39990234375
15,2035,BajaCalif,2020,cars_pluginhybriddiesel,1127038506295.19995117188
15,2036,BajaCalif,2020,cars_pluginhybriddiesel,1126862543637.76000976562
