ProcessName,RegionName,Unit,2020,2025,2030,2035,2040,2045,2050
cars_petrol,Central,PJ/y,1.08836E+11,81627277722,54418185148,27209092574,0,0,0
cars_lpg,Central,PJ/y,808910784.6,606683088.4,404455392.3,202227696.1,0,0,0
cars_hybridpetrol,Central,PJ/y,3241105149,2430828862,1620552574,810276287.2,0,0,0
cars_diesel,Central,PJ/y,9789416545,7342062409,4894708273,2447354136,0,0,0
cars_hybriddiesel,Central,PJ/y,1665537423,1249153067,832768711.6,416384355.8,0,0,0
cars_pluginhybriddiesel,Central,PJ/y,1671336744,1253502558,835668371.9,417834186,0,0,0
cars_hydrogenfc,Central,PJ/y,0,0,0,0,0,0,0
cars_hybridhydrogenfc,Central,PJ/y,0,0,0,0,0,0,0
cars_pluginhybridhydrogenfc,Central,PJ/y,0,0,0,0,0,0,0
cars_hybridliquidhydrogen,Central,PJ/y,0,0,0,0,0,0,0
cars_cng,Central,PJ/y,0,0,0,0,0,0,0
cars_flexiblefuel,Central,PJ/y,0,0,0,0,0,0,0
cars_battery,Central,PJ/y,3354353184,2515764888,1677176592,838588296,0,0,0
bus_diesel,Central,PJ/y,3732162142,2799121607,1866081071,933040535.5,0,0,0
bus_hybriddiesel,Central,PJ/y,470176045.5,352632034.1,235088022.7,117544011.4,0,0,0
bus_battery,Central,PJ/y,470637050.2,352977787.6,235318525.1,117659262.5,0,0,0
bus_cng,Central,PJ/y,471098959.8,353324219.9,235549479.9,117774740,0,0,0
bus_hybridhydrogenfc,Central,PJ/y,0,0,0,0,0,0,0
lightlorry_diesel,Central,PJ/y,3772494215,2829370661,1886247108,943123553.8,0,0,0
lightlorry_petrol,Central,PJ/y,3802378488,2851783866,1901189244,950594622,0,0,0
lightlorry_hybridhydrogenfc,Central,PJ/y,0,0,0,0,0,0,0
lightlorry_hybridliquidhydrogen,Central,PJ/y,0,0,0,0,0,0,0
lightlorry_hybridpetrol,Central,PJ/y,359319375.6,269489531.7,179659687.8,89829843.91,0,0,0
lightlorry_pluginhybridpetrol,Central,PJ/y,359588557.2,269691417.9,179794278.6,89897139.29,0,0,0
lightlorry_hybriddiesel,Central,PJ/y,479810856.3,359858142.2,239905428.2,119952714.1,0,0,0
lightlorry_pluginhybriddiesel,Central,PJ/y,240145478.9,180109109.2,120072739.4,60036369.72,0,0,0
lightlorry_cng,Central,PJ/y,480531369.3,360398527,240265684.7,120132842.3,0,0,0
lightlorry_lpg,Central,PJ/y,481012914.7,360759686.1,240506457.4,120253228.7,0,0,0
heavylorry_diesel,Central,PJ/y,3851963409,2888972557,1925981704,962990852.2,0,0,0
heavylorry_hybriddiesel,Central,PJ/y,485390649.2,364042986.9,242695324.6,121347662.3,0,0,0
heavylorry_hybridhydrogenfc,Central,PJ/y,0,0,0,0,0,0,0
heavylorry_cng,Central,PJ/y,485881987.9,364411490.9,242940993.9,121470497,0,0,0
