dst_region,year,asset,region,technology,installed,capacity
Central,2050,15,Central,BIO,2020,0.01120000000
Central,2050,18,Central,GAS_GT,2020,46.88880000000
Central,2050,20,Central,HYD,2020,0.90930000000
Central,2050,21,Central,OIL,2020,1.54910000000
Central,2050,22,Central,PV_GND,2020,0.23570000000
Central,2054,15,Central,BIO,2020,0.00110000000
Central,2054,18,Central,GAS_GT,2020,4.68890000000
Central,2054,20,Central,HYD,2020,0.09090000000
Central,2054,21,Central,OIL,2020,0.15490000000
Central,2054,22,Central,PV_GND,2020,0.02360000000
Eastern,2050,18,Central,GAS_GT,2020,12.70500000000
Eastern,2050,23,Eastern,BIO,2020,1.85220000000
Eastern,2050,27,Eastern,GAS_GT,2020,50.81990000000
Eastern,2050,29,Eastern,HYD,2020,75.10960000000
Eastern,2050,30,Eastern,NUCL,2020,18.18520000000
Eastern,2050,31,Eastern,OIL,2020,3.27780000000
Eastern,2050,33,Eastern,WIND_ON,2020,31.07210000000
Eastern,2054,18,Central,GAS_GT,2020,1.27050000000
Eastern,2054,23,Eastern,BIO,2020,0.18520000000
Eastern,2054,27,Eastern,GAS_GT,2020,5.08200000000
Eastern,2054,29,Eastern,HYD,2020,7.51100000000
Eastern,2054,30,Eastern,NUCL,2020,1.81850000000
Eastern,2054,31,Eastern,OIL,2020,0.32780000000
Eastern,2054,33,Eastern,WIND_ON,2020,3.10720000000
Western,2050,18,Central,GAS_GT,2020,15.18800000000
Western,2050,68,Western,BIO,2020,0.44900000000
Western,2050,70,Western,COAL,2020,37.60530000000
Western,2050,73,Western,GAS_GT,2020,60.75220000000
Western,2050,75,Western,GEOTH,2020,3.53600000000
Western,2050,76,Western,HYD,2020,55.15070000000
Western,2050,77,Western,OIL,2020,9.27220000000
Western,2050,78,Western,PV_GND,2020,8.64360000000
Western,2050,79,Western,WIND_ON,2020,11.56220000000
Western,2054,18,Central,GAS_GT,2020,1.51880000000
Western,2054,68,Western,BIO,2020,0.04490000000
Western,2054,70,Western,COAL,2020,3.76050000000
Western,2054,73,Western,GAS_GT,2020,6.07520000000
Western,2054,75,Western,GEOTH,2020,0.35360000000
Western,2054,76,Western,HYD,2020,5.51510000000
Western,2054,77,Western,OIL,2020,0.92720000000
Western,2054,78,Western,PV_GND,2020,0.86440000000
Western,2054,79,Western,WIND_ON,2020,1.15620000000
Northwest,2050,54,Northwest,GAS_GT,2020,52.43640000000
Northwest,2050,56,Northwest,HYD,2020,10.77640000000
Northwest,2050,58,Northwest,OIL,2020,0.62860000000
Northwest,2050,59,Northwest,PV_GND,2020,5.11880000000
Northwest,2050,60,Northwest,WIND_ON,2020,0.02250000000
Northwest,2050,73,Western,GAS_GT,2020,13.10910000000
Northwest,2054,54,Northwest,GAS_GT,2020,5.24360000000
Northwest,2054,56,Northwest,HYD,2020,1.07760000000
Northwest,2054,58,Northwest,OIL,2020,0.06290000000
Northwest,2054,59,Northwest,PV_GND,2020,0.51190000000
Northwest,2054,60,Northwest,WIND_ON,2020,0.00220000000
Northwest,2054,73,Western,GAS_GT,2020,1.31090000000
North,2050,35,North,BIO,2020,0.10100000000
North,2050,37,North,GAS_GT,2020,49.10020000000
North,2050,39,North,HYD,2020,0.31430000000
North,2050,41,North,OIL,2020,1.29090000000
North,2050,42,North,PV_GND,2020,12.74090000000
North,2050,54,Northwest,GAS_GT,2020,14.73000000000
North,2054,35,North,BIO,2020,0.01010000000
North,2054,37,North,GAS_GT,2020,4.91000000000
North,2054,39,North,HYD,2020,0.03140000000
North,2054,41,North,OIL,2020,0.12910000000
North,2054,42,North,PV_GND,2020,1.27410000000
North,2054,54,Northwest,GAS_GT,2020,1.47300000000
Northeast,2050,43,Northeast,BIO,2020,0.21330000000
Northeast,2050,44,Northeast,COAL,2020,14.81760000000
Northeast,2050,45,Northeast,GAS_GT,2020,161.18640000000
Northeast,2050,47,Northeast,HYD,2020,1.32460000000
Northeast,2050,49,Northeast,OIL,2020,2.51450000000
Northeast,2050,50,Northeast,PV_GND,2020,5.20860000000
Northeast,2050,51,Northeast,WIND_ON,2020,28.31060000000
Northeast,2054,43,Northeast,BIO,2020,0.02130000000
Northeast,2054,44,Northeast,COAL,2020,1.48180000000
Northeast,2054,45,Northeast,GAS_GT,2020,16.11860000000
Northeast,2054,47,Northeast,HYD,2020,0.13250000000
Northeast,2054,49,Northeast,OIL,2020,0.25150000000
